bet_id,date,game_id,player,market,side,line,entry_odds_dec,entry_time,close_line,close_odds_dec,close_time,direction,clv_line,clv_price,clv_novig,clv_pct,beat_closing,result,won,profit,predicted_pra,player_sigma,ev_entry,stake
2025-10-23_peyton_watson_8.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Peyton Watson,PRA,OVER,8.5,2.0,2025-10-24 13:22:33.819376,,,,1,,,,,,,,,14.913793103448276,8.255014432645881,0.562815992406398,2.267737448741123
2025-10-23_gary_payton_ii_7.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Gary Payton II,PRA,OVER,7.5,1.7692307692307692,2025-10-24 13:22:33.820334,,,,1,,,,,,,,,15.398576512455517,7.356872283429021,0.5188957030595046,2.267737448741123
2025-10-23_al_horford_12.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Al Horford,PRA,OVER,12.5,1.8333333333333337,2025-10-24 13:22:33.820964,,,,1,,,,,,,,,20.36764705882353,8.652077700576182,0.5004250138872792,2.267737448741123
2025-10-23_nikola_jokic_48.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Nikola Jokic,PRA,UNDER,48.5,1.9090909090909092,2025-10-24 13:22:33.821556,,,,-1,,,,,,,,,38.41935483870968,13.75741601838569,0.4664534631994983,2.267737448741123
2025-10-23_bruce_brown_10.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Bruce Brown,PRA,OVER,10.5,1.9523809523809523,2025-10-24 13:22:33.822132,,,,1,,,,,,,,,16.807550644567222,10.915473989364498,0.4024316762486248,2.267737448741123
2025-10-23_jonathan_kuminga_25.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonathan Kuminga,PRA,UNDER,25.5,1.869565217391304,2025-10-24 13:22:33.822707,,,,-1,,,,,,,,,19.904761904761905,8.672796651302658,0.3845708071459154,2.267737448741123
2025-10-23_jonas_valanciunas_12.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonas Valanciunas,PRA,OVER,12.5,1.869565217391304,2025-10-24 13:22:33.823871,,,,1,,,,,,,,,18.352941176470587,11.648054712667928,0.2943670157100759,2.267737448741123
2025-10-23_draymond_green_21.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Draymond Green,PRA,UNDER,21.5,1.8333333333333337,2025-10-24 13:22:33.825050,,,,-1,,,,,,,,,18.352941176470587,8.786887966807518,0.1731242501224369,2.267737448741123
2025-10-23_buddy_hield_14.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Buddy Hield,PRA,OVER,14.5,1.9523809523809523,2025-10-24 13:22:33.825695,,,,1,,,,,,,,,16.807550644567222,9.639341592581754,0.1608817162533439,1.9153968370186196
2025-10-23_cameron_johnson_20.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Cameron Johnson,PRA,OVER,20.5,1.8333333333333337,2025-10-24 13:22:33.828128,,,,1,,,,,,,,,22.7979797979798,9.380489897424477,0.0940634279019487,1.279866948061258
2025-10-23_gary_payton_ii_8.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Gary Payton II,PRA,OVER,8.5,2.0,2025-10-24 13:23:27.972016,,,,1,,,,,,,,,15.398576512455517,7.356872283429021,0.6516040074926304,2.2263324886912352
2025-10-23_nikola_jokic_50.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Nikola Jokic,PRA,UNDER,50.5,1.9090909090909092,2025-10-24 13:23:27.972898,,,,-1,,,,,,,,,38.41935483870968,13.75741601838569,0.5464788780193631,2.2263324886912352
2025-10-23_jonas_valanciunas_10.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonas Valanciunas,PRA,OVER,10.5,1.8,2025-10-24 13:23:27.973686,,,,1,,,,,,,,,18.352941176470587,11.648054712667928,0.3498255384228653,2.2263324886912352
2025-10-23_buddy_hield_13.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Buddy Hield,PRA,OVER,13.5,1.8,2025-10-24 13:23:27.975959,,,,1,,,,,,,,,16.807550644567222,9.639341592581754,0.1416496396434102,1.970994967184564
2025-10-23_gary_payton_ii_9.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Gary Payton II,PRA,OVER,9.5,1.869565217391304,2025-10-24 13:37:56.162148,,,,1,,,,,,,,,15.398576512455517,7.356872283429021,0.4744498731910372,2.762329268131107
2025-10-23_nikola_jokic_45.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Nikola Jokic,PRA,UNDER,45.5,1.9523809523809523,2025-10-24 13:37:56.163128,,,,-1,,,,,,,,,38.41935483870968,13.75741601838569,0.3600502871201111,2.762329268131107
2025-10-23_bruce_brown_9.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Bruce Brown,PRA,OVER,9.5,1.8,2025-10-24 13:37:56.164170,,,,1,,,,,,,,,16.807550644567222,10.915473989364498,0.3471221914202606,2.762329268131107
2025-10-23_cameron_johnson_17.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Cameron Johnson,PRA,OVER,17.5,1.8,2025-10-24 13:37:56.164938,,,,1,,,,,,,,,22.7979797979798,9.380489897424477,0.2850032832230667,2.762329268131107
2025-10-23_jonathan_kuminga_23.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonathan Kuminga,PRA,UNDER,23.5,1.869565217391304,2025-10-24 13:37:56.166565,,,,-1,,,,,,,,,19.904761904761905,8.672796651302658,0.2353364871149381,2.762329268131107
2025-10-23_jimmy_butler_24.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jimmy Butler,PRA,OVER,24.5,1.9523809523809523,2025-10-24 13:37:56.168114,,,,1,,,,,,,,,25.96825396825397,11.414216814658658,0.0761060822893684,1.103707807601264
2025-10-23_draymond_green_20.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Draymond Green,PRA,UNDER,20.5,1.8,2025-10-24 13:37:56.169062,,,,-1,,,,,,,,,18.352941176470587,8.786887966807518,0.0737348454885062,1.2729995110876615
2025-10-23_jamal_murray_36.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jamal Murray,PRA,UNDER,36.5,1.9090909090909092,2025-10-24 13:59:39.371095,,,,-1,,,,,,,,,25.714285714285715,10.783306550230176,0.6063067391586351,3.7304322015812375
2025-10-23_jimmy_butler_31.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jimmy Butler,PRA,UNDER,31.5,1.9090909090909092,2025-10-24 13:59:39.372216,,,,-1,,,,,,,,,25.96825396825397,11.414216814658658,0.3096991526558271,3.7304322015812375
2025-10-23_stephen_curry_33.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Stephen Curry,PRA,UNDER,33.5,1.9523809523809523,2025-10-24 13:59:39.373384,,,,-1,,,,,,,,,29.0,13.76695443240586,0.2263232236552014,3.7304322015812375
2025-10-23_brandin_podziemski_24.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Brandin Podziemski,PRA,UNDER,24.5,1.7692307692307692,2025-10-24 13:59:39.374312,,,,-1,,,,,,,,,20.57943925233645,10.092382727644294,0.1520609391087993,3.687144655051968
2025-10-23_christian_braun_20.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Christian Braun,PRA,OVER,20.5,1.869565217391304,2025-10-24 13:59:39.375347,,,,1,,,,,,,,,21.66304347826087,8.726652046216433,0.0338920041416672,0.7269829858506514
