Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Shareef Abdur-Rahim,27.9,POR,Forward,1856,70,17.4%,89,141.1,54,10.5%,48,0.61,41,16.6%
Cory Alexander,31.4,CHA,Point,169,35,18.0%,28,107.5,70,32.7%,85,1.82,0,24.6%
Malik Allen,26.3,CHA,Big,238,65,15.1%,32,115.9,28,4.4%,18,0.29,100,6.2%
Malik Allen,26.3,MIA,Big,243,68,15.6%,26,110.7,61,7.2%,48,0.46,91,11.4%
Ray Allen,29.3,OKC,Wing,3057,95,24.4%,68,127.6,85,17.6%,49,0.72,83,10.5%
Tony Allen,22.8,BOS,Wing,1207,41,15.3%,73,129.5,13,8.1%,12,0.53,14,17.6%
Rafer Alston,28.3,TOR,Point,2714,80,22.3%,57,119.0,65,31.4%,50,1.41,85,12.8%
Chris Andersen,26.3,NOP,Big,1388,40,12.5%,89,150.6,79,9.5%,87,0.76,64,16.6%
Derek Anderson,30.3,POR,Wing,1234,65,17.8%,24,112.8,90,19.4%,89,1.09,38,14.6%
Kenny Anderson,34.1,ATL,Point,715,17,16.4%,20,104.8,15,21.7%,31,1.32,22,17.8%
Shandon Anderson,30.8,MIA,Forward,1116,7,10.8%,54,121.8,39,9.1%,87,0.84,20,18.9%
Carmelo Anthony,20.4,DEN,Forward,2597,98,22.9%,76,131.2,78,13.0%,35,0.57,39,16.7%
Rafael Araujo,24.2,TOR,Big,706,46,12.8%,34,116.2,12,2.9%,10,0.23,13,24.6%
Gilbert Arenas,22.8,WAS,Wing,3266,92,23.5%,94,140.2,95,22.4%,77,0.95,50,13.6%
Trevor Ariza,19.3,NYK,Wing,1333,35,14.4%,55,122.8,30,9.8%,40,0.69,21,16.6%
Darrell Armstrong,36.4,DAL,Point,508,11,15.5%,15,102.9,54,29.9%,93,1.93,17,18.3%
Darrell Armstrong,36.4,NOP,Point,415,69,21.7%,7,92.2,46,28.3%,26,1.30,69,14.1%
Carlos Arroyo,25.3,DET,Point,653,52,20.0%,30,108.7,67,31.6%,70,1.58,19,18.1%
Carlos Arroyo,25.3,UTA,Point,738,56,20.5%,31,108.9,81,34.5%,76,1.68,43,16.3%
Chucky Atkins,30.2,LAL,Point,2904,28,17.1%,74,125.6,11,20.1%,11,1.17,74,13.7%
Stacey Augmon,36.3,ORL,Wing,604,14,13.0%,31,115.3,16,8.5%,33,0.66,32,15.6%
Vin Baker,32.9,NYK,Big,156,47,12.9%,3,87.5,51,6.5%,56,0.51,6,28.3%
Marcus Banks,23.0,BOS,Point,1062,15,16.1%,93,136.0,17,22.1%,41,1.37,15,19.4%
Leandro Barbosa,21.9,PHX,Combo,981,47,18.4%,84,127.2,39,18.7%,32,1.01,14,18.5%
Matt Barnes,24.6,SAC,Wing,638,5,11.2%,39,118.0,34,10.5%,74,0.94,5,20.5%
Andre Barrett,22.7,HOU,Point,287,4,14.0%,6,88.3,6,18.5%,28,1.32,24,17.8%
Andre Barrett,22.7,ORL,Point,153,33,17.8%,46,116.3,20,22.6%,19,1.27,35,16.8%
Brent Barry,32.8,SAS,Wing,1652,26,13.8%,88,135.7,83,16.9%,95,1.23,67,12.3%
Jon Barry,35.3,ATL,Combo,274,16,14.8%,40,108.0,21,15.8%,40,1.07,51,15.6%
Jon Barry,35.3,HOU,Wing,1190,32,14.2%,79,130.7,86,17.9%,95,1.26,41,14.4%
Tony Battie,28.7,ORL,Big,1900,10,9.1%,29,113.6,16,3.4%,29,0.37,29,20.7%
Shane Battier,26.1,MEM,Forward,2493,11,12.0%,80,132.2,26,8.1%,63,0.67,83,10.8%
Raja Bell,28.1,UTA,Wing,1783,59,16.9%,38,117.8,23,9.2%,16,0.55,69,12.1%
Travis Best,32.3,BKN,Combo,1389,32,17.0%,74,119.4,33,18.1%,37,1.06,79,12.5%
Mike Bibby,26.5,SAC,Point,3083,76,22.2%,85,127.7,37,27.7%,17,1.25,83,13.0%
Andris Biedrins,18.6,GSW,Big,357,11,9.2%,83,144.4,25,4.2%,44,0.45,68,16.1%
Chauncey Billups,28.1,DET,Combo,2860,67,19.7%,98,147.7,77,27.7%,77,1.40,56,15.0%
Steve Blake,24.7,WAS,Point,607,19,16.5%,17,103.6,2,18.0%,4,1.09,37,16.8%
Mark Blount,28.9,BOS,Big,2129,63,14.9%,55,127.6,82,9.8%,78,0.66,21,22.4%
Keith Bogans,24.5,CHA,Wing,1762,73,19.0%,15,107.6,50,12.4%,31,0.65,28,15.8%
Matt Bonner,24.6,TOR,Big,1506,43,12.6%,61,130.2,38,5.2%,37,0.41,98,9.6%
Calvin Booth,28.5,DAL,Big,224,30,11.7%,18,106.3,6,2.2%,5,0.19,97,9.7%
Calvin Booth,28.5,MIL,Big,153,0,5.4%,99,200.0,4,2.1%,35,0.39,16,23.5%
Carlos Boozer,22.9,UTA,Big,1776,93,19.3%,70,136.5,95,14.7%,88,0.76,46,18.3%
Curtis Borchardt,24.1,UTA,Big,819,36,12.1%,41,119.0,81,9.8%,94,0.81,14,24.5%
Chris Bosh,20.6,TOR,Big,2994,77,16.5%,82,142.1,72,8.6%,58,0.52,56,17.4%
Bruce Bowen,33.4,SAS,Wing,2602,3,11.0%,25,113.7,7,7.5%,39,0.68,91,9.5%
Ryan Bowen,29.0,HOU,Forward,531,2,8.1%,15,101.1,7,5.5%,67,0.68,100,6.7%
Earl Boykins,28.4,DEN,Point,2087,65,21.4%,72,124.8,52,29.4%,43,1.38,89,11.7%
Shawn Bradley,32.6,DAL,Big,848,14,9.4%,44,119.4,7,2.3%,13,0.24,52,17.6%
Elton Brand,25.6,LAC,Big,2999,94,19.4%,75,137.7,91,12.9%,79,0.67,76,14.5%
Jamison Brewer,24.0,NYK,Combo,156,7,12.8%,5,87.1,2,10.9%,11,0.85,2,23.5%
Primoz Brezec,25.1,CHA,Big,2264,60,14.5%,54,127.6,49,6.4%,41,0.44,80,13.9%
Damone Brown,25.3,WAS,Forward,135,93,21.3%,4,87.3,89,15.0%,72,0.71,17,19.1%
Devin Brown,25.8,SAS,Wing,1122,43,15.6%,53,122.6,58,13.0%,65,0.83,68,12.1%
Kwame Brown,22.6,WAS,Big,896,56,14.1%,55,127.6,60,7.0%,54,0.50,16,23.8%
P.J. Brown,35.0,NOP,Big,2820,49,13.3%,43,119.2,87,10.8%,94,0.82,86,12.3%
Tierre Brown,25.4,LAL,Combo,1015,79,20.7%,16,97.9,72,24.9%,61,1.20,40,16.0%
Rick Brunson,32.4,LAC,Point,1906,26,17.0%,9,98.8,72,33.1%,96,1.95,28,17.5%
Kobe Bryant,26.2,LAL,Wing,2679,98,27.4%,95,144.8,99,28.7%,86,1.05,20,16.6%
Greg Buckner,28.1,DEN,Wing,1490,1,9.9%,96,146.8,53,12.6%,96,1.27,36,14.9%
Rodney Buford,27.0,BKN,Wing,1251,59,17.1%,2,91.5,22,9.2%,15,0.53,95,7.4%
Antonio Burks,24.7,MEM,Point,191,41,18.6%,87,128.8,28,24.7%,39,1.33,30,17.0%
Caron Butler,24.6,LAL,Wing,2730,55,16.6%,63,125.2,20,9.1%,17,0.55,65,12.4%
Rasual Butler,25.4,MIA,Wing,1153,49,16.0%,9,103.3,15,8.5%,14,0.53,95,8.8%
Zarko Cabarkapa,23.4,GSW,Big,448,79,16.8%,75,137.6,76,9.1%,62,0.54,53,17.5%
Marcus Camby,30.6,DEN,Big,2015,64,15.1%,33,116.2,89,12.0%,92,0.79,72,15.5%
Elden Campbell,36.3,DET,Big,329,93,19.1%,16,105.5,80,9.5%,53,0.50,28,20.8%
Brian Cardinal,27.5,MEM,Big,1397,83,17.2%,48,123.2,93,13.6%,91,0.79,67,16.2%
Matt Carroll,24.2,CHA,Wing,406,67,18.0%,75,129.6,8,7.6%,2,0.42,55,13.2%
Anthony Carter,29.4,MIN,Point,673,43,18.8%,19,104.6,87,35.6%,91,1.89,7,20.6%
Vince Carter,27.8,BKN,Wing,2229,99,27.6%,77,130.4,97,24.9%,72,0.90,75,11.0%
Vince Carter,27.8,TOR,Wing,605,90,22.5%,18,108.6,87,18.6%,64,0.83,97,7.1%
Sam Cassell,35.0,MIN,Point,1520,94,26.2%,56,117.7,74,33.5%,20,1.28,87,12.2%
Kelvin Cato,30.2,ORL,Big,1514,9,9.0%,84,146.0,18,3.8%,38,0.42,30,20.5%
Lionel Chalmers,24.0,LAC,Combo,383,33,17.5%,18,98.0,60,22.2%,68,1.27,42,15.9%
Tyson Chandler,22.1,CHI,Big,2164,17,9.8%,97,167.5,37,4.9%,55,0.50,12,24.8%
Calbert Cheaney,33.3,GSW,Wing,926,27,13.8%,4,96.5,44,11.4%,63,0.82,66,12.3%
Josh Childress,21.4,ATL,Wing,2328,17,13.2%,74,129.5,29,9.8%,52,0.74,35,15.0%
Doug Christie,34.5,ORL,Wing,527,23,13.7%,3,93.7,64,13.7%,85,1.00,1,21.7%
Doug Christie,34.5,SAC,Wing,987,28,14.0%,30,115.3,95,21.8%,99,1.56,2,21.6%
Speedy Claxton,26.5,GSW,Point,1500,54,20.2%,78,125.8,57,30.5%,57,1.51,80,13.3%
Speedy Claxton,26.5,NOP,Point,365,61,21.1%,22,104.9,96,44.9%,100,2.12,44,15.7%
Jason Collier,27.1,ATL,Big,927,86,17.8%,24,109.7,17,3.6%,6,0.20,66,16.3%
Jarron Collins,25.9,UTA,Big,948,12,9.4%,73,137.0,77,9.1%,96,0.97,54,17.5%
Jason Collins,25.9,BKN,Big,2541,14,9.4%,37,116.9,52,6.6%,82,0.69,52,17.8%
Nick Collison,24.0,OKC,Big,1362,34,11.9%,68,135.5,23,4.1%,25,0.34,61,16.9%
Brian Cook,23.9,LAL,Big,1021,75,16.4%,22,108.2,39,5.4%,24,0.33,99,7.4%
Jamal Crawford,24.6,NYK,Wing,2667,85,21.2%,33,116.1,88,19.0%,71,0.90,71,11.9%
Austin Croshere,29.5,IND,Forward,1783,30,14.9%,78,131.9,50,9.9%,61,0.67,24,18.0%
Eddy Curry,21.9,CHI,Big,1789,90,18.4%,85,147.1,24,4.1%,9,0.22,20,22.6%
Michael Curry,36.2,IND,Wing,242,0,7.1%,14,107.1,45,11.5%,100,1.62,41,14.3%
Samuel Dalembert,24.5,PHI,Big,1771,39,12.4%,57,128.0,14,3.1%,13,0.25,18,22.9%
Erick Dampier,29.3,DAL,Big,1598,28,11.5%,94,156.1,34,4.8%,39,0.42,11,25.2%
Antonio Daniels,29.6,OKC,Combo,1998,40,17.9%,96,142.4,74,26.3%,84,1.47,91,10.0%
Marquis Daniels,23.8,DAL,Combo,1355,49,18.5%,58,112.2,18,15.3%,9,0.83,61,14.3%
Antonio Davis,36.0,CHI,Big,1825,33,11.9%,46,121.7,61,7.2%,70,0.60,35,20.1%
Baron Davis,25.6,GSW,Point,985,98,27.2%,76,125.6,94,37.6%,44,1.39,52,14.9%
Baron Davis,25.6,NOP,Combo,590,100,28.9%,63,116.7,100,42.4%,82,1.47,89,10.3%
Dale Davis,35.6,GSW,Big,572,15,9.5%,20,106.7,44,5.9%,74,0.62,64,16.6%
Dale Davis,35.6,IND,Big,726,9,9.0%,80,141.0,40,5.4%,67,0.60,62,16.8%
Josh Davis,24.2,PHI,Big,293,75,16.3%,17,105.7,48,6.2%,30,0.38,87,12.0%
Ricky Davis,25.1,BOS,Wing,2670,77,20.0%,78,130.7,77,16.4%,62,0.82,17,17.1%
Carlos Delfino,22.2,DET,Wing,438,32,14.2%,7,101.9,52,12.6%,69,0.89,33,15.3%
Tony Delk,30.8,ATL,Combo,1343,72,20.3%,60,114.8,11,13.8%,4,0.68,98,8.9%
Luol Deng,19.5,CHI,Forward,1641,83,19.3%,30,114.5,83,14.1%,78,0.73,37,16.7%
Boris Diaw,22.5,ATL,Wing,1168,44,15.7%,19,108.9,92,20.4%,97,1.31,5,21.0%
Dan Dickau,26.1,NOP,Point,2023,81,22.3%,61,120.5,61,31.0%,46,1.39,59,14.6%
DeSagana Diop,22.8,CLE,Big,237,10,9.1%,0,57.9,61,7.2%,91,0.79,83,13.0%
Vlade Divac,36.7,LAL,Big,127,67,15.4%,51,125.9,99,24.0%,100,1.56,4,28.9%
Juan Dixon,26.1,WAS,Combo,1018,84,21.4%,70,117.9,46,19.5%,18,0.91,68,13.3%
Michael Doleac,27.4,MIA,Big,1138,49,13.1%,7,98.1,51,6.4%,52,0.49,92,11.2%
Keyon Dooling,24.5,MIA,Point,1131,39,18.4%,35,112.5,4,18.2%,0,0.99,70,14.0%
Predrag Drobnjak,29.0,ATL,Big,1416,82,17.1%,27,111.8,45,6.0%,26,0.35,78,14.4%
Chris Duhon,22.2,CHI,Point,2134,9,15.3%,13,101.5,43,28.1%,89,1.84,41,16.4%
Tim Duncan,28.5,SAS,Big,2192,98,23.2%,66,134.2,97,15.2%,77,0.65,89,11.7%
Mike Dunleavy,24.1,GSW,Forward,2553,59,16.8%,46,118.9,76,12.7%,80,0.76,65,13.6%
Ronald Dupree,23.8,DET,Wing,402,15,13.0%,57,123.1,12,7.9%,23,0.61,24,16.4%
Howard Eisley,31.9,UTA,Combo,1356,61,19.3%,26,103.7,88,30.2%,88,1.57,19,18.4%
Obinna Ekezie,29.2,ATL,Big,719,42,12.6%,56,127.8,5,2.2%,3,0.17,22,21.9%
Francisco Elson,28.7,DEN,Big,882,22,10.8%,39,117.4,43,5.8%,61,0.54,49,18.0%
Melvin Ely,26.5,CHA,Big,1621,80,16.9%,28,111.9,69,7.8%,48,0.46,43,18.8%
Maurice Evans,26.0,SAC,Wing,1150,14,12.7%,45,119.6,0,5.5%,4,0.43,87,9.7%
Reggie Evans,24.5,OKC,Big,1874,5,8.6%,91,153.0,30,4.6%,61,0.53,3,29.8%
Michael Finley,31.7,DAL,Wing,2358,61,17.5%,23,112.4,41,11.1%,28,0.64,100,6.6%
