Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Shareef Abdur-Rahim,28.9,SAC,Big,122,67,54.8%,83,59.0%,0,0.0%,0,61.5%,97,30%,94,27%,89,33%,0,0%
Malik Allen,27.3,CHI,Big,116,25,46.7%,33,46.7%,0,0.0%,0,0.0%,53,64%,25,67%,56,64%,0,0%
Carmelo Anthony,21.4,DEN,Forward,192,0,33.3%,12,34.7%,0,0.0%,29,75.0%,88,45%,100,31%,59,59%,0,0%
Gilbert Arenas,23.8,WAS,Combo,283,90,53.6%,70,48.4%,100,42.2%,25,77.1%,90,33%,70,21%,80,24%,90,58%
Chucky Atkins,31.2,MEM,Point,101,41,45.9%,35,42.3%,0,36.4%,0,66.7%,71,27%,53,20%,88,0%,41,75%
Leandro Barbosa,22.9,PHX,Wing,625,78,53.5%,56,50.0%,68,40.9%,83,86.0%,50,50%,63,40%,56,38%,78,81%
Brent Barry,33.8,SAS,Wing,281,100,71.3%,100,64.0%,100,51.7%,0,78.9%,3,87%,6,80%,19,67%,6,100%
Shane Battier,27.1,MEM,Forward,128,71,55.0%,94,61.5%,0,28.6%,0,33.3%,94,40%,94,33%,88,20%,6,100%
Raja Bell,29.1,PHX,Wing,673,84,59.8%,53,48.7%,91,46.5%,67,82.9%,22,72%,94,20%,28,57%,47,95%
Mike Bibby,27.5,SAC,Point,255,18,39.7%,12,34.8%,56,34.6%,75,90.0%,47,41%,71,17%,29,35%,53,67%
Chauncey Billups,29.1,DET,Point,702,53,48.0%,53,45.5%,44,34.4%,88,90.4%,65,31%,35,30%,53,18%,94,47%
Andrew Bogut,20.9,MIL,Big,168,19,44.4%,14,44.4%,0,0.0%,0,37.5%,33,75%,14,79%,47,67%,0,0%
Bruce Bowen,34.4,SAS,Wing,440,97,65.8%,91,54.8%,95,50.0%,0,50.0%,13,81%,22,57%,13,70%,6,100%
Earl Boykins,29.4,DEN,Point,139,6,34.5%,18,35.9%,11,21.1%,0,80.0%,29,44%,24,40%,12,44%,76,50%
Elton Brand,26.6,LAC,Big,516,72,55.4%,72,55.4%,0,0.0%,72,75.0%,86,48%,92,39%,64,54%,0,0%
Kwame Brown,23.6,LAL,Big,224,53,52.3%,53,52.3%,0,0.0%,44,71.0%,75,53%,39,64%,97,22%,0,0%
Kobe Bryant,27.2,LAL,Combo,313,100,56.0%,90,53.7%,83,41.2%,0,77.1%,100,22%,80,16%,90,18%,100,43%
Greg Buckner,29.1,DEN,Wing,137,66,51.9%,94,56.5%,18,32.3%,0,87.5%,6,87%,6,80%,3,75%,6,100%
Caron Butler,25.6,WAS,Wing,261,13,43.5%,28,44.8%,0,23.1%,56,82.8%,78,43%,88,25%,44,48%,84,67%
Marcus Camby,31.6,DEN,Big,175,11,41.9%,8,41.9%,0,0.0%,0,55.6%,22,77%,44,62%,11,92%,0,0%
Vince Carter,28.8,BKN,Wing,449,38,49.6%,78,53.2%,9,24.6%,33,79.6%,47,55%,38,49%,31,52%,66,86%
Sam Cassell,36.0,LAC,Point,403,65,48.2%,59,46.8%,67,34.9%,38,80.9%,82,23%,82,7%,71,14%,53,67%
Tyson Chandler,23.1,CHI,Big,103,94,66.7%,94,66.7%,0,0.0%,0,30.0%,100,25%,100,0%,0,100%,0,0%
Jason Collins,26.9,BKN,Big,302,0,36.0%,3,36.0%,0,0.0%,0,59.1%,17,78%,8,80%,31,75%,0,0%
Austin Croshere,30.5,IND,Forward,173,29,44.6%,0,21.4%,58,39.1%,0,88.9%,6,83%,0,100%,71,50%,94,89%
Erick Dampier,30.3,DAL,Big,447,69,54.8%,69,54.8%,0,0.0%,22,62.5%,75,53%,67,53%,69,50%,0,0%
Antonio Daniels,30.6,WAS,Point,215,100,56.7%,100,61.0%,0,27.3%,0,90.9%,24,46%,18,43%,24,36%,18,100%
Marquis Daniels,24.8,DAL,Wing,207,50,51.0%,50,47.9%,0,66.7%,0,73.7%,91,32%,69,35%,88,17%,91,50%
Tony Delk,31.8,DET,Combo,114,0,38.6%,60,46.2%,0,11.1%,0,75.0%,10,77%,10,50%,10,88%,20,100%
Luol Deng,20.5,CHI,Forward,178,24,43.8%,29,45.1%,0,20.0%,0,57.1%,35,75%,29,67%,24,79%,6,100%
Boris Diaw,23.5,PHX,Big,793,61,53.1%,56,52.8%,0,42.9%,83,76.1%,64,59%,56,59%,58,57%,78,100%
DeSagana Diop,23.8,DAL,Big,404,92,61.5%,92,61.5%,0,0.0%,0,61.1%,56,63%,53,59%,0,100%,0,0%
Chris Duhon,23.2,CHI,Point,127,76,50.0%,6,28.6%,0,40.0%,0,83.3%,0,75%,88,0%,0,100%,35,83%
Tim Duncan,29.5,SAS,Big,491,78,57.6%,78,57.9%,0,0.0%,61,71.8%,89,41%,72,52%,94,25%,0,0%
Michael Finley,32.7,SAS,Forward,408,76,57.3%,76,55.2%,58,39.1%,0,89.5%,71,62%,53,50%,76,42%,71,94%
T.J. Ford,22.6,MIL,Point,160,82,52.0%,76,51.1%,0,40.0%,0,91.7%,100,16%,88,0%,59,18%,76,50%
Pau Gasol,25.3,MEM,Big,157,17,43.9%,11,43.9%,0,0.0%,89,76.7%,81,52%,64,55%,69,50%,0,0%
Devean George,28.2,LAL,Wing,120,53,51.5%,3,30.8%,77,42.9%,0,40.0%,16,77%,0,100%,100,0%,53,89%
Manu Ginobili,28.3,SAS,Wing,424,69,52.9%,84,53.6%,27,34.1%,72,83.7%,72,45%,56,42%,84,23%,66,86%
Drew Gooden,24.1,CLE,Big,280,56,52.9%,58,52.9%,0,0.0%,0,94.4%,83,51%,89,48%,61,54%,0,0%
Ben Gordon,22.6,CHI,Wing,244,28,48.1%,25,43.1%,59,37.5%,6,68.6%,88,37%,100,0%,81,23%,63,87%
Danny Granger,22.5,IND,Forward,158,100,66.2%,53,50.0%,100,56.3%,0,100.0%,6,83%,35,63%,6,100%,6,100%
Adrian Griffin,31.3,DAL,Wing,338,63,51.8%,75,51.8%,0,0.0%,0,83.3%,44,55%,34,50%,25,62%,0,0%
Richard Hamilton,27.7,DET,Wing,689,16,43.5%,16,42.2%,45,35.0%,78,85.1%,31,65%,41,46%,3,75%,50,93%
Devin Harris,22.7,DAL,Point,556,71,49.1%,71,50.3%,0,0.0%,13,70.3%,59,32%,41,22%,18,40%,0,0%
Udonis Haslem,25.4,MIA,Big,647,42,49.7%,47,49.7%,0,0.0%,33,68.3%,39,70%,86,48%,22,86%,0,0%
Brendan Haywood,25.9,WAS,Big,154,97,68.2%,97,68.2%,0,0.0%,0,52.0%,58,60%,25,67%,89,33%,0,0%
Kirk Hinrich,24.8,CHI,Combo,233,60,46.3%,30,44.1%,50,34.6%,75,85.7%,80,38%,90,11%,60,38%,80,67%
Robert Horry,35.2,SAS,Big,223,36,48.6%,25,45.0%,20,35.3%,67,73.1%,14,80%,8,80%,69,50%,78,100%
Eddie House,27.5,PHX,Combo,121,10,40.6%,10,42.9%,0,23.1%,0,50.0%,20,72%,0,100%,30,64%,20,100%
Josh Howard,25.5,DAL,Wing,823,34,49.2%,47,47.5%,55,36.9%,44,80.8%,69,45%,81,28%,53,39%,44,96%
Larry Hughes,26.8,CLE,Wing,333,0,34.1%,6,32.6%,14,27.8%,22,74.2%,63,47%,69,35%,47,43%,6,100%
Lindsey Hunter,34.9,DET,Point,196,35,45.2%,24,36.4%,78,35.0%,0,100.0%,41,42%,88,0%,35,25%,65,64%
