Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Arron Afflalo,22.0,DET,Wing,755,14,-3.4%,68,+1.3%,66,+1.0%,67,+1.5%,71,+2.5%,41,-0.5%,11,-3.3%,16,-3.8%
Blake Ahearn,23.4,MIA,Point,156,1,-9.3%,95,+5.6%,1,-6.4%,14,-4.1%,1,-10.5%,100,+6.0%,38,-1.1%,88,+5.0%
LaMarcus Aldridge,22.3,POR,Big,2637,74,+1.2%,25,-2.5%,99,+7.4%,12,-4.4%,75,+3.1%,13,-1.9%,70,+1.3%,47,-0.6%
Malik Allen,29.3,NJN,Big,719,62,+0.5%,3,-6.7%,27,-1.7%,100,+12.7%,99,+11.0%,12,-1.9%,19,-2.4%,13,-4.3%
Malik Allen,29.3,DAL,Big,313,52,-0.1%,5,-5.6%,61,+0.6%,89,+5.1%,90,+5.7%,81,+1.4%,29,-1.5%,53,-0.1%
Ray Allen,32.3,BOS,Wing,2609,97,+4.5%,54,+0.2%,48,-0.3%,30,-2.0%,28,-2.3%,45,-0.4%,79,+2.4%,71,+2.1%
Tony Allen,25.8,BOS,Wing,1239,28,-1.8%,79,+2.7%,37,-1.0%,28,-2.3%,21,-3.3%,65,+0.5%,54,+0.2%,60,+0.6%
Rafer Alston,31.3,HOU,Point,2520,65,+0.8%,48,-0.3%,89,+3.1%,32,-1.6%,62,+1.5%,28,-1.0%,50,-0.1%,42,-1.1%
Derek Anderson,33.3,CHA,Wing,336,4,-6.1%,19,-2.8%,31,-1.3%,57,+0.7%,41,-0.6%,79,+1.1%,79,+2.3%,81,+3.4%
Carmelo Anthony,23.4,DEN,Forward,2791,69,+1.0%,54,+0.2%,72,+1.4%,99,+9.4%,98,+10.8%,4,-2.8%,0,-8.2%,0,-11.0%
Joel Anthony,25.2,MIA,Big,461,17,-2.9%,2,-7.4%,26,-1.8%,22,-2.9%,15,-4.7%,99,+4.0%,98,+8.1%,99,+12.1%
Gilbert Arenas,25.8,WAS,Combo,423,24,-2.3%,71,+1.6%,1,-6.2%,87,+4.7%,34,-1.5%,45,-0.3%,55,+0.2%,52,-0.1%
