Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Alex Acker,25.8,LAC,Wing,132,24,46.8%,25,43.2%,0,40.0%,0,100.0%,75,55%,82,40%,37,55%,91,75%
Arron Afflalo,23.0,DET,Wing,1193,63,51.7%,43,46.0%,85,41.3%,55,81.7%,41,67%,71,46%,23,65%,60,93%
Alexis Ajinca,20.5,CHA,Big,136,7,39.2%,9,40.0%,0,0.0%,0,73.3%,35,70%,84,50%,38,75%,0,0%
LaMarcus Aldridge,23.3,POR,Big,2993,37,48.9%,40,48.9%,22,29.2%,77,78.1%,82,57%,75,55%,69,58%,68,100%
Joe Alexander,21.9,MIL,Forward,612,13,45.4%,23,45.1%,18,31.4%,26,74.6%,41,73%,32,65%,27,76%,79,91%
Malik Allen,30.3,MIL,Big,522,12,42.4%,13,42.4%,0,0.0%,0,46.7%,15,77%,49,62%,27,80%,0,0%
Ray Allen,33.3,BOS,Wing,2866,98,57.8%,96,54.2%,84,41.3%,99,95.2%,35,69%,22,64%,55,47%,65,92%
Tony Allen,26.8,BOS,Wing,782,46,49.4%,78,49.8%,7,28.6%,10,71.2%,74,55%,49,53%,36,55%,3,100%
Morris Almond,23.7,UTA,Wing,233,13,44.6%,40,45.8%,0,26.7%,45,80.8%,3,90%,1,86%,1,92%,3,100%
Rafer Alston,32.3,HOU,Point,1587,26,45.2%,15,38.7%,53,35.6%,36,78.9%,44,40%,54,23%,76,10%,65,74%
Rafer Alston,32.3,ORL,Point,853,41,46.8%,57,46.2%,30,32.0%,5,71.1%,72,30%,98,8%,94,5%,7,97%
Lou Amundson,25.9,PHX,Big,909,63,52.4%,66,52.4%,0,0.0%,3,39.1%,38,69%,32,65%,8,93%,0,0%
Chris Andersen,30.3,DEN,Big,1412,78,55.1%,85,56.4%,0,11.1%,53,70.8%,55,65%,37,64%,49,68%,68,100%
Ryan Anderson,20.5,BKN,Big,1233,34,48.3%,14,42.8%,56,36.5%,93,83.8%,18,75%,72,55%,43,72%,87,98%
Carmelo Anthony,24.4,DEN,Forward,2273,23,47.2%,36,45.6%,64,38.4%,56,79.3%,93,48%,80,48%,89,38%,93,87%
Joel Anthony,26.2,MIA,Big,1008,43,49.6%,45,49.6%,0,0.0%,34,65.2%,70,61%,54,60%,60,62%,0,0%
Trevor Ariza,23.3,LAL,Wing,1902,63,51.8%,91,52.3%,25,33.7%,5,69.7%,53,64%,48,53%,26,62%,40,97%
Hilton Armstrong,23.9,NOP,Big,1050,86,56.5%,86,56.5%,0,0.0%,23,61.5%,69,61%,47,62%,70,57%,0,0%
Darrell Arthur,20.6,MEM,Big,1426,15,43.6%,16,43.8%,0,0.0%,41,67.9%,11,78%,15,70%,16,86%,0,0%
Chucky Atkins,34.2,OKC,Combo,278,0,35.4%,0,31.0%,3,27.0%,0,91.7%,12,70%,77,25%,2,67%,37,90%
D.J. Augustin,21.0,CHA,Point,1844,85,52.5%,37,42.5%,98,45.3%,93,88.7%,37,44%,65,20%,80,9%,35,86%
Kelenna Azubuike,24.9,GSW,Wing,2350,65,51.9%,50,46.8%,95,44.7%,44,80.6%,68,59%,73,45%,46,50%,50,95%
Renaldo Balkman,24.3,DEN,Big,704,90,57.8%,90,57.7%,0,40.0%,21,61.0%,52,65%,52,61%,17,86%,68,100%
Marcus Banks,27.0,MIA,Combo,134,28,44.4%,93,50.0%,0,20.0%,0,64.3%,77,36%,44,38%,93,0%,98,50%
Leandro Barbosa,25.9,PHX,Combo,1661,98,54.9%,100,53.0%,83,39.2%,90,87.8%,19,56%,19,46%,23,43%,33,91%
J.J. Barea,24.4,DAL,Combo,1476,77,50.7%,84,48.3%,69,38.3%,13,75.3%,93,28%,91,18%,70,20%,91,59%
Andrea Bargnani,23.0,TOR,Big,2418,58,51.3%,26,46.7%,72,41.3%,91,83.1%,13,77%,18,69%,48,70%,88,97%
Matt Barnes,28.6,PHX,Wing,2051,61,51.5%,86,50.9%,30,34.7%,22,74.3%,30,71%,31,61%,54,48%,66,92%
Brent Barry,36.8,HOU,Wing,798,83,53.5%,88,51.3%,40,36.1%,0,95.0%,4,89%,13,70%,15,70%,36,98%
Brandon Bass,23.5,DAL,Big,1501,56,51.0%,59,51.0%,0,0.0%,98,86.9%,35,70%,21,69%,44,71%,0,0%
Maceo Baston,32.4,IND,Big,201,79,55.6%,80,55.6%,0,0.0%,27,63.0%,40,68%,34,65%,28,80%,0,0%
Tony Battie,32.7,ORL,Big,1159,51,50.2%,53,50.2%,0,33.3%,34,65.4%,30,71%,61,59%,30,79%,68,100%
Shane Battier,30.1,HOU,Wing,2022,91,54.8%,51,46.8%,66,39.1%,62,82.1%,11,83%,29,62%,61,43%,31,99%
Nicolas Batum,19.9,POR,Wing,1407,75,52.6%,88,51.4%,38,36.0%,58,82.0%,19,78%,24,64%,16,68%,34,98%
Jerryd Bayless,20.2,POR,Combo,560,2,38.1%,12,37.6%,0,26.9%,87,87.3%,47,44%,28,42%,81,17%,5,100%
Michael Beasley,19.8,MIA,Big,1976,38,48.9%,32,47.6%,84,42.5%,72,77.2%,78,58%,93,45%,60,62%,95,90%
Marco Belinelli,22.6,GSW,Wing,849,82,53.4%,46,46.3%,91,42.3%,30,76.9%,62,61%,54,51%,71,39%,74,87%
Charlie Bell,29.6,MIL,Wing,1731,47,49.5%,38,45.5%,44,36.6%,53,81.6%,47,66%,33,60%,46,50%,79,84%
Raja Bell,32.1,CHA,Wing,1600,57,51.1%,47,46.5%,75,39.9%,91,87.3%,15,81%,21,65%,11,77%,54,94%
Raja Bell,32.1,PHX,Wing,711,96,55.7%,9,38.6%,98,47.3%,0,76.2%,10,83%,55,50%,10,77%,58,93%
Mike Bibby,30.5,ATL,Point,2731,76,51.9%,63,46.8%,68,39.4%,39,78.9%,9,62%,37,29%,13,45%,9,96%
Andris Biedrins,22.6,GSW,Big,1860,91,57.8%,91,57.9%,0,0.0%,10,55.6%,59,64%,29,66%,97,35%,0,0%
Chauncey Billups,32.1,DEN,Combo,2706,79,50.7%,33,42.7%,89,41.3%,97,91.3%,88,31%,88,19%,86,14%,93,54%
Steve Blake,28.7,POR,Point,2182,89,54.0%,41,42.8%,89,43.5%,77,85.7%,2,67%,22,39%,15,43%,20,91%
Andray Blatche,22.2,WAS,Big,1679,31,47.9%,36,48.1%,19,27.8%,49,69.6%,95,50%,77,54%,91,45%,99,60%
Mark Blount,32.9,MIA,Big,176,30,47.8%,7,39.5%,75,41.7%,0,58.3%,34,70%,84,50%,77,54%,68,100%
Keith Bogans,28.5,MIL,Wing,448,29,47.8%,19,41.5%,26,34.1%,100,96.8%,17,78%,67,47%,27,60%,3,100%
Keith Bogans,28.5,ORL,Wing,758,49,49.7%,28,43.8%,31,34.7%,0,87.5%,8,84%,36,60%,100,0%,37,98%
Andrew Bogut,23.9,MIL,Big,1121,89,57.7%,91,57.7%,0,0.0%,12,57.1%,80,57%,40,64%,92,43%,0,0%
Matt Bonner,28.6,SAS,Big,1912,95,60.5%,78,55.1%,88,43.9%,0,72.7%,5,82%,89,49%,37,75%,68,100%
Josh Boone,23.9,BKN,Big,967,68,53.1%,70,53.1%,0,0.0%,2,37.3%,24,73%,16,70%,7,94%,0,0%
Carlos Boozer,26.9,UTA,Big,1187,42,49.3%,43,49.3%,0,0.0%,54,70.8%,60,63%,42,63%,57,64%,0,0%
Chris Bosh,24.6,TOR,Big,2920,41,49.2%,46,49.6%,16,26.1%,88,81.8%,92,53%,78,53%,81,51%,97,83%
Bruce Bowen,37.4,SAS,Wing,1447,90,54.3%,18,41.5%,93,44.0%,0,53.8%,2,91%,6,76%,4,82%,3,100%
Ryan Bowen,33.0,NOP,Forward,191,86,55.2%,93,55.2%,0,0.0%,0,60.0%,2,94%,4,92%,0,100%,0,0%
Elton Brand,29.6,PHI,Big,918,19,44.7%,19,44.7%,0,0.0%,39,67.6%,70,61%,46,62%,63,60%,0,0%
Corey Brewer,22.7,MIN,Wing,305,12,44.4%,14,41.0%,0,41.7%,0,73.7%,39,68%,55,50%,9,79%,3,100%
Ronnie Brewer,23.6,UTA,Wing,2575,80,53.1%,95,54.1%,7,28.6%,8,70.4%,27,74%,15,70%,8,80%,3,100%
Aaron Brooks,23.8,HOU,Combo,1958,60,48.6%,30,42.5%,67,38.3%,84,86.6%,74,37%,84,22%,77,19%,86,66%
Bobby Brown,24.1,MIN,Combo,201,14,41.1%,2,35.8%,36,33.3%,0,75.0%,100,25%,95,0%,93,0%,67,78%
Bobby Brown,24.1,SAC,Point,561,30,45.4%,19,38.9%,62,37.2%,0,70.0%,48,39%,65,20%,41,28%,78,62%
Dee Brown,24.2,WAS,Point,222,48,47.5%,70,47.6%,23,31.6%,0,33.3%,17,56%,17,40%,0,0%,44,83%
Devin Brown,29.8,NOP,Combo,820,12,39.5%,16,38.6%,14,27.7%,23,77.8%,28,52%,14,48%,56,25%,21,96%
Kwame Brown,26.6,DET,Big,987,65,52.8%,68,52.8%,0,0.0%,7,52.6%,23,73%,11,72%,34,76%,0,0%
Shannon Brown,22.9,CHA,Wing,301,32,48.2%,65,48.2%,16,32.0%,0,76.0%,63,59%,39,59%,64,42%,73,88%
Shannon Brown,22.9,LAL,Point,101,100,59.7%,56,45.8%,0,71.4%,0,87.5%,0,88%,0,75%,2,100%,4,100%
Kobe Bryant,30.2,LAL,Wing,2950,52,50.4%,77,49.7%,33,35.2%,81,85.7%,96,37%,88,37%,84,30%,96,64%
Greg Buckner,32.1,MEM,Wing,851,9,42.4%,26,43.4%,4,26.7%,0,80.0%,44,67%,38,59%,30,58%,3,100%
Caron Butler,28.6,WAS,Wing,2578,40,49.0%,68,48.7%,21,33.2%,84,85.8%,91,41%,54,51%,81,31%,99,44%
Rasual Butler,29.4,NOP,Wing,2606,72,52.4%,52,47.0%,70,39.3%,36,78.2%,18,78%,10,72%,22,65%,62,93%
Andrew Bynum,21.0,LAL,Big,1430,80,55.7%,80,55.7%,0,0.0%,50,70.0%,62,63%,16,70%,82,50%,0,0%
Will Bynum,25.8,DET,Point,747,46,47.5%,74,48.0%,0,23.1%,48,80.0%,87,25%,78,15%,37,32%,4,100%
Jose Calderon,27.1,TOR,Point,2327,93,56.3%,100,54.0%,74,41.0%,100,98.1%,57,36%,85,14%,56,22%,31,88%
Marcus Camby,34.6,LAC,Big,1923,59,51.4%,60,51.4%,0,33.3%,60,72.5%,43,68%,54,60%,24,83%,68,100%
Brian Cardinal,31.5,MIN,Forward,834,43,49.1%,46,46.6%,30,33.7%,0,91.3%,5,86%,82,46%,7,90%,11,100%
Rodney Carney,24.6,MIN,Wing,1099,71,52.3%,79,50.0%,39,36.1%,33,77.0%,13,82%,21,64%,13,74%,32,99%
Matt Carroll,28.2,CHA,Wing,450,22,46.5%,54,47.1%,10,30.0%,0,77.8%,14,81%,55,50%,5,82%,3,100%
Anthony Carter,33.4,DEN,Point,1722,43,47.0%,81,49.1%,6,26.0%,11,73.1%,4,65%,6,54%,6,67%,13,95%
Vince Carter,31.8,BKN,Wing,2931,46,49.4%,41,45.9%,64,38.9%,57,82.0%,92,41%,100,25%,83,31%,88,79%
Mario Chalmers,22.5,MIA,Point,2621,70,51.2%,59,46.6%,66,37.7%,25,76.6%,24,49%,80,15%,46,26%,26,89%
Tyson Chandler,26.1,NOP,Big,1442,87,56.5%,87,56.5%,0,0.0%,13,57.9%,27,72%,10,73%,77,54%,0,0%
