Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
LaMarcus Aldridge,25.3,POR,Big,258,0,+31.6%,1,+22.7%,5,+14.0%,0,+46.8%,0,+28.9%,8,+28.6%,1,+38.0%,0,+33.7%
Ray Allen,35.3,BOS,Wing,360,97,-7.6%,74,-5.9%,88,-10.9%,46,+1.3%,81,-4.7%,93,-25.4%,34,+3.3%,84,-7.2%
Tony Allen,28.8,MEM,Combo,348,36,+1.4%,23,+6.1%,11,+12.0%,87,-6.7%,36,+1.8%,17,+15.9%,87,-9.7%,64,-3.0%
Ryan Anderson,22.5,ORL,Big,145,10,+6.8%,66,-4.9%,24,+6.1%,12,+8.0%,10,+6.8%,37,+5.1%,12,+10.7%,12,+9.4%
Carmelo Anthony,26.4,NYK,Wing,155,32,+2.3%,0,+29.2%,55,-1.6%,84,-6.5%,80,-4.7%,81,-12.8%,83,-8.9%,89,-9.5%
Joel Anthony,28.2,MIA,Big,572,88,-5.4%,84,-8.2%,50,-0.7%,83,-6.1%,74,-3.7%,74,-8.4%,47,-0.3%,63,-2.5%
Trevor Ariza,25.3,NOH,Wing,240,13,+5.2%,21,+7.0%,14,+10.9%,98,-14.4%,64,-1.8%,97,-38.1%,2,+23.3%,9,+11.0%
Darrell Arthur,22.6,MEM,Big,197,39,+0.8%,78,-6.7%,85,-10.0%,13,+7.6%,62,-1.7%,71,-7.5%,9,+11.6%,24,+6.3%
Omer Asik,24.3,CHI,Big,136,83,-4.3%,81,-6.9%,87,-10.3%,27,+4.8%,55,-0.9%,95,-29.7%,50,-0.7%,71,-4.3%
J.J. Barea,26.3,DAL,Combo,384,20,+3.9%,42,+2.1%,38,+3.0%,48,+0.5%,38,+1.7%,39,+4.8%,36,+2.9%,36,+3.5%
Matt Barnes,30.6,LAL,Wing,125,79,-3.9%,83,-7.9%,48,+0.3%,45,+1.4%,48,-0.1%,57,-1.0%,69,-4.3%,67,-3.3%
Brandon Bass,25.5,ORL,Big,138,67,-2.5%,19,+7.5%,53,-0.9%,63,-2.0%,61,-1.7%,85,-17.9%,79,-7.6%,90,-9.7%
Shane Battier,32.1,MEM,Forward,337,43,+0.7%,74,-5.8%,67,-5.0%,26,+4.8%,45,+0.3%,83,-13.8%,7,+14.3%,26,+6.2%
Nicolas Batum,21.9,POR,Forward,150,60,-1.7%,85,-8.4%,54,-1.2%,79,-4.7%,66,-2.2%,67,-6.5%,12,+9.9%,38,+3.0%
Marco Belinelli,24.6,NOH,Wing,171,45,+0.7%,20,+7.4%,98,-18.5%,21,+5.8%,98,-7.9%,22,+12.9%,15,+9.2%,12,+9.9%
Mike Bibby,32.5,MIA,Point,413,40,+0.8%,80,-6.8%,23,+6.3%,62,-1.9%,34,+1.9%,29,+9.7%,20,+7.6%,18,+8.2%
Steve Blake,30.7,LAL,Point,144,58,-1.2%,56,-2.0%,9,+13.0%,67,-2.6%,17,+4.5%,69,-7.1%,82,-8.1%,85,-7.5%
Keith Bogans,30.5,CHI,Wing,307,44,+0.7%,50,-0.4%,7,+13.9%,57,-1.2%,20,+4.1%,84,-15.3%,48,-0.4%,73,-4.6%
Matt Bonner,30.6,SAS,Big,122,3,+8.3%,18,+7.6%,31,+4.8%,44,+1.8%,25,+3.5%,77,-11.1%,0,+42.2%,2,+19.4%
Carlos Boozer,28.9,CHI,Big,506,33,+2.2%,5,+13.8%,19,+9.3%,65,-2.2%,33,+1.9%,86,-18.5%,89,-10.1%,93,-12.7%
Chris Bosh,26.6,MIA,Big,831,66,-2.5%,34,+4.0%,49,+0.1%,80,-5.6%,68,-3.0%,68,-6.8%,60,-2.6%,70,-3.8%
Elton Brand,31.6,PHI,Big,183,30,+3.0%,52,-0.9%,10,+12.1%,59,-1.4%,27,+3.1%,13,+20.3%,52,-1.3%,27,+5.3%
Ronnie Brewer,25.6,CHI,Forward,247,76,-3.5%,88,-9.4%,92,-13.2%,17,+6.9%,47,-0.0%,76,-9.9%,54,-1.5%,60,-1.6%
Shannon Brown,24.9,LAL,Wing,158,7,+7.6%,32,+4.4%,2,+17.1%,49,+0.5%,6,+8.1%,42,+3.9%,22,+6.9%,25,+6.3%
Kobe Bryant,32.2,LAL,Wing,353,50,-0.3%,45,+1.7%,84,-9.9%,23,+5.2%,58,-1.3%,38,+5.0%,64,-3.4%,55,-0.8%
Andrew Bynum,23.0,LAL,Big,318,53,-0.5%,72,-5.6%,47,+0.3%,54,-0.5%,51,-0.3%,65,-5.7%,21,+7.1%,43,+2.0%
Marcus Camby,36.6,POR,Big,166,74,-3.3%,46,+1.3%,44,+1.3%,73,-3.8%,60,-1.5%,80,-12.7%,72,-5.4%,82,-6.6%
Mario Chalmers,24.5,MIA,Point,502,47,+0.3%,13,+9.2%,83,-9.9%,45,+1.5%,75,-3.8%,79,-12.5%,60,-2.8%,76,-5.4%
Tyson Chandler,28.1,DAL,Big,678,63,-2.1%,79,-6.8%,52,-0.9%,25,+4.8%,32,+1.9%,60,-1.4%,40,+1.3%,47,+0.5%
Wilson Chandler,23.5,DEN,Wing,114,81,-4.1%,94,-13.4%,56,-2.9%,89,-8.8%,93,-6.4%,40,+4.8%,45,+0.7%,44,+1.8%
Jason Collins,31.9,ATL,Big,157,90,-5.8%,62,-3.2%,32,+4.7%,76,-4.5%,54,-0.4%,48,+2.5%,88,-9.9%,80,-6.5%
Darren Collison,23.2,IND,Point,145,61,-1.8%,91,-11.5%,17,+9.5%,41,+2.2%,23,+3.8%,74,-8.8%,67,-4.0%,72,-4.4%
Nick Collison,30.0,OKC,Big,411,69,-2.7%,35,+3.7%,55,-2.2%,88,-8.7%,88,-5.8%,90,-21.2%,31,+4.3%,64,-2.5%
