Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,26.0,DEN,Wing,2077,87,53.2%,78,65%,53,35%,81,43%,66,39%,76,44%,63,36%,81,40%
Solomon Alabi,23.6,TOR,Big,105,1,32.1%,8,50%,0,0%,13,17%,1,8%,0,0%,0,0%,0,0%
LaMarcus Aldridge,26.3,POR,Big,1987,66,51.6%,83,67%,91,49%,73,42%,89,45%,0,0%,0,67%,0,29%
Lavoy Allen,22.7,PHI,Big,569,35,47.4%,79,67%,97,53%,41,34%,72,42%,0,0%,0,0%,0,0%
Ray Allen,36.3,BOS,Wing,1558,97,56.4%,66,63%,62,38%,57,39%,58,39%,94,49%,94,43%,98,45%
Tony Allen,29.8,MEM,Wing,1523,52,47.8%,28,56%,58,37%,27,33%,38,35%,71,41%,0,11%,24,31%
Al-Farouq Aminu,21.1,NOP,Forward,1436,19,42.3%,19,53%,40,32%,25,32%,31,32%,3,18%,37,31%,15,26%
Lou Amundson,28.9,IND,Big,650,12,41.9%,8,50%,14,26%,48,36%,12,28%,0,0%,0,0%,0,0%
Chris Andersen,33.3,DEN,Big,481,82,54.2%,57,63%,80,44%,20,25%,25,31%,0,0%,0,0%,0,0%
Alan Anderson,29.0,TOR,Wing,450,45,47.2%,73,64%,7,16%,43,35%,12,29%,71,41%,75,39%,79,39%
James Anderson,22.6,SAS,Wing,512,21,44.9%,76,64%,29,29%,1,8%,2,16%,46,38%,8,23%,26,31%
Ryan Anderson,23.5,ORL,Big,1956,83,54.9%,31,57%,17,26%,35,33%,20,30%,83,44%,79,38%,86,40%
Carmelo Anthony,27.4,NYK,Forward,1871,44,46.5%,33,58%,52,35%,60,38%,58,37%,29,29%,54,35%,54,34%
Joel Anthony,29.2,MIA,Big,1342,87,55.9%,80,67%,52,37%,4,0%,46,36%,0,0%,0,0%,0,0%
Gilbert Arenas,29.8,MEM,Point,210,83,51.6%,81,60%,11,25%,97,56%,94,50%,0,100%,35,32%,48,34%
Trevor Ariza,26.3,NOP,Wing,1346,27,45.5%,31,56%,21,26%,35,34%,24,31%,70,41%,19,28%,42,34%
Omer Asik,25.3,CHI,Big,874,37,48.1%,15,50%,25,30%,4,0%,8,25%,0,0%,0,0%,0,0%
D.J. Augustin,24.0,CHA,Point,1404,31,43.4%,22,47%,2,22%,64,41%,28,32%,36,36%,43,33%,44,34%
Gustavo Ayon,26.6,NOP,Big,1042,79,53.6%,59,63%,58,38%,48,36%,50,37%,0,0%,0,0%,0,0%
Luke Babbitt,22.4,POR,Forward,468,85,54.4%,81,67%,63,38%,6,16%,15,28%,97,53%,91,42%,95,44%
Leandro Barbosa,28.9,IND,Wing,413,37,46.6%,47,59%,9,18%,3,21%,3,20%,89,47%,83,40%,91,42%
Leandro Barbosa,28.9,TOR,Combo,925,62,48.1%,67,59%,80,42%,18,34%,38,37%,34,34%,78,39%,62,37%
J.J. Barea,27.3,MIN,Point,1022,56,47.1%,56,55%,27,30%,16,28%,17,29%,61,42%,80,38%,79,39%
Andrea Bargnani,26.0,TOR,Forward,1030,50,47.1%,38,59%,88,42%,83,44%,88,43%,0,0%,31,31%,38,30%
Matt Barnes,31.6,LAL,Wing,1429,81,52.0%,49,59%,27,28%,91,45%,42,36%,36,36%,49,33%,49,35%
Brandon Bass,26.5,BOS,Big,1850,36,47.9%,16,51%,63,39%,92,49%,94,47%,0,0%,0,0%,0,0%
Tony Battie,35.7,PHI,Big,286,3,36.7%,100,86%,6,13%,62,40%,16,29%,0,0%,0,0%,0,0%
Shane Battier,33.1,MIA,Wing,1451,59,48.8%,15,52%,65,38%,100,54%,82,42%,48,39%,14,27%,41,34%
Nicolas Batum,22.9,POR,Wing,1747,90,54.1%,75,64%,16,23%,31,34%,20,30%,44,37%,90,42%,82,40%
Jerryd Bayless,23.2,TOR,Combo,684,82,50.7%,38,53%,93,47%,38,37%,51,39%,100,56%,81,40%,90,43%
Michael Beasley,22.8,MIN,Forward,1043,60,48.5%,46,60%,54,36%,79,43%,79,39%,85,45%,80,40%,90,42%
Rodrigue Beaubois,23.7,DAL,Combo,1069,60,48.1%,80,61%,71,39%,44,38%,49,39%,66,43%,25,29%,28,32%
Marco Belinelli,25.6,NOP,Combo,1944,69,49.6%,62,59%,42,32%,49,39%,47,38%,52,40%,72,38%,74,39%
Raja Bell,35.1,UTA,Wing,794,97,56.4%,100,84%,95,50%,64,41%,82,42%,79,44%,65,36%,76,39%
Mike Bibby,33.5,NYK,Point,522,17,40.2%,2,25%,0,0%,11,24%,3,22%,89,50%,12,26%,33,32%
Andris Biedrins,25.6,GSW,Big,737,96,60.9%,95,73%,64,39%,0,0%,58,39%,0,0%,0,0%,0,0%
Chauncey Billups,35.1,LAC,Combo,605,47,47.1%,9,38%,9,18%,33,37%,20,32%,38,35%,81,40%,79,39%
Bismack Biyombo,19.2,CHA,Big,1377,34,47.3%,43,59%,32,33%,14,20%,22,31%,0,0%,0,0%,0,0%
DeJuan Blair,22.5,SAS,Big,1319,78,53.5%,54,63%,70,40%,62,40%,66,40%,0,0%,0,0%,0,0%
Steve Blake,31.7,LAL,Point,1234,75,49.4%,31,50%,6,24%,89,48%,73,42%,43,38%,47,34%,58,36%
Andray Blatche,25.2,WAS,Big,623,5,38.5%,27,56%,21,28%,32,31%,19,30%,0,0%,0,40%,0,33%
Eric Bledsoe,21.9,LAC,Combo,431,24,43.2%,73,60%,13,22%,9,28%,4,26%,7,24%,0,17%,3,21%
Andrew Bogut,26.9,MIL,Big,363,25,45.2%,85,68%,17,26%,83,45%,14,29%,0,0%,0,0%,0,0%
Matt Bonner,31.6,SAS,Big,1299,91,58.3%,66,65%,76,43%,93,50%,91,46%,92,45%,89,40%,91,41%
Trevor Booker,23.9,WAS,Big,1243,74,53.2%,88,70%,48,36%,57,38%,52,37%,0,0%,0,0%,0,0%
Carlos Boozer,29.9,CHI,Big,1946,73,53.2%,81,67%,91,48%,81,45%,92,46%,0,0%,0,0%,0,0%
Chris Bosh,27.6,MIA,Big,1977,52,49.7%,70,65%,64,39%,75,43%,71,41%,33,31%,26,28%,41,29%
Earl Boykins,35.4,HOU,Point,110,2,35.3%,0,0%,98,60%,20,30%,42,36%,0,0%,0,25%,0,22%
Avery Bradley,20.9,BOS,Combo,1300,98,52.4%,91,64%,20,25%,58,40%,44,37%,97,56%,0,14%,95,44%
Elton Brand,32.6,PHI,Big,1728,48,49.5%,63,64%,89,47%,83,45%,93,46%,0,0%,0,0%,0,0%
Corey Brewer,25.7,DEN,Wing,1245,53,48.0%,55,60%,34,30%,45,36%,28,32%,15,29%,2,19%,8,26%
Ronnie Brewer,26.6,CHI,Wing,1585,22,45.1%,41,57%,22,26%,41,35%,32,34%,20,33%,0,21%,22,31%
Jon Brockman,24.6,MIL,Big,169,0,28.1%,1,35%,0,0%,17,22%,4,17%,0,0%,0,0%,0,0%
