Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
LaMarcus Aldridge,29.3,POR,Big,208,0,34.4%,37,40%,51,24%,79,27%,77,51%,70,2%,70,7%,70,9%
Tony Allen,32.8,MEM,Wing,278,54,50.0%,100,70%,9,7%,23,12%,14,18%,40,10%,0,2%,3,12%
Al-Farouq Aminu,24.1,DAL,Forward,148,100,66.1%,78,50%,78,21%,0,0%,33,21%,78,18%,22,11%,22,29%
Alan Anderson,32.0,BKN,Wing,141,100,74.4%,49,26%,49,13%,74,23%,60,36%,83,18%,31,21%,54,38%
Giannis Antetokounmpo,19.9,MIL,Forward,200,22,36.6%,89,51%,89,23%,89,25%,89,48%,0,0%,0,1%,0,1%
Pero Antic,32.3,ATL,Big,195,21,43.0%,19,33%,0,2%,37,5%,5,7%,98,15%,98,45%,98,60%
Trevor Ariza,29.3,HOU,Forward,653,67,52.8%,56,31%,11,4%,33,12%,22,16%,56,16%,89,36%,78,52%
Leandro Barbosa,31.9,GSW,Combo,217,56,49.4%,100,48%,39,17%,22,12%,28,29%,56,8%,17,15%,17,23%
J.J. Barea,30.3,DAL,Combo,152,50,48.2%,72,34%,78,29%,0,10%,56,40%,11,2%,44,24%,33,26%
Harrison Barnes,22.4,GSW,Forward,678,44,49.2%,44,30%,67,21%,67,19%,78,40%,67,18%,33,11%,33,29%
Matt Barnes,34.6,LAC,Wing,404,29,46.0%,77,37%,6,3%,0,4%,0,7%,97,27%,63,29%,80,57%
Nicolas Batum,25.9,POR,Wing,208,14,43.6%,23,16%,57,14%,40,15%,51,29%,34,10%,89,45%,77,55%
Jerryd Bayless,26.2,MIL,Combo,108,0,35.9%,56,32%,61,21%,94,37%,89,58%,33,5%,6,5%,11,11%
Kent Bazemore,25.3,ATL,Wing,299,40,46.4%,91,49%,37,11%,6,5%,9,16%,89,22%,9,13%,40,34%
Bradley Beal,21.3,WAS,Wing,416,34,46.3%,60,31%,46,12%,83,27%,74,40%,26,9%,29,20%,23,29%
Marco Belinelli,28.6,SAS,Combo,108,100,72.1%,6,11%,0,3%,6,11%,0,13%,83,13%,100,63%,100,76%
Bojan Bogdanovic,25.5,BKN,Forward,205,33,48.3%,22,20%,44,10%,56,16%,56,26%,89,25%,67,30%,89,54%
Andrew Bogut,29.9,GSW,Big,438,74,56.0%,81,72%,53,24%,26,3%,30,27%,0,0%,56,1%,51,1%
Avery Bradley,23.9,BOS,Combo,132,22,43.0%,44,23%,17,11%,89,30%,61,42%,50,8%,72,28%,67,36%
Corey Brewer,28.7,HOU,Wing,417,49,47.9%,94,51%,71,18%,11,9%,46,27%,63,16%,6,6%,11,21%
Aaron Brooks,29.8,CHI,Point,120,20,40.9%,33,26%,60,18%,40,19%,47,37%,0,0%,87,37%,73,37%
Jimmy Butler,25.1,CHI,Wing,505,57,50.5%,69,33%,63,15%,66,22%,66,37%,29,9%,34,21%,29,30%
Nick Calathes,25.7,MEM,Combo,117,17,41.2%,50,31%,67,23%,17,11%,33,34%,67,9%,61,26%,56,34%
Clint Capela,20.5,HOU,Big,108,95,70.0%,98,94%,5,6%,0,0%,2,6%,0,0%,0,0%,0,0%
DeMarre Carroll,28.3,ATL,Wing,556,86,57.4%,80,39%,69,17%,9,7%,29,24%,49,10%,54,27%,49,37%
Vince Carter,37.8,MEM,Wing,193,31,46.2%,71,34%,51,13%,26,12%,37,25%,23,7%,74,34%,60,41%
Michael Carter-Williams,23.1,MIL,Point,190,40,42.9%,87,40%,100,31%,60,24%,87,55%,13,1%,7,4%,0,5%
Tyson Chandler,32.1,DAL,Big,160,88,65.5%,100,98%,2,3%,0,0%,0,3%,0,0%,0,0%,0,0%
Norris Cole,26.1,NOP,Point,105,60,45.8%,60,29%,20,13%,47,21%,20,34%,93,11%,53,26%,73,37%
Mike Conley,27.1,MEM,Point,243,80,47.9%,47,29%,73,20%,33,19%,67,39%,7,1%,80,31%,60,32%
Jamal Crawford,34.6,LAC,Wing,372,9,41.9%,17,12%,91,25%,77,24%,86,50%,20,7%,71,31%,51,38%
Jae Crowder,24.3,BOS,Forward,100,78,56.9%,100,56%,0,3%,11,9%,0,13%,11,3%,44,28%,44,31%
Stephen Curry,26.6,GSW,Point,823,93,57.0%,13,21%,13,13%,20,16%,7,29%,87,8%,93,42%,93,50%
Anthony Davis,21.6,NOP,Big,171,67,54.0%,30,35%,86,35%,84,28%,88,63%,0,0%,60,2%,56,2%
Glen Davis,28.8,LAC,Big,136,33,47.1%,70,62%,30,16%,72,22%,51,38%,0,0%,0,0%,0,0%
DeMar DeRozan,25.2,TOR,Wing,158,11,42.9%,29,18%,97,32%,100,43%,100,75%,14,5%,3,2%,0,7%
Matthew Dellavedova,24.1,CLE,Combo,486,39,45.4%,0,4%,83,30%,33,12%,72,43%,78,11%,83,42%,83,53%
Boris Diaw,32.5,SAS,Big,197,51,50.7%,21,33%,77,32%,56,11%,67,43%,67,1%,79,23%,79,24%
Jared Dudley,29.3,MIL,Forward,110,89,60.0%,11,19%,56,13%,78,23%,67,35%,44,16%,56,29%,67,45%
Tim Duncan,38.5,SAS,Big,249,79,58.9%,47,47%,98,48%,35,5%,81,52%,0,0%,53,1%,49,1%
Mike Dunleavy,34.1,CHI,Wing,388,94,64.9%,46,22%,3,2%,31,13%,6,16%,86,20%,86,42%,86,62%
Monta Ellis,29.0,DAL,Wing,196,66,51.4%,51,26%,80,20%,91,30%,89,50%,11,4%,23,20%,17,24%
Tyreke Evans,25.1,NOP,Wing,125,0,34.9%,97,58%,20,8%,29,12%,17,20%,0,0%,37,22%,14,22%
Festus Ezeli,25.0,GSW,Big,179,65,54.0%,77,71%,67,29%,0,0%,37,29%,0,0%,0,0%,0,0%
Marc Gasol,29.8,MEM,Big,413,7,39.7%,16,33%,91,37%,88,30%,95,67%,0,0%,49,0%,47,0%
Pau Gasol,34.3,CHI,Big,315,44,49.1%,14,30%,72,29%,95,38%,98,67%,74,2%,0,0%,60,2%
Taj Gibson,29.4,CHI,Big,270,37,47.2%,67,62%,26,15%,74,23%,53,38%,0,0%,0,0%,0,0%
Manu Ginobili,37.3,SAS,Wing,130,37,46.3%,66,33%,77,20%,3,4%,26,24%,57,13%,69,30%,69,43%
Drew Gooden,33.1,WAS,Big,177,42,48.3%,7,24%,12,10%,79,27%,47,37%,84,5%,93,35%,88,40%
Eric Gordon,25.9,NOP,Combo,143,83,54.8%,28,14%,33,15%,72,22%,50,37%,28,5%,94,45%,78,49%
Marcin Gortat,30.7,WAS,Big,306,86,62.8%,60,57%,70,29%,63,14%,70,43%,0,0%,0,0%,0,0%
Danny Green,27.4,SAS,Wing,203,26,44.3%,26,18%,23,8%,14,10%,11,18%,91,24%,83,40%,91,65%
Draymond Green,24.7,GSW,Big,781,33,47.1%,44,45%,37,18%,30,4%,21,22%,72,2%,91,31%,81,33%
Jeff Green,28.2,MEM,Forward,295,11,34.9%,33,30%,100,30%,89,25%,100,55%,22,4%,11,10%,11,15%
Blake Griffin,25.6,LAC,Big,556,56,51.3%,53,52%,49,23%,77,23%,74,46%,63,0%,58,2%,53,2%
James Harden,25.2,HOU,Wing,633,63,51.4%,54,27%,86,22%,63,21%,77,43%,3,1%,66,29%,34,31%
John Henson,23.8,MIL,Big,152,81,60.0%,93,84%,23,13%,19,2%,9,16%,0,0%,0,0%,0,0%
Nene Hilario,32.1,WAS,Big,256,30,44.7%,65,61%,12,10%,91,30%,58,39%,0,0%,0,0%,0,0%
Kirk Hinrich,33.8,CHI,Combo,116,61,50.0%,39,18%,44,18%,61,18%,44,35%,100,29%,22,18%,72,47%
Al Horford,28.4,ATL,Big,520,60,51.4%,28,34%,40,19%,98,43%,86,62%,77,3%,51,1%,65,4%
Dwight Howard,28.9,HOU,Big,572,77,57.7%,86,74%,56,26%,0,0%,23,26%,0,0%,0,0%,0,0%
Andre Iguodala,30.8,GSW,Wing,632,83,56.3%,63,32%,31,10%,37,15%,34,25%,80,18%,46,25%,66,43%
Ersan Ilyasova,27.5,MIL,Big,141,2,36.9%,9,26%,9,9%,86,29%,56,38%,88,6%,86,29%,86,35%
Kyrie Irving,22.6,CLE,Point,463,87,51.1%,73,32%,33,16%,53,21%,53,37%,67,5%,40,26%,47,31%
Jarrett Jack,31.0,BKN,Combo,152,89,57.5%,11,11%,89,35%,83,29%,100,64%,44,7%,28,18%,22,25%
LeBron James,29.8,CLE,Wing,843,17,43.8%,74,36%,89,25%,60,21%,83,46%,6,2%,14,16%,6,18%
Amir Johnson,27.5,TOR,Big,111,93,69.0%,74,67%,60,27%,28,3%,40,30%,0,0%,65,3%,63,3%
Joe Johnson,33.3,BKN,Wing,248,20,44.0%,14,11%,94,27%,71,23%,89,50%,71,16%,40,23%,57,39%
James Jones,34.1,CLE,Forward,290,56,49.3%,0,0%,22,5%,22,11%,11,16%,100,35%,100,49%,100,84%
Terrence Jones,22.8,HOU,Big,396,23,43.8%,51,51%,79,33%,42,6%,60,39%,65,1%,72,9%,72,10%
DeAndre Jordan,26.3,LAC,Big,481,98,71.6%,95,91%,7,7%,16,2%,7,9%,0,0%,0,0%,0,0%
Kyle Korver,33.6,ATL,Wing,524,74,53.8%,0,3%,0,1%,34,14%,3,15%,74,16%,100,66%,100,82%
Kosta Koufos,25.7,MEM,Big,127,70,54.8%,42,44%,100,56%,0,0%,84,56%,0,0%,0,0%,0,0%
Courtney Lee,29.1,MEM,Wing,366,91,62.0%,31,19%,74,19%,97,33%,94,52%,37,10%,20,19%,20,29%
David Lee,31.5,GSW,Big,102,14,41.0%,79,71%,47,22%,44,7%,35,29%,0,0%,0,0%,0,0%
Kawhi Leonard,23.3,SAS,Wing,249,69,51.9%,37,21%,100,34%,80,25%,97,59%,17,5%,11,16%,9,21%
Meyers Leonard,22.7,POR,Big,103,100,100.0%,2,16%,16,11%,51,11%,16,21%,93,11%,100,53%,100,63%
Damian Lillard,24.3,POR,Combo,200,28,43.7%,83,44%,11,9%,67,19%,17,28%,22,3%,61,26%,39,29%
