Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,22.3,OKC,Big,546,29,1.4%,39,0.7%,68,3.6%,76,11.1%,71,19.7%,79,6.1%,39,22.7%
LaMarcus Aldridge,30.3,SAS,Big,336,61,2.2%,26,0.6%,92,2.4%,42,7.3%,45,16.6%,0,0.0%,79,44.4%
Al-Farouq Aminu,25.1,POR,Forward,370,89,1.4%,11,0.9%,56,3.2%,83,5.4%,83,17.5%,83,4.2%,67,22.6%
Kyle Anderson,22.1,SAS,Forward,100,94,1.5%,83,2.3%,78,2.3%,11,2.2%,78,16.8%,0,0.0%,72,25.0%
Trevor Ariza,30.3,HOU,Forward,180,17,0.3%,100,3.0%,61,3.0%,33,3.1%,0,8.0%,89,4.8%,11,7.1%
Leandro Barbosa,32.9,GSW,Wing,212,28,0.2%,69,1.9%,10,4.8%,97,4.9%,10,6.9%,0,0.0%,0,0.0%
J.J. Barea,31.3,DAL,Point,100,0,0.0%,0,0.0%,50,3.3%,0,0.0%,38,7.2%,0,0.0%,0,0.0%
Harrison Barnes,23.4,GSW,Forward,720,11,0.3%,17,1.1%,67,2.7%,50,3.5%,17,9.9%,78,2.8%,33,13.0%
Matt Barnes,35.6,MEM,Forward,138,22,0.4%,44,1.3%,28,3.6%,39,3.4%,89,17.8%,0,0.0%,94,42.9%
Nicolas Batum,26.9,CHA,Wing,143,0,0.0%,3,0.7%,93,2.0%,34,1.4%,72,11.8%,0,0.0%,83,25.0%
Kent Bazemore,26.3,ATL,Wing,324,79,0.9%,72,2.1%,97,1.9%,72,2.5%,97,15.2%,0,0.0%,97,37.5%
Patrick Beverley,27.3,HOU,Point,128,88,0.8%,19,0.6%,6,5.4%,81,2.7%,100,14.0%,0,0.0%,0,0.0%
Bismack Biyombo,23.2,TOR,Big,504,79,3.0%,45,0.7%,58,3.7%,74,11.0%,89,26.8%,0,0.0%,89,54.2%
Andrew Bogut,30.9,GSW,Big,364,95,4.6%,95,1.7%,0,7.8%,82,12.7%,55,17.4%,0,0.0%,32,18.2%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,0,0.0%,79,2.2%,90,2.2%,38,1.5%,48,9.9%,0,0.0%,0,0.0%
DeMarre Carroll,29.3,TOR,Forward,595,33,0.6%,56,1.4%,17,4.7%,61,4.1%,33,11.1%,0,0.0%,0,0.0%
Ian Clark,24.7,GSW,Combo,109,0,0.0%,92,2.9%,0,6.6%,8,1.0%,23,7.6%,0,0.0%,0,0.0%
Allen Crabbe,23.6,POR,Wing,298,21,0.2%,21,1.0%,59,3.1%,41,1.6%,14,7.2%,0,0.0%,83,25.0%
Jamal Crawford,35.6,LAC,Wing,197,0,0.0%,83,2.2%,100,1.8%,24,1.1%,0,5.6%,0,0.0%,0,0.0%
Jae Crowder,25.3,BOS,Forward,195,61,0.8%,78,2.0%,50,3.3%,17,2.3%,72,15.9%,0,0.0%,72,25.0%
Stephen Curry,27.6,GSW,Point,612,75,0.4%,75,1.8%,75,2.6%,50,2.3%,94,13.5%,0,0.0%,56,2.2%
Ed Davis,26.4,POR,Big,204,42,1.7%,16,0.4%,16,6.3%,84,13.0%,84,24.5%,0,0.0%,16,12.5%
DeMar DeRozan,26.2,TOR,Wing,745,24,0.2%,45,1.4%,76,2.7%,59,1.8%,66,10.6%,0,0.0%,52,6.5%
Matthew Dellavedova,25.1,CLE,Point,218,38,0.3%,6,0.2%,0,6.3%,38,1.5%,6,4.9%,100,7.1%,69,5.0%
Luol Deng,30.5,MIA,Forward,492,72,1.0%,39,1.2%,89,2.1%,67,4.4%,39,12.1%,0,0.0%,44,17.2%
Boris Diaw,33.5,SAS,Big,138,34,1.6%,34,0.7%,89,2.6%,0,1.5%,3,10.8%,0,0.0%,0,0.0%
Goran Dragic,29.5,MIA,Point,470,50,0.3%,13,0.6%,25,4.2%,75,2.6%,88,11.7%,0,0.0%,94,16.7%
Andre Drummond,22.2,DET,Big,131,74,2.5%,13,0.4%,79,3.0%,79,11.4%,61,18.5%,0,0.0%,82,50.0%
Tim Duncan,39.5,SAS,Big,216,84,3.2%,18,0.4%,53,3.7%,32,5.2%,50,17.0%,0,0.0%,0,0.0%
Kevin Durant,27.1,OKC,Forward,723,78,1.2%,22,1.1%,94,1.9%,6,1.9%,61,14.9%,0,0.0%,83,25.7%
Monta Ellis,30.0,IND,Combo,225,0,0.0%,100,3.2%,54,3.4%,46,2.1%,69,9.9%,0,0.0%,0,0.0%
Festus Ezeli,26.0,GSW,Big,187,39,1.7%,0,0.2%,13,6.8%,87,13.4%,47,16.9%,0,0.0%,66,35.3%
Jordan Farmar,28.9,MEM,Point,100,0,0.0%,56,1.3%,100,1.3%,0,0.0%,19,6.2%,0,0.0%,0,0.0%
Raymond Felton,31.3,DAL,Combo,160,0,0.0%,62,1.8%,46,3.5%,15,1.4%,85,11.1%,0,0.0%,85,12.5%
Randy Foye,32.1,OKC,Combo,148,77,0.7%,0,0.6%,62,3.3%,23,1.5%,46,8.0%,0,0.0%,0,0.0%
Channing Frye,32.5,CLE,Big,227,66,2.3%,68,1.3%,5,7.1%,11,2.1%,26,14.6%,87,6.7%,45,23.5%
Paul George,25.5,IND,Forward,274,67,1.0%,89,2.5%,33,3.5%,56,4.0%,56,14.9%,0,0.0%,17,7.7%
Manu Ginobili,38.3,SAS,Wing,190,76,0.8%,66,1.9%,3,6.0%,76,2.9%,62,10.6%,97,8.3%,62,12.5%
Danny Green,28.4,SAS,Wing,263,93,1.6%,100,3.6%,41,3.6%,0,0.0%,76,11.9%,0,0.0%,0,0.0%
Draymond Green,25.7,GSW,Big,876,68,2.3%,97,1.9%,55,3.7%,24,4.1%,58,17.5%,89,7.1%,71,38.8%
Jeff Green,29.2,LAC,Forward,154,39,0.7%,61,1.4%,44,3.4%,0,1.3%,22,10.1%,94,6.3%,0,0.0%
Blake Griffin,26.6,LAC,Big,126,11,0.8%,63,1.1%,84,2.8%,21,4.1%,53,17.1%,95,11.1%,95,60.0%
James Harden,26.2,HOU,Combo,192,54,0.3%,85,2.6%,85,2.2%,85,2.9%,62,9.8%,100,4.3%,92,18.8%
Maurice Harkless,22.5,POR,Forward,270,28,0.6%,67,1.6%,0,5.4%,100,7.3%,11,8.7%,0,0.0%,89,41.7%
Devin Harris,32.7,DAL,Wing,117,0,0.0%,31,1.2%,0,6.3%,17,0.9%,83,13.3%,0,0.0%,0,0.0%
Tobias Harris,23.3,DET,Big,156,24,1.1%,55,1.0%,76,3.2%,16,4.0%,74,19.9%,92,9.1%,74,40.0%
Gerald Henderson,27.9,POR,Wing,233,66,0.7%,28,1.1%,31,3.8%,69,2.5%,79,12.4%,0,0.0%,55,7.7%
George Hill,29.5,IND,Point,234,25,0.2%,50,1.2%,63,2.9%,88,3.2%,0,4.9%,0,0.0%,81,8.3%
Solomon Hill,24.6,IND,Forward,195,0,0.0%,0,0.5%,22,4.6%,22,2.9%,28,11.1%,0,0.0%,22,12.5%
Al Horford,29.4,ATL,Big,326,89,3.8%,92,1.7%,87,2.8%,26,4.1%,18,13.4%,0,0.0%,68,37.5%
Dwight Howard,29.9,HOU,Big,176,58,2.1%,50,1.0%,71,3.6%,89,13.5%,92,26.9%,0,0.0%,74,40.0%
Serge Ibaka,26.1,OKC,Big,599,55,2.1%,58,1.0%,66,3.6%,18,4.0%,24,14.0%,0,0.0%,47,24.1%
Andre Iguodala,31.8,GSW,Forward,765,50,0.7%,72,1.6%,100,1.9%,72,4.6%,6,8.4%,72,1.7%,28,12.7%
Kyrie Irving,23.6,CLE,Combo,771,85,0.9%,77,2.1%,77,2.4%,54,2.1%,0,6.7%,0,0.0%,0,0.0%
Reggie Jackson,25.5,DET,Point,147,81,0.8%,88,2.0%,44,3.4%,44,1.6%,56,8.1%,0,0.0%,0,0.0%
LeBron James,30.8,CLE,Forward,819,100,1.8%,94,2.8%,72,2.5%,89,5.7%,94,19.2%,0,0.0%,61,22.0%
Al Jefferson,30.8,CHA,Big,168,18,1.0%,66,1.2%,74,3.3%,61,8.6%,76,21.2%,0,0.0%,16,12.5%
Richard Jefferson,35.4,CLE,Forward,338,6,0.2%,50,1.4%,11,4.7%,78,4.9%,50,14.5%,0,0.0%,50,18.5%
Jonas Jerebko,28.7,BOS,Forward,162,83,1.3%,6,0.5%,39,3.4%,44,3.4%,100,19.4%,100,12.5%,39,14.3%
Amir Johnson,28.5,BOS,Big,133,82,3.1%,8,0.3%,42,4.1%,50,7.9%,79,22.9%,0,0.0%,0,0.0%
Joe Johnson,34.3,MIA,Wing,489,34,0.3%,14,0.8%,83,2.4%,48,1.7%,69,10.7%,0,0.0%,72,20.0%
DeAndre Jordan,27.3,LAC,Big,197,92,4.1%,84,1.6%,63,3.6%,100,15.0%,95,28.0%,74,3.1%,100,77.8%
Cory Joseph,24.2,TOR,Combo,437,46,0.3%,69,1.8%,8,4.6%,62,2.3%,31,7.6%,92,3.8%,0,0.0%
Frank Kaminsky,22.6,CHA,Big,184,32,1.5%,89,1.6%,45,4.0%,5,1.7%,29,14.9%,0,0.0%,0,0.0%
Enes Kanter,23.4,OKC,Big,296,53,2.0%,42,0.7%,26,5.3%,95,14.6%,68,19.6%,82,6.3%,13,10.5%
Kyle Korver,34.6,ATL,Wing,315,55,0.5%,34,1.2%,66,3.0%,7,0.6%,86,13.5%,100,10.0%,0,0.0%
Courtney Lee,30.1,CHA,Wing,256,62,0.7%,24,1.1%,52,3.3%,62,1.9%,3,6.3%,0,0.0%,55,7.7%
Kawhi Leonard,24.3,SAS,Wing,337,100,2.2%,97,3.6%,86,2.3%,93,4.4%,90,14.2%,0,0.0%,69,18.2%
Damian Lillard,25.3,POR,Point,436,56,0.4%,63,1.3%,88,2.2%,69,2.5%,63,8.3%,0,0.0%,0,0.0%
Jeremy Lin,27.2,CHA,Combo,188,0,0.0%,46,1.3%,23,4.0%,38,1.7%,8,7.1%,0,0.0%,0,0.0%
Shaun Livingston,30.1,GSW,Combo,507,62,0.5%,31,1.0%,38,3.7%,69,2.7%,77,10.1%,0,0.0%,100,20.5%
Kevin Love,27.1,CLE,Big,611,8,0.7%,37,0.7%,97,2.2%,34,5.8%,82,24.2%,74,3.1%,37,22.2%
Kyle Lowry,29.6,TOR,Point,765,31,0.2%,81,1.9%,31,4.1%,56,2.4%,75,11.5%,88,2.0%,63,2.9%
Ian Mahinmi,29.0,IND,Big,171,45,1.8%,76,1.4%,21,5.4%,55,8.3%,16,11.8%,0,0.0%,32,18.2%
Wesley Matthews,29.0,DAL,Wing,173,0,0.0%,38,1.3%,38,3.7%,66,2.3%,31,8.6%,0,0.0%,48,6.3%
CJ McCollum,24.1,POR,Combo,441,69,0.6%,23,1.0%,69,2.6%,31,1.5%,15,7.4%,0,0.0%,62,2.6%
Josh McRoberts,28.7,MIA,Big,121,50,1.9%,100,2.0%,11,7.1%,37,6.1%,34,15.0%,0,0.0%,0,0.0%
Patty Mills,27.2,SAS,Combo,160,0,0.0%,54,1.7%,100,0.9%,0,0.0%,38,7.9%,0,0.0%,77,10.0%
Paul Millsap,30.7,ATL,Big,364,87,3.2%,87,1.6%,82,2.9%,45,7.5%,37,16.0%,0,0.0%,26,15.8%
