Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Quincy Acy,25.1,SAC,Big,843,24,-5.4,-14,12,-6.2,17,-2.4%,11,+1.8%,79,+2.4%,4,-6.2,58,-0.8,36,+0.8%,85,+1.4%,24,+1.4%,59,-0.4
Steven Adams,22.3,OKC,Big,1999,92,+8.0,+17,40,-1.4,52,-0.2%,83,-1.2%,25,-1.8%,17,-3.4,98,-9.3,93,-3.1%,73,+0.8%,73,-1.2%,96,-5.4
Arron Afflalo,30.0,NYK,Wing,2354,44,-1.4,-4,68,+1.7,79,+1.8%,68,-0.6%,21,-2.4%,20,-3.0,24,+3.1,26,+1.4%,1,-3.5%,81,-1.9%,95,-5.0
Alexis Ajinca,27.5,NOP,Big,815,68,+2.4,+6,16,-4.9,37,-1.1%,23,+1.1%,39,-0.7%,12,-4.0,96,-7.3,92,-2.9%,93,+2.2%,57,-0.2%,35,+1.5
Cole Aldrich,27.0,LAC,Big,704,25,-5.0,-13,11,-6.2,24,-1.9%,3,+2.8%,62,+0.7%,4,-6.2,61,-1.2,29,+1.1%,99,+4.1%,9,+2.9%,41,+0.9
LaMarcus Aldridge,30.3,SAS,Big,2251,50,-0.3,-1,58,+0.3,27,-1.6%,85,-1.4%,70,+1.3%,63,+0.9,45,+0.6,50,+0.0%,8,-2.0%,69,-0.9%,83,-2.4
Lavoy Allen,26.7,IND,Big,1558,88,+6.8,+18,87,+4.7,69,+1.0%,32,+0.7%,99,+7.6%,36,-1.2,70,-2.1,84,-2.1%,38,-0.4%,39,+0.7%,46,+0.5
Tony Allen,33.8,MEM,Wing,1606,63,+1.7,+5,50,-0.6,45,-0.6%,38,+0.5%,92,+4.3%,19,-3.3,72,-2.4,60,-0.4%,81,+1.2%,32,+1.0%,78,-1.9
Al-Farouq Aminu,25.1,POR,Forward,2337,66,+2.1,+5,70,+1.9,73,+1.3%,55,-0.1%,33,-1.1%,67,+1.2,52,-0.2,27,+1.4%,88,+1.7%,41,+0.6%,70,-1.3
Lou Amundson,32.9,NYK,Big,171,26,-4.7,-13,4,-10.6,0,-9.0%,18,+1.4%,95,+4.9%,98,+7.7,93,-5.9,95,-3.8%,92,+2.2%,38,+0.7%,3,+6.7
Chris Andersen,37.3,MEM,Big,361,27,-4.6,-11,25,-3.5,61,+0.4%,54,-0.1%,24,-2.0%,31,-1.7,40,+1.1,15,+2.3%,92,+2.2%,6,+3.8%,99,-8.1
