Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Quincy Acy,25.1,SAC,Big,843,12,-6.2,20,-1.0,29,-0.9%,32,-4.2,66,+0.3,37,-2.5%,57,+3.3,11,-1.2,25,-2.4%,22,-9.6
Steven Adams,22.3,OKC,Big,1999,40,-1.4,59,+0.2,93,+2.6%,47,-0.5,26,-0.5,65,+2.4%,19,-14.5,75,+0.6,82,+3.3%,61,+4.0
Arron Afflalo,30.0,NYK,Wing,2354,68,+1.7,13,-1.3,12,-2.1%,19,-7.7,29,-0.4,11,-7.3%,57,+3.4,13,-1.1,27,-2.3%,13,-13.4
Alexis Ajinca,27.5,NOP,Big,815,16,-4.9,48,-0.1,63,+0.5%,38,-2.8,38,-0.2,92,+9.7%,16,-16.5,56,+0.1,17,-3.6%,66,+5.2
Cole Aldrich,27.0,LAC,Big,704,11,-6.2,75,+0.8,11,-2.4%,91,+11.8,90,+0.9,24,-4.3%,78,+11.0,64,+0.3,1,-8.9%,95,+19.4
LaMarcus Aldridge,30.3,SAS,Big,2251,58,+0.3,32,-0.7,17,-1.7%,53,+0.2,70,+0.4,54,+0.4%,83,+14.1,11,-1.2,11,-4.7%,20,-10.2
Lavoy Allen,26.7,IND,Big,1558,87,+4.7,46,-0.2,24,-1.2%,40,-2.1,34,-0.3,41,-1.8%,45,-2.0,50,-0.0,27,-2.3%,44,-1.7
Tony Allen,33.8,MEM,Wing,1606,50,-0.6,42,-0.4,74,+1.0%,26,-6.1,81,+0.6,23,-4.4%,66,+6.1,16,-1.0,61,+0.9%,9,-16.0
Al-Farouq Aminu,25.1,POR,Forward,2337,70,+1.9,88,+1.5,90,+2.1%,85,+9.4,86,+0.8,61,+1.6%,72,+8.4,78,+0.8,90,+4.4%,81,+9.9
Lou Amundson,32.9,NYK,Big,171,4,-10.6,97,+2.6,95,+2.7%,97,+17.9,78,+0.5,94,+11.4%,63,+5.0,97,+2.1,39,-1.1%,97,+22.8
Chris Andersen,37.3,MEM,Big,361,25,-3.5,90,+1.7,28,-1.0%,97,+18.5,46,-0.0,18,-5.8%,51,+1.3,93,+1.5,46,-0.7%,97,+24.6
Alan Anderson,33.0,WAS,Wing,190,63,+1.2,13,-1.3,43,-0.3%,17,-8.5,10,-1.0,13,-6.6%,13,-18.8,47,-0.1,39,-1.1%,44,-1.6
James Anderson,26.6,SAC,Wing,690,29,-2.9,41,-0.4,33,-0.8%,30,-4.5,10,-1.0,65,+2.4%,6,-24.8,78,+0.8,19,-3.3%,75,+7.9
