Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,23.3,OKC,Big,156,98,-33.9,53,-0.1,39,+1.2%,23,+16.1,41,+0.4,10,+16.4%,62,-16.7,57,-0.1,64,-1.7%,30,+18.9
LaMarcus Aldridge,31.3,SAS,Big,535,45,+0.2,27,+1.8,13,+3.1%,33,+10.4,46,+0.1,36,+3.7%,38,+8.9,28,+1.4,26,+4.3%,35,+13.9
Al-Farouq Aminu,26.1,POR,Big,111,66,-4.2,26,+1.9,86,-3.1%,21,+18.8,93,-3.0,67,-6.5%,85,-48.8,7,+4.3,94,-8.7%,18,+36.4
Kyle Anderson,23.1,SAS,Wing,150,31,+4.4,83,-3.1,16,+2.6%,79,-21.4,50,-0.0,44,+1.4%,56,-10.4,86,-2.7,52,+0.0%,74,-17.0
Ryan Anderson,28.5,HOU,Big,328,59,-3.0,50,-0.1,58,-0.2%,43,+5.0,42,+0.3,20,+10.8%,36,+13.1,63,-0.8,59,-1.2%,59,-8.0
Giannis Antetokounmpo,21.9,MIL,Forward,242,33,+4.0,69,-1.8,79,-2.4%,75,-17.8,60,-0.6,45,+1.2%,96,-90.5,70,-1.1,97,-10.5%,53,-2.1
Trevor Ariza,31.3,HOU,Forward,412,14,+9.5,76,-2.5,25,+2.0%,84,-24.2,18,+1.5,25,+7.4%,20,+28.8,95,-3.9,72,-2.9%,95,-50.0
Kent Bazemore,27.3,ATL,Wing,149,54,-2.0,3,+7.0,99,-5.9%,14,+27.5,3,+3.2,46,+0.4%,13,+45.0,12,+3.7,99,-12.8%,27,+25.0
Bradley Beal,23.3,WAS,Wing,464,79,-8.9,100,-7.9,85,-3.1%,98,-48.0,94,-3.1,41,+2.3%,94,-81.3,89,-2.8,57,-0.6%,77,-23.8
Patrick Beverley,28.3,HOU,Point,323,50,-0.8,62,-0.9,33,+1.4%,54,-0.4,36,+0.5,17,+11.4%,45,+3.3,79,-1.7,29,+3.5%,63,-10.3
Bojan Bogdanovic,27.5,WAS,Forward,230,20,+8.5,15,+3.2,20,+2.5%,24,+15.3,13,+2.0,28,+6.2%,15,+42.9,59,-0.3,51,+0.0%,60,-8.3
Avery Bradley,25.9,BOS,Combo,604,6,+13.9,71,-1.9,32,+1.4%,64,-9.1,62,-0.7,5,+21.9%,87,-56.6,69,-1.0,80,-5.8%,49,+1.6
Malcolm Brogdon,23.9,MIL,Combo,177,40,+2.1,21,+2.4,18,+2.5%,18,+21.8,90,-2.4,11,+16.2%,76,-37.5,6,+4.8,28,+3.5%,7,+56.6
Jaylen Brown,20.0,BOS,Wing,168,35,+3.3,32,+1.3,41,+1.2%,57,-4.0,80,-1.7,69,-6.9%,76,-37.6,18,+2.8,12,+7.4%,37,+12.5
Jimmy Butler,27.1,CHI,Wing,238,12,+10.4,99,-7.4,76,-2.2%,98,-62.8,100,-8.1,89,-19.1%,97,-98.8,33,+1.0,42,+1.4%,82,-30.3
Clint Capela,22.5,HOU,Big,285,50,-1.0,49,-0.0,50,+0.4%,42,+5.4,21,+1.1,0,+28.1%,47,-1.6,74,-1.4,61,-1.5%,54,-2.9
DeMarre Carroll,30.3,TOR,Forward,149,24,+7.4,24,+2.3,15,+2.9%,28,+12.6,17,+1.5,6,+20.8%,58,-12.7,30,+1.0,32,+3.1%,33,+15.2
Vince Carter,39.8,MEM,Wing,194,4,+14.4,86,-3.5,73,-2.0%,59,-5.5,86,-2.0,93,-22.9%,37,+12.5,76,-1.5,67,-2.1%,72,-16.7
Ian Clark,25.7,GSW,Combo,174,72,-6.0,94,-5.5,42,+1.0%,93,-43.8,63,-0.7,38,+3.2%,64,-18.5,97,-4.0,70,-2.7%,98,-53.1
Mike Conley,29.1,MEM,Point,222,100,-51.4,98,-6.3,78,-2.4%,100,-77.8,98,-4.0,15,+12.6%,98,-135.7,84,-2.3,66,-1.9%,85,-32.7
Jamal Crawford,36.6,LAC,Wing,162,67,-5.0,47,+0.1,59,-0.3%,72,-16.1,92,-2.8,68,-6.8%,93,-77.8,17,+2.8,41,+1.5%,25,+26.0
Jae Crowder,26.3,BOS,Forward,557,54,-1.9,44,+0.3,46,+0.7%,48,+3.0,40,+0.4,70,-7.6%,40,+7.1,52,+0.1,48,+0.6%,44,+5.2
Stephen Curry,28.6,GSW,Point,598,10,+11.9,6,+5.4,50,+0.3%,5,+40.4,54,-0.4,65,-5.1%,50,-4.2,4,+5.0,7,+9.0%,3,+73.9
DeMar DeRozan,27.2,TOR,Wing,372,29,+4.6,4,+6.8,81,-2.6%,4,+40.8,12,+2.1,26,+6.9%,18,+35.2,2,+5.1,92,-7.4%,6,+57.6
Matthew Dellavedova,26.1,MIL,Point,156,81,-9.9,84,-3.4,90,-3.7%,80,-22.0,28,+0.8,91,-21.0%,32,+14.5,98,-4.3,83,-6.1%,91,-45.5
Boris Diaw,34.5,UTA,Big,184,85,-13.1,78,-2.6,72,-1.9%,85,-24.3,58,-0.4,31,+4.9%,54,-9.0,80,-1.8,76,-4.2%,80,-27.6
Kevin Durant,28.1,GSW,Forward,529,7,+13.5,19,+2.5,37,+1.3%,17,+23.9,70,-1.1,51,-0.5%,86,-53.4,10,+4.0,30,+3.1%,4,+60.7
James Ennis,26.3,MEM,Forward,158,17,+8.8,40,+0.7,57,-0.2%,37,+8.3,78,-1.6,92,-21.4%,67,-22.2,22,+2.3,37,+1.6%,20,+30.0
Derrick Favors,25.3,UTA,Big,194,25,+6.6,8,+4.5,98,-5.0%,9,+32.6,24,+1.1,80,-10.7%,21,+28.8,15,+3.3,96,-9.4%,14,+39.7
Raymond Felton,32.4,LAC,Combo,102,15,+9.1,28,+1.6,76,-2.2%,41,+5.8,22,+1.1,80,-9.9%,14,+44.6,43,+0.5,63,-1.5%,65,-11.1
Channing Frye,33.5,CLE,Big,111,2,+21.3,70,-1.8,95,-4.5%,69,-13.1,89,-2.1,78,-9.6%,89,-65.1,42,+0.5,93,-8.1%,51,-1.2
Marc Gasol,31.8,MEM,Big,238,15,+9.4,2,+7.4,2,+5.7%,0,+147.6,2,+3.5,99,-36.7%,0,+152.9,11,+3.9,6,+9.8%,0,+144.0
Pau Gasol,36.3,SAS,Big,364,46,-0.1,57,-0.3,51,+0.3%,61,-6.9,65,-1.0,15,+13.0%,74,-33.7,56,-0.1,55,-0.6%,57,-5.9
Paul George,26.5,IND,Forward,171,41,+1.2,2,+7.6,14,+3.1%,1,+118.8,1,+3.5,72,-7.7%,1,+125.0,11,+3.9,36,+2.0%,1,+113.6
Taj Gibson,31.4,OKC,Big,118,96,-21.8,41,+0.4,96,-4.6%,39,+7.6,44,+0.3,37,+3.4%,52,-6.7,60,-0.3,93,-7.9%,56,-5.0
Manu Ginobili,39.3,SAS,Wing,282,56,-2.1,64,-1.5,74,-2.1%,77,-20.0,88,-2.1,29,+5.4%,89,-61.2,32,+1.0,87,-6.4%,46,+3.2
Rudy Gobert,24.4,UTA,Big,231,65,-4.0,85,-3.5,1,+8.0%,81,-22.4,37,+0.5,23,+7.8%,27,+21.1,96,-3.9,1,+15.8%,89,-42.1
Eric Gordon,27.9,HOU,Wing,355,23,+7.8,16,+2.8,93,-4.0%,19,+20.2,85,-2.0,84,-13.5%,71,-28.7,5,+5.0,69,-2.3%,8,+56.0
Marcin Gortat,32.7,WAS,Big,369,89,-14.0,91,-4.7,89,-3.6%,89,-29.1,91,-2.6,28,+5.8%,90,-66.7,67,-1.0,88,-6.6%,58,-6.7
