Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,23.3,OKC,Big,156,69,+3.0%,85,+7.8%,86,+11.8%,59,+3.7%,85,+7.3%,76,+13.3%,6,-10.7%,28,-5.0%
LaMarcus Aldridge,31.3,SAS,Big,535,15,-5.5%,24,-4.2%,42,-2.5%,48,+1.4%,42,-1.5%,17,-18.3%,61,+1.5%,31,-3.5%
Al-Farouq Aminu,26.1,POR,Big,111,48,-0.4%,46,-0.3%,16,-9.6%,88,+11.6%,31,-2.9%,80,+15.0%,36,-3.5%,56,+0.7%
Kyle Anderson,23.1,SAS,Wing,150,67,+2.9%,33,-2.2%,80,+8.3%,59,+3.6%,80,+5.3%,87,+17.8%,25,-5.0%,59,+0.9%
Ryan Anderson,28.5,HOU,Big,328,23,-4.3%,39,-1.3%,61,+3.2%,85,+9.3%,76,+4.3%,50,+0.5%,9,-8.5%,19,-6.7%
Giannis Antetokounmpo,21.9,MIL,Forward,242,61,+1.6%,8,-10.9%,98,+22.9%,14,-8.8%,89,+9.5%,93,+20.5%,4,-13.1%,46,-1.0%
Trevor Ariza,31.3,HOU,Forward,412,1,-10.2%,4,-14.4%,0,-25.2%,89,+11.8%,2,-12.5%,11,-22.4%,33,-3.8%,18,-7.2%
Kent Bazemore,27.3,ATL,Wing,149,82,+4.7%,21,-4.6%,97,+22.0%,73,+6.3%,97,+15.2%,98,+31.0%,28,-4.8%,60,+1.0%
Bradley Beal,23.3,WAS,Wing,464,95,+9.0%,60,+2.5%,93,+15.9%,81,+8.9%,94,+12.0%,46,-1.6%,85,+7.9%,79,+5.7%
Patrick Beverley,28.3,HOU,Point,323,24,-4.1%,13,-6.9%,21,-8.2%,44,-0.3%,23,-5.4%,50,+0.5%,56,+0.4%,55,+0.5%
