Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Alex Abrines,24.3,OKC,Wing,106,90,+6.0%,66,+2.1%,84,+3.9%,36,-1.9%,67,+2.1%,0,-4.9%,59,+0.8%,18,-4.2%
Steven Adams,24.3,OKC,Big,199,38,-0.5%,2,-8.4%,92,+5.4%,96,+7.8%,100,+13.3%,10,-2.7%,23,-2.2%,10,-4.9%
LaMarcus Aldridge,32.3,SAS,Big,175,44,-0.0%,64,+1.9%,45,-0.1%,8,-6.7%,15,-6.8%,89,+2.8%,70,+2.1%,81,+4.9%
Al-Farouq Aminu,27.1,POR,Big,130,15,-4.3%,24,-4.1%,87,+4.5%,48,-0.8%,76,+3.8%,92,+3.0%,20,-2.7%,52,+0.3%
Giannis Antetokounmpo,22.9,MIL,Forward,279,54,+0.9%,85,+5.7%,56,+0.9%,34,-2.1%,48,-1.2%,3,-3.8%,42,-0.8%,15,-4.5%
Carmelo Anthony,33.4,OKC,Big,193,29,-1.6%,56,+1.5%,76,+2.9%,32,-2.3%,56,+0.7%,7,-3.2%,61,+1.1%,33,-2.1%
Trevor Ariza,32.3,HOU,Wing,579,40,-0.4%,70,+2.6%,42,-0.6%,24,-3.5%,32,-4.0%,85,+2.5%,40,-1.1%,60,+1.4%
Aron Baynes,30.9,BOS,Big,372,33,-1.2%,30,-2.7%,65,+1.5%,68,+1.6%,70,+3.1%,67,+1.0%,37,-1.3%,47,-0.4%
Bradley Beal,24.3,WAS,Wing,215,19,-3.6%,6,-7.3%,36,-1.3%,35,-2.1%,35,-3.4%,35,-0.7%,100,+11.4%,99,+10.7%
Marco Belinelli,31.6,PHI,Wing,272,77,+4.4%,23,-4.1%,14,-4.0%,83,+3.7%,52,-0.3%,27,-1.0%,91,+5.4%,78,+4.4%
Eric Bledsoe,27.9,MIL,Point,223,84,+5.2%,91,+6.9%,41,-0.6%,70,+1.9%,60,+1.3%,29,-1.0%,5,-7.3%,4,-8.3%
Bojan Bogdanovic,28.5,IND,Forward,233,48,+0.4%,72,+3.2%,38,-1.2%,39,-1.6%,36,-2.8%,6,-3.2%,76,+2.8%,46,-0.5%
Corey Brewer,31.7,OKC,Wing,151,69,+3.1%,33,-2.0%,88,+4.7%,85,+4.3%,94,+9.0%,44,-0.3%,6,-6.7%,7,-7.1%
Malcolm Brogdon,24.9,MIL,Combo,185,49,+0.4%,10,-6.4%,57,+0.9%,75,+2.6%,74,+3.5%,73,+1.4%,66,+1.6%,69,+3.0%
Jaylen Brown,21.0,BOS,Wing,581,42,-0.0%,49,+0.8%,44,-0.3%,38,-1.7%,44,-2.0%,24,-1.2%,73,+2.4%,57,+1.2%
Alec Burks,26.3,UTA,Wing,112,68,+2.8%,15,-4.9%,91,+5.3%,76,+2.6%,93,+7.9%,49,-0.2%,18,-2.9%,23,-3.1%
Jimmy Butler,28.1,MIN,Wing,170,99,+10.2%,94,+7.5%,54,+0.8%,1,-13.3%,2,-12.5%,96,+4.0%,62,+1.1%,85,+5.1%
Clint Capela,23.5,HOU,Big,518,35,-1.0%,86,+6.0%,93,+5.7%,57,+0.2%,85,+5.9%,25,-1.2%,1,-10.8%,0,-12.0%
Ian Clark,26.7,NOP,Combo,166,12,-5.2%,35,-1.3%,5,-6.8%,93,+6.4%,51,-0.4%,70,+1.2%,55,+0.6%,61,+1.8%
