Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,25.3,OKC,Big,159,15,12.2%,90,134.1,33,7.0%,55,0.58,10,20.5%
LaMarcus Aldridge,33.3,SAS,Big,243,90,25.7%,23,102.2,70,13.8%,45,0.54,93,5.1%
Jarrett Allen,20.5,BKN,Big,110,55,16.8%,93,134.1,85,18.3%,93,1.09,20,17.2%
Al-Farouq Aminu,28.1,POR,Big,399,30,14.5%,15,95.2,38,7.5%,35,0.52,45,11.8%
Giannis Antetokounmpo,23.9,MIL,Forward,513,100,32.1%,82,114.5,100,25.5%,73,0.80,27,13.0%
D.J. Augustin,31.0,ORL,Point,140,14,19.6%,100,136.2,57,26.0%,93,1.33,57,11.8%
Will Barton,27.8,DEN,Wing,320,85,20.8%,9,87.2,76,12.3%,55,0.59,79,7.9%
Aron Baynes,31.9,BOS,Big,115,0,7.7%,63,118.8,10,4.0%,40,0.52,0,25.6%
Malik Beasley,21.9,DEN,Wing,265,67,16.0%,27,101.0,33,6.9%,24,0.43,88,6.0%
Marco Belinelli,32.6,SAS,Wing,130,27,13.4%,21,100.0,42,7.9%,52,0.59,94,5.1%
Patrick Beverley,30.3,LAC,Combo,194,17,14.4%,78,115.7,56,20.0%,89,1.39,17,14.5%
Eric Bledsoe,28.9,MIL,Point,422,50,25.3%,29,99.0,36,23.8%,29,0.94,36,13.1%
Bojan Bogdanovic,29.5,IND,Forward,147,55,22.8%,36,105.9,45,13.4%,45,0.59,91,8.3%
Andrew Bogut,33.9,GSW,Big,178,18,12.4%,85,133.3,80,16.3%,98,1.32,15,19.4%
Malcolm Brogdon,25.9,MIL,Combo,194,50,20.5%,67,111.4,44,17.2%,44,0.84,44,11.4%
Jaylen Brown,22.0,BOS,Wing,269,73,17.0%,100,125.0,30,6.4%,12,0.37,39,14.4%
Sterling Brown,23.7,MIL,Wing,138,33,13.9%,18,97.0,85,15.2%,94,1.10,18,15.9%
Jimmy Butler,29.1,PHI,Forward,421,73,24.4%,73,114.4,91,22.8%,91,0.94,82,9.2%
Clint Capela,24.5,HOU,Big,330,25,14.1%,40,109.2,45,7.7%,48,0.55,30,15.5%
DeMarre Carroll,32.3,BKN,Forward,119,9,14.5%,0,78.6,9,2.4%,9,0.16,100,7.1%
Zach Collins,21.0,POR,Big,268,57,16.9%,68,119.8,50,8.1%,33,0.48,13,20.1%
Darren Collison,31.2,IND,Point,116,36,23.7%,36,100.0,21,23.2%,36,0.98,0,16.1%
Pat Connaughton,25.8,MIL,Wing,294,6,10.2%,85,120.3,61,9.6%,91,0.94,64,9.9%
Quinn Cook,25.6,GSW,Point,178,0,16.0%,21,98.4,0,9.0%,0,0.56,79,9.3%
DeMarcus Cousins,28.2,GSW,Big,133,95,27.1%,18,95.3,95,26.4%,83,0.97,3,22.6%
Torrey Craig,27.9,DEN,Wing,326,3,10.1%,82,120.3,9,4.9%,39,0.49,73,8.3%
Jae Crowder,28.3,UTA,Big,130,48,16.4%,28,105.6,18,5.6%,13,0.34,100,2.0%
Seth Curry,28.2,POR,Wing,319,18,11.8%,39,107.1,12,4.9%,21,0.42,76,8.1%
Stephen Curry,30.6,GSW,Point,845,71,29.3%,93,127.6,29,23.2%,14,0.79,64,11.6%
DeMar DeRozan,29.2,SAS,Wing,248,100,29.5%,45,110.1,97,21.2%,79,0.72,82,7.6%
Spencer Dinwiddie,25.6,BKN,Combo,131,67,22.7%,56,110.6,11,11.3%,11,0.50,56,11.1%
Andre Drummond,25.2,DET,Big,127,85,22.3%,8,89.1,60,11.5%,38,0.52,28,15.9%
Kevin Durant,30.1,GSW,Forward,441,82,31.4%,100,133.9,73,20.1%,64,0.64,9,13.3%
Wayne Ellington,30.9,DET,Wing,128,21,11.8%,3,86.1,18,5.5%,33,0.47,91,5.5%
Joel Embiid,24.6,PHI,Big,334,100,30.7%,45,111.0,83,17.9%,57,0.58,23,17.1%
James Ennis,28.3,PHI,Wing,224,39,14.4%,79,117.4,45,8.1%,48,0.56,45,13.4%
Derrick Favors,27.3,UTA,Big,103,70,18.6%,83,131.1,45,7.7%,23,0.41,48,11.4%
Terrance Ferguson,20.5,OKC,Wing,124,0,9.5%,36,104.2,24,6.0%,61,0.63,3,18.2%
Bryn Forbes,25.3,SAS,Combo,207,0,12.4%,89,125.4,0,4.9%,0,0.39,89,5.5%
Evan Fournier,26.0,ORL,Wing,172,91,21.9%,3,86.1,70,11.8%,45,0.54,33,14.5%
Danilo Gallinari,30.2,LAC,Big,201,93,26.4%,20,96.7,65,12.6%,30,0.48,68,9.3%
Marc Gasol,33.8,TOR,Big,733,23,13.9%,48,111.3,75,14.6%,88,1.05,65,9.3%
Rudy Gay,32.2,SAS,Forward,176,45,22.5%,18,101.3,36,10.9%,27,0.49,45,11.8%
