Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,25.3,OKC,Big,159,11,-18.1,-42,32,-3.6,77,+4.6%,42,+0.7%,21,-5.0%,20,-6.3,14,+14.5,35,+3.2%,5,-4.5%,14,+6.1%,81,-5.1
LaMarcus Aldridge,33.3,SAS,Big,243,41,-3.6,-9,4,-19.3,3,-9.9%,8,+3.8%,62,+1.5%,24,-5.4,95,-15.7,92,-6.6%,70,+1.3%,88,-5.7%,21,+4.3
Al-Farouq Aminu,28.1,POR,Big,399,39,-4.2,-11,43,-0.5,35,-1.1%,20,+2.3%,85,+5.0%,68,+3.1,38,+3.7,20,+5.8%,56,+0.3%,82,-4.8%,83,-5.6
Giannis Antetokounmpo,23.9,MIL,Forward,513,64,+3.4,+7,35,-2.8,28,-2.5%,33,+1.3%,64,+1.6%,80,+4.6,83,-6.3,67,-1.4%,68,+1.2%,53,+0.2%,43,+0.1
D.J. Augustin,31.0,ORL,Point,140,15,-16.3,-13,79,+9.3,94,+9.5%,58,-0.1%,36,-1.9%,40,-1.5,3,+25.6,10,+7.5%,74,+1.6%,0,+18.1%,33,+1.8
Will Barton,27.8,DEN,Wing,320,8,-19.9,-45,7,-16.5,4,-8.4%,57,-0.0%,38,-1.7%,33,-2.9,38,+3.4,66,-1.4%,39,-0.7%,12,+6.8%,55,-1.6
Aron Baynes,31.9,BOS,Big,115,9,-19.0,-44,3,-20.5,20,-3.4%,25,+1.9%,18,-5.3%,1,-18.3,61,-1.5,58,-0.5%,52,+0.2%,37,+2.5%,37,+1.0
Malik Beasley,21.9,DEN,Wing,265,29,-8.0,-20,54,+1.7,37,-0.9%,55,+0.1%,88,+5.5%,53,+0.3,21,+9.7,11,+7.4%,79,+1.8%,92,-6.6%,15,+5.1
Marco Belinelli,32.6,SAS,Wing,130,74,+6.4,+16,83,+10.4,48,+1.0%,89,-3.0%,63,+1.5%,70,+3.3,34,+4.0,59,-0.5%,49,+0.1%,9,+7.4%,90,-7.1
Patrick Beverley,30.3,LAC,Combo,194,33,-6.5,-13,18,-7.6,18,-4.5%,6,+4.1%,74,+3.2%,3,-15.1,57,-1.1,23,+5.3%,63,+1.0%,99,-11.8%,7,+8.0
Eric Bledsoe,28.9,MIL,Point,422,47,-2.2,-3,16,-8.3,13,-4.9%,37,+1.1%,75,+3.4%,38,-1.7,82,-6.1,80,-3.5%,80,+2.0%,48,+0.7%,49,-0.6
Bojan Bogdanovic,29.5,IND,Forward,147,23,-10.3,-23,64,+5.3,93,+9.1%,74,-1.4%,3,-10.7%,42,-1.3,13,+15.5,1,+12.7%,38,-0.7%,27,+4.5%,22,+4.2
Andrew Bogut,33.9,GSW,Big,178,38,-5.0,-12,21,-6.3,26,-2.7%,14,+3.2%,83,+4.9%,11,-8.4,60,-1.3,54,+0.0%,66,+1.1%,47,+0.7%,23,+3.6
Malcolm Brogdon,25.9,MIL,Combo,194,76,+7.1,+11,77,+8.2,70,+4.0%,82,-2.0%,38,-1.7%,50,-0.0,47,+1.1,74,-2.3%,60,+0.5%,44,+1.3%,10,+5.9
Jaylen Brown,22.0,BOS,Wing,269,26,-9.6,-26,34,-3.4,40,-0.4%,29,+1.5%,13,-6.0%,62,+1.7,28,+6.3,19,+5.9%,59,+0.5%,58,-0.6%,50,-0.7
Jimmy Butler,29.1,PHI,Forward,421,96,+25.5,+55,90,+12.8,66,+3.5%,91,-3.4%,52,+0.1%,91,+7.4,91,-12.8,93,-6.6%,85,+2.5%,21,+5.4%,63,-2.3
Clint Capela,24.5,HOU,Big,330,22,-10.3,-24,13,-10.2,57,+2.5%,28,+1.7%,33,-2.5%,5,-12.4,54,+0.1,57,-0.3%,13,-2.7%,59,-0.7%,93,-10.5
DeMarre Carroll,32.3,BKN,Forward,119,67,+4.1,+5,66,+5.4,52,+1.3%,93,-3.9%,31,-2.6%,15,-7.2,44,+1.3,50,+0.7%,3,-5.7%,94,-8.0%,32,+1.9
Darren Collison,31.2,IND,Point,116,85,+16.2,+27,73,+7.7,59,+2.8%,8,+3.8%,72,+2.9%,57,+0.8,88,-8.5,70,-1.9%,33,-1.2%,83,-4.9%,74,-3.6
Pat Connaughton,25.8,MIL,Wing,294,43,-3.1,-5,18,-7.7,13,-5.0%,45,+0.5%,35,-2.1%,76,+3.8,77,-4.6,85,-4.9%,8,-2.9%,60,-0.9%,41,+0.6
DeMarcus Cousins,28.2,GSW,Big,133,12,-17.6,-42,0,-25.7,2,-10.9%,16,+2.9%,43,-0.8%,13,-7.9,87,-8.2,73,-2.2%,65,+1.0%,43,+1.5%,67,-2.5
Jae Crowder,28.3,UTA,Big,130,30,-7.9,-18,23,-6.1,7,-7.5%,61,-0.2%,65,+1.6%,29,-3.6,43,+1.9,36,+3.1%,78,+1.7%,31,+3.1%,53,-0.8
Seth Curry,28.2,POR,Wing,319,83,+14.6,+35,63,+5.1,44,+0.2%,47,+0.5%,68,+2.3%,53,+0.3,89,-9.5,94,-7.7%,55,+0.3%,15,+6.0%,51,-0.7
Stephen Curry,30.6,GSW,Point,845,90,+19.4,+43,88,+12.0,83,+6.3%,53,+0.2%,19,-5.2%,87,+6.0,84,-7.4,72,-2.0%,88,+2.6%,34,+2.5%,73,-3.2
DeMar DeRozan,29.2,SAS,Wing,248,10,-18.4,-41,42,-1.0,72,+4.2%,7,+4.0%,41,-1.1%,44,-0.7,10,+17.4,9,+7.8%,36,-0.9%,25,+4.7%,4,+8.6
