Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Alex Abrines,25.3,OKC,Wing,558,97,-4.2%,51,+0.1%,10,+2.0%,64,-0.4%,23,+1.6%,17,+0.9%,93,-2.6%,77,-1.7%
Quincy Acy,28.1,PHX,Big,102,100,-9.9%,97,-4.7%,89,-2.0%,2,+3.6%,22,+1.6%,52,-0.1%,5,+3.2%,9,+3.1%
Steven Adams,25.3,OKC,Big,2678,12,+2.3%,77,-1.7%,70,-0.8%,45,+0.1%,63,-0.7%,25,+0.6%,16,+1.8%,12,+2.4%
LaMarcus Aldridge,33.3,SAS,Big,2698,33,+0.7%,80,-2.0%,13,+1.8%,33,+0.5%,14,+2.4%,92,-1.6%,24,+1.1%,57,-0.4%
Al-Farouq Aminu,28.1,POR,Big,2291,59,-0.5%,11,+2.8%,50,+0.0%,78,-1.1%,69,-1.0%,59,-0.2%,81,-1.5%,81,-1.8%
Justin Anderson,25.0,ATL,Wing,414,81,-1.7%,56,-0.2%,48,+0.0%,28,+0.7%,36,+0.7%,90,-1.3%,31,+0.8%,59,-0.5%
Kyle Anderson,25.1,MEM,Forward,1270,70,-1.0%,42,+0.6%,28,+0.9%,18,+1.2%,16,+2.1%,87,-1.2%,81,-1.6%,90,-2.7%
Ryan Anderson,30.5,PHX,Big,277,91,-2.9%,66,-0.8%,28,+0.9%,95,-2.2%,72,-1.3%,95,-1.8%,3,+3.9%,15,+2.1%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,71,-1.1%,83,-2.2%,19,+1.4%,15,+1.4%,9,+2.8%,75,-0.6%,49,+0.0%,60,-0.6%
Carmelo Anthony,34.4,HOU,Forward,291,52,-0.1%,22,+1.8%,98,-4.2%,12,+1.7%,87,-2.4%,95,-1.9%,10,+2.6%,34,+0.7%
Trevor Ariza,33.3,PHX,Wing,883,2,+4.3%,1,+6.8%,99,-4.6%,99,-3.6%,100,-8.1%,26,+0.6%,31,+0.8%,25,+1.3%
Trevor Ariza,33.3,WAS,Wing,1463,19,+1.8%,30,+1.3%,21,+1.3%,85,-1.6%,55,-0.3%,10,+1.2%,89,-2.2%,69,-1.0%
D.J. Augustin,31.0,ORL,Point,2265,17,+2.0%,59,-0.3%,5,+2.9%,70,-0.7%,15,+2.2%,71,-0.5%,78,-1.3%,81,-1.9%
J.J. Barea,34.3,DAL,Combo,744,39,+0.5%,32,+1.1%,50,-0.0%,19,+1.1%,29,+1.1%,35,+0.3%,93,-2.6%,86,-2.2%
Harrison Barnes,26.4,DAL,Forward,1569,63,-0.6%,43,+0.5%,47,+0.1%,36,+0.4%,39,+0.5%,88,-1.2%,46,+0.1%,70,-1.1%
Harrison Barnes,26.4,SAC,Forward,948,96,-3.9%,44,+0.5%,60,-0.5%,46,+0.1%,58,-0.4%,62,-0.3%,44,+0.2%,51,-0.1%
Will Barton,27.8,DEN,Wing,1189,29,+1.0%,66,-0.8%,50,-0.0%,26,+0.8%,35,+0.8%,61,-0.3%,40,+0.4%,46,+0.1%
Nicolas Batum,29.9,CHA,Wing,2338,75,-1.3%,30,+1.3%,69,-0.8%,41,+0.3%,60,-0.5%,80,-0.8%,50,+0.0%,64,-0.8%
Jerryd Bayless,30.2,MIN,Point,637,3,+3.6%,42,+0.6%,71,-0.8%,81,-1.2%,81,-2.1%,6,+1.5%,51,-0.1%,23,+1.5%
Aron Baynes,31.9,BOS,Big,810,69,-1.0%,73,-1.4%,6,+2.5%,36,+0.4%,9,+2.9%,74,-0.6%,71,-0.9%,76,-1.5%
Kent Bazemore,29.3,ATL,Wing,1639,84,-1.9%,50,+0.1%,89,-1.9%,26,+0.8%,69,-1.1%,62,-0.3%,22,+1.3%,29,+1.0%
Bradley Beal,25.3,WAS,Wing,3025,36,+0.6%,58,-0.3%,32,+0.7%,95,-2.3%,77,-1.6%,3,+2.1%,56,-0.2%,17,+1.9%
Malik Beasley,21.9,DEN,Wing,1789,16,+2.0%,74,-1.5%,16,+1.7%,55,-0.2%,24,+1.5%,28,+0.5%,61,-0.5%,47,+0.0%
Michael Beasley,29.8,LAL,Big,254,29,+1.0%,62,-0.5%,97,-3.6%,84,-1.4%,98,-5.1%,1,+2.9%,9,+2.7%,1,+5.6%
Marco Belinelli,32.6,SAS,Wing,1796,67,-0.9%,27,+1.4%,50,-0.0%,57,-0.2%,54,-0.2%,26,+0.6%,84,-1.8%,72,-1.2%
DeAndre' Bembry,24.3,ATL,Wing,1873,74,-1.2%,64,-0.7%,47,+0.1%,47,+0.1%,47,+0.2%,47,+0.0%,38,+0.4%,39,+0.5%
Dragan Bender,21.0,PHX,Big,776,63,-0.6%,19,+1.9%,24,+1.1%,95,-2.3%,71,-1.2%,67,-0.4%,58,-0.3%,62,-0.7%
Davis Bertans,26.0,SAS,Big,1594,42,+0.3%,68,-1.0%,76,-1.1%,45,+0.1%,68,-1.0%,5,+1.9%,47,+0.1%,16,+2.0%
Patrick Beverley,30.3,LAC,Combo,2121,76,-1.4%,64,-0.7%,77,-1.2%,27,+0.8%,59,-0.4%,16,+0.9%,44,+0.2%,29,+1.1%
Bismack Biyombo,26.2,CHA,Big,755,67,-0.9%,75,-1.6%,25,+1.0%,21,+1.0%,17,+2.1%,74,-0.6%,48,+0.1%,59,-0.5%
Nemanja Bjelica,30.5,SAC,Big,1795,20,+1.6%,45,+0.4%,30,+0.8%,24,+0.8%,21,+1.7%,68,-0.5%,82,-1.6%,85,-2.1%
Eric Bledsoe,28.9,MIL,Point,2266,34,+0.7%,75,-1.6%,3,+3.3%,42,+0.3%,6,+3.6%,79,-0.8%,76,-1.3%,84,-2.0%
Bojan Bogdanovic,29.5,IND,Forward,2547,40,+0.4%,10,+2.8%,85,-1.7%,83,-1.4%,91,-3.1%,10,+1.2%,70,-0.9%,41,+0.3%
Andrew Bogut,33.9,GSW,Big,126,1,+5.4%,96,-4.3%,2,+3.5%,2,+3.7%,0,+7.2%,56,-0.2%,94,-2.8%,91,-2.9%
Devin Booker,22.0,PHX,Combo,2239,53,-0.1%,5,+3.8%,85,-1.7%,92,-2.0%,94,-3.7%,39,+0.2%,60,-0.4%,53,-0.2%
Avery Bradley,27.9,LAC,Wing,1462,72,-1.1%,21,+1.8%,78,-1.2%,75,-0.9%,83,-2.1%,37,+0.3%,49,+0.1%,41,+0.3%
Avery Bradley,27.9,MEM,Wing,442,59,-0.4%,24,+1.6%,22,+1.1%,84,-1.4%,56,-0.3%,99,-3.2%,16,+2.0%,73,-1.3%
Corey Brewer,32.7,PHI,Forward,120,72,-1.1%,93,-3.5%,9,+2.2%,99,-3.7%,74,-1.4%,1,+2.9%,14,+2.1%,2,+5.0%
Corey Brewer,32.7,SAC,Wing,332,7,+2.8%,95,-4.0%,14,+1.8%,17,+1.3%,8,+3.1%,14,+1.0%,51,-0.1%,30,+0.9%
Malcolm Brogdon,25.9,MIL,Combo,1820,37,+0.6%,78,-1.8%,57,-0.4%,2,+3.9%,6,+3.5%,90,-1.4%,59,-0.4%,79,-1.8%
MarShon Brooks,29.8,MEM,Wing,368,35,+0.7%,30,+1.3%,65,-0.7%,34,+0.5%,53,-0.2%,38,+0.2%,77,-1.3%,71,-1.1%
Jaylen Brown,22.0,BOS,Wing,1852,43,+0.3%,43,+0.5%,58,-0.4%,68,-0.6%,68,-1.0%,22,+0.7%,54,-0.2%,37,+0.5%
Lorenzo Brown,28.2,TOR,Wing,147,93,-3.2%,59,-0.4%,61,-0.5%,89,-1.7%,84,-2.2%,36,+0.3%,11,+2.3%,11,+2.6%
Reggie Bullock,27.6,DET,Wing,1352,10,+2.6%,57,-0.3%,77,-1.2%,20,+1.1%,51,-0.1%,90,-1.3%,18,+1.7%,40,+0.4%
Reggie Bullock,27.6,LAL,Wing,519,5,+3.2%,44,+0.5%,20,+1.3%,80,-1.1%,47,+0.2%,93,-1.7%,27,+1.0%,62,-0.7%
Trey Burke,26.0,NYK,Point,677,78,-1.5%,63,-0.6%,13,+1.9%,51,-0.1%,20,+1.8%,89,-1.3%,50,+0.0%,73,-1.2%
Trey Burke,26.0,DAL,Point,407,95,-3.6%,18,+2.1%,70,-0.8%,81,-1.3%,82,-2.1%,64,-0.3%,40,+0.4%,47,+0.0%
Alec Burks,27.3,UTA,Wing,255,15,+2.1%,67,-0.9%,6,+2.6%,28,+0.7%,7,+3.3%,60,-0.3%,89,-2.1%,87,-2.4%
Alec Burks,27.3,CLE,Wing,954,69,-0.9%,3,+4.4%,21,+1.2%,96,-2.6%,72,-1.3%,94,-1.8%,77,-1.3%,93,-3.1%
Alec Burks,27.3,SAC,Wing,111,85,-2.1%,3,+4.8%,63,-0.6%,39,+0.3%,55,-0.3%,100,-3.9%,66,-0.7%,99,-4.5%
Jimmy Butler,29.1,MIN,Wing,361,44,+0.2%,52,+0.1%,2,+3.7%,23,+0.9%,3,+4.6%,76,-0.6%,99,-4.0%,99,-4.6%
Jimmy Butler,29.1,PHI,Forward,1823,83,-1.8%,55,-0.1%,94,-2.7%,15,+1.5%,70,-1.2%,27,+0.6%,31,+0.8%,25,+1.4%
Bruno Caboclo,23.1,MEM,Forward,783,57,-0.3%,78,-1.8%,8,+2.3%,64,-0.5%,19,+1.9%,42,+0.1%,55,-0.2%,50,-0.0%
Jose Calderon,37.1,DET,Combo,580,42,+0.3%,27,+1.5%,37,+0.5%,33,+0.5%,31,+1.0%,88,-1.2%,76,-1.3%,88,-2.5%
Kentavious Caldwell-Pope,25.7,LAL,Wing,1989,12,+2.3%,31,+1.2%,74,-1.0%,30,+0.6%,57,-0.4%,61,-0.3%,64,-0.6%,66,-0.9%
Isaiah Canaan,27.4,PHX,Combo,500,19,+1.8%,56,-0.2%,68,-0.8%,96,-2.4%,91,-3.1%,20,+0.8%,10,+2.6%,7,+3.4%
Clint Capela,24.5,HOU,Big,2244,63,-0.6%,56,-0.2%,17,+1.5%,52,-0.1%,25,+1.4%,65,-0.4%,69,-0.9%,72,-1.2%
DeMarre Carroll,32.3,BKN,Forward,1696,66,-0.9%,74,-1.5%,42,+0.2%,76,-0.9%,63,-0.7%,5,+1.7%,36,+0.5%,14,+2.2%
Vince Carter,41.8,ATL,Big,1322,86,-2.2%,75,-1.7%,36,+0.5%,50,-0.0%,40,+0.5%,65,-0.4%,20,+1.5%,28,+1.2%
Michael Carter-Williams,27.1,ORL,Combo,222,88,-2.6%,28,+1.4%,98,-3.9%,45,+0.1%,95,-3.8%,80,-0.8%,5,+3.2%,12,+2.4%
Omri Casspi,30.4,MEM,Forward,492,74,-1.3%,10,+2.9%,94,-2.8%,82,-1.3%,96,-4.1%,1,+3.1%,85,-1.8%,27,+1.2%
Willie Cauley-Stein,25.2,SAC,Big,2222,40,+0.4%,68,-1.0%,14,+1.7%,83,-1.4%,42,+0.4%,42,+0.1%,37,+0.5%,36,+0.6%
Tyson Chandler,36.1,LAL,Big,785,93,-3.3%,99,-7.3%,5,+2.8%,0,+5.1%,0,+7.9%,76,-0.6%,49,+0.0%,61,-0.6%
Wilson Chandler,31.5,PHI,Big,951,28,+1.1%,40,+0.7%,90,-2.0%,9,+1.9%,53,-0.2%,40,+0.2%,68,-0.7%,60,-0.5%
Wilson Chandler,31.5,LAC,Forward,210,15,+2.1%,73,-1.4%,92,-2.4%,54,-0.1%,88,-2.6%,53,-0.1%,2,+4.1%,5,+4.0%
Marquese Chriss,21.3,CLE,Big,394,12,+2.3%,20,+1.9%,18,+1.4%,89,-1.7%,55,-0.3%,96,-1.9%,41,+0.3%,77,-1.6%
Ian Clark,27.7,NOP,Combo,944,75,-1.4%,32,+1.1%,73,-0.9%,32,+0.5%,57,-0.4%,81,-0.9%,47,+0.1%,65,-0.8%
Jordan Clarkson,26.4,CLE,Combo,2179,77,-1.5%,55,-0.2%,49,+0.0%,62,-0.4%,56,-0.3%,63,-0.3%,30,+0.8%,39,+0.5%
Darren Collison,31.2,IND,Point,2143,20,+1.6%,30,+1.3%,75,-1.0%,91,-1.9%,90,-2.9%,10,+1.2%,37,+0.5%,21,+1.6%
Mike Conley,31.1,MEM,Point,2341,32,+0.8%,38,+0.8%,69,-0.8%,57,-0.2%,68,-1.0%,47,+0.0%,45,+0.2%,43,+0.2%
Pat Connaughton,25.8,MIL,Wing,1153,33,+0.8%,40,+0.7%,67,-0.7%,91,-1.8%,87,-2.6%,3,+2.4%,61,-0.5%,18,+1.9%
DeMarcus Cousins,28.2,GSW,Big,753,52,-0.1%,66,-0.9%,70,-0.8%,24,+0.8%,49,+0.0%,48,+0.0%,30,+0.8%,31,+0.8%
Robert Covington,27.9,PHI,Forward,439,40,+0.4%,7,+3.7%,96,-3.0%,97,-3.0%,99,-6.0%,61,-0.3%,9,+2.6%,13,+2.3%
Robert Covington,27.9,MIN,Wing,748,74,-1.3%,94,-3.9%,10,+2.1%,21,+1.0%,8,+3.1%,24,+0.6%,44,+0.2%,32,+0.8%
Allen Crabbe,26.6,BKN,Wing,1117,84,-1.9%,69,-1.1%,19,+1.4%,20,+1.1%,13,+2.5%,51,-0.1%,77,-1.3%,74,-1.4%
Jamal Crawford,38.6,PHX,Point,1208,30,+0.9%,29,+1.3%,83,-1.6%,15,+1.5%,53,-0.2%,80,-0.8%,59,-0.4%,72,-1.2%
Jae Crowder,28.3,UTA,Big,2158,23,+1.3%,44,+0.5%,60,-0.4%,92,-1.9%,86,-2.3%,32,+0.4%,21,+1.4%,19,+1.8%
Dante Cunningham,31.5,SAS,Forward,834,5,+3.1%,22,+1.7%,94,-2.8%,2,+3.5%,35,+0.7%,84,-1.0%,80,-1.5%,88,-2.5%
Seth Curry,28.2,POR,Wing,1362,80,-1.7%,89,-3.0%,80,-1.4%,13,+1.6%,45,+0.2%,44,+0.1%,9,+2.6%,10,+2.7%
Stephen Curry,30.6,GSW,Point,2326,86,-2.1%,83,-2.2%,39,+0.4%,34,+0.5%,32,+0.9%,41,+0.2%,24,+1.2%,25,+1.3%
Troy Daniels,27.3,PHX,Wing,706,30,+0.9%,93,-3.6%,1,+4.2%,58,-0.3%,5,+3.9%,57,-0.2%,52,-0.1%,57,-0.3%
Anthony Davis,25.6,NOP,Big,1849,60,-0.5%,98,-5.5%,21,+1.3%,10,+1.8%,8,+3.1%,39,+0.2%,12,+2.2%,12,+2.4%
Deyonta Davis,21.9,ATL,Big,117,98,-4.8%,49,+0.2%,61,-0.5%,90,-1.8%,85,-2.3%,3,+2.5%,58,-0.3%,14,+2.2%
Ed Davis,29.4,BKN,Big,1443,95,-3.8%,94,-3.8%,16,+1.6%,6,+2.3%,4,+3.9%,45,+0.1%,56,-0.2%,51,-0.1%
DeMar DeRozan,29.2,SAS,Wing,2687,52,-0.1%,34,+1.0%,60,-0.5%,71,-0.7%,70,-1.2%,92,-1.5%,18,+1.7%,44,+0.2%
Dewayne Dedmon,29.2,ATL,Big,1603,38,+0.5%,59,-0.4%,48,+0.1%,73,-0.8%,64,-0.7%,9,+1.2%,52,-0.1%,28,+1.1%
Sam Dekker,24.5,CLE,Big,155,1,+5.3%,8,+3.4%,30,+0.8%,44,+0.2%,31,+1.0%,30,+0.5%,99,-4.8%,98,-4.4%
Sam Dekker,24.5,WAS,Forward,578,50,-0.0%,48,+0.2%,46,+0.1%,30,+0.6%,35,+0.8%,79,-0.7%,56,-0.2%,68,-1.0%
Matthew Dellavedova,28.1,CLE,Wing,697,98,-5.5%,44,+0.5%,22,+1.1%,19,+1.2%,14,+2.3%,92,-1.6%,75,-1.2%,91,-2.8%
Luol Deng,33.5,MIN,Forward,350,98,-5.3%,43,+0.6%,98,-4.5%,60,-0.3%,98,-4.8%,50,-0.0%,2,+4.3%,4,+4.2%
Cheick Diallo,22.1,NOP,Big,850,62,-0.6%,45,+0.5%,25,+1.0%,45,+0.1%,28,+1.2%,85,-1.0%,64,-0.6%,77,-1.6%
