Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,25.3,OKC,Wing,558,9,-8.1,6,-8.9,35,-1.0%,29,+1.1%,45,-0.4,47,-0.3,52,-0.2
Quincy Acy,28.1,PHX,Big,102,79,+3.3,56,+0.5,28,-1.6%,12,+2.1%,6,-6.5,3,-4.8,36,-5.0
Steven Adams,25.3,OKC,Big,2678,97,+9.8,84,+3.9,79,+2.3%,97,-3.8%,81,+3.1,83,+2.2,60,+2.8
LaMarcus Aldridge,33.3,SAS,Big,2698,62,+0.7,65,+1.3,24,-1.8%,19,+1.6%,36,-1.4,39,-0.7,43,-2.8
Al-Farouq Aminu,28.1,POR,Big,2291,90,+5.5,95,+6.9,84,+2.9%,85,-1.7%,86,+3.8,95,+5.0,18,-10.7
Justin Anderson,25.0,ATL,Wing,414,23,-4.3,19,-5.2,19,-2.4%,84,-1.7%,56,+0.5,35,-1.0,79,+8.9
Kyle Anderson,25.1,MEM,Forward,1270,21,-4.6,52,-0.0,10,-3.7%,22,+1.4%,12,-4.8,17,-2.4,12,-14.2
Ryan Anderson,30.5,PHX,Big,277,3,-11.8,9,-7.9,63,+0.9%,0,+5.9%,16,-4.0,43,-0.5,4,-22.9
Giannis Antetokounmpo,23.9,MIL,Forward,2364,79,+3.4,77,+3.0,34,-1.2%,69,-0.8%,57,+0.5,26,-1.7,92,+15.4
Carmelo Anthony,34.4,HOU,Forward,291,2,-12.8,3,-11.1,17,-2.6%,55,-0.1%,14,-4.4,28,-1.5,5,-21.1
Trevor Ariza,33.3,PHX,Wing,883,23,-4.1,68,+1.7,4,-6.0%,3,+3.4%,7,-6.2,7,-3.9,23,-9.3
Trevor Ariza,33.3,WAS,Wing,1463,83,+4.0,96,+7.4,4,-6.1%,32,+0.9%,9,-5.4,3,-4.8,56,+1.5
D.J. Augustin,31.0,ORL,Point,2265,93,+6.5,93,+6.1,53,+0.1%,9,+2.4%,50,+0.0,61,+0.5,40,-3.8
J.J. Barea,34.3,DAL,Combo,744,81,+3.7,48,-0.7,85,+2.9%,13,+2.0%,75,+2.3,72,+1.2,70,+5.2
Harrison Barnes,26.4,DAL,Forward,1569,21,-4.6,35,-2.5,18,-2.5%,60,-0.4%,69,+1.7,29,-1.4,94,+18.3
