Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,26.3,OKC,Big,210,11,+6.2%,22,+2.4%,96,-4.7%,45,+0.6%,85,-4.1%,90,-4.0%,8,+5.7%,32,+1.7%
Giannis Antetokounmpo,24.9,MIL,Big,277,78,-3.2%,69,-1.7%,87,-2.7%,17,+2.7%,54,-0.1%,33,+1.3%,43,+0.5%,31,+1.8%
Carmelo Anthony,35.4,POR,Big,213,1,+12.3%,6,+6.0%,93,-4.3%,92,-4.0%,99,-8.3%,68,-1.1%,18,+3.4%,24,+2.3%
D.J. Augustin,32.0,ORL,Point,127,21,+3.8%,95,-7.0%,25,+2.2%,12,+3.0%,7,+5.2%,61,-0.5%,28,+2.3%,30,+1.8%
Patrick Beverley,31.3,LAC,Point,165,80,-3.5%,15,+3.3%,55,-0.2%,38,+1.2%,40,+1.0%,46,+0.2%,89,-4.4%,83,-4.3%
Eric Bledsoe,29.9,MIL,Point,267,37,+2.2%,92,-6.3%,94,-4.4%,36,+1.3%,82,-3.1%,9,+3.8%,8,+5.6%,3,+9.4%
Malcolm Brogdon,26.9,IND,Combo,159,48,+0.9%,93,-6.4%,0,+9.7%,16,+2.7%,0,+12.4%,89,-3.9%,74,-2.1%,96,-6.0%
Jaylen Brown,23.0,BOS,Wing,670,61,-1.3%,34,+1.2%,8,+4.2%,60,-0.9%,19,+3.3%,95,-4.5%,48,+0.1%,86,-4.5%
Trey Burke,27.0,DAL,Point,155,86,-4.2%,8,+5.2%,72,-1.5%,26,+1.9%,50,+0.4%,59,-0.4%,91,-5.1%,93,-5.5%
Jimmy Butler,30.1,MIA,Wing,806,27,+3.2%,50,-0.0%,100,-7.9%,19,+2.4%,93,-5.5%,25,+2.0%,14,+3.6%,10,+5.6%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,35,+2.4%,33,+1.2%,64,-1.1%,53,-0.1%,68,-1.2%,68,-1.1%,38,+1.1%,52,-0.0%
Jordan Clarkson,27.4,UTA,Wing,197,34,+2.5%,66,-1.3%,78,-2.1%,13,+2.9%,42,+0.8%,52,-0.1%,43,+0.6%,44,+0.5%
Mike Conley,32.1,UTA,Point,162,26,+3.2%,30,+1.5%,68,-1.3%,95,-4.4%,93,-5.7%,15,+3.1%,37,+1.1%,17,+4.2%
Pat Connaughton,26.8,MIL,Wing,170,50,+0.5%,20,+2.7%,58,-0.6%,28,+1.8%,33,+1.2%,80,-2.5%,68,-1.4%,80,-3.9%
Robert Covington,28.9,HOU,Big,371,65,-2.2%,43,+0.4%,75,-1.8%,22,+2.3%,47,+0.5%,53,-0.1%,63,-0.9%,63,-1.0%
Jae Crowder,29.3,MIA,Big,659,28,+3.0%,65,-1.1%,73,-1.6%,18,+2.5%,41,+1.0%,58,-0.4%,42,+0.6%,49,+0.2%
Seth Curry,29.2,DAL,Combo,172,23,+3.7%,48,+0.0%,19,+2.6%,93,-4.1%,70,-1.5%,72,-1.7%,19,+3.2%,36,+1.4%
Anthony Davis,26.6,LAL,Big,768,68,-2.4%,81,-3.8%,67,-1.2%,41,+0.9%,57,-0.4%,50,+0.1%,11,+4.0%,18,+4.1%
Goran Dragic,33.5,MIA,Point,552,82,-3.8%,61,-0.8%,1,+6.3%,44,+0.6%,3,+6.9%,98,-4.6%,69,-1.4%,98,-6.0%
