Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,26.3,OKC,Big,1680,60,2.0%,70,1.3%,92,2.7%,95,13.2%,79,21.4%,89,8.7%,30,22.8%
Bam Adebayo,22.3,MIA,Big,2414,59,2.0%,81,1.5%,89,2.8%,55,8.0%,80,21.5%,49,2.3%,86,44.1%
LaMarcus Aldridge,34.3,SAS,Big,1753,74,2.5%,24,0.9%,93,2.5%,40,6.2%,35,16.0%,0,0.0%,21,18.7%
Nickeil Alexander-Walker,21.2,NOP,Combo,534,73,0.7%,23,1.0%,30,3.8%,17,1.4%,77,12.7%,0,0.0%,41,3.1%
Grayson Allen,24.1,MEM,Wing,684,6,0.1%,6,0.7%,52,3.1%,14,1.0%,48,10.3%,0,0.0%,49,6.7%
Jarrett Allen,21.5,BKN,Big,1838,68,2.4%,30,0.9%,79,3.1%,86,11.3%,82,21.8%,46,1.7%,88,44.8%
Al-Farouq Aminu,29.1,ORL,Forward,380,75,1.1%,89,2.0%,88,2.6%,91,5.4%,79,15.8%,85,4.2%,85,29.4%
Kyle Anderson,26.1,MEM,Forward,1296,89,1.3%,65,1.5%,56,3.3%,75,4.3%,65,14.2%,85,4.2%,95,34.6%
Giannis Antetokounmpo,24.9,MIL,Big,1915,51,1.7%,67,1.3%,89,2.8%,46,7.2%,99,30.0%,52,2.4%,98,59.5%
Carmelo Anthony,35.4,POR,Big,1897,13,0.7%,51,1.1%,76,3.2%,18,3.7%,23,14.2%,0,0.0%,33,23.7%
OG Anunoby,22.3,TOR,Forward,2062,76,1.1%,88,2.0%,60,3.3%,68,3.7%,45,12.4%,91,6.4%,79,27.4%
Ryan Arcidiacono,25.6,CHI,Wing,896,7,0.2%,49,1.3%,19,4.3%,43,1.9%,49,10.3%,77,2.2%,43,5.7%
Trevor Ariza,34.3,SAC,Forward,783,31,0.5%,83,1.9%,53,3.4%,29,2.7%,71,15.1%,0,0.0%,97,34.9%
Trevor Ariza,34.3,POR,Wing,701,50,0.6%,91,2.0%,69,2.8%,26,1.5%,63,11.1%,97,10.0%,82,19.4%
D.J. Augustin,32.0,ORL,Point,1419,2,0.0%,16,1.0%,90,1.9%,33,1.5%,4,7.0%,0,0.0%,49,2.9%
Deandre Ayton,21.3,PHX,Big,1235,69,2.4%,23,0.9%,68,3.5%,90,12.4%,77,21.3%,0,0.0%,90,50.0%
Dwayne Bacon,24.2,CHA,Wing,660,6,0.2%,62,1.5%,53,3.1%,50,2.1%,71,12.0%,76,2.2%,92,25.0%
Marvin Bagley,20.6,SAC,Big,326,57,1.9%,18,0.8%,22,5.3%,61,8.7%,70,20.5%,0,0.0%,34,23.8%
Lonzo Ball,22.0,NOP,Combo,2014,86,0.9%,73,1.8%,85,2.3%,79,3.4%,92,14.4%,74,0.9%,89,12.6%
Mohamed Bamba,21.5,ORL,Big,859,99,5.1%,46,1.1%,30,5.0%,77,10.5%,68,20.3%,55,2.6%,98,59.1%
J.J. Barea,35.3,DAL,Point,388,6,0.1%,0,0.5%,71,2.5%,61,2.3%,41,9.2%,0,0.0%,86,13.3%
Harrison Barnes,27.4,SAC,Forward,2474,9,0.2%,9,0.8%,100,1.4%,45,3.1%,32,11.4%,64,1.7%,15,8.9%
RJ Barrett,19.4,NYK,Wing,1678,42,0.5%,51,1.3%,73,2.7%,66,2.7%,81,13.0%,87,3.1%,81,18.6%
Will Barton,28.8,DEN,Wing,1903,70,0.8%,56,1.4%,81,2.5%,88,4.2%,90,14.4%,0,0.0%,95,25.6%
Keita Bates-Diop,23.8,MIN,Big,617,40,1.3%,48,1.1%,99,1.9%,10,2.9%,15,13.3%,0,0.0%,23,19.0%
