Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,26.3,OKC,Big,1680,73,59.2%,70,62%,99,37%,14,1%,86,38%,14,0%,0,0%,9,0%
Bam Adebayo,22.3,MIA,Big,2414,58,55.8%,64,59%,95,31%,74,8%,89,39%,26,1%,17,0%,17,1%
LaMarcus Aldridge,34.3,SAS,Big,1753,37,53.2%,14,25%,74,24%,100,32%,99,57%,40,3%,47,15%,43,19%
Nickeil Alexander-Walker,21.2,NOP,Combo,534,23,46.9%,55,33%,33,14%,23,5%,17,20%,65,10%,76,38%,82,48%
Grayson Allen,24.1,MEM,Wing,684,88,58.8%,31,19%,89,23%,19,4%,57,27%,65,15%,68,39%,67,54%
Jarrett Allen,21.5,BKN,Big,1838,89,65.1%,93,85%,32,14%,10,0%,21,14%,27,1%,0,0%,15,1%
Al-Farouq Aminu,29.1,ORL,Forward,380,1,34.3%,71,41%,55,16%,55,6%,49,22%,32,10%,48,26%,37,36%
Kyle Anderson,26.1,MEM,Forward,1296,40,51.1%,52,33%,99,33%,72,11%,92,44%,55,13%,4,10%,7,23%
Giannis Antetokounmpo,24.9,MIL,Big,1915,71,59.1%,62,57%,44,16%,64,7%,49,23%,23,1%,55,20%,46,20%
Carmelo Anthony,35.4,POR,Big,1897,11,48.2%,15,25%,75,24%,99,24%,98,49%,54,6%,57,20%,53,26%
OG Anunoby,22.3,TOR,Forward,2062,89,58.3%,93,53%,16,6%,23,2%,12,9%,81,21%,15,18%,45,38%
Ryan Arcidiacono,25.6,CHI,Wing,896,60,53.7%,28,18%,61,17%,33,6%,42,22%,75,19%,73,41%,81,60%
Trevor Ariza,34.3,SAC,Forward,783,49,52.5%,19,23%,0,4%,28,3%,1,7%,95,27%,89,42%,96,70%
Trevor Ariza,34.3,POR,Wing,701,94,59.9%,86,44%,8,5%,8,2%,3,7%,85,21%,38,28%,56,49%
D.J. Augustin,32.0,ORL,Point,1419,20,48.6%,45,27%,43,18%,59,15%,51,33%,53,6%,61,34%,55,40%
Deandre Ayton,21.3,PHX,Big,1235,48,54.8%,58,53%,92,30%,88,15%,95,45%,17,0%,24,2%,21,2%
Dwayne Bacon,24.2,CHA,Wing,660,5,38.4%,82,43%,88,23%,56,10%,80,33%,7,4%,19,20%,6,24%
Marvin Bagley,20.6,SAC,Big,326,10,47.9%,53,50%,90,29%,77,9%,88,39%,20,1%,41,11%,35,11%
Lonzo Ball,22.0,NOP,Combo,2014,73,51.9%,41,26%,9,8%,42,10%,14,18%,88,13%,88,43%,92,56%
Mohamed Bamba,21.5,ORL,Big,859,32,52.4%,51,47%,18,11%,73,8%,30,19%,49,5%,69,30%,63,34%
J.J. Barea,35.3,DAL,Point,388,29,49.1%,67,31%,45,19%,47,12%,39,31%,33,4%,63,34%,53,39%
Harrison Barnes,27.4,SAC,Forward,2474,53,52.6%,68,41%,89,25%,41,4%,71,29%,36,11%,23,19%,17,30%
RJ Barrett,19.4,NYK,Wing,1678,11,44.9%,92,49%,68,18%,53,9%,58,27%,23,8%,8,16%,6,24%
Will Barton,28.8,DEN,Wing,1903,51,51.9%,66,35%,73,18%,55,10%,65,28%,12,5%,45,31%,30,36%
Keita Bates-Diop,23.8,MIN,Big,617,18,50.5%,45,42%,36,15%,39,3%,27,18%,85,16%,64,24%,73,41%
Nicolas Batum,30.9,CHA,Wing,488,9,43.5%,43,25%,7,5%,63,11%,24,16%,92,24%,54,35%,77,59%
Aron Baynes,32.9,PHX,Big,934,56,55.6%,37,39%,48,17%,27,2%,33,19%,55,6%,83,36%,76,42%
Kent Bazemore,30.3,POR,Wing,1077,12,44.9%,49,28%,39,12%,62,11%,43,23%,90,23%,33,26%,54,48%
Kent Bazemore,30.3,SAC,Forward,556,36,50.3%,84,46%,56,17%,53,6%,51,23%,72,17%,11,14%,21,31%
Darius Bazley,19.4,OKC,Big,1072,8,46.4%,34,38%,43,16%,54,5%,41,21%,83,15%,65,26%,73,41%
Bradley Beal,26.3,WAS,Wing,2051,53,52.0%,57,32%,75,19%,81,16%,84,35%,10,4%,41,29%,26,33%
Malik Beasley,22.9,MIN,Wing,462,83,57.3%,55,31%,53,15%,40,7%,41,22%,31,9%,64,38%,52,47%
Malik Beasley,22.9,DEN,Wing,697,32,49.1%,32,19%,64,17%,70,13%,71,30%,44,12%,69,39%,61,51%
Marco Belinelli,33.6,SAS,Wing,833,28,48.3%,8,10%,21,8%,99,28%,85,36%,54,14%,74,41%,69,55%
Jordan Bell,24.8,MIN,Big,205,49,55.0%,88,76%,24,13%,0,0%,15,13%,60,7%,30,4%,33,11%
DeAndre' Bembry,25.3,ATL,Combo,881,55,49.8%,100,56%,39,17%,2,1%,12,18%,80,11%,9,15%,15,26%
Dragan Bender,22.0,GSW,Big,184,19,50.7%,23,30%,78,25%,0,0%,58,25%,74,11%,79,34%,78,45%
Davis Bertans,27.0,WAS,Forward,1570,95,60.3%,1,12%,15,6%,43,4%,17,11%,11,6%,100,70%,97,77%
Patrick Beverley,31.3,LAC,Point,1341,82,55.2%,22,22%,35,17%,8,2%,8,19%,96,20%,76,39%,96,59%
Khem Birch,27.1,ORL,Big,885,32,52.6%,74,65%,96,32%,30,2%,81,34%,19,1%,0,0%,12,1%
Goga Bitadze,20.3,IND,Big,407,13,48.8%,31,33%,76,25%,96,19%,94,44%,44,4%,54,19%,49,23%
Bismack Biyombo,27.2,CHA,Big,1029,43,54.3%,82,72%,79,25%,33,2%,63,28%,0,0%,0,0%,0,0%
Nemanja Bjelica,31.5,SAC,Big,2009,68,58.1%,29,32%,48,17%,44,4%,39,21%,57,7%,88,40%,81,47%
Eric Bledsoe,29.9,MIL,Point,1644,67,52.7%,88,42%,57,20%,33,10%,37,30%,27,4%,33,24%,22,28%
Bogdan Bogdanovic,27.2,SAC,Wing,1752,69,54.7%,23,17%,57,16%,64,11%,61,28%,44,12%,81,44%,72,56%
Bojan Bogdanovic,30.5,UTA,Forward,2082,69,54.8%,28,28%,79,22%,48,5%,68,27%,67,16%,59,29%,64,45%
Isaac Bonga,20.0,WAS,Forward,1192,80,56.7%,96,57%,48,15%,19,2%,33,17%,37,11%,12,14%,8,25%
Devin Booker,23.0,PHX,Wing,2508,64,54.3%,45,27%,94,26%,87,19%,97,45%,3,3%,31,25%,12,28%
Chris Boucher,26.8,TOR,Big,742,43,54.3%,60,55%,10,8%,36,3%,11,10%,54,6%,68,29%,64,35%
Ky Bowman,22.4,GSW,Point,958,16,47.4%,57,28%,61,21%,76,20%,73,41%,84,9%,25,22%,33,31%
Avery Bradley,28.9,LAL,Combo,1184,76,52.7%,26,21%,20,10%,100,24%,65,35%,100,22%,18,22%,62,44%
Tony Bradley,21.8,UTA,Big,613,95,68.6%,93,83%,34,15%,11,1%,21,15%,0,0%,23,2%,19,2%
Mikal Bridges,23.2,PHX,Wing,1999,89,59.0%,87,45%,43,13%,27,5%,30,18%,76,19%,10,18%,32,37%
Miles Bridges,21.6,CHA,Forward,1962,33,49.2%,61,39%,76,21%,25,2%,53,23%,59,14%,33,23%,41,38%
Oshae Brissett,21.4,TOR,Forward,100,4,37.9%,89,50%,11,6%,0,0%,0,6%,93,25%,19,19%,60,44%
Ryan Broekhoff,29.2,DAL,Forward,144,25,48.0%,0,4%,5,6%,17,2%,8,8%,100,29%,99,60%,100,88%
Malcolm Brogdon,26.9,IND,Combo,1665,45,48.9%,77,39%,17,10%,92,22%,53,32%,9,3%,32,26%,20,29%
Dillon Brooks,23.8,MEM,Wing,2111,21,47.7%,37,22%,91,24%,86,17%,92,42%,9,4%,51,32%,31,37%
Bruce Brown,23.2,DET,Combo,1616,38,48.3%,97,51%,88,28%,3,2%,48,30%,86,13%,2,7%,6,19%
Jaylen Brown,23.0,BOS,Wing,1929,76,56.0%,69,36%,77,20%,54,9%,68,29%,34,10%,30,25%,28,35%
Sterling Brown,24.7,MIL,Wing,671,19,47.2%,58,32%,40,12%,34,6%,31,18%,78,20%,43,30%,57,50%
Troy Brown,20.3,WAS,Wing,1732,31,48.9%,70,36%,79,20%,84,17%,88,37%,25,8%,12,18%,11,26%
Jalen Brunson,23.2,DAL,Point,973,45,50.8%,31,25%,88,29%,71,17%,88,46%,69,7%,27,22%,31,30%
Thomas Bryant,22.3,WAS,Big,1144,84,62.6%,52,49%,30,14%,92,17%,74,31%,35,2%,52,18%,45,20%
Reggie Bullock,28.6,NYK,Wing,682,29,48.7%,31,19%,23,9%,95,23%,79,32%,63,15%,53,34%,55,49%
Trey Burke,27.0,PHI,Point,282,75,53.5%,69,32%,24,14%,94,27%,75,41%,37,5%,24,22%,20,26%
Trey Burke,27.0,DAL,Point,190,73,53.1%,61,29%,22,13%,65,15%,31,28%,92,14%,43,28%,65,42%
Alec Burks,28.3,GSW,Wing,1384,26,48.1%,52,29%,85,22%,81,16%,89,38%,17,6%,36,27%,22,33%
Alec Burks,28.3,PHI,Combo,361,92,57.1%,33,24%,56,21%,58,13%,62,34%,76,10%,59,32%,55,42%
Deonte Burton,25.7,OKC,Forward,283,0,32.4%,85,46%,23,8%,64,8%,31,15%,53,13%,41,25%,47,38%
Jimmy Butler,30.1,MIA,Wing,1957,24,48.0%,83,43%,98,31%,72,13%,96,45%,4,3%,3,9%,1,12%
Bruno Caboclo,24.1,MEM,Big,150,3,43.5%,57,51%,20,11%,68,7%,28,18%,86,16%,45,15%,58,31%
Kentavious Caldwell-Pope,26.7,LAL,Wing,1749,72,55.4%,56,31%,35,11%,71,13%,45,24%,74,19%,34,26%,47,45%
Clint Capela,25.5,HOU,Big,1275,85,62.7%,91,81%,56,18%,10,0%,29,19%,0,0%,0,0%,0,0%
DeMarre Carroll,33.3,SAS,Forward,110,5,38.6%,39,30%,96,30%,33,4%,80,33%,19,7%,61,30%,40,37%
DeMarre Carroll,33.3,HOU,Big,114,90,65.9%,29,32%,88,29%,45,4%,77,32%,93,21%,45,14%,66,36%
Jevon Carter,24.1,PHX,Combo,866,94,57.1%,12,18%,14,9%,55,13%,21,22%,98,22%,79,39%,95,61%
Vince Carter,42.8,ATL,Big,857,6,45.2%,1,10%,39,15%,81,11%,59,26%,80,13%,98,51%,92,64%
Wendell Carter,20.5,CHI,Big,1253,41,54.2%,75,65%,64,21%,65,7%,61,27%,39,3%,31,4%,30,7%
Michael Carter-Williams,28.1,ORL,Combo,808,20,46.4%,89,46%,80,24%,15,5%,44,29%,45,8%,12,18%,12,25%
Alex Caruso,25.7,LAL,Combo,1128,47,48.9%,83,42%,26,13%,35,7%,18,21%,89,13%,24,24%,47,37%
Willie Cauley-Stein,26.2,DAL,Big,147,98,71.4%,89,78%,53,18%,51,4%,44,22%,0,0%,0,0%,0,0%
Willie Cauley-Stein,26.2,GSW,Big,938,60,56.1%,67,60%,80,26%,84,14%,89,40%,0,0%,0,0%,0,0%
Tyson Chandler,37.1,HOU,Big,219,100,76.5%,99,95%,4,5%,0,0%,2,5%,0,0%,0,0%,0,0%
Wilson Chandler,32.5,BKN,Big,730,20,50.8%,2,14%,50,17%,49,4%,43,22%,88,17%,95,47%,92,64%
Chris Chiozza,23.9,BKN,Point,244,88,56.0%,75,35%,2,7%,20,8%,6,14%,47,5%,86,46%,84,51%
Chris Chiozza,23.9,WAS,Point,103,4,39.3%,35,25%,16,11%,73,18%,33,29%,63,7%,75,39%,75,46%
Marquese Chriss,22.3,GSW,Big,1160,59,56.1%,83,72%,38,15%,47,4%,31,19%,29,1%,36,8%,32,9%
Gary Clark,25.0,HOU,Big,194,29,51.9%,1,13%,2,4%,0,0%,0,4%,96,27%,99,57%,100,84%
Gary Clark,25.0,ORL,Forward,337,81,57.1%,5,14%,4,6%,11,1%,3,7%,88,23%,97,56%,99,79%
Brandon Clarke,23.1,MEM,Big,1258,88,64.1%,60,55%,85,28%,52,5%,78,33%,52,6%,33,7%,37,13%
Jordan Clarkson,27.4,CLE,Wing,665,59,53.4%,50,29%,76,19%,37,6%,48,25%,28,8%,63,38%,51,46%
Jordan Clarkson,27.4,UTA,Wing,1025,70,55.1%,41,24%,94,26%,25,4%,75,30%,56,14%,48,32%,49,45%
Nicolas Claxton,20.5,BKN,Big,161,61,56.3%,70,62%,70,22%,0,0%,44,22%,68,9%,33,7%,40,16%
Chris Clemons,22.3,HOU,Combo,211,17,45.7%,11,17%,2,2%,5,2%,0,4%,5,2%,100,76%,98,78%
Amir Coffey,22.4,LAC,Wing,106,6,42.2%,76,38%,67,18%,50,9%,54,26%,45,12%,23,24%,29,35%
John Collins,22.1,ATL,Big,1362,86,63.2%,61,55%,46,17%,57,6%,46,22%,39,3%,55,19%,48,22%
Zach Collins,21.9,POR,Big,289,29,52.2%,55,51%,47,17%,57,6%,47,23%,66,8%,53,18%,54,27%
Mike Conley,32.1,UTA,Point,1359,39,49.6%,12,18%,98,30%,31,10%,71,40%,88,10%,55,32%,59,42%
Pat Connaughton,26.8,MIL,Wing,1146,63,54.2%,71,38%,10,6%,14,2%,6,8%,22,8%,86,46%,66,54%
Quinn Cook,26.6,LAL,Combo,430,42,48.5%,30,23%,29,14%,94,22%,71,36%,85,13%,39,28%,52,41%
Robert Covington,28.9,HOU,Big,725,21,50.9%,15,25%,1,3%,13,1%,1,4%,85,16%,98,55%,96,71%
Robert Covington,28.9,MIN,Forward,1410,71,54.8%,27,28%,28,9%,32,4%,23,12%,9,6%,96,54%,84,60%
Allen Crabbe,27.6,ATL,Wing,504,16,46.2%,9,10%,44,13%,68,13%,51,26%,66,16%,90,48%,86,64%
Allen Crabbe,27.6,MIN,Wing,131,6,39.1%,11,12%,12,6%,51,9%,20,15%,100,39%,52,33%,94,73%
Torrey Craig,28.9,DEN,Wing,1041,77,56.1%,77,38%,20,8%,20,4%,12,12%,72,19%,47,31%,57,50%
Jae Crowder,29.3,MIA,Big,553,92,66.4%,7,19%,1,2%,43,4%,3,6%,95,25%,97,50%,99,75%
Jae Crowder,29.3,MEM,Forward,1321,20,47.0%,20,24%,17,6%,57,6%,27,13%,45,12%,95,52%,92,64%
Jarrett Culver,20.7,MIN,Combo,1454,15,45.4%,94,49%,30,14%,8,3%,9,16%,38,7%,38,28%,36,35%
Seth Curry,29.2,DAL,Combo,1543,98,62.1%,3,12%,48,18%,65,15%,61,34%,79,11%,89,44%,88,55%
Stephen Curry,31.6,GSW,Point,139,22,48.7%,37,25%,4,8%,61,15%,18,23%,61,7%,82,45%,86,52%
Troy Daniels,28.3,LAL,Wing,387,52,52.0%,6,9%,29,10%,73,14%,46,24%,86,22%,83,45%,91,67%
Anthony Davis,26.6,LAL,Big,2130,40,54.1%,43,42%,72,23%,94,18%,90,41%,42,4%,43,14%,42,17%
Ed Davis,30.4,UTA,Big,281,14,48.8%,82,70%,84,27%,30,2%,69,30%,0,0%,0,0%,0,0%
Terence Davis,22.5,TOR,Combo,1136,86,54.5%,59,34%,11,8%,6,2%,2,11%,91,14%,85,41%,91,55%
