Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,27.3,NOP,Big,1604,92,+3.6%,69,+1.9%,84,+4.1%,91,+7.2%,94,+5.3%,74,+3.5%,95,+5.3%,95,+4.8%
LaMarcus Aldridge,35.3,SAS,Big,544,54,+0.1%,26,-2.4%,6,-7.2%,87,+6.0%,47,-0.0%,36,-2.2%,76,+2.0%,67,+1.0%
LaMarcus Aldridge,35.3,BKN,Big,130,83,+2.3%,45,-0.7%,99,+13.0%,0,-21.0%,83,+2.8%,99,+15.9%,82,+2.4%,97,+5.4%
Al-Farouq Aminu,30.1,ORL,Forward,366,62,+0.7%,67,+1.7%,36,-1.4%,83,+4.8%,64,+1.2%,85,+5.8%,18,-3.1%,33,-1.6%
Kyle Anderson,27.1,MEM,Forward,1884,50,-0.2%,51,+0.1%,47,-0.2%,79,+4.3%,57,+0.7%,41,-1.2%,23,-2.3%,28,-2.0%
Giannis Antetokounmpo,25.9,MIL,Big,2010,84,+2.4%,100,+13.0%,17,-4.2%,52,+0.0%,25,-2.5%,56,+0.9%,12,-4.4%,16,-3.2%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,20,-2.7%,1,-13.5%,60,+1.0%,38,-1.8%,45,-0.2%,43,-0.7%,85,+2.8%,79,+2.1%
Carmelo Anthony,36.4,POR,Forward,1671,22,-2.5%,28,-2.3%,83,+3.9%,19,-5.4%,49,+0.1%,23,-5.0%,57,+0.3%,45,-0.7%
Trevor Ariza,35.3,MIA,Forward,836,72,+1.3%,85,+3.7%,12,-5.2%,44,-1.2%,16,-3.8%,31,-3.0%,91,+4.0%,78,+2.0%
D.J. Augustin,33.0,MIL,Point,697,24,-2.3%,12,-4.7%,45,-0.5%,39,-1.7%,37,-1.0%,65,+2.2%,56,+0.3%,63,+0.7%
D.J. Augustin,33.0,HOU,Combo,405,53,-0.0%,59,+0.9%,59,+0.9%,46,-1.0%,52,+0.3%,32,-2.7%,51,-0.1%,44,-0.7%
Harrison Barnes,28.4,SAC,Forward,2101,85,+2.5%,65,+1.6%,62,+1.2%,86,+5.8%,80,+2.6%,82,+4.9%,72,+1.5%,82,+2.4%
Will Barton,29.8,DEN,Wing,1723,83,+2.2%,71,+2.1%,79,+3.4%,27,-3.3%,63,+1.1%,89,+6.7%,75,+1.9%,86,+3.1%
Nicolas Batum,31.9,LAC,Wing,1839,63,+0.8%,65,+1.5%,39,-1.0%,57,+0.7%,44,-0.3%,25,-4.7%,60,+0.5%,41,-1.0%
Aron Baynes,33.9,TOR,Big,978,32,-1.7%,20,-3.1%,57,+0.7%,56,+0.7%,58,+0.7%,53,+0.6%,21,-2.6%,29,-1.8%
Kent Bazemore,31.3,GSW,Wing,1294,72,+1.3%,80,+3.1%,66,+1.7%,79,+4.3%,81,+2.6%,24,-4.7%,67,+1.1%,52,-0.2%
Bradley Beal,27.3,WAS,Wing,2143,96,+4.3%,63,+1.3%,80,+3.5%,95,+8.7%,94,+5.4%,40,-1.6%,81,+2.4%,73,+1.4%
Malik Beasley,23.9,MIN,Wing,1213,47,-0.4%,16,-3.9%,36,-1.4%,84,+5.0%,57,+0.6%,83,+5.1%,64,+0.9%,78,+2.0%
DeAndre' Bembry,26.3,TOR,Wing,947,35,-1.4%,91,+5.0%,44,-0.5%,93,+7.9%,72,+1.8%,25,-4.7%,8,-5.6%,8,-5.4%
Davis Bertans,28.0,WAS,Forward,1462,64,+0.9%,43,-0.9%,43,-0.7%,63,+1.4%,50,+0.2%,69,+2.6%,70,+1.3%,74,+1.6%
Patrick Beverley,32.3,LAC,Combo,823,58,+0.3%,77,+2.8%,91,+5.6%,46,-1.0%,84,+3.0%,81,+4.7%,16,-3.5%,38,-1.2%
Bismack Biyombo,28.2,CHA,Big,1342,8,-4.0%,29,-2.1%,33,-1.9%,16,-5.8%,20,-3.1%,46,-0.4%,16,-3.5%,20,-2.7%
Nemanja Bjelica,32.5,SAC,Big,435,23,-2.3%,72,+2.2%,30,-2.1%,21,-4.8%,23,-2.8%,74,+3.5%,4,-7.2%,9,-4.9%
Nemanja Bjelica,32.5,MIA,Big,152,96,+4.5%,83,+3.4%,92,+6.0%,83,+4.7%,95,+5.6%,39,-1.7%,81,+2.4%,72,+1.3%
Eric Bledsoe,30.9,NOP,Point,2108,84,+2.4%,74,+2.4%,76,+2.9%,53,+0.1%,72,+1.8%,70,+2.9%,88,+3.6%,89,+3.4%
Bojan Bogdanovic,31.5,UTA,Forward,2207,48,-0.3%,10,-5.2%,5,-7.7%,94,+8.5%,8,-5.6%,83,+5.1%,76,+2.0%,85,+2.9%
