Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Bam Adebayo,25.3,MIA,Big,925,62,80.4%,58,12.2%,87,3.2%,58,26.5%
Nickeil Alexander-Walker,24.2,MIN,Wing,206,0,80.0%,7,2.0%,30,0.7%,93,100.0%
Grayson Allen,27.1,MIL,Wing,149,0,85.7%,52,9.3%,59,1.1%,85,50.0%
Jarrett Allen,24.5,CLE,Big,190,0,50.0%,29,7.7%,21,1.0%,0,0.0%
Kyle Anderson,29.1,MIN,Forward,179,0,100.0%,16,3.7%,11,0.3%,84,50.0%
Deandre Ayton,24.3,PHX,Big,319,0,52.2%,45,10.2%,24,1.1%,74,41.7%
Desmond Bane,24.4,MEM,Wing,231,100,93.1%,48,8.7%,11,0.4%,22,9.1%
Harrison Barnes,30.4,SAC,Forward,196,38,73.1%,95,17.1%,63,1.2%,11,8.3%
RJ Barrett,22.4,NYK,Wing,375,10,76.9%,93,16.0%,56,1.0%,41,16.7%
Saddiq Bey,23.6,ATL,Forward,166,0,88.9%,53,8.2%,47,0.7%,47,20.0%
Bogdan Bogdanovic,30.2,ATL,Wing,182,0,77.8%,30,5.9%,33,0.7%,56,25.0%
Devin Booker,26.0,PHX,Wing,458,70,86.6%,81,12.6%,100,2.3%,78,36.4%
Christian Braun,21.5,DEN,Combo,243,0,58.8%,94,12.8%,69,1.1%,25,16.7%
Mikal Bridges,26.2,BKN,Wing,157,0,78.3%,85,12.8%,70,1.3%,48,18.2%
Malcolm Brogdon,29.9,BOS,Combo,466,33,84.8%,69,7.9%,75,1.2%,31,18.8%
Dillon Brooks,26.8,MEM,Wing,167,0,71.4%,22,5.0%,0,0.0%,56,25.0%
Bruce Brown,26.2,DEN,Wing,528,60,85.7%,74,11.4%,44,0.9%,33,13.6%
Jaylen Brown,26.0,BOS,Wing,748,0,69.4%,52,9.3%,78,1.6%,70,30.6%
Troy Brown,23.3,LAL,Forward,117,0,0.0%,0,0.0%,16,0.4%,95,0.0%
Jalen Brunson,26.2,NYK,Point,442,89,91.2%,69,10.8%,81,2.4%,19,14.8%
Jimmy Butler,33.1,MIA,Forward,955,63,81.2%,100,17.7%,89,2.1%,68,27.8%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,17,82.9%,56,7.6%,56,1.1%,50,23.1%
Clint Capela,28.5,ATL,Big,179,0,40.0%,37,8.9%,29,1.2%,0,0.0%
Nicolas Claxton,23.5,BKN,Big,116,0,60.0%,82,18.5%,76,2.6%,92,60.0%
John Collins,25.1,ATL,Big,186,0,66.7%,24,7.1%,37,1.3%,92,60.0%
Mike Conley,35.1,MIN,Point,255,0,94.4%,38,7.8%,56,2.0%,0,0.0%
Torrey Craig,31.9,PHX,Forward,177,0,88.9%,32,6.7%,32,0.5%,74,33.3%
Stephen Curry,34.6,GSW,Point,491,44,84.2%,31,7.2%,88,2.6%,94,52.2%
Anthony Davis,29.6,LAL,Big,650,77,84.2%,74,15.8%,79,2.8%,47,22.4%
Donte DiVincenzo,25.7,GSW,Wing,207,0,66.7%,33,6.7%,67,1.2%,0,0.0%
Spencer Dinwiddie,29.6,BKN,Point,159,0,68.2%,100,20.0%,44,1.9%,25,16.7%
Kevin Durant,34.1,PHX,Big,465,100,91.7%,71,15.7%,92,3.8%,37,20.0%
