Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,29.3,MEM,Big,1132,70,-2.2,62,-1.3,97,-4.9%,39,-0.3%,58,-0.6,69,-1.1,39,+4.1
Kyle Anderson,29.1,MIN,Forward,1954,54,-0.2,47,+0.1,39,+1.0%,73,+0.8%,50,+0.2,49,+0.1,51,0.0
Giannis Antetokounmpo,27.9,MIL,Big,2021,72,-2.6,52,-0.6,79,-2.1%,70,+0.7%,73,-2.1,77,-1.5,61,-2.5
Thanasis Antetokounmpo,30.3,MIL,Big,113,0,+18.6,1,+11.9,95,-4.2%,0,-4.7%,37,+1.3,48,+0.2,31,+6.9
Harrison Barnes,30.4,SAC,Forward,2658,65,-1.5,51,-0.4,92,-3.7%,82,+1.2%,54,-0.2,90,-2.7,11,+16.1
Will Barton,31.8,WAS,Wing,767,20,+3.6,20,+3.8,31,+1.5%,53,+0.1%,26,+2.4,24,+1.4,39,+3.9
Will Barton,31.8,TOR,Combo,201,58,-0.8,83,-4.1,99,-6.2%,35,-0.5%,14,+3.7,99,-5.0,0,+63.9
Nicolas Batum,33.9,LAC,Forward,1699,71,-2.5,83,-4.1,14,+3.3%,49,+0.0%,33,+1.8,52,-0.0,21,+10.6
Bradley Beal,29.3,WAS,Combo,1672,41,+1.2,44,+0.4,77,-1.8%,84,+1.3%,57,-0.5,66,-0.9,46,+2.1
Malik Beasley,25.9,UTA,Wing,1465,25,+2.9,60,-1.1,47,+0.5%,70,+0.7%,8,+4.7,45,+0.3,6,+20.8
Malik Beasley,25.9,LAL,Wing,611,16,+4.2,6,+6.6,94,-4.1%,13,-1.6%,63,-1.1,73,-1.3,38,+4.2
Davis Bertans,30.0,DAL,Big,457,46,+0.6,14,+4.4,14,+3.2%,96,+2.4%,98,-7.1,52,+0.0,99,-37.9
Patrick Beverley,34.3,LAL,Combo,1210,57,-0.6,43,+0.5,51,+0.2%,86,+1.5%,26,+2.4,11,+2.5,64,-3.2
Patrick Beverley,34.3,CHI,Point,605,55,-0.4,3,+9.3,98,-5.9%,96,+2.4%,99,-9.8,99,-5.5,95,-21.7
Bismack Biyombo,30.2,PHX,Big,822,63,-1.4,89,-5.4,19,+2.7%,22,-1.1%,29,+2.2,17,+2.1,60,-2.4
Bojan Bogdanovic,33.5,DET,Forward,1892,28,+2.5,36,+1.2,57,-0.2%,29,-0.8%,17,+3.4,35,+0.8,19,+12.1
Devin Booker,26.0,PHX,Wing,1828,24,+3.1,21,+3.7,11,+3.6%,74,+0.9%,15,+3.6,22,+1.7,31,+7.1
Malcolm Brogdon,29.9,BOS,Combo,1731,32,+2.1,61,-1.2,34,+1.3%,66,+0.6%,38,+1.2,55,-0.1,25,+8.4
Jaylen Brown,26.0,BOS,Wing,2400,26,+2.8,24,+3.1,28,+1.8%,12,-1.7%,26,+2.4,16,+2.2,51,+0.1
Reggie Bullock,31.6,DAL,Forward,2351,21,+3.4,19,+3.8,76,-1.7%,70,+0.7%,62,-0.9,60,-0.5,56,-1.6
Alec Burks,31.3,DET,Wing,1122,75,-2.8,78,-3.2,66,-0.8%,90,+1.8%,17,+3.3,57,-0.3,9,+18.7
Jimmy Butler,33.1,MIA,Forward,2138,20,+3.6,22,+3.5,40,+1.0%,69,+0.7%,10,+4.3,25,+1.4,13,+15.2
Kentavious Caldwell-Pope,29.7,DEN,Combo,2375,91,-5.8,73,-2.6,95,-4.5%,68,+0.6%,65,-1.2,80,-1.7,39,+4.1
Clint Capela,28.5,ATL,Big,1730,25,+2.8,19,+3.9,78,-2.0%,46,-0.1%,50,+0.2,48,+0.2,52,-0.3
Jordan Clarkson,30.4,UTA,Combo,1987,39,+1.4,43,+0.5,31,+1.5%,4,-2.9%,9,+4.4,3,+4.4,71,-6.6
Mike Conley,35.1,UTA,Point,1274,26,+2.7,17,+4.1,65,-0.8%,53,+0.1%,23,+2.8,31,+1.0,28,+7.5
Mike Conley,35.1,MIN,Point,752,69,-2.1,37,+1.1,97,-5.1%,23,-1.0%,44,+0.7,89,-2.6,6,+20.6
Pat Connaughton,29.8,MIL,Wing,1402,41,+1.1,24,+3.2,17,+2.8%,45,-0.1%,28,+2.3,15,+2.2,55,-1.0
Robert Covington,31.9,LAC,Big,697,53,-0.2,66,-1.7,10,+3.7%,75,+0.9%,12,+3.9,23,+1.6,23,+9.9
Jae Crowder,32.3,MIL,Forward,325,29,+2.4,70,-2.2,0,+10.1%,10,-1.8%,38,+1.2,13,+2.3,70,-6.4
Seth Curry,32.2,BKN,Wing,1181,26,+2.8,24,+3.3,81,-2.2%,50,+0.1%,85,-3.6,82,-1.9,73,-6.9
Stephen Curry,34.6,GSW,Point,1940,66,-1.6,77,-3.1,80,-2.1%,8,-2.0%,34,+1.7,31,+1.0,46,+1.9
Anthony Davis,29.6,LAL,Big,1904,94,-7.0,86,-4.9,96,-4.8%,57,+0.2%,98,-7.2,94,-3.5,92,-18.1
DeMar DeRozan,33.2,CHI,Forward,2673,54,-0.3,35,+1.3,76,-1.8%,88,+1.5%,71,-2.0,83,-1.9,47,+1.4
Dewayne Dedmon,33.2,MIA,Big,349,19,+3.7,53,-0.6,53,+0.1%,4,-3.0%,26,+2.4,42,+0.4,21,+10.6
