Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,24.1,NYK,Big,181,88,3.4%,44,1.0%,18,4.4%,74,12.5%,3,8.9%,0,0.0%,6,9.1%
Bam Adebayo,26.3,MIA,Big,254,18,0.8%,6,0.4%,65,3.0%,38,6.0%,59,18.6%,0,0.0%,56,27.3%
Nickeil Alexander-Walker,25.2,MIN,Wing,374,54,0.9%,54,1.2%,61,2.8%,21,1.4%,14,7.1%,0,0.0%,0,0.0%
Jarrett Allen,25.5,CLE,Big,126,56,1.7%,94,1.8%,85,2.5%,85,12.9%,100,31.1%,0,0.0%,71,33.3%
Jose Alvarado,25.6,NOP,Point,104,86,1.1%,100,3.0%,57,2.6%,29,0.9%,29,7.6%,0,0.0%,100,50.0%
Kyle Anderson,30.1,MIN,Forward,227,68,1.0%,88,2.0%,24,4.8%,100,8.4%,40,9.9%,0,0.0%,64,23.1%
OG Anunoby,26.3,NYK,Forward,324,88,1.5%,48,1.1%,84,2.0%,20,2.3%,60,13.7%,0,0.0%,100,50.0%
Paolo Banchero,21.0,ORL,Big,260,21,0.8%,74,1.3%,97,1.8%,29,4.8%,47,17.3%,94,7.7%,56,27.3%
Nicolas Batum,34.9,PHI,Wing,197,89,1.5%,4,0.2%,43,3.4%,93,5.7%,64,11.9%,0,0.0%,89,35.7%
Bradley Beal,30.3,PHX,Combo,153,22,0.3%,17,0.9%,22,4.2%,72,3.8%,6,3.6%,100,14.3%,0,0.0%
Malik Beasley,26.9,MIL,Combo,126,0,0.0%,50,1.4%,44,3.2%,11,0.8%,67,10.7%,0,0.0%,72,12.5%
Patrick Beverley,35.3,MIL,Wing,209,61,1.0%,64,1.3%,54,3.1%,32,2.1%,25,8.4%,0,0.0%,0,0.0%
Devin Booker,27.0,PHX,Point,165,36,0.3%,71,2.0%,0,4.5%,21,0.7%,36,7.8%,0,0.0%,0,0.0%
Christian Braun,22.5,DEN,Wing,202,75,1.4%,11,0.5%,21,4.3%,82,4.7%,46,10.1%,0,0.0%,100,44.4%
Jaylen Brown,27.0,BOS,Wing,706,57,0.9%,71,1.5%,75,2.6%,64,3.3%,79,13.2%,89,4.5%,57,15.0%
Jalen Brunson,27.2,NYK,Point,517,14,0.2%,14,0.9%,93,1.9%,43,1.6%,7,6.9%,0,0.0%,79,14.3%
Alec Burks,32.3,NYK,Wing,114,39,0.5%,7,0.4%,86,2.3%,46,2.6%,96,18.2%,0,0.0%,0,0.0%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,50,0.6%,86,1.9%,32,3.9%,18,1.3%,21,8.2%,0,0.0%,0,0.0%
Wendell Carter,24.5,ORL,Big,185,35,1.2%,59,1.2%,26,4.1%,24,4.3%,44,17.3%,97,12.5%,85,40.0%
Amir Coffey,26.4,LAC,Forward,102,16,0.5%,32,0.9%,76,2.3%,8,1.8%,8,6.3%,0,0.0%,0,0.0%
Mike Conley,36.1,MIN,Point,472,50,0.4%,79,2.0%,14,3.6%,71,2.1%,64,11.6%,100,4.0%,0,0.0%
Pat Connaughton,30.8,MIL,Wing,122,29,0.4%,100,2.3%,89,2.3%,39,2.6%,93,16.4%,0,0.0%,0,0.0%
Anthony Davis,30.6,LAL,Big,248,71,2.2%,15,0.6%,35,3.9%,62,9.6%,94,28.7%,0,0.0%,32,20.0%
Donte DiVincenzo,26.7,NYK,Wing,465,79,1.4%,68,1.4%,71,2.6%,43,2.6%,39,9.8%,86,4.0%,0,0.0%
Luka Doncic,24.7,DAL,Point,898,64,0.5%,86,2.1%,64,2.6%,50,1.8%,100,21.6%,93,1.8%,71,12.9%
Luguentz Dort,24.5,OKC,Wing,349,21,0.3%,79,1.7%,0,5.3%,86,5.2%,18,7.5%,93,9.1%,43,4.8%
Kevin Durant,35.1,PHX,Big,167,59,1.8%,12,0.6%,91,2.2%,0,0.7%,15,14.9%,0,0.0%,62,28.6%
Anthony Edwards,22.2,MIN,Combo,647,67,0.8%,72,1.6%,83,2.2%,67,2.8%,100,16.1%,78,2.8%,67,10.3%
Joel Embiid,29.6,PHI,Big,286,47,1.6%,71,1.3%,68,2.9%,53,8.7%,62,18.6%,0,0.0%,12,11.8%
Dante Exum,28.3,DAL,Wing,117,36,0.4%,50,1.2%,50,3.2%,50,2.7%,29,8.5%,0,0.0%,0,0.0%
Daniel Gafford,25.1,DAL,Big,445,94,3.8%,21,0.6%,59,3.1%,71,10.4%,32,16.6%,0,0.0%,76,35.3%
Darius Garland,23.8,CLE,Point,426,21,0.2%,43,1.4%,21,3.5%,0,0.2%,43,10.0%,0,0.0%,0,0.0%
Paul George,33.5,LAC,Forward,222,44,0.7%,60,1.5%,28,4.2%,0,1.4%,88,17.1%,0,0.0%,72,25.0%
Josh Giddey,21.1,OKC,Forward,179,76,1.1%,12,0.5%,100,1.7%,56,3.8%,80,15.5%,0,0.0%,0,0.0%
Shai Gilgeous-Alexander,25.3,OKC,Point,396,100,2.2%,50,1.5%,36,3.1%,64,2.0%,93,15.8%,0,0.0%,57,11.5%
Rudy Gobert,31.3,MIN,Big,510,50,1.6%,68,1.3%,12,4.5%,56,8.9%,79,22.0%,76,2.9%,88,42.1%
Aaron Gordon,28.1,DEN,Big,444,24,0.8%,50,1.0%,76,2.7%,50,8.6%,9,12.4%,0,0.0%,9,11.5%
Eric Gordon,34.9,PHX,Wing,116,32,0.4%,93,2.0%,93,2.0%,7,1.1%,4,5.4%,0,0.0%,0,0.0%
Josh Green,23.0,DAL,Forward,378,8,0.3%,92,2.1%,52,3.2%,80,5.9%,32,9.0%,0,0.0%,60,21.4%
Rui Hachimura,25.7,LAL,Forward,185,0,0.0%,4,0.3%,72,2.3%,32,3.0%,20,7.1%,96,10.0%,48,20.0%
Tyrese Haliburton,23.7,IND,Point,521,79,1.0%,57,1.7%,100,1.1%,79,2.6%,79,11.8%,0,0.0%,50,5.6%
Tim Hardaway Jr.,31.6,DAL,Wing,161,25,0.3%,43,1.1%,64,2.7%,11,1.2%,54,11.3%,0,0.0%,79,28.6%
James Harden,34.2,LAC,Combo,241,94,1.3%,28,1.2%,78,2.3%,17,1.3%,61,10.4%,0,0.0%,44,7.7%
Gary Harris,29.1,ORL,Wing,158,64,1.0%,89,1.9%,7,4.7%,61,3.0%,0,3.9%,0,0.0%,61,16.7%
Tobias Harris,31.3,PHI,Forward,251,24,0.6%,0,0.2%,88,2.0%,76,5.9%,68,14.1%,0,0.0%,40,18.2%
Josh Hart,28.7,NYK,Forward,547,64,1.0%,44,1.1%,60,3.1%,84,6.5%,100,22.4%,92,6.3%,68,23.8%
Isaiah Hartenstein,25.5,NYK,Big,387,53,1.6%,9,0.5%,15,4.5%,82,12.7%,21,15.2%,85,6.3%,32,20.0%
Sam Hauser,25.9,BOS,Forward,265,36,0.6%,24,0.9%,56,3.2%,28,3.0%,44,10.8%,0,0.0%,80,27.3%
Tyler Herro,23.8,MIA,Combo,255,0,0.0%,0,0.4%,100,1.8%,0,0.4%,78,11.1%,0,0.0%,50,8.3%
Haywood Highsmith,26.9,MIA,Forward,171,32,0.6%,84,1.9%,16,4.9%,44,3.5%,28,8.6%,100,25.0%,0,0.0%
Jrue Holiday,33.4,BOS,Combo,718,72,0.9%,44,1.3%,72,2.5%,100,5.4%,83,11.3%,89,4.2%,39,4.5%
Justin Holiday,34.6,DEN,Combo,146,0,0.0%,89,1.9%,6,4.8%,6,0.7%,94,14.3%,0,0.0%,0,0.0%
Chet Holmgren,21.5,OKC,Big,343,97,3.8%,41,0.9%,53,3.4%,26,4.4%,18,15.1%,0,0.0%,82,36.8%
Al Horford,37.4,BOS,Big,574,44,1.5%,65,1.2%,94,2.0%,41,6.5%,50,17.6%,82,5.9%,47,21.4%
Brandon Ingram,26.2,NOP,Wing,207,82,1.5%,18,0.6%,96,1.9%,4,1.0%,75,13.1%,0,0.0%,0,0.0%
Kyrie Irving,31.6,DAL,Combo,879,39,0.4%,33,1.2%,50,3.0%,44,2.6%,17,6.9%,72,1.9%,33,3.3%
Jonathan Isaac,26.1,ORL,Forward,140,100,2.8%,68,1.5%,80,2.2%,92,7.0%,76,15.1%,0,0.0%,88,28.6%
Isaiah Jackson,21.8,IND,Big,130,100,4.0%,29,0.7%,3,5.7%,94,17.1%,35,16.8%,0,0.0%,21,14.3%
Reggie Jackson,33.5,DEN,Combo,111,44,0.5%,11,0.8%,11,4.6%,33,1.9%,50,9.7%,0,0.0%,89,16.7%
LeBron James,38.8,LAL,Forward,244,84,1.4%,100,2.9%,96,1.7%,4,1.8%,84,15.6%,0,0.0%,48,20.0%
Jaime Jaquez Jr.,22.7,MIA,Wing,179,46,0.6%,39,1.1%,57,2.9%,57,3.0%,50,10.3%,0,0.0%,61,16.7%
Isaiah Joe,24.3,OKC,Wing,172,0,0.0%,61,1.3%,68,2.7%,36,2.4%,61,11.5%,0,0.0%,0,0.0%
