Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,227,6,-11.7,15,-7.1,62,+1.6%,31,+1.4%,28,-5.3,29,-3.6,39,-6.3
Nicolas Batum,34.9,PHI,Wing,197,20,-6.3,0,-20.3,71,+3.0%,46,+0.1%,93,+11.4,75,+3.7,89,+36.6
Bradley Beal,30.3,PHX,Combo,153,14,-8.4,7,-9.8,50,+0.4%,76,-2.5%,4,-16.6,10,-7.5,12,-41.7
Malik Beasley,26.9,MIL,Combo,126,0,-21.5,1,-19.4,5,-10.5%,24,+2.2%,47,-0.7,22,-4.7,82,+27.8
Patrick Beverley,35.3,MIL,Wing,209,93,+14.5,94,+16.1,93,+8.3%,87,-3.9%,87,+10.1,99,+12.3,11,-44.7
Devin Booker,27.0,PHX,Point,165,84,+9.4,88,+11.8,2,-13.9%,98,-7.7%,9,-11.4,1,-15.8,92,+45.5
Jaylen Brown,27.0,BOS,Wing,706,29,-4.3,54,+1.3,23,-5.1%,12,+4.3%,11,-10.7,21,-4.8,15,-31.7
Alec Burks,32.3,NYK,Wing,114,71,+5.7,75,+7.3,60,+1.6%,35,+1.1%,57,+2.4,64,+1.9,46,-0.2
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,90,+13.0,85,+9.7,59,+1.5%,16,+2.9%,49,+0.5,41,-2.5,74,+19.4
Mike Conley,36.1,MIN,Point,472,51,+2.3,18,-6.2,84,+6.1%,22,+2.5%,95,+12.4,63,+1.9,94,+52.8
Pat Connaughton,30.8,MIL,Wing,122,36,-2.0,31,-3.2,9,-7.7%,49,-0.1%,6,-15.7,5,-10.3,19,-27.1
Anthony Davis,30.6,LAL,Big,248,78,+7.9,46,+0.4,33,-3.2%,64,-1.5%,92,+11.1,56,+1.0,98,+70.0
Kevin Durant,35.1,PHX,Big,167,44,-0.5,91,+13.8,0,-21.0%,5,+5.3%,0,-25.6,0,-22.8,75,+20.0
Joel Embiid,29.6,PHI,Big,286,100,+40.5,100,+53.4,28,-3.7%,66,-1.6%,20,-6.6,43,-1.7,21,-18.8
Dante Exum,28.3,DAL,Wing,117,10,-10.6,25,-3.8,19,-5.8%,7,+4.8%,3,-16.8,7,-8.6,4,-59.3
Paul George,33.5,LAC,Forward,222,94,+14.9,42,+0.2,66,+2.4%,8,+4.7%,98,+19.7,81,+4.8,100,+96.2
Rudy Gobert,31.3,MIN,Big,510,92,+14.1,81,+8.7,80,+4.8%,82,-3.3%,86,+10.0,91,+7.9,59,+5.9
Aaron Gordon,28.1,DEN,Big,444,8,-11.2,7,-10.3,80,+4.9%,55,-0.8%,70,+3.9,76,+4.1,43,-3.1
Eric Gordon,34.9,PHX,Wing,116,98,+23.4,99,+33.0,89,+7.5%,25,+2.1%,77,+5.9,97,+11.0,1,-125.0
Tim Hardaway Jr.,31.6,DAL,Wing,161,9,-11.2,2,-13.2,54,+1.0%,41,+0.7%,38,-2.3,37,-2.7,54,+3.3
James Harden,34.2,LAC,Combo,241,20,-6.2,82,+9.2,2,-15.1%,0,+15.7%,7,-14.7,2,-15.6,57,+5.3
Gary Harris,29.1,ORL,Wing,158,15,-8.4,11,-9.0,20,-5.3%,70,-1.8%,63,+3.1,55,+1.0,65,+11.9
Tobias Harris,31.3,PHI,Forward,251,4,-13.1,29,-3.4,63,+1.8%,10,+4.5%,28,-5.7,45,-1.0,23,-18.6
Jrue Holiday,33.4,BOS,Combo,718,68,+5.2,70,+4.2,54,+1.0%,40,+0.9%,81,+7.2,46,-0.6,93,+52.4
Justin Holiday,34.6,DEN,Combo,146,43,-0.6,56,+1.6,41,-1.7%,33,+1.2%,40,-1.8,59,+1.5,20,-19.6
Al Horford,37.4,BOS,Big,574,72,+6.2,79,+7.6,38,-2.1%,38,+0.9%,42,-1.5,67,+2.4,16,-30.8
Brandon Ingram,26.2,NOP,Wing,207,2,-17.4,36,-1.2,11,-7.2%,20,+2.7%,7,-14.3,8,-7.9,22,-18.7
Kyrie Irving,31.6,DAL,Combo,879,99,+28.4,90,+13.7,100,+12.8%,89,-4.2%,100,+21.6,100,+14.1,99,+75.8
Reggie Jackson,33.5,DEN,Combo,111,21,-6.2,30,-3.2,12,-7.1%,6,+5.0%,2,-17.3,4,-11.5,7,-52.6
LeBron James,38.8,LAL,Forward,244,56,+3.0,69,+4.1,37,-2.5%,97,-6.8%,74,+4.9,60,+1.5,79,+23.3
Nikola Jokic,28.7,DEN,Big,481,97,+19.5,93,+14.9,65,+2.2%,59,-1.1%,58,+2.4,58,+1.1,59,+5.9
Derrick Jones Jr.,26.7,DAL,Forward,646,46,-0.0,50,+0.8,70,+3.0%,57,-1.0%,67,+3.4,72,+3.1,45,-0.7
Caris LeVert,29.2,CLE,Wing,257,25,-5.0,12,-9.0,85,+6.6%,80,-2.9%,73,+4.8,77,+4.4,62,+8.6
Damian Lillard,33.3,MIL,Point,155,13,-9.0,3,-12.6,49,+0.4%,58,-1.1%,80,+6.4,57,+1.1,83,+28.1
Brook Lopez,35.6,MIL,Big,199,42,-0.7,53,+1.3,57,+1.2%,15,+2.9%,50,+0.6,42,-1.7,72,+16.1
Kyle Lowry,37.6,PHI,Combo,204,82,+8.6,97,+22.9,28,-3.8%,62,-1.3%,2,-19.2,16,-5.5,3,-60.6
CJ McCollum,32.1,NOP,Combo,212,23,-5.4,23,-4.8,61,+1.6%,19,+2.8%,15,-8.6,59,+1.4,6,-52.6
TJ McConnell,31.6,IND,Point,339,18,-6.7,5,-12.3,91,+7.9%,96,-5.1%,65,+3.3,90,+7.9,17,-28.7
Khris Middleton,32.2,MIL,Wing,229,89,+13.0,96,+19.6,64,+1.9%,54,-0.8%,41,-1.6,80,+4.6,9,-47.2
Marcus Morris,34.2,CLE,Big,119,39,-1.1,48,+0.6,69,+2.8%,18,+2.8%,72,+4.5,83,+5.2,44,-2.4
Jamal Murray,26.7,DEN,Point,461,55,+3.0,57,+1.9,94,+9.2%,85,-3.6%,98,+15.6,96,+10.9,90,+41.6
Larry Nance Jr.,30.8,NOP,Big,132,80,+8.6,50,+0.9,53,+0.8%,43,+0.5%,17,-7.5,11,-6.5,52,+2.7
Georges Niang,30.4,CLE,Forward,104,45,-0.4,80,+8.4,86,+6.7%,69,-1.8%,21,-6.5,82,+5.2,2,-68.9
Jusuf Nurkic,29.2,PHX,Big,103,24,-5.4,4,-12.5,93,+8.8%,86,-3.8%,83,+8.3,98,+11.6,0,-134.6
Kelly Oubre,27.9,PHI,Forward,260,98,+22.0,98,+26.9,18,-5.9%,90,-4.2%,59,+2.6,31,-3.4,80,+25.0
Bobby Portis,28.7,MIL,Big,186,95,+18.3,92,+14.1,85,+6.6%,95,-5.1%,89,+10.6,84,+5.2,81,+27.1
Kristaps Porzingis,28.2,BOS,Big,164,32,-3.3,34,-1.4,32,-3.3%,41,+0.7%,46,-1.0,28,-3.8,80,+26.1
Norman Powell,30.4,LAC,Wing,177,75,+6.8,65,+3.7,88,+7.5%,67,-1.7%,64,+3.2,65,+2.0,53,+2.8
Taurean Prince,29.6,LAL,Wing,133,35,-2.3,20,-5.5,58,+1.4%,32,+1.3%,50,+0.6,54,+0.8,41,-4.6
D'Angelo Russell,27.7,LAL,Point,221,96,+18.8,98,+25.1,31,-3.5%,24,+2.2%,88,+10.4,63,+1.9,95,+56.8
Pascal Siakam,29.6,IND,Forward,602,67,+5.1,76,+7.4,35,-2.7%,14,+3.8%,45,-1.2,25,-4.2,72,+16.6
Karl-Anthony Towns,28.0,MIN,Big,520,38,-1.2,22,-5.3,14,-6.7%,36,+1.1%,43,-1.5,40,-2.6,60,+6.9
Myles Turner,27.6,IND,Big,550,83,+9.3,84,+9.6,29,-3.6%,23,+2.4%,61,+2.9,37,-2.7,85,+29.9
Jonas Valanciunas,31.5,NOP,Big,136,24,-5.0,64,+3.3,78,+4.6%,72,-1.9%,85,+9.5,93,+9.6,33,-10.5
Russell Westbrook,35.0,LAC,Point,114,85,+10.0,45,+0.4,99,+12.4%,99,-8.7%,76,+5.8,88,+7.4,37,-8.3
Delon Wright,31.5,MIA,Combo,143,89,+12.8,89,+12.8,37,-2.4%,42,+0.5%,76,+5.7,78,+4.5,56,+5.3
Ivica Zubac,26.6,LAC,Big,191,40,-0.9,85,+9.6,15,-6.4%,20,+2.7%,67,+3.4,48,-0.3,77,+22.2
Josh Hart,28.7,NYK,Forward,547,47,+0.8,62,+2.8,41,-1.6%,2,+5.7%,33,-4.0,24,-4.2,58,+5.7
OG Anunoby,26.3,NYK,Forward,324,50,+1.5,68,+4.1,45,-0.9%,51,-0.5%,36,-3.1,51,+0.3,24,-18.1
Bam Adebayo,26.3,MIA,Big,254,58,+3.4,17,-6.3,7,-8.9%,13,+3.9%,34,-3.7,7,-9.1,89,+36.7
Jonathan Isaac,26.1,ORL,Forward,140,33,-2.7,60,+2.6,50,+0.5%,68,-1.7%,60,+2.8,76,+4.1,42,-4.0
Jayson Tatum,25.7,BOS,Forward,766,73,+6.3,46,+0.5,72,+3.1%,27,+2.0%,32,-4.2,15,-5.6,63,+10.0
Maxi Kleber,31.8,DAL,Big,218,59,+4.0,67,+3.9,48,+0.2%,61,-1.2%,24,-6.2,27,-3.9,34,-10.2
Derrick White,29.3,BOS,Combo,673,3,-13.4,13,-8.6,36,-2.6%,33,+1.2%,19,-7.2,17,-5.3,35,-10.0
Luke Kornet,28.3,BOS,Big,119,27,-4.8,16,-6.7,79,+4.8%,39,+0.9%,44,-1.3,62,+1.7,24,-17.9
Jarrett Allen,25.5,CLE,Big,126,37,-1.7,19,-5.8,97,+9.9%,74,-2.2%,51,+0.6,68,+3.0,30,-13.6
Donovan Mitchell,27.1,CLE,Combo,381,70,+5.5,55,+1.5,73,+3.5%,78,-2.6%,69,+3.8,50,0.0,86,+30.0
Royce O'Neale,30.4,PHX,Forward,103,12,-9.4,2,-16.1,81,+5.3%,50,-0.4%,56,+2.0,44,-1.3,88,+35.7
Wendell Carter,24.5,ORL,Big,185,67,+5.2,77,+7.5,7,-8.8%,7,+4.9%,14,-8.8,6,-9.7,50,+2.0
Luka Doncic,24.7,DAL,Point,898,80,+8.6,61,+2.7,90,+7.9%,93,-4.5%,96,+13.2,95,+10.3,70,+15.9
Michael Porter,25.3,DEN,Forward,442,86,+10.7,83,+9.5,52,+0.7%,93,-4.4%,55,+1.9,46,-0.6,67,+13.9
Shai Gilgeous-Alexander,25.3,OKC,Point,396,33,-2.8,20,-5.5,76,+4.2%,75,-2.4%,68,+3.5,69,+3.0,48,+0.4
Donte DiVincenzo,26.7,NYK,Wing,465,50,+2.3,80,+8.5,16,-6.4%,37,+1.0%,46,-0.8,49,-0.1,41,-4.1
Jalen Brunson,27.2,NYK,Point,517,76,+7.1,39,-1.0,77,+4.5%,21,+2.7%,78,+6.1,54,+1.0,84,+28.2
Isaiah Hartenstein,25.5,NYK,Big,387,28,-4.6,43,+0.2,6,-10.2%,2,+6.0%,71,+3.9,20,-5.1,93,+49.0
Mitchell Robinson,25.6,NYK,Big,114,65,+4.5,21,-5.3,98,+10.4%,98,-7.9%,35,-3.5,80,+4.5,13,-39.3
Haywood Highsmith,26.9,MIA,Forward,171,31,-3.5,28,-3.5,89,+7.8%,56,-0.9%,84,+8.5,85,+6.2,66,+12.0
Darius Garland,23.8,CLE,Point,426,7,-11.5,14,-8.1,1,-16.0%,3,+5.7%,16,-8.2,3,-12.3,67,+13.6
Rui Hachimura,25.7,LAL,Forward,185,16,-7.9,24,-4.1,30,-3.5%,26,+2.1%,23,-6.4,33,-3.2,28,-14.3
