Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,24.1,NYK,Big,181,18,51.2%,59,70%,6,0%,0,0%,6,0%,0,0%,0,0%,0,0%
Bam Adebayo,26.3,MIA,Big,254,24,52.2%,79,76%,76,55%,41,32%,65,49%,0,0%,0,23%,0,21%
Nickeil Alexander-Walker,25.2,MIN,Wing,374,32,47.2%,50,59%,54,44%,96,75%,100,54%,33,37%,12,23%,14,29%
Jarrett Allen,25.5,CLE,Big,126,91,67.6%,76,76%,97,67%,21,0%,68,50%,0,0%,0,0%,0,0%
Jose Alvarado,25.6,NOP,Point,104,7,38.2%,100,100%,7,13%,0,0%,7,11%,0,14%,0,25%,0,21%
Kyle Anderson,30.1,MIN,Forward,227,16,47.4%,12,46%,76,50%,80,50%,76,50%,0,29%,0,0%,0,25%
OG Anunoby,26.3,NYK,Forward,324,96,57.7%,72,68%,16,24%,88,57%,52,39%,100,50%,57,35%,88,41%
Paolo Banchero,21.0,ORL,Big,260,21,51.4%,15,54%,26,34%,94,56%,44,45%,0,33%,83,41%,59,40%
Nicolas Batum,34.9,PHI,Wing,197,96,64.6%,18,43%,0,0%,71,50%,82,50%,0,33%,100,59%,96,47%
Bradley Beal,30.3,PHX,Combo,153,39,52.5%,50,65%,17,31%,11,17%,11,26%,0,38%,0,47%,84,43%
Malik Beasley,26.9,MIL,Combo,126,94,64.1%,17,50%,100,63%,100,100%,100,70%,0,50%,60,41%,84,43%
Patrick Beverley,35.3,MIL,Wing,209,25,46.2%,39,56%,39,37%,0,0%,36,37%,0,50%,0,33%,0,36%
Devin Booker,27.0,PHX,Point,165,86,54.6%,50,61%,93,50%,79,50%,86,50%,0,0%,50,37%,53,35%
Christian Braun,22.5,DEN,Wing,202,29,46.3%,36,55%,68,50%,11,0%,64,43%,0,20%,0,23%,4,22%
Jaylen Brown,27.0,BOS,Wing,706,86,57.4%,93,75%,68,50%,54,36%,75,46%,50,41%,29,31%,43,34%
Jalen Brunson,27.2,NYK,Point,517,21,48.4%,57,62%,57,46%,57,41%,50,44%,0,33%,17,31%,27,31%
Alec Burks,32.3,NYK,Wing,114,100,64.8%,79,67%,89,56%,71,50%,96,53%,0,44%,0,50%,100,48%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,39,50.0%,54,60%,54,44%,71,50%,79,48%,67,42%,24,26%,39,33%
Wendell Carter,24.5,ORL,Big,185,3,48.9%,56,69%,12,20%,62,50%,21,33%,0,22%,0,33%,18,29%
Amir Coffey,26.4,LAC,Forward,102,4,38.6%,8,25%,76,50%,20,0%,68,43%,0,17%,0,40%,0,27%
Mike Conley,36.1,MIN,Point,472,57,53.5%,0,47%,64,47%,64,43%,57,46%,0,47%,67,38%,87,40%
Pat Connaughton,30.8,MIL,Wing,122,39,50.0%,46,58%,68,50%,0,0%,82,50%,0,33%,0,25%,0,27%
Anthony Davis,30.6,LAL,Big,248,62,59.6%,74,76%,59,46%,88,56%,56,48%,0,0%,0,0%,0,0%
Donte DiVincenzo,26.7,NYK,Wing,465,79,54.2%,29,49%,18,26%,57,38%,21,29%,100,45%,82,42%,82,43%
Luka Doncic,24.7,DAL,Point,898,36,52.1%,93,82%,50,46%,71,48%,71,47%,0,14%,33,34%,33,33%
Luguentz Dort,24.5,OKC,Wing,349,39,50.0%,11,35%,7,0%,71,50%,11,14%,0,32%,76,42%,68,39%
Kevin Durant,35.1,PHX,Big,167,53,59.0%,44,67%,79,57%,82,53%,94,55%,0,50%,0,38%,0,42%
Anthony Edwards,22.2,MIN,Combo,647,61,55.6%,56,66%,22,33%,56,50%,28,42%,0,58%,47,39%,68,41%
Joel Embiid,29.6,PHI,Big,286,6,49.3%,6,47%,29,34%,97,56%,50,46%,0,0%,67,39%,53,38%
Dante Exum,28.3,DAL,Wing,117,0,40.3%,18,43%,46,38%,46,25%,29,33%,0,14%,0,40%,18,29%
Daniel Gafford,25.1,DAL,Big,445,85,63.4%,62,71%,18,30%,21,0%,15,27%,0,0%,0,0%,0,0%
Darius Garland,23.8,CLE,Point,426,43,52.1%,43,59%,43,45%,36,38%,43,42%,0,11%,92,42%,73,38%
Paul George,33.5,LAC,Forward,222,32,50.5%,32,57%,72,46%,56,37%,60,41%,0,50%,43,33%,54,37%
Josh Giddey,21.1,OKC,Forward,179,68,54.1%,60,67%,52,40%,64,40%,56,40%,44,40%,0,31%,46,36%
Shai Gilgeous-Alexander,25.3,OKC,Point,396,64,53.6%,36,58%,79,48%,86,51%,79,49%,0,25%,100,48%,100,43%
Rudy Gobert,31.3,MIN,Big,510,76,61.5%,41,66%,35,39%,0,0%,32,39%,0,0%,0,0%,0,0%
Aaron Gordon,28.1,DEN,Big,444,82,63.1%,53,69%,44,42%,88,56%,53,48%,75,39%,0,44%,65,41%
Eric Gordon,34.9,PHX,Wing,116,18,44.6%,4,29%,7,0%,0,0%,0,0%,0,0%,0,58%,75,41%
Josh Green,23.0,DAL,Forward,378,72,55.4%,36,58%,52,40%,20,0%,24,33%,22,35%,100,44%,79,38%
Rui Hachimura,25.7,LAL,Forward,185,60,53.4%,16,53%,20,25%,64,40%,24,33%,0,30%,0,67%,92,44%
Tyrese Haliburton,23.7,IND,Point,521,100,61.6%,79,82%,100,59%,93,60%,100,60%,0,43%,67,38%,67,38%
Tim Hardaway Jr.,31.6,DAL,Wing,161,11,42.0%,43,57%,100,75%,39,20%,32,36%,0,36%,6,22%,11,28%
James Harden,34.2,LAC,Combo,241,67,55.7%,11,30%,94,61%,56,50%,94,59%,0,50%,40,38%,47,39%
Gary Harris,29.1,ORL,Wing,158,7,41.1%,0,25%,0,0%,11,0%,0,0%,0,25%,0,36%,32,32%
Tobias Harris,31.3,PHI,Forward,251,24,48.3%,80,68%,12,21%,88,57%,24,33%,0,55%,0,0%,17,30%
Josh Hart,28.7,NYK,Forward,547,44,51.3%,20,53%,64,43%,48,17%,48,37%,0,25%,79,42%,58,37%
Isaiah Hartenstein,25.5,NYK,Big,387,59,59.5%,24,60%,91,61%,62,50%,97,59%,0,0%,0,0%,0,0%
Sam Hauser,25.9,BOS,Forward,265,100,58.7%,96,80%,0,0%,100,80%,96,67%,56,41%,64,35%,63,38%
Tyler Herro,23.8,MIA,Combo,255,22,48.3%,89,75%,44,41%,22,33%,17,38%,0,43%,27,34%,26,35%
Haywood Highsmith,26.9,MIA,Forward,171,8,43.0%,100,88%,84,54%,0,0%,88,54%,0,0%,0,19%,4,14%
Jrue Holiday,33.4,BOS,Combo,718,83,60.3%,94,76%,28,37%,56,50%,17,38%,50,36%,73,43%,74,41%
Justin Holiday,34.6,DEN,Combo,146,28,50.0%,0,0%,0,0%,6,0%,0,0%,83,44%,0,33%,53,39%
