Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,24.1,NYK,Big,1144,78,2.5%,50,1.1%,54,3.6%,84,11.4%,46,16.9%,68,3.5%,68,34.9%
Precious Achiuwa,24.1,TOR,Big,424,33,1.3%,80,1.6%,57,3.6%,60,9.3%,53,17.4%,86,6.1%,88,45.5%
Bam Adebayo,26.3,MIA,Big,2415,39,1.4%,74,1.5%,91,2.4%,37,6.8%,92,23.5%,48,1.1%,87,45.0%
Ochai Agbaji,23.5,TOR,Wing,610,81,1.1%,39,1.2%,48,3.1%,92,6.4%,21,8.4%,0,0.0%,40,7.4%
Ochai Agbaji,23.5,UTA,Wing,956,91,1.4%,38,1.2%,79,2.6%,68,3.4%,21,8.3%,93,4.9%,18,3.6%
Santi Aldama,22.8,MEM,Big,1614,53,1.7%,53,1.2%,96,2.2%,14,4.0%,36,15.8%,83,5.6%,77,40.3%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,84,1.2%,65,1.5%,43,3.2%,30,1.9%,4,6.5%,82,2.6%,31,6.5%
Grayson Allen,28.1,PHX,Wing,2505,65,0.9%,41,1.2%,82,2.6%,33,2.0%,38,9.5%,74,2.0%,43,8.3%
Jarrett Allen,25.5,CLE,Big,2441,51,1.7%,32,0.9%,95,2.3%,73,10.6%,85,22.3%,57,1.8%,78,40.8%
Timmy Allen,23.8,MEM,Combo,122,0,0.0%,19,1.0%,0,6.1%,69,2.6%,71,11.1%,0,0.0%,0,0.0%
Jose Alvarado,25.6,NOP,Point,920,84,0.9%,93,2.4%,12,3.9%,77,2.9%,53,10.3%,0,0.0%,56,4.3%
Kyle Anderson,30.1,MIN,Forward,1769,82,1.4%,87,1.8%,47,3.1%,49,3.4%,39,11.2%,89,4.5%,59,18.1%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,86,1.5%,70,1.5%,61,2.7%,98,8.1%,100,23.5%,74,2.6%,90,37.4%
Cole Anthony,23.5,ORL,Point,1775,93,1.1%,56,1.5%,7,4.1%,88,3.8%,93,14.9%,72,1.0%,63,5.7%
OG Anunoby,26.3,TOR,Wing,900,53,0.7%,47,1.3%,86,2.5%,54,2.8%,19,8.2%,0,0.0%,94,29.4%
OG Anunoby,26.3,NYK,Forward,796,87,1.5%,96,2.1%,58,2.8%,37,3.0%,15,8.8%,77,3.0%,58,17.9%
Deni Avdija,22.8,WAS,Forward,2250,47,0.8%,35,1.1%,41,3.2%,56,3.6%,93,17.9%,60,1.7%,92,37.9%
Deandre Ayton,25.3,POR,Big,1783,30,1.2%,65,1.4%,94,2.3%,65,9.7%,91,23.5%,90,6.7%,98,60.0%
Ibou Badji,21.1,POR,Big,192,99,4.9%,2,0.4%,1,8.4%,61,9.4%,15,12.8%,0,0.0%,12,12.5%
Marvin Bagley,24.6,WAS,Big,572,47,1.6%,37,1.0%,90,2.4%,95,13.7%,60,18.5%,0,0.0%,22,17.9%
Marvin Bagley,24.6,DET,Big,465,43,1.5%,1,0.4%,84,2.8%,68,10.1%,40,16.4%,87,6.3%,26,20.0%
Patrick Baldwin Jr.,21.0,WAS,Big,405,50,1.7%,90,1.9%,26,4.6%,1,2.3%,68,19.6%,81,5.3%,61,32.1%
LaMelo Ball,22.2,CHA,Point,710,26,0.3%,88,2.4%,9,4.0%,84,3.8%,84,13.2%,84,2.4%,0,0.0%
Mohamed Bamba,25.5,PHI,Big,665,97,4.1%,51,1.1%,23,4.7%,66,9.9%,68,19.3%,68,3.4%,99,61.5%
Paolo Banchero,21.0,ORL,Big,2797,17,0.9%,48,1.1%,97,2.1%,4,3.1%,50,17.1%,47,1.1%,61,32.1%
Desmond Bane,25.4,MEM,Combo,1440,69,0.8%,36,1.3%,51,3.0%,55,2.3%,65,10.5%,91,3.3%,64,7.0%
Dalano Banton,24.0,POR,Wing,859,77,1.0%,51,1.4%,94,1.9%,66,3.3%,94,14.0%,0,0.0%,22,5.0%
Dominick Barlow,20.4,SAS,Big,373,59,1.9%,58,1.3%,22,4.7%,76,10.8%,43,16.5%,0,0.0%,26,20.0%
Harrison Barnes,31.4,SAC,Forward,2380,9,0.3%,19,1.0%,95,1.7%,28,2.7%,6,7.9%,70,2.1%,30,9.2%
Scottie Barnes,22.3,TOR,Forward,2094,95,2.1%,71,1.5%,87,2.1%,90,6.5%,85,16.7%,72,2.5%,19,6.5%
RJ Barrett,23.4,TOR,Forward,1083,33,0.6%,9,0.8%,50,3.0%,46,3.3%,77,14.9%,0,0.0%,85,31.1%
RJ Barrett,23.4,NYK,Forward,765,32,0.6%,5,0.7%,82,2.2%,19,2.4%,35,10.9%,0,0.0%,60,18.2%
Charles Bassey,23.0,SAS,Big,182,95,4.1%,63,1.3%,5,6.0%,72,10.6%,94,25.0%,99,16.7%,92,50.0%
Keita Bates-Diop,27.8,PHX,Forward,561,90,1.6%,80,1.7%,70,2.6%,80,5.6%,44,11.6%,96,7.7%,26,8.0%
Nicolas Batum,34.9,PHI,Wing,1470,88,1.2%,49,1.3%,57,3.0%,84,4.8%,54,10.4%,69,1.8%,91,27.1%
Darius Bazley,23.4,UTA,Forward,134,97,2.5%,89,1.9%,100,1.0%,84,5.8%,52,12.0%,0,0.0%,48,16.7%
Bradley Beal,30.3,PHX,Combo,1759,65,0.8%,40,1.3%,60,2.8%,85,3.4%,50,9.7%,77,1.3%,98,18.9%
Malik Beasley,26.9,MIL,Combo,2330,15,0.2%,27,1.1%,57,2.9%,36,1.8%,49,9.7%,74,0.8%,93,16.3%
MarJon Beauchamp,22.1,MIL,Wing,500,29,0.5%,18,0.9%,22,3.8%,78,4.1%,74,11.5%,0,0.0%,83,23.1%
Jules Bernard,23.8,WAS,Wing,107,0,0.0%,6,0.8%,55,3.1%,91,6.3%,78,11.8%,0,0.0%,88,25.0%
Davis Bertans,31.0,CHA,Wing,575,63,0.8%,86,1.8%,38,3.3%,11,1.3%,17,8.1%,0,0.0%,34,7.1%
Patrick Beverley,35.3,MIL,Wing,527,87,1.2%,80,1.7%,21,3.9%,73,3.7%,95,14.0%,99,8.7%,56,10.0%
Patrick Beverley,35.3,PHI,Combo,904,87,1.0%,28,1.1%,22,3.8%,77,3.0%,86,12.4%,95,3.9%,24,1.8%
Saddiq Bey,24.6,ATL,Forward,2053,10,0.3%,25,1.0%,94,1.7%,95,7.7%,40,11.2%,51,1.1%,72,23.3%
Goga Bitadze,24.3,ORL,Big,884,97,4.1%,66,1.4%,32,4.3%,82,11.2%,54,17.7%,82,5.4%,74,39.5%
Onuralp Bitim,24.6,CHI,Wing,239,20,0.4%,0,0.4%,17,4.0%,21,1.6%,55,10.5%,100,14.3%,34,7.1%
Bismack Biyombo,31.2,MEM,Big,718,74,2.4%,7,0.6%,33,4.2%,47,8.1%,52,17.3%,0,0.0%,69,36.1%
Anthony Black,19.8,ORL,Combo,1053,72,0.8%,41,1.3%,14,4.2%,83,3.3%,38,9.2%,0,0.0%,48,4.4%
