Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,30.1,MIN,Forward,1769,66,-0.7%,47,+0.4%,47,+0.3%,52,-0.5%,47,+0.0%,72,-3.3%,76,-1.9%,82,-2.3%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,58,-0.4%,75,-2.3%,42,+0.7%,80,-5.0%,64,-1.2%,41,+1.0%,34,+1.0%,34,+1.0%
Harrison Barnes,31.4,SAC,Forward,2380,8,+3.0%,8,+5.4%,29,+2.2%,37,+1.5%,27,+1.9%,30,+2.4%,49,+0.1%,36,+0.8%
Nicolas Batum,34.9,PHI,Wing,1470,59,-0.5%,56,-0.3%,53,-0.6%,53,-0.7%,57,-0.6%,55,-0.9%,62,-0.9%,62,-1.0%
Bradley Beal,30.3,PHX,Combo,1759,6,+3.2%,29,+2.2%,16,+3.9%,63,-2.2%,25,+2.0%,41,+1.0%,11,+3.4%,15,+2.7%
Malik Beasley,26.9,MIL,Combo,2330,93,-3.3%,74,-2.2%,68,-1.8%,78,-4.4%,78,-2.7%,92,-8.4%,65,-1.1%,86,-2.8%
Davis Bertans,31.0,CHA,Wing,575,18,+1.8%,28,+2.3%,2,+8.4%,29,+2.8%,4,+6.6%,3,+9.9%,87,-3.3%,38,+0.6%
Patrick Beverley,35.3,PHI,Combo,904,83,-2.0%,52,-0.0%,90,-5.0%,92,-9.1%,94,-5.9%,21,+3.7%,61,-0.9%,45,+0.2%
Patrick Beverley,35.3,MIL,Wing,527,6,+3.3%,69,-1.5%,46,+0.3%,25,+3.5%,33,+1.3%,12,+6.1%,6,+4.9%,3,+5.2%
Bismack Biyombo,31.2,MEM,Big,718,12,+2.4%,42,+0.9%,26,+2.5%,79,-4.8%,43,+0.3%,0,+19.9%,53,-0.2%,5,+4.4%
Bojan Bogdanovic,34.5,DET,Forward,920,5,+3.5%,4,+7.0%,22,+2.9%,38,+1.4%,22,+2.4%,10,+6.5%,57,-0.5%,32,+1.2%
