Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,31.3,HOU,Big,154,83,+9.6,9,-4.1,25,-2.1%,15,-29.4,6,-3.7,8,-21.2%,16,-46.2,49,-0.2,68,+2.4%,57,+5.6
Giannis Antetokounmpo,29.9,MIL,Big,187,86,+11.8,10,-4.0,39,-0.7%,26,-20.1,26,-1.4,1,-34.6%,21,-36.7,12,-2.6,37,-1.4%,31,-14.8
Nicolas Batum,35.9,LAC,Forward,170,61,+3.0,8,-4.4,14,-3.2%,21,-26.0,21,-1.7,4,-23.3%,54,+6.0,23,-1.4,72,+3.1%,24,-23.6
Malik Beasley,27.9,DET,Wing,163,36,-2.6,37,-1.0,90,+3.5%,59,+5.2,89,+2.9,97,+30.5%,86,+47.0,5,-3.7,90,+6.9%,27,-19.1
Jaylen Brown,28.0,BOS,Wing,402,19,-8.3,39,-0.9,46,-0.2%,35,-11.1,47,-0.1,86,+14.3%,40,-15.4,33,-1.0,26,-3.7%,31,-14.6
Jimmy Butler,35.1,GSW,Forward,436,25,-6.0,13,-3.9,10,-3.5%,28,-19.5,23,-1.6,35,-7.6%,25,-35.0,14,-2.2,16,-5.1%,36,-13.8
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,8,-12.4,72,+1.9,72,+1.5%,63,+8.2,27,-1.4,13,-19.0%,37,-19.0,97,+3.9,88,+6.3%,96,+57.5
Mike Conley,37.1,MIN,Point,356,58,+2.8,67,+1.4,86,+2.8%,64,+8.4,60,+0.4,44,-4.8%,51,+2.6,63,+0.5,92,+7.6%,66,+13.2
Stephen Curry,36.6,GSW,Point,318,92,+14.1,29,-2.3,19,-2.5%,29,-19.3,50,-0.1,68,+2.7%,58,+10.8,31,-1.2,42,-0.9%,14,-32.5
Kris Dunn,30.6,LAC,Combo,151,41,-1.5,98,+6.5,88,+3.4%,95,+40.1,95,+3.9,99,+35.3%,76,+27.3,96,+3.7,40,-1.0%,94,+50.7
Dorian Finney-Smith,31.5,LAL,Forward,169,82,+9.5,14,-3.9,67,+0.9%,14,-31.3,5,-3.8,3,-30.7%,2,-110.0,50,-0.2,28,-3.1%,38,-13.7
Rudy Gobert,32.4,MIN,Big,411,30,-4.5,86,+3.5,77,+1.9%,86,+28.5,77,+1.4,32,-7.7%,62,+16.5,82,+1.9,57,+0.7%,87,+37.7
Aaron Gordon,29.1,DEN,Big,521,98,+27.7,50,-0.2,78,+2.1%,47,-1.0,75,+1.3,80,+10.4%,73,+24.8,28,-1.2,63,+1.6%,40,-13.2
Draymond Green,34.7,GSW,Big,418,23,-7.0,19,-3.3,69,+0.9%,16,-28.6,67,+1.0,36,-7.1%,71,+22.8,8,-3.1,87,+6.3%,1,-67.5
Tim Hardaway Jr.,32.6,DET,Forward,188,96,+15.8,80,+2.5,20,-2.5%,64,+8.3,42,-0.6,25,-11.2%,47,-0.5,95,+3.6,20,-4.4%,77,+22.7
James Harden,35.2,LAC,Point,275,32,-3.3,0,-12.4,2,-6.0%,2,-56.4,0,-7.9,8,-20.9%,3,-109.5,3,-5.2,3,-10.1%,8,-46.5
Tobias Harris,32.3,DET,Forward,232,15,-9.6,62,+1.0,3,-5.7%,74,+13.7,45,-0.4,42,-5.9%,67,+21.1,77,+1.6,9,-6.8%,80,+25.2
Buddy Hield,31.9,GSW,Wing,338,78,+8.6,38,-1.0,61,+0.6%,45,-2.1,33,-1.3,69,+4.2%,23,-36.4,72,+1.2,59,+1.2%,88,+38.6
Jrue Holiday,34.4,BOS,Combo,263,12,-11.6,70,+1.8,53,+0.3%,72,+12.9,99,+4.8,90,+17.7%,99,+101.0,7,-3.3,13,-5.8%,5,-54.4
Al Horford,38.4,BOS,Big,347,11,-11.7,100,+7.8,83,+2.5%,100,+68.6,92,+3.1,53,-0.7%,91,+64.3,99,+4.4,91,+7.2%,99,+77.1
LeBron James,39.8,LAL,Big,203,56,+1.1,73,+1.9,5,-4.7%,50,0.0,14,-2.3,36,-7.6%,7,-73.1,98,+4.3,41,-1.0%,75,+20.5
Nikola Jokic,29.7,DEN,Big,562,93,+15.0,27,-2.4,75,+1.7%,14,-31.0,28,-1.4,47,-3.5%,38,-16.8,30,-1.2,61,+1.4%,8,-48.8
Derrick Jones Jr.,27.7,LAC,Big,128,24,-6.1,5,-5.3,18,-2.7%,7,-39.2,30,-1.4,2,-31.8%,68,+21.4,4,-4.2,51,+0.3%,4,-59.5
Cory Joseph,33.2,ORL,Point,142,8,-12.9,85,+3.5,95,+4.5%,76,+16.5,42,-0.6,19,-14.9%,41,-14.6,93,+3.2,98,+10.5%,75,+20.8
Kawhi Leonard,33.3,LAC,Forward,264,64,+4.0,21,-3.0,3,-5.3%,41,-5.6,7,-3.6,77,+7.9%,12,-60.0,51,-0.1,1,-13.8%,72,+18.2
Kevon Looney,28.7,GSW,Big,128,43,-0.8,58,+0.5,29,-2.0%,58,+3.5,34,-1.2,56,-0.5%,27,-31.9,81,+1.8,10,-6.3%,90,+43.1
TJ McConnell,32.6,IND,Point,385,18,-9.0,26,-2.7,54,+0.3%,19,-26.6,19,-1.8,65,+1.6%,15,-50.0,39,-0.7,58,+1.1%,32,-14.5
Jamal Murray,27.7,DEN,Combo,578,100,+36.6,77,+2.4,62,+0.6%,90,+35.9,58,+0.3,39,-6.5%,66,+20.8,84,+2.0,52,+0.3%,91,+44.9
Bobby Portis,29.7,MIL,Big,158,91,+13.6,36,-1.1,79,+2.2%,23,-25.5,16,-2.1,6,-22.2%,8,-71.6,69,+1.1,80,+4.2%,69,+14.8
Kristaps Porzingis,29.3,BOS,Big,230,36,-2.3,19,-3.3,23,-2.2%,13,-31.5,39,-1.0,31,-9.0%,26,-33.6,9,-2.8,8,-7.5%,11,-38.5
Norman Powell,31.4,LAC,Wing,237,14,-10.8,4,-5.7,31,-1.7%,10,-33.7,4,-4.0,48,-2.5%,10,-68.2,32,-1.1,53,+0.4%,28,-15.9
