Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Precious Achiuwa,25.1,NYK,Big,1141,8,59.4%,36,10.4%,7,0.5%,61,25.0%
Steven Adams,31.3,HOU,Big,784,1,46.7%,92,18.8%,97,3.2%,61,25.0%
Bam Adebayo,27.3,MIA,Big,2666,64,76.6%,55,12.3%,93,2.6%,40,20.5%
Ochai Agbaji,24.5,TOR,Wing,1711,12,70.8%,16,4.0%,28,0.6%,74,27.3%
Santi Aldama,23.8,MEM,Big,1634,34,69.1%,15,6.8%,17,0.7%,85,31.1%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,40,77.8%,55,7.5%,68,1.0%,85,33.3%
Grayson Allen,29.1,PHX,Wing,1532,55,81.3%,67,8.8%,84,1.4%,34,17.4%
Jarrett Allen,26.5,CLE,Big,2292,43,71.7%,88,17.1%,86,2.2%,53,23.0%
Jose Alvarado,26.6,NOP,Point,1332,33,81.7%,21,6.0%,12,0.8%,77,28.1%
Kyle Anderson,31.1,MIA,Big,444,67,77.8%,50,11.7%,31,1.0%,0,0.0%
Kyle Anderson,31.1,GSW,Big,508,0,66.7%,18,7.0%,42,1.2%,97,54.5%
Giannis Antetokounmpo,29.9,MIL,Big,2287,13,61.8%,98,22.3%,95,2.9%,66,26.1%
Cole Anthony,24.5,ORL,Point,1172,55,83.2%,48,8.2%,56,1.6%,69,26.7%
OG Anunoby,27.3,NYK,Forward,2701,62,80.8%,64,10.4%,42,0.7%,53,21.7%
Deni Avdija,23.8,POR,Forward,2166,49,78.2%,96,19.2%,90,1.8%,73,26.1%
Deandre Ayton,26.3,POR,Big,1205,20,66.7%,9,5.3%,37,1.1%,68,26.9%
Marcus Bagley,23.0,PHI,Forward,246,0,87.5%,22,5.7%,22,0.5%,0,0.0%
Marvin Bagley,25.6,WAS,Big,115,0,68.8%,76,14.9%,67,1.7%,0,0.0%
LaMelo Ball,23.2,CHA,Point,1501,63,84.1%,56,8.8%,96,3.2%,42,20.2%
Lonzo Ball,27.0,CHI,Wing,776,59,81.5%,5,2.5%,20,0.5%,30,16.7%
Mohamed Bamba,26.5,LAC,Big,316,0,65.2%,58,12.9%,11,0.6%,53,23.1%
Paolo Banchero,22.0,ORL,Big,1580,49,72.6%,91,18.6%,68,1.8%,59,24.0%
Desmond Bane,26.4,MEM,Wing,2191,95,89.3%,50,7.3%,58,1.0%,72,26.9%
Dalano Banton,25.0,POR,Wing,1037,29,75.3%,70,9.6%,56,1.0%,60,25.0%
Dominick Barlow,21.4,ATL,Big,336,28,67.9%,52,11.9%,54,1.4%,96,46.2%
Harrison Barnes,32.4,SAS,Big,2224,78,80.9%,61,13.2%,22,0.8%,22,15.8%
Scottie Barnes,23.3,TOR,Forward,2121,38,75.3%,75,11.6%,94,2.0%,37,18.5%
RJ Barrett,24.4,TOR,Forward,1855,9,63.0%,90,14.7%,78,1.3%,45,20.2%
Charles Bassey,24.0,SAS,Big,316,20,66.7%,38,10.6%,48,1.3%,86,33.3%
Jamison Battle,23.5,TOR,Forward,977,0,88.2%,3,1.9%,26,0.6%,26,16.7%
Nicolas Batum,35.9,LAC,Forward,1344,0,81.0%,10,3.8%,5,0.3%,55,22.2%
Damion Baugh,24.2,CHA,Combo,347,0,92.3%,25,4.9%,41,1.1%,25,16.7%
Bradley Beal,31.3,PHX,Wing,1699,52,80.7%,57,7.6%,81,1.3%,28,16.1%
Malik Beasley,27.9,DET,Wing,2272,5,67.9%,22,4.8%,49,0.9%,68,26.4%
Reece Beekman,23.1,BKN,Point,413,0,70.0%,13,5.2%,29,1.1%,0,0.0%
Goga Bitadze,25.3,ORL,Big,1402,17,64.1%,73,14.6%,76,1.9%,34,20.0%
Bismack Biyombo,32.2,SAS,Big,511,0,40.0%,48,11.5%,27,0.9%,44,21.4%
Anthony Black,20.8,ORL,Combo,1809,32,76.5%,90,13.3%,77,1.7%,72,27.3%
Bogdan Bogdanovic,32.2,LAC,Wing,735,87,87.5%,23,5.1%,66,1.0%,19,14.3%
Bogdan Bogdanovic,32.2,ATL,Wing,597,90,88.2%,34,6.0%,80,1.3%,47,21.4%
