Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,18,-0.6,39.4,39.4,13,+0.6,40,42,14,115.2,15,55.0%,22,15.0%,11,29.1%,9,19.8,19,115.9,28,56.4%,5,15.5%,11,27.2%,23,20.4
                                                        24-25                        ,18,-16.8,9.4,0.2,11,-0.2,0,2,19,106.3,19,47.8%,1,9.4%,18,22.9%,17,17.2,18,123.0,17,57.8%,15,12.0%,14,31.2%,4,16.8
23-24,20,-1.6,37.2,37.2,20,-1.2,36,46,11,117.8,16,54.3%,12,13.3%,5,29.5%,11,20.1,26,119.4,29,57.5%,12,13.9%,17,26.7%,17,19.3
                                                        23-24                        ,19,-16.3,11.2,0.1,10,-0.1,0,1,6,116.0,14,51.7%,1,11.0%,10,26.9%,2,25.6,20,132.3,20,63.3%,18,10.1%,15,30.0%,2,12.8
22-23,19,+0.1,41.2,41.2,15,-0.2,41,41,9,116.3,21,54.2%,4,12.7%,9,27.9%,23,20.0,21,116.3,22,55.5%,16,13.9%,17,26.9%,13,20.7
                                                        22-23                        ,9,-2.5,34.9,3.0,9,0.0,3,4,7,115.8,9,53.0%,8,12.8%,5,30.9%,20,14.5,15,118.3,19,58.4%,17,12.1%,3,22.2%,1,15.0
21-22,14,+1.5,44.6,44.6,23,-1.6,43,39,2,116.3,9,54.5%,1,12.0%,14,25.9%,6,20.7,26,114.8,24,54.6%,27,13.0%,12,25.6%,8,18.0
                                                        21-22                        ,13,-5.3,27.8,2.4,3,+0.6,3,4,15,108.3,10,52.7%,17,15.9%,12,24.8%,10,22.4,10,113.6,9,53.3%,13,13.9%,9,27.2%,6,20.6
20-21,9,+2.6,47.4,41.6,19,-0.6,41,31,9,115.7,16,54.4%,10,13.3%,7,26.9%,2,22.6,16,113.1,6,53.3%,29,12.4%,9,24.6%,13,18.9
                                                        20-21                        ,8,-1.8,36.3,8.0,1,+2.0,10,8,14,110.5,13,52.1%,12,12.7%,15,24.0%,11,19.2,9,112.3,6,52.6%,8,13.1%,14,27.7%,8,19.6
19-20,28,-7.9,22.2,18.1,9,+1.9,20,47,26,107.4,25,51.8%,28,15.6%,15,25.3%,16,20.3,28,115.3,25,54.8%,16,14.2%,28,27.8%,29,23.7
