Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,3,+9.6,62.4,62.4,21,-1.4,61,21,3,120.9,5,56.5%,2,12.0%,18,27.6%,30,17.2,5,111.3,2,52.8%,24,13.2%,7,26.8%,1,15.5
 24-25,3,+7.6,59.0,7.9,20,-1.9,6,5,3,116.4,7,54.0%,8,14.3%,12,28.6%,8,22.7,2,108.9,1,49.3%,13,13.3%,16,32.0%,9,19.4
23-24,1,+11.3,65.0,65.0,19,-1.0,64,18,1,123.2,1,58.2%,2,12.0%,11,27.1%,18,18.3,3,112.0,2,52.8%,27,12.3%,11,26.2%,1,14.1
 23-24,2,+8.4,60.5,14.0,1,+2.0,16,3,3,118.3,2,56.0%,8,12.3%,12,26.5%,12,19.4,4,109.8,7,52.9%,10,12.6%,4,23.0%,1,12.5
22-23,1,+6.9,57.2,57.2,16,-0.2,57,25,4,118.3,5,56.8%,7,13.1%,27,24.1%,22,20.2,3,111.5,3,53.0%,26,12.7%,1,24.1%,3,18.0
 22-23,2,+3.0,48.5,11.8,18,-0.8,11,9,5,116.7,3,56.3%,10,13.0%,17,24.1%,13,18.9,12,113.7,10,52.8%,11,13.0%,7,27.5%,5,18.5
21-22,2,+7.4,58.8,58.8,29,-7.8,51,31,10,114.3,13,54.2%,13,13.8%,11,26.4%,12,19.9,1,106.9,1,50.4%,10,14.3%,17,26.2%,9,18.4
 21-22,3,+3.9,51.1,15.0,18,-1.0,14,10,10,111.6,7,53.7%,15,15.7%,9,26.1%,9,22.4,2,107.6,2,50.6%,11,14.1%,10,27.3%,3,18.4
20-21,13,+1.5,44.7,39.3,26,-3.3,36,36,10,114.2,13,54.4%,17,14.0%,6,27.1%,22,18.1,12,112.7,17,54.3%,13,14.3%,19,25.3%,27,21.4
 20-21,17,-8.5,22.4,1.6,8,+0.4,2,4,6,117.7,15,50.6%,16,13.4%,1,34.4%,1,25.3,19,126.2,16,56.8%,13,11.9%,16,29.3%,20,29.7
19-20,2,+7.4,59.0,51.8,26,-3.8,48,24,4,113.9,16,53.4%,6,13.6%,6,27.0%,12,21.0,3,106.5,4,51.0%,6,15.4%,18,25.6%,21,21.5
 19-20,2,+5.6,55.0,11.4,16,-1.4,10,7,7,112.9,11,53.0%,9,14.0%,5,24.9%,5,23.6,2,107.3,1,49.5%,13,12.8%,9,23.5%,10,23.2
18-19,7,+4.2,51.8,51.8,27,-2.8,49,33,10,112.1,7,53.7%,3,12.8%,24,24.4%,28,17.3,7,107.9,11,51.9%,8,15.2%,15,26.0%,17,20.0
 18-19,9,-1.3,37.5,4.1,1,+0.9,5,4,12,101.9,10,49.7%,10,14.9%,15,20.3%,11,22.1,2,103.1,3,49.3%,14,11.8%,1,19.6%,4,20.2
17-18,6,+4.1,51.8,51.8,5,+3.2,55,27,18,107.5,16,52.1%,14,14.3%,20,24.4%,20,18.8,1,103.4,2,49.7%,12,14.7%,12,25.1%,14,19.0
 17-18,5,+1.2,44.3,10.3,2,+0.7,11,8,11,108.1,12,50.5%,1,12.1%,9,23.9%,6,21.8,4,106.9,8,52.1%,5,14.6%,7,23.5%,6,19.9
16-17,8,+2.7,48.0,48.0,2,+5.0,53,29,8,111.6,9,52.8%,7,13.7%,24,24.4%,8,22.3,15,108.8,5,50.6%,16,14.4%,27,27.8%,24,22.6
