Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,26,-8.2,21.8,21.8,2,+4.2,26,56,28,108.7,26,52.0%,28,15.8%,16,28.2%,18,18.8,23,116.9,26,56.0%,8,15.3%,22,28.7%,28,21.9
23-24,22,-2.9,33.7,33.7,22,-1.7,32,50,23,113.4,26,53.3%,15,13.4%,14,27.0%,23,17.5,20,116.3,15,54.7%,25,12.9%,14,26.5%,16,19.3
22-23,14,+1.0,43.5,43.5,8,+1.5,45,37,14,115.4,6,56.6%,14,13.9%,29,22.4%,17,20.7,15,114.5,4,53.1%,14,13.9%,29,29.7%,18,21.4
                                                        22-23                        ,20,-13.5,12.3,0.6,14,-0.6,0,4,19,102.5,15,51.0%,12,13.3%,20,16.1%,14,17.5,14,116.1,11,53.1%,4,14.6%,19,36.2%,3,15.6
21-22,16,+1.0,43.6,43.6,16,+0.4,44,38,8,114.7,12,54.3%,17,14.1%,8,26.9%,10,20.1,21,113.6,7,52.4%,22,13.2%,30,28.1%,24,20.4
                                                        21-22                        ,9,-1.6,37.2,2.3,19,-1.3,1,4,1,117.5,1,58.4%,16,15.8%,6,27.5%,8,23.4,17,119.1,14,54.9%,6,15.0%,20,33.5%,11,21.5
20-21,5,+5.6,54.4,47.7,14,+0.3,48,24,1,119.4,1,58.2%,9,13.3%,25,23.5%,5,21.0,22,113.7,8,53.5%,28,12.6%,23,26.2%,11,18.7
                                                        20-21                        ,1,+7.3,58.2,8.5,19,-1.5,7,5,4,118.2,6,56.0%,6,11.6%,18,21.9%,8,21.8,7,110.9,3,50.7%,7,13.2%,15,29.1%,5,18.1
19-20,15,-0.4,40.0,35.1,18,-0.1,35,37,22,109.4,22,52.4%,21,14.9%,8,26.9%,18,19.7,9,109.8,5,51.2%,29,12.4%,14,25.1%,9,18.8
                                                        19-20                        ,17,-19.4,6.8,0.3,9,-0.3,0,4,15,103.3,16,49.1%,10,14.4%,10,23.2%,17,17.6,17,122.6,17,58.6%,16,11.3%,8,22.5%,6,20.9
18-19,17,-0.2,40.5,40.5,8,+1.5,42,40,20,109.7,17,52.4%,24,14.7%,10,26.9%,6,21.3,15,109.9,7,51.6%,21,13.2%,24,26.8%,11,19.3
                                                        18-19                        ,14,-15.9,9.7,0.6,5,+0.4,1,4,11,103.4,12,47.0%,8,13.5%,10,24.9%,2,25.6,14,119.3,13,54.8%,4,15.5%,16,36.5%,12,24.2
17-18,23,-3.9,31.0,31.0,26,-3.0,28,54,22,106.8,18,51.6%,22,15.1%,22,24.3%,12,19.9,22,110.7,11,51.8%,30,12.4%,21,25.9%,20,20.2
16-17,30,-7.5,22.3,22.3,24,-2.3,20,62,29,103.6,17,50.8%,29,16.4%,28,22.4%,7,22.4,23,111.2,17,51.7%,25,13.2%,20,27.0%,17,21.5
