Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,28,-9.5,19.1,19.1,14,-0.1,19,63,29,107.4,30,50.5%,27,15.8%,8,29.5%,28,17.3,24,117.0,21,55.1%,22,13.4%,16,28.1%,18,19.1
23-24,30,-10.8,17.4,17.4,1,+3.6,21,61,27,109.7,27,53.3%,21,14.1%,28,23.5%,30,16.7,28,120.5,30,57.6%,15,13.8%,22,27.5%,12,18.9
22-23,27,-6.2,25.9,25.9,11,+1.1,27,55,30,109.4,29,51.8%,16,14.0%,18,26.3%,26,19.2,20,115.6,18,54.8%,13,14.0%,19,27.0%,16,21.3
21-22,15,+1.2,44.0,44.0,21,-1.0,43,39,6,114.8,7,54.7%,8,13.0%,18,25.7%,28,17.3,20,113.6,25,54.8%,6,14.8%,25,27.7%,12,18.8
 21-22,20,-25.2,3.5,0.0,9,-0.0,0,1,19,101.0,20,46.0%,8,13.7%,16,23.7%,5,25.0,20,126.2,19,60.6%,17,11.7%,12,27.7%,4,19.1
20-21,23,-2.4,34.9,30.7,6,+2.3,33,39,23,110.9,19,53.7%,26,15.1%,10,26.2%,25,17.8,20,113.3,26,55.6%,5,14.9%,25,26.2%,3,16.3
 20-21,20,-25.0,3.7,0.0,12,-0.0,0,1,18,102.4,18,46.7%,2,10.7%,20,15.2%,15,17.3,20,127.4,20,65.8%,1,16.7%,20,33.3%,1,10.5
19-20,27,-7.2,23.5,18.7,2,+4.3,23,42,27,106.7,28,50.8%,25,15.2%,10,26.7%,23,18.7,25,113.8,26,55.0%,10,14.9%,30,28.2%,1,16.2
18-19,19,-0.9,38.6,38.6,11,+0.4,39,43,11,111.9,22,51.7%,2,12.2%,17,25.5%,10,20.6,23,112.9,25,54.0%,15,13.7%,12,25.7%,3,18.0
17-18,17,+0.2,41.5,41.5,29,-5.5,36,46,10,109.3,24,51.2%,3,12.9%,16,25.5%,2,23.5,16,109.1,23,53.6%,24,13.8%,2,22.5%,1,16.3
16-17,17,-0.3,40.3,40.3,29,-4.3,36,46,14,109.4,22,50.4%,1,11.9%,27,23.0%,6,22.7,19,109.6,25,52.9%,22,13.6%,3,23.7%,1,16.6
15-16,9,+3.0,48.9,48.9,20,-0.9,48,34,9,107.6,17,50.2%,1,13.0%,27,23.1%,8,22.0,9,104.6,11,49.7%,24,13.9%,1,23.4%,4,19.2
 15-16,12,-8.6,19.6,1.7,2,+1.3,3,4,13,100.2,14,43.5%,2,10.3%,16,21.1%,1,26.8,11,108.8,12,51.9%,10,13.7%,9,26.9%,4,18.8
14-15,22,-2.9,33.1,33.1,14,-0.1,33,49,28,100.8,30,45.9%,1,12.5%,28,25.7%,15,20.3,8,103.7,7,48.8%,27,13.4%,1,24.0%,8,18.9
13-14,16,-0.2,40.3,40.3,6,+2.7,43,39,24,103.9,26,48.2%,1,13.2%,24,25.4%,14,22.0,6,104.1,9,49.2%,27,14.3%,1,25.7%,3,18.4
 13-14,16,-9.5,18.6,0.9,14,-0.9,0,4,11,104.3,6,50.5%,14,16.2%,13,25.3%,10,22.6,14,113.8,16,55.4%,16,11.8%,1,18.9%,10,25.7
12-13,30,-10.3,16.8,16.8,2,+4.2,21,61,28,101.3,30,46.3%,9,15.4%,15,29.5%,4,23.2,30,111.7,30,52.8%,20,15.3%,26,30.7%,13,19.9
11-12,30,-15.5,8.8,7.1,14,-0.1,7,59,30,95.1,30,44.2%,17,16.0%,24,27.1%,16,20.5,30,110.6,28,51.2%,25,14.7%,26,31.4%,15,20.8
10-11,24,-4.1,30.1,30.1,3,+3.9,34,48,25,103.8,25,48.5%,23,16.0%,18,28.5%,7,23.9,17,107.9,13,50.2%,23,14.7%,12,27.8%,16,23.1
09-10,14,+1.7,45.6,45.6,22,-1.6,44,38,23,105.3,21,49.6%,30,17.3%,6,30.3%,3,26.0,4,103.6,12,49.6%,3,16.8%,11,28.6%,1,19.3
 09-10,16,-15.1,9.6,0.5,12,-0.5,0,4,15,97.4,12,47.3%,15,18.1%,10,28.3%,7,25.8,10,112.5,10,52.0%,5,15.2%,5,27.4%,15,34.4
08-09,19,-1.7,36.4,36.4,21,-1.4,35,47,27,104.6,20,49.8%,30,17.4%,6,30.6%,21,22.8,8,106.2,15,50.3%,5,16.4%,21,29.6%,16,23.2
07-08,22,-4.7,28.7,28.7,6,+3.3,32,50,22,104.7,16,49.7%,23,15.9%,20,27.8%,12,23.3,23,109.5,20,50.7%,10,15.4%,29,31.3%,16,23.6
06-07,23,-3.6,31.5,31.5,12,+1.5,33,49,25,103.5,25,48.3%,12,15.9%,19,29.1%,20,23.3,17,107.1,17,50.2%,4,17.0%,21,30.5%,28,28.2
