Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,19,-1.4,37.6,37.6,12,+1.4,39,43,19,114.1,13,55.5%,17,14.3%,28,24.8%,29,17.2,18,115.4,9,54.1%,29,12.1%,3,26.2%,9,17.9
 24-25,20,-26.4,2.0,0.0,8,-0.0,0,1,20,88.3,20,43.7%,19,19.1%,20,20.4%,16,17.7,10,114.7,18,57.9%,6,14.7%,8,27.9%,5,17.1
23-24,21,-1.9,36.4,36.4,6,+2.6,39,43,19,115.1,22,53.6%,4,12.5%,9,27.6%,17,18.8,22,116.9,23,56.1%,9,14.2%,19,26.7%,19,19.6
 23-24,13,-5.9,26.8,0.7,6,+0.3,1,1,12,111.8,9,53.1%,3,11.3%,11,26.9%,20,11.3,14,117.7,8,53.0%,17,11.8%,10,27.4%,19,24.4
22-23,13,+1.3,44.2,44.2,29,-4.2,40,42,24,113.8,14,55.1%,9,13.4%,28,22.6%,20,20.3,5,112.5,17,54.7%,6,15.0%,3,25.1%,6,19.7
 22-23,7,-0.4,39.9,1.0,8,0.0,1,1,16,107.5,12,51.5%,2,11.8%,19,17.8%,15,17.5,1,107.9,1,48.5%,2,15.3%,18,35.3%,19,28.2
21-22,19,-0.2,40.4,40.4,2,+5.6,46,36,14,113.9,8,54.5%,7,12.9%,28,23.4%,9,20.2,22,114.1,22,54.4%,23,13.2%,8,25.2%,20,20.0
 21-22,19,-16.3,8.2,0.5,4,+0.5,1,4,20,95.3,19,46.4%,4,13.1%,20,17.4%,20,13.4,6,111.6,15,56.8%,3,15.6%,3,21.2%,2,17.9
20-21,21,-1.3,37.6,33.0,24,-2.0,31,41,18,111.8,10,55.1%,25,15.1%,17,25.1%,30,15.4,15,113.1,15,54.2%,27,12.6%,1,22.3%,20,19.9
19-20,22,-3.3,32.4,25.7,25,-3.7,22,43,28,106.6,24,52.0%,26,15.5%,14,25.5%,28,17.6,12,109.9,27,55.0%,1,18.0%,23,26.9%,30,24.0
