Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,2,+9.8,62.5,62.5,11,+1.5,64,18,1,122.5,1,58.2%,4,13.0%,15,28.2%,17,18.9,8,112.8,4,53.1%,14,14.7%,24,29.2%,11,18.4
                                                        24-25                        ,1,+10.1,62.9,6.9,19,-1.9,5,4,1,124.3,5,55.0%,3,11.9%,5,32.0%,2,27.1,8,114.2,16,57.8%,5,15.5%,2,23.0%,6,17.6
23-24,13,+2.4,47.0,47.0,11,+1.0,48,34,18,115.3,14,55.7%,17,13.7%,22,25.5%,20,18.0,6,112.9,6,53.8%,10,14.1%,7,25.8%,14,19.1
                                                        23-24                        ,14,-6.4,25.1,3.7,4,+1.3,5,7,17,106.1,13,51.7%,12,13.0%,16,21.5%,16,15.9,8,112.5,5,51.8%,6,13.8%,12,29.7%,16,21.7
22-23,2,+5.8,55.0,55.0,28,-4.0,51,31,7,116.7,10,55.7%,11,13.7%,17,26.5%,14,21.0,1,111.0,8,54.0%,3,16.3%,20,27.1%,15,21.1
                                                        22-23                        ,17,-8.2,20.8,1.3,12,-0.3,1,4,20,102.2,13,51.4%,19,16.8%,13,25.9%,17,16.7,3,110.4,2,49.0%,1,17.2%,20,39.6%,15,23.1
21-22,13,+1.9,45.8,45.8,24,-1.8,44,38,19,111.8,16,53.8%,27,14.8%,10,26.4%,11,19.9,6,110.0,5,52.2%,12,14.0%,18,26.4%,5,17.1
                                                        21-22                        ,15,-7.5,23.4,0.6,16,-0.6,0,2,12,110.0,11,52.4%,14,15.3%,5,28.1%,16,18.2,16,117.5,16,57.0%,9,14.3%,13,27.7%,16,22.8
20-21,28,-8.6,20.5,18.0,3,+4.0,22,50,28,106.2,29,51.1%,30,16.0%,4,27.4%,13,19.4,26,114.9,30,56.0%,12,14.3%,20,25.5%,10,18.6
19-20,29,-7.9,22.1,17.5,11,+1.5,19,46,25,107.5,23,52.4%,30,16.8%,2,28.3%,30,17.0,29,115.4,29,56.1%,25,13.0%,11,24.9%,2,16.6
18-19,29,-9.9,18.5,18.5,10,+0.5,19,63,24,107.8,29,50.5%,15,14.0%,9,27.1%,23,18.4,30,117.7,30,56.6%,26,12.9%,14,25.8%,4,18.2
17-18,15,+0.7,42.8,42.8,1,+7.2,50,32,5,112.7,3,54.9%,9,13.9%,26,23.3%,6,21.5,29,112.0,30,54.5%,25,13.6%,13,25.3%,2,16.6
                                                        17-18                        ,10,-2.8,33.7,9.0,1,+3.0,12,10,6,109.6,9,51.5%,7,14.0%,2,26.8%,7,21.6,11,112.5,11,53.5%,14,13.0%,9,24.4%,5,19.4
16-17,6,+4.0,51.0,51.0,14,0.0,51,31,3,114.1,2,55.0%,11,14.0%,20,25.5%,20,20.7,21,110.2,18,51.8%,29,12.9%,13,26.2%,3,17.1
                                                        16-17                        ,2,+9.9,62.9,13.8,14,-0.8,13,5,1,121.6,2,58.1%,6,13.5%,9,26.3%,2,24.9,7,111.7,6,52.1%,8,13.9%,12,28.3%,3,19.0
15-16,4,+7.3,59.0,59.0,24,-2.0,57,25,3,111.9,3,52.8%,12,14.3%,9,28.3%,23,19.3,10,104.6,14,49.9%,21,14.1%,5,24.3%,13,20.3
                                                        15-16                        ,2,+10.7,64.9,16.6,10,-0.6,16,5,1,117.8,1,55.0%,7,13.3%,4,30.1%,12,19.4,8,107.1,10,51.7%,8,14.4%,2,24.3%,3,18.4
14-15,5,+5.4,54.7,54.7,22,-1.7,53,29,3,111.4,4,52.3%,19,15.3%,4,30.1%,8,21.8,18,106.0,19,50.4%,21,14.5%,13,27.4%,1,17.6
                                                        14-15                        ,2,+5.8,56.0,13.7,5,+0.3,14,6,2,108.6,10,48.2%,9,14.1%,1,32.3%,4,23.9,3,102.8,3,46.8%,15,12.7%,3,25.7%,7,21.0
13-14,21,-2.9,33.4,33.4,15,-0.4,33,49,21,104.9,25,48.3%,8,15.1%,8,30.2%,17,20.3,18,107.7,17,50.9%,21,14.8%,12,27.5%,9,19.8
12-13,27,-6.0,25.6,25.6,24,-1.6,24,58,20,103.7,27,47.4%,7,15.3%,8,31.3%,18,20.0,26,109.7,29,52.5%,9,16.4%,23,29.8%,26,22.7
11-12,29,-7.8,21.5,17.3,2,+3.7,21,45,26,101.2,29,46.5%,26,16.8%,6,31.8%,9,22.2,26,109.0,27,51.0%,21,14.9%,23,30.4%,13,20.0
10-11,30,-10.0,17.5,17.5,11,+1.5,19,63,28,102.6,28,47.4%,15,15.1%,21,27.4%,11,23.2,29,112.6,29,52.8%,26,14.4%,18,29.0%,6,21.7
09-10,2,+8.4,61.3,61.3,13,-0.3,61,21,2,112.5,3,53.7%,15,15.1%,21,28.0%,7,24.7,7,104.1,3,48.5%,26,13.9%,2,26.1%,14,21.9
                                                        09-10                        ,5,+2.1,46.6,6.3,10,-0.3,6,5,6,108.2,5,52.2%,14,16.1%,16,23.7%,3,31.1,5,106.1,5,48.2%,16,12.7%,7,27.7%,5,23.8
08-09,1,+11.9,67.7,67.7,25,-1.7,66,16,2,113.4,4,52.5%,6,13.9%,14,29.4%,16,23.4,1,101.5,2,47.2%,10,15.7%,9,27.8%,10,22.1
                                                        08-09                        ,1,+9.9,64.2,11.0,13,-1.0,10,4,2,113.4,5,50.7%,8,14.3%,1,32.5%,6,27.7,2,103.5,3,48.7%,9,14.1%,2,24.7%,4,23.6
07-08,15,-0.3,40.2,40.2,3,+4.8,45,37,17,105.9,26,48.1%,14,15.4%,2,32.1%,20,22.1,11,106.2,10,49.7%,22,14.5%,3,27.0%,18,24.2
                                                        07-08                        ,4,+2.8,48.7,7.7,13,-0.7,7,6,10,104.7,10,47.0%,13,16.0%,8,31.5%,3,29.1,1,101.9,2,46.7%,4,15.2%,4,27.6%,12,27.1
06-07,7,+4.3,52.6,52.6,25,-2.6,50,32,16,105.7,23,48.6%,10,15.7%,4,31.5%,24,22.3,4,101.4,6,48.3%,11,16.6%,3,26.6%,14,24.3
                                                        06-07                        ,5,+3.0,49.5,12.1,8,-0.1,12,8,8,102.6,14,46.0%,3,15.0%,8,30.2%,8,25.3,2,99.6,2,46.7%,9,15.8%,3,25.5%,7,23.4
05-06,8,+2.9,48.8,48.8,12,+1.2,50,32,8,108.1,11,49.7%,12,15.2%,12,29.8%,10,26.3,15,105.1,16,49.3%,28,14.4%,3,26.9%,5,22.7
                                                        05-06                        ,9,-4.1,30.3,4.8,1,+2.2,7,6,12,104.3,15,46.9%,13,16.8%,1,33.8%,12,24.4,8,108.3,3,48.4%,9,14.6%,11,30.5%,11,29.2
04-05,14,+1.2,44.3,44.3,24,-2.3,42,40,12,106.4,25,47.2%,11,15.3%,2,34.2%,15,24.6,12,105.1,15,48.6%,12,16.2%,23,31.6%,17,24.9
03-04,22,-3.0,32.7,32.7,6,+2.3,35,47,19,101.2,27,45.4%,12,16.2%,3,33.2%,14,23.1,21,104.2,14,47.3%,29,14.2%,12,29.8%,12,22.0
