Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,20,-1.5,37.3,37.3,10,+1.7,39,43,18,114.9,14,55.2%,12,14.0%,24,25.9%,5,20.1,20,116.3,10,54.2%,23,13.2%,25,29.7%,10,18.2
                                                        24-25                        ,7,+0.6,42.5,1.0,9,-0.0,1,1,5,116.1,1,57.2%,6,13.4%,19,22.9%,10,20.6,11,115.5,10,53.6%,4,15.5%,20,37.4%,1,11.5
23-24,12,+2.6,47.4,47.4,7,+2.6,50,32,8,118.4,6,56.9%,5,12.6%,26,24.1%,15,19.2,17,115.7,17,54.9%,17,13.7%,21,27.2%,13,18.9
                                                        23-24                        ,5,+3.6,49.9,13.4,12,-0.4,13,9,9,114.7,5,54.1%,15,13.6%,7,29.1%,10,19.7,6,111.2,4,51.6%,8,12.7%,7,26.7%,13,19.3
22-23,18,+0.3,41.7,41.7,26,-3.7,38,44,6,117.2,4,57.0%,2,12.4%,30,21.0%,7,22.5,23,116.9,21,55.2%,22,13.3%,18,26.9%,27,22.7
21-22,7,+3.8,50.5,50.5,9,+1.5,52,30,12,114.1,10,54.4%,5,12.9%,23,24.4%,17,19.4,8,110.3,8,52.4%,15,13.7%,9,25.3%,10,18.5
                                                        21-22                        ,6,+0.9,43.1,9.5,15,-0.5,9,9,5,115.2,5,55.1%,2,10.8%,18,19.7%,11,22.3,11,114.3,11,54.2%,10,14.1%,14,28.0%,12,21.6
20-21,11,+2.4,46.9,41.2,11,+0.8,42,30,8,116.0,7,55.5%,3,12.3%,22,23.8%,17,18.9,21,113.7,10,53.7%,23,12.8%,17,25.2%,21,19.9
                                                        20-21                        ,15,-6.6,25.7,2.2,2,+0.8,3,4,9,114.6,8,54.1%,8,12.1%,8,27.6%,18,16.0,15,121.2,17,57.4%,14,11.7%,6,23.1%,19,24.9
19-20,6,+4.6,52.3,47.9,29,-4.9,43,32,1,116.7,4,54.7%,3,12.7%,12,26.3%,13,20.8,18,112.1,13,52.7%,30,11.9%,10,24.8%,4,17.6
                                                        19-20                        ,12,-8.6,21.6,1.6,6,+0.4,2,4,8,112.6,3,56.0%,2,12.4%,14,20.0%,8,21.4,15,121.2,15,57.6%,15,11.5%,4,21.4%,13,25.1
18-19,21,-1.6,36.9,36.9,28,-3.9,33,49,19,109.9,18,52.3%,20,14.2%,15,25.6%,5,21.8,19,111.5,17,52.6%,25,12.9%,10,25.4%,13,19.3
17-18,22,-3.2,32.6,32.6,30,-8.6,24,58,24,105.9,19,51.6%,1,12.7%,30,20.8%,28,16.6,17,109.1,24,53.7%,19,14.2%,4,23.7%,17,19.3
16-17,23,-3.5,31.8,31.8,9,+1.2,33,49,27,105.1,20,50.6%,3,12.8%,30,19.6%,28,17.9,13,108.6,27,53.2%,1,16.1%,6,25.3%,21,21.8
15-16,16,-0.3,40.2,40.2,7,+1.8,42,40,10,106.8,12,50.7%,2,13.3%,28,22.6%,13,20.9,17,107.1,17,50.7%,17,14.6%,15,26.6%,8,19.8
                                                        15-16                        ,15,-21.5,5.5,0.3,3,+0.7,1,4,10,103.7,9,48.7%,5,12.6%,11,24.8%,13,19.2,16,125.2,16,55.9%,12,13.2%,15,34.9%,16,28.2
14-15,12,+2.9,48.5,48.5,9,+1.5,50,32,6,109.1,7,51.5%,3,13.5%,26,26.0%,18,19.9,19,106.3,22,50.7%,4,17.0%,29,30.6%,14,20.4
                                                        14-15                        ,11,-5.7,26.8,1.6,13,-0.6,1,4,6,107.3,6,49.4%,8,14.0%,3,29.3%,8,20.8,14,113.0,15,52.6%,6,14.4%,13,28.9%,15,29.5
13-14,13,+2.3,47.1,47.1,8,+1.9,49,33,6,110.7,4,52.9%,5,14.2%,23,26.2%,18,20.3,22,108.4,23,51.8%,6,16.8%,24,29.5%,23,23.2
                                                        13-14                        ,12,-3.9,31.1,2.7,6,+0.3,3,4,7,109.0,7,50.3%,2,12.5%,10,27.4%,16,17.4,12,112.9,15,54.7%,9,14.8%,5,25.6%,9,25.0
12-13,17,-0.4,39.9,39.9,10,+1.1,41,41,12,106.1,10,51.0%,3,14.7%,27,24.4%,25,19.0,19,106.5,11,49.6%,19,15.4%,17,29.0%,27,22.9
11-12,15,+1.4,44.8,36.1,13,-0.1,36,30,22,103.6,16,49.2%,6,15.1%,28,25.9%,25,18.9,8,102.2,9,48.3%,17,15.7%,4,27.3%,14,20.6
                                                        11-12                        ,13,-8.7,19.8,1.0,15,-1.0,0,4,8,102.0,11,45.2%,9,15.8%,9,27.8%,2,29.4,15,110.7,16,53.4%,12,13.5%,1,20.0%,15,27.4
10-11,8,+4.9,53.7,53.7,8,+3.3,57,25,8,109.8,1,52.9%,18,15.3%,28,26.2%,18,22.3,8,104.9,9,49.1%,20,14.8%,10,27.5%,3,20.6
                                                        10-11                        ,1,+7.9,60.2,15.4,5,+0.6,16,5,1,112.9,1,52.2%,7,14.6%,10,28.2%,6,27.6,5,105.0,11,48.7%,6,15.5%,7,30.0%,6,24.5
09-10,13,+3.3,49.6,49.6,1,+5.4,55,27,11,109.1,13,50.8%,2,13.7%,26,26.3%,15,22.9,12,105.8,13,49.6%,11,15.5%,15,28.9%,7,20.7
                                                        09-10                        ,6,0.0,41.0,3.0,15,-1.0,2,4,8,106.3,11,47.5%,11,14.7%,6,30.0%,10,24.3,6,106.3,7,49.6%,14,13.4%,4,27.3%,3,21.7
08-09,10,+2.7,48.0,48.0,4,+2.0,50,32,6,110.9,9,50.9%,3,13.6%,18,28.2%,22,22.5,17,108.2,10,49.7%,26,14.1%,10,27.9%,11,22.6
                                                        08-09                        ,5,+0.3,41.7,5.1,10,-0.1,5,5,3,113.1,2,52.0%,7,14.2%,9,27.0%,2,31.4,12,112.8,14,52.9%,16,12.0%,1,24.6%,8,26.5
07-08,5,+6.6,57.5,57.5,30,-6.5,51,31,5,111.9,10,50.7%,5,13.9%,17,28.7%,7,26.1,5,105.2,3,47.6%,29,13.5%,4,27.1%,22,25.2
                                                        07-08                        ,14,-11.8,15.1,0.9,5,+0.1,1,4,8,105.7,16,43.8%,5,13.5%,3,34.0%,2,30.7,16,117.5,13,52.5%,16,9.2%,3,27.1%,2,19.8
06-07,1,+9.1,62.9,62.9,2,+4.1,67,15,2,111.9,5,51.4%,7,15.4%,9,30.8%,11,25.9,5,102.8,5,47.9%,19,16.1%,4,27.0%,21,26.5
                                                        06-07                        ,11,-6.4,25.0,1.8,5,+0.2,2,4,6,105.6,12,46.9%,15,17.5%,1,34.7%,1,29.0,13,112.0,16,53.2%,7,16.1%,10,29.9%,11,26.8
05-06,3,+7.0,58.5,58.5,11,+1.5,60,22,2,111.4,12,49.7%,9,15.0%,2,33.5%,2,29.0,10,104.4,8,47.8%,15,15.7%,19,29.8%,19,25.7
                                                        05-06                        ,3,+4.0,51.5,14.4,13,-0.4,14,9,5,109.9,12,48.6%,5,14.3%,3,31.1%,6,28.6,4,105.8,10,51.1%,6,15.8%,4,24.9%,8,27.8
04-05,4,+6.6,57.7,57.7,13,+0.3,58,24,5,110.0,6,49.6%,4,14.2%,17,30.4%,3,27.4,9,103.4,8,47.5%,9,16.5%,22,31.4%,12,23.9
                                                        04-05                        ,9,-2.4,34.8,5.5,5,+0.5,6,7,2,111.9,6,49.5%,5,13.9%,5,32.5%,6,27.2,14,114.3,14,52.9%,8,15.1%,7,31.5%,6,25.0
03-04,6,+4.4,52.3,52.3,17,-0.3,52,30,1,111.4,3,49.6%,1,12.9%,6,32.4%,26,20.5,26,107.0,28,50.1%,17,16.0%,14,30.6%,6,21.5
                                                        03-04                        ,7,-0.0,41.0,2.5,16,-1.5,1,4,2,101.3,14,42.9%,1,13.9%,1,37.4%,15,18.3,9,101.3,10,48.3%,10,16.6%,9,29.9%,2,20.2
