Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,9,+4.5,51.6,51.6,22,-1.6,50,32,4,120.9,2,57.9%,13,14.1%,5,30.0%,4,20.2,21,116.5,17,54.6%,26,12.8%,15,27.9%,5,17.3
                                                        24-25                        ,12,-5.3,28.1,4.8,1,+2.2,7,7,11,110.7,12,52.1%,13,15.9%,6,31.9%,9,20.9,12,116.0,13,54.0%,16,11.5%,6,27.3%,7,18.5
23-24,4,+5.9,54.9,54.9,8,+2.1,57,25,5,119.1,9,56.6%,10,13.1%,6,28.6%,28,17.1,9,113.3,3,52.9%,26,12.7%,13,26.5%,18,19.5
                                                        23-24                        ,10,-1.0,38.4,5.6,3,+1.4,7,5,13,111.3,10,52.7%,11,12.9%,14,24.5%,14,16.4,7,112.3,14,54.6%,11,12.4%,3,22.8%,9,18.9
22-23,6,+3.8,50.1,50.1,6,+2.9,53,29,5,118.3,1,57.9%,20,14.5%,11,27.4%,24,19.7,17,114.6,14,54.6%,18,13.7%,10,26.0%,8,20.0
                                                        22-23                        ,1,+9.2,61.7,15.1,3,+0.9,16,4,2,120.1,2,56.3%,4,12.1%,10,28.3%,8,21.0,5,111.0,6,51.9%,19,11.5%,4,22.3%,7,20.2
21-22,12,+2.1,46.4,46.4,7,+1.6,48,34,9,114.6,1,55.9%,26,14.8%,19,25.3%,18,19.4,15,112.4,20,53.9%,28,12.9%,1,23.7%,11,18.5
                                                        21-22                        ,16,-8.4,22.3,1.4,14,-0.4,1,4,6,115.1,6,54.6%,20,17.2%,2,32.9%,4,25.3,19,123.4,20,61.0%,15,13.0%,6,23.7%,15,22.3
20-21,6,+5.5,54.2,47.6,18,-0.6,47,25,5,118.0,6,56.4%,16,13.7%,2,28.3%,28,17.5,11,112.5,22,54.9%,9,14.6%,7,23.9%,18,19.6
                                                        20-21                        ,14,-6.1,27.1,3.3,4,+0.7,4,6,5,117.9,9,53.7%,4,11.3%,4,28.5%,16,17.3,17,124.0,19,58.1%,15,11.6%,8,24.2%,15,22.7
19-20,13,+2.0,46.0,41.0,1,+5.0,46,27,5,113.1,13,53.6%,10,14.0%,3,27.8%,24,18.7,16,111.1,16,53.3%,14,14.4%,20,25.9%,14,20.0
                                                        19-20                        ,10,-3.6,32.2,7.5,2,+1.5,9,10,6,113.3,5,55.0%,13,14.9%,4,25.8%,9,21.0,11,116.9,13,55.6%,9,14.0%,13,25.9%,11,23.8
18-19,9,+3.6,50.2,50.2,3,+3.8,54,28,7,112.9,12,53.1%,13,13.8%,1,29.7%,26,17.7,11,109.3,14,52.4%,16,13.7%,8,24.7%,15,19.5
                                                        18-19                        ,6,+1.3,44.4,7.6,13,-0.6,7,7,2,113.7,11,49.6%,3,9.9%,2,30.0%,10,22.2,11,112.4,6,50.2%,15,10.2%,12,28.2%,7,21.5
17-18,13,+1.6,45.2,45.2,13,+0.8,46,36,6,112.1,7,53.9%,23,15.3%,2,28.8%,13,19.8,21,110.5,27,54.2%,22,14.1%,10,24.9%,7,17.3
16-17,11,+0.9,43.2,43.2,27,-3.2,40,42,4,113.2,5,53.2%,22,15.0%,2,30.0%,12,21.5,29,112.4,28,53.3%,30,12.2%,2,23.6%,8,19.6
15-16,23,-3.8,31.1,31.1,6,+1.9,33,49,18,105.7,24,49.1%,20,15.3%,3,29.2%,9,21.6,25,109.5,23,52.1%,22,14.0%,7,25.2%,21,21.8
14-15,24,-4.0,30.4,30.4,16,-0.4,30,52,19,104.6,24,48.4%,11,14.6%,10,29.0%,12,20.4,26,108.6,21,50.7%,19,14.7%,18,28.4%,30,23.9
13-14,20,-2.1,35.5,35.5,12,+0.5,36,46,18,106.0,16,50.0%,25,16.2%,11,29.9%,12,22.1,21,108.0,13,50.1%,24,14.5%,18,28.5%,22,23.2
12-13,5,+5.9,55.9,55.9,11,+1.1,57,25,5,110.9,7,51.9%,15,15.8%,3,33.1%,7,22.0,11,105.0,13,49.6%,7,16.6%,28,31.0%,8,19.2
                                                        12-13                        ,9,-4.9,28.4,2.1,9,-0.1,2,4,8,105.0,6,48.2%,7,14.9%,6,28.8%,4,25.8,12,109.8,16,55.6%,2,19.3%,12,30.6%,5,20.6
