Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,14,+1.6,45.0,45.0,17,-1.0,44,38,16,115.1,17,54.8%,21,14.8%,9,29.4%,13,19.3,11,113.5,12,54.2%,12,14.8%,9,27.1%,27,21.4
                                                        24-25                        ,10,-1.7,36.7,2.7,16,-0.7,2,4,14,110.1,16,51.1%,17,17.2%,9,31.3%,1,27.1,5,111.8,4,51.5%,12,13.5%,12,28.9%,11,20.6
23-24,28,-10.2,18.3,18.3,28,-4.3,14,68,28,109.2,28,52.7%,27,15.4%,20,26.0%,16,19.2,25,119.4,24,56.2%,28,12.2%,4,25.3%,29,22.4
22-23,28,-8.6,21.2,21.2,30,-4.2,17,65,29,110.6,27,52.3%,27,15.2%,8,28.2%,6,22.6,28,119.2,24,56.1%,19,13.5%,27,28.6%,29,23.3
21-22,26,-8.0,21.8,21.8,12,+1.2,23,59,28,106.2,30,49.7%,21,14.4%,13,26.1%,16,19.5,23,114.2,21,54.3%,8,14.6%,28,28.0%,30,23.0
20-21,25,-4.6,29.4,25.8,28,-5.8,20,52,26,108.6,26,52.1%,27,15.1%,13,25.6%,6,20.7,17,113.2,18,54.4%,14,14.1%,24,26.2%,19,19.6
19-20,23,-3.5,32.1,25.8,30,-5.8,20,46,20,109.5,20,53.1%,27,15.5%,11,26.4%,19,19.6,22,113.0,19,54.3%,17,14.2%,25,27.1%,8,18.7
18-19,15,+0.2,41.5,41.5,18,-0.5,41,41,21,109.5,26,51.4%,19,14.2%,6,27.5%,16,19.7,12,109.3,19,52.9%,12,14.4%,4,24.1%,26,21.0
                                                        18-19                        ,16,-26.2,2.8,0.1,7,-0.1,0,4,14,97.3,16,43.7%,2,9.6%,12,24.8%,16,12.0,16,123.4,16,58.6%,9,13.2%,8,26.5%,16,26.4
17-18,19,-0.3,40.3,40.3,21,-1.3,39,43,19,107.2,21,51.4%,8,13.8%,15,25.5%,27,16.9,13,107.4,17,52.8%,7,15.4%,9,24.7%,5,17.3
16-17,20,-1.3,37.4,37.4,19,-0.4,37,45,24,106.3,26,49.6%,2,12.5%,11,27.1%,30,15.5,9,107.6,19,51.9%,23,13.4%,1,21.3%,10,19.8
15-16,13,+1.4,44.8,44.8,19,-0.8,44,38,12,106.7,21,49.6%,7,14.1%,2,29.6%,21,19.9,11,105.3,15,50.4%,23,14.0%,3,23.6%,6,19.5
                                                        15-16                        ,13,-8.6,21.2,1.0,12,-1.0,0,4,5,110.5,2,53.9%,3,12.3%,15,22.6%,14,19.1,15,119.2,13,54.3%,16,10.0%,11,28.8%,1,14.9
14-15,20,-1.6,36.7,36.7,30,-4.7,32,50,16,105.1,25,48.3%,8,14.4%,3,30.3%,25,18.5,20,106.7,20,50.5%,17,14.9%,15,27.5%,10,19.4
13-14,24,-4.0,30.6,30.6,22,-1.6,29,53,16,106.2,23,48.6%,13,15.3%,1,33.5%,22,19.8,25,110.2,28,52.3%,15,15.6%,23,29.5%,14,21.9
12-13,24,-4.9,28.1,28.1,15,+0.9,29,53,23,103.3,19,48.9%,29,16.7%,10,30.9%,21,19.5,24,108.2,20,50.6%,25,14.9%,18,29.3%,21,21.0
11-12,25,-5.6,26.3,21.1,1,+3.9,25,41,24,101.3,28,47.3%,29,17.4%,7,31.3%,11,21.1,24,106.9,24,50.6%,10,16.3%,19,30.0%,24,22.7
10-11,23,-3.9,31.0,31.0,18,-1.0,30,52,16,108.0,17,49.9%,6,14.5%,9,30.4%,29,20.7,28,111.9,30,53.0%,8,15.8%,24,30.4%,20,23.7
09-10,26,-5.7,26.6,26.6,10,+0.4,27,55,20,105.8,29,47.6%,13,14.9%,2,33.4%,19,22.3,26,111.5,28,52.8%,8,15.9%,16,29.0%,28,26.4
08-09,16,-0.6,39.3,39.3,15,-0.3,39,43,21,107.0,25,48.6%,2,13.5%,10,29.8%,27,21.3,14,107.6,6,48.8%,29,13.2%,8,27.6%,20,24.9
                                                        08-09                        ,15,-17.8,6.8,0.3,11,-0.3,0,4,15,95.1,16,43.8%,3,13.6%,11,26.0%,16,16.2,13,112.9,5,49.1%,11,13.8%,15,30.8%,16,34.4
07-08,2,+8.8,62.3,62.3,26,-3.3,59,23,7,111.8,15,49.9%,2,12.8%,6,31.2%,15,22.9,4,102.9,4,47.8%,13,15.2%,12,28.2%,19,24.4
                                                        07-08                        ,3,+3.2,49.4,10.2,8,-0.2,10,7,7,107.6,8,48.8%,12,14.9%,10,30.0%,8,26.8,3,104.4,8,48.8%,2,17.7%,13,33.4%,14,27.5
06-07,5,+5.5,55.3,55.3,23,-2.3,53,29,6,108.7,21,49.2%,1,13.7%,14,29.6%,19,23.8,6,103.2,4,47.9%,13,16.6%,26,31.1%,10,23.5
                                                        06-07                        ,3,+3.8,51.3,10.0,7,-0.0,10,6,5,105.6,11,47.2%,4,15.1%,7,30.4%,6,26.7,3,101.8,3,46.9%,3,16.3%,14,31.6%,12,27.7
05-06,1,+8.7,62.3,62.3,10,+1.7,64,18,4,110.9,9,49.9%,1,12.8%,8,30.6%,26,21.8,3,102.1,10,48.0%,11,15.9%,23,30.8%,1,18.9
                                                        05-06                        ,2,+4.0,51.7,11.3,16,-1.3,10,8,8,108.0,14,48.0%,3,13.6%,5,30.6%,9,27.9,3,104.0,9,50.0%,2,17.0%,10,29.6%,2,22.1
04-05,5,+5.0,54.4,54.4,18,-0.4,54,28,17,105.4,23,47.5%,15,15.6%,4,33.3%,14,24.7,3,100.4,5,46.5%,19,15.5%,7,29.4%,3,20.9
                                                        04-05                        ,1,+6.9,59.0,18.0,16,-3.0,15,10,11,105.4,12,47.1%,6,14.2%,7,32.1%,14,21.6,1,98.6,4,46.9%,5,16.6%,2,27.8%,2,21.8
03-04,2,+7.7,61.6,61.6,29,-7.6,54,28,13,101.9,20,46.5%,20,16.9%,9,32.0%,4,25.0,2,94.2,2,44.2%,4,18.0%,13,30.1%,3,19.9
                                                        03-04                        ,1,+7.6,61.7,17.3,15,-1.3,16,7,6,98.9,12,44.1%,9,16.8%,2,32.6%,3,26.2,1,91.3,3,42.9%,6,17.8%,3,27.4%,5,23.0
