Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,10,+3.0,48.4,48.4,15,-0.4,48,34,17,114.9,20,53.8%,16,14.3%,7,29.9%,16,19.0,7,111.9,15,54.4%,4,15.8%,10,27.1%,17,19.0
 24-25,11,-2.7,34.1,5.4,5,+0.6,6,7,12,110.7,14,51.5%,12,14.8%,10,29.7%,13,19.2,6,113.4,12,53.9%,2,16.8%,18,33.6%,14,22.4
23-24,15,+2.2,46.4,46.4,17,-0.4,46,36,10,117.8,12,56.0%,22,14.3%,4,30.0%,27,17.2,15,115.6,10,54.2%,22,13.0%,16,26.6%,20,19.7
 23-24,20,-29.6,2.0,0.0,8,-0.0,0,1,20,97.8,18,49.3%,19,17.4%,19,19.0%,6,21.3,19,127.5,13,54.3%,20,8.8%,18,34.0%,5,14.9
22-23,9,+2.4,46.9,46.9,24,-2.9,44,38,8,116.6,3,57.4%,29,15.8%,16,26.6%,29,18.0,12,114.2,10,54.2%,17,13.9%,15,26.7%,19,21.5
 22-23,6,+0.6,42.5,6.7,17,-0.7,6,7,10,112.1,8,53.0%,15,14.0%,8,29.0%,18,16.2,6,111.5,4,51.1%,12,12.8%,9,27.7%,14,22.9
21-22,5,+5.2,54.2,54.2,22,-1.2,53,29,17,112.8,4,55.3%,29,15.2%,17,25.7%,23,18.1,2,107.6,2,51.3%,7,14.7%,10,25.3%,23,20.3
 21-22,1,+5.7,54.8,14.7,1,+1.3,16,6,3,116.4,2,56.6%,13,14.8%,7,27.5%,18,17.8,5,110.8,5,52.4%,8,14.3%,8,26.4%,8,20.8
20-21,15,+0.4,42.0,36.9,7,+2.1,39,33,21,111.0,9,55.1%,23,14.6%,30,20.6%,14,19.1,5,110.6,4,52.6%,7,14.6%,22,26.0%,29,22.7
 20-21,9,-2.9,33.2,0.8,17,-0.8,0,2,15,105.0,12,52.3%,20,20.3%,3,28.7%,19,15.3,2,107.9,1,47.6%,4,13.8%,18,31.9%,14,22.2
19-20,30,-9.4,19.0,15.1,17,-0.1,15,50,30,104.9,30,50.0%,20,14.8%,25,23.9%,10,21.0,26,114.3,28,55.7%,8,15.2%,24,27.0%,12,19.6
