Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,4,+5.4,54.2,54.2,24,-2.2,52,30,12,116.3,24,52.6%,8,13.8%,1,35.4%,25,17.9,4,110.8,3,53.1%,16,14.4%,8,26.9%,12,18.5
 24-25,6,+1.8,45.5,3.9,17,-0.9,3,4,9,113.1,15,51.4%,11,14.7%,2,34.2%,3,24.6,3,111.3,6,52.1%,11,13.5%,7,27.8%,2,15.2
23-24,16,+2.1,46.1,46.1,30,-5.1,41,41,20,115.0,24,53.3%,6,12.7%,10,27.2%,13,20.0,7,112.9,5,53.4%,11,13.9%,12,26.3%,28,21.9
22-23,29,-8.6,21.3,21.3,14,+0.7,22,60,27,111.0,30,51.7%,30,16.3%,1,33.2%,12,21.6,29,119.7,28,56.7%,24,13.0%,13,26.4%,23,22.2
21-22,30,-9.1,20.2,20.2,18,-0.2,20,62,26,108.7,17,53.8%,30,16.5%,20,25.0%,8,20.3,30,117.8,29,55.8%,13,13.8%,27,27.9%,25,20.7
20-21,27,-8.4,21.1,18.6,23,-1.6,17,55,27,107.7,24,52.6%,24,14.6%,28,22.8%,18,18.7,27,116.1,29,55.9%,11,14.3%,26,26.7%,23,20.1
19-20,10,+2.4,47.1,41.4,7,+2.6,44,28,8,112.8,8,53.9%,9,13.9%,26,23.6%,4,23.0,15,110.4,14,53.2%,5,15.5%,29,27.8%,13,19.6
 19-20,8,-0.7,39.1,5.7,12,-0.7,5,7,11,108.1,9,53.7%,8,13.9%,16,18.4%,16,18.5,6,108.8,8,54.5%,1,17.2%,11,25.4%,4,20.3
18-19,5,+4.8,52.7,52.7,13,+0.3,53,29,2,115.5,4,54.5%,8,13.4%,19,25.4%,3,22.1,17,110.8,18,52.6%,7,15.3%,29,28.8%,25,20.8
 18-19,5,+2.4,47.2,6.3,11,-0.3,6,5,9,110.7,2,54.4%,14,16.4%,7,27.0%,7,22.6,7,108.3,5,50.2%,6,14.8%,15,30.3%,8,22.0
