Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,11,+2.3,46.7,46.7,4,+3.3,50,32,10,116.5,6,56.5%,3,12.9%,29,23.7%,15,19.1,13,114.2,19,54.9%,13,14.7%,18,28.3%,14,18.8
                                                        24-25                        ,5,+2.8,47.9,13.4,2,+1.6,15,8,2,116.8,2,57.0%,10,14.5%,15,24.7%,5,23.3,7,114.0,5,51.8%,9,14.1%,13,30.3%,18,26.5
23-24,10,+2.7,47.4,47.4,16,-0.4,47,35,2,121.6,2,58.1%,8,12.7%,15,26.9%,24,17.4,24,118.9,22,55.9%,18,13.5%,25,28.5%,30,23.0
                                                        23-24                        ,6,+3.1,48.2,10.0,20,-2.0,8,9,1,123.0,1,58.0%,7,12.2%,6,29.3%,19,13.4,15,120.0,16,54.7%,15,12.0%,14,29.9%,14,20.5
22-23,26,-4.1,31.2,31.2,3,+3.8,35,47,21,114.7,16,54.8%,23,14.8%,15,26.9%,16,20.8,26,118.7,23,55.7%,11,14.6%,30,30.7%,28,22.8
21-22,22,-3.5,32.4,32.4,28,-7.4,25,57,15,113.3,18,53.6%,23,14.6%,3,29.4%,21,18.4,28,116.8,27,55.3%,20,13.4%,20,26.7%,26,20.7
20-21,17,-0.6,39.5,34.7,20,-0.7,34,38,14,112.5,15,54.4%,7,13.1%,26,23.1%,24,17.8,14,113.1,7,53.4%,10,14.4%,30,28.4%,25,20.4
                                                        20-21                        ,12,-5.4,28.2,0.7,9,+0.3,1,1,11,113.1,4,56.4%,18,14.3%,13,25.3%,20,8.9,13,118.5,18,57.7%,12,11.9%,1,16.4%,16,23.2
19-20,11,+2.4,47.2,42.0,6,+3.0,45,28,18,110.6,7,53.9%,5,13.4%,27,23.0%,29,17.0,6,108.2,6,51.4%,11,14.8%,22,26.7%,10,19.4
                                                        19-20                        ,13,-10.6,16.9,0.8,14,-0.8,0,4,14,104.1,10,53.3%,15,15.8%,15,18.5%,14,19.7,10,114.7,10,54.9%,5,14.7%,16,27.0%,16,29.2
18-19,10,+2.9,48.6,48.6,19,-0.6,48,34,18,110.0,13,53.1%,14,13.9%,16,25.5%,22,18.4,4,107.1,13,52.2%,1,16.2%,22,26.6%,5,18.2
                                                        18-19                        ,12,-9.3,17.6,0.9,14,-0.9,0,4,16,95.5,13,46.1%,6,12.5%,16,18.0%,15,17.2,3,104.8,9,52.2%,1,16.8%,6,24.6%,6,21.0
17-18,12,+1.9,45.9,45.9,9,+2.1,48,34,13,109.3,10,52.8%,6,13.8%,14,25.6%,24,17.4,12,107.4,16,52.8%,2,16.2%,23,26.4%,6,17.3
                                                        17-18                        ,2,+6.1,56.4,4.8,16,-1.8,3,4,4,110.5,3,54.2%,13,14.9%,6,26.1%,14,17.4,2,104.4,4,50.9%,2,15.8%,6,23.5%,15,24.4
16-17,13,+0.4,42.2,42.2,17,-0.2,42,40,15,109.1,11,52.2%,15,14.3%,26,23.9%,14,21.5,14,108.6,13,51.4%,6,15.4%,24,27.3%,26,22.8
                                                        16-17                        ,9,-3.4,32.8,1.6,16,-1.6,0,4,3,116.0,4,53.3%,8,14.2%,1,32.8%,15,19.1,14,119.5,15,56.8%,10,13.3%,11,27.7%,11,23.4
15-16,11,+1.8,46.1,46.1,21,-1.1,45,37,26,104.7,20,49.8%,19,15.2%,20,25.8%,16,20.7,3,102.9,10,49.2%,6,16.3%,20,27.3%,17,20.7
                                                        15-16                        ,6,+3.4,50.4,4.3,14,-1.3,3,4,8,104.7,7,49.8%,14,15.8%,10,25.5%,2,26.2,2,101.3,1,43.3%,2,15.8%,16,36.5%,13,24.5
14-15,16,+0.4,42.2,42.2,29,-4.2,38,44,23,103.8,23,48.6%,16,14.9%,18,27.3%,14,20.3,6,103.4,4,48.1%,24,13.6%,2,25.3%,23,21.8
13-14,6,+5.2,55.2,55.2,10,+0.8,56,26,22,104.4,19,49.2%,27,16.4%,16,28.3%,10,22.8,1,99.2,1,46.2%,20,14.8%,4,26.4%,8,19.6
                                                        13-14                        ,7,-1.0,38.2,8.8,3,+1.2,10,9,12,103.2,9,49.8%,12,15.5%,14,24.2%,9,23.0,3,104.2,5,49.4%,6,15.4%,6,25.9%,4,21.8
12-13,8,+4.8,54.1,53.4,28,-4.4,49,32,19,104.4,22,48.2%,28,16.7%,4,32.3%,8,21.9,1,99.6,1,45.7%,22,15.2%,12,28.6%,10,19.8
                                                        12-13                        ,8,+0.2,41.7,9.7,1,+1.3,11,8,10,103.5,9,47.8%,14,18.8%,1,33.7%,1,28.3,6,103.3,4,47.2%,13,13.1%,2,25.6%,7,22.4
11-12,6,+4.0,51.7,41.6,10,+0.4,42,24,7,106.8,23,47.7%,8,15.1%,4,32.1%,2,25.1,10,102.8,6,47.7%,12,16.2%,22,30.2%,23,22.1
                                                        11-12                        ,4,+3.7,51.3,6.9,14,-0.9,6,5,6,103.7,6,46.7%,14,17.5%,3,35.1%,8,22.4,5,100.0,4,46.4%,9,15.5%,11,28.5%,6,21.6
10-11,19,-1.7,36.4,36.4,14,+0.6,37,45,23,104.6,23,48.7%,24,16.1%,16,28.6%,10,23.5,12,106.3,8,48.9%,22,14.7%,13,28.4%,21,23.8
                                                        10-11                        ,14,-9.6,17.7,1.1,8,-0.1,1,4,16,99.5,15,44.3%,14,16.7%,7,31.3%,10,24.2,12,109.1,5,46.4%,2,18.3%,16,40.5%,12,29.7
09-10,21,-3.5,31.7,31.7,11,+0.3,32,50,27,103.8,24,49.2%,19,15.4%,29,24.4%,13,23.1,16,107.3,11,49.3%,13,15.4%,23,29.6%,26,26.2
08-09,18,-1.3,37.6,37.6,24,-1.6,36,46,17,108.0,15,50.4%,14,14.9%,20,28.1%,25,21.7,19,109.3,14,50.3%,22,14.4%,7,27.5%,28,27.2
07-08,17,-1.6,36.7,36.7,18,-0.7,36,46,19,105.9,14,50.1%,15,15.4%,23,26.6%,18,22.6,16,107.5,14,50.2%,8,16.0%,14,28.4%,28,27.2
06-07,20,-2.7,33.5,33.5,11,+1.5,35,47,30,102.5,29,47.6%,26,17.3%,10,30.6%,15,24.4,8,105.3,11,49.2%,6,16.9%,18,29.5%,26,27.3
05-06,10,+1.8,46.1,46.1,30,-5.1,41,41,21,104.0,17,49.0%,25,17.0%,15,29.2%,16,25.3,4,102.2,2,46.5%,24,15.0%,15,29.3%,7,23.2
                                                        05-06                        ,11,-5.3,27.0,2.0,6,0.0,2,4,14,102.5,7,49.6%,15,18.0%,11,26.6%,7,28.5,7,107.9,4,48.4%,13,13.8%,8,27.4%,9,28.3
04-05,13,+1.3,44.5,44.5,19,-0.5,44,38,20,104.3,18,47.8%,21,16.1%,28,28.3%,1,28.5,8,103.1,7,47.3%,16,15.7%,11,29.9%,21,26.2
                                                        04-05                        ,11,-6.0,24.4,3.9,1,+2.1,6,7,16,95.1,16,42.9%,16,17.8%,11,29.0%,9,27.2,3,101.1,3,46.7%,4,16.8%,6,30.0%,4,23.8
03-04,3,+7.1,59.8,59.8,9,+1.2,61,21,8,103.6,16,47.4%,13,16.2%,12,30.9%,10,24.2,3,96.5,6,46.1%,6,17.9%,4,28.3%,16,22.2
                                                        03-04                        ,2,+5.6,56.9,11.1,14,-1.1,10,6,8,98.8,10,44.9%,4,15.7%,11,28.0%,6,24.3,2,93.1,2,42.3%,5,18.1%,5,28.4%,15,26.9
