Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,8,+4.6,52.3,52.3,25,-2.3,50,32,15,115.1,10,55.8%,23,15.0%,20,26.9%,7,19.9,3,110.5,7,53.8%,7,15.3%,1,25.1%,15,18.9
 24-25,8,-0.4,40.1,3.4,14,-0.4,3,4,4,116.2,4,55.7%,5,12.7%,13,27.0%,18,16.3,13,116.5,14,55.4%,8,14.3%,17,32.5%,3,16.5
23-24,7,+4.3,51.3,51.3,15,-0.3,51,31,4,119.4,8,56.7%,14,13.3%,19,26.2%,5,21.4,14,115.1,9,54.1%,19,13.3%,23,27.6%,10,18.4
 23-24,16,-9.2,19.8,1.5,5,+0.5,2,4,15,108.1,17,50.2%,17,15.2%,4,30.3%,9,19.7,13,117.3,11,53.9%,7,12.8%,13,29.9%,18,23.1
22-23,21,-0.3,40.2,40.2,2,+3.8,44,38,22,114.4,12,55.3%,19,14.3%,23,25.3%,11,21.6,18,114.8,15,54.6%,23,13.2%,8,25.8%,5,19.4
 22-23,15,-6.1,27.1,1.7,16,-0.7,1,4,3,117.6,7,53.4%,13,13.7%,6,30.5%,3,24.8,19,123.6,18,57.1%,14,12.4%,14,29.9%,18,27.1
21-22,17,+0.5,42.2,42.2,19,-0.2,42,40,24,110.5,20,53.5%,15,14.1%,26,24.2%,26,17.6,7,110.0,4,51.5%,16,13.7%,26,27.9%,3,16.8
 21-22,12,-4.7,29.1,0.7,17,-0.7,0,2,14,108.5,16,50.6%,6,13.3%,14,24.3%,3,26.1,9,113.2,4,52.4%,18,11.6%,19,30.8%,9,21.2
20-21,2,+6.8,57.1,50.1,25,-3.1,47,25,4,118.6,2,57.0%,13,13.4%,14,25.6%,15,19.0,8,111.8,9,53.6%,18,13.2%,6,23.5%,7,18.3
 20-21,4,+4.9,52.5,12.2,20,-2.2,10,9,3,120.5,3,56.6%,5,11.4%,16,23.5%,3,24.0,10,115.6,11,54.8%,9,12.7%,10,26.8%,4,17.2
19-20,3,+6.9,57.9,50.8,21,-1.8,49,23,2,114.4,10,53.7%,12,14.1%,7,26.9%,1,23.8,5,107.4,3,50.8%,22,13.8%,9,24.8%,16,20.2
 19-20,4,+4.0,50.9,8.1,15,-1.1,7,6,4,114.9,6,54.4%,4,12.8%,7,23.8%,4,23.7,7,110.9,11,55.0%,10,13.9%,6,22.3%,7,21.0
18-19,14,+0.7,42.8,42.8,1,+5.2,48,34,8,112.4,10,53.3%,17,14.1%,20,25.1%,1,25.8,21,111.7,9,51.8%,27,12.7%,21,26.5%,27,22.6
 18-19,13,-10.1,18.8,1.4,3,+0.6,2,4,5,112.0,4,52.3%,11,15.1%,6,27.1%,1,27.4,15,122.2,15,58.4%,8,14.2%,11,27.5%,15,26.0
17-18,18,-0.2,40.5,40.5,10,+1.5,42,40,8,109.8,11,52.7%,20,15.0%,5,27.4%,4,22.3,19,110.0,13,52.4%,21,14.1%,25,26.8%,22,20.3
16-17,4,+4.4,52.2,52.2,22,-1.2,51,31,5,112.5,4,53.9%,6,13.4%,23,24.4%,3,23.5,10,108.1,6,50.6%,21,13.9%,8,25.6%,14,21.1
 16-17,4,+1.7,45.5,3.3,12,-0.3,3,4,9,110.3,3,54.2%,5,13.4%,13,23.1%,7,22.5,3,108.6,10,54.1%,9,13.6%,1,20.1%,6,21.7
15-16,6,+4.8,53.5,53.5,15,-0.5,53,29,7,108.5,5,52.7%,3,13.4%,29,22.5%,7,22.4,6,103.7,4,48.3%,8,15.9%,27,29.1%,23,22.2
 15-16,7,+0.3,41.9,3.1,13,-1.1,2,4,9,103.8,11,47.4%,1,10.0%,13,24.4%,5,21.7,5,103.4,4,46.6%,11,13.5%,12,30.1%,6,19.6
14-15,2,+7.8,59.9,59.9,28,-3.9,56,26,1,113.2,2,53.6%,2,12.8%,24,26.2%,7,21.8,14,105.4,15,49.8%,16,15.1%,7,26.9%,27,22.9
 14-15,5,+1.0,43.6,7.4,10,-0.4,7,7,1,109.4,2,52.2%,6,13.5%,10,25.4%,2,25.0,10,108.4,11,50.9%,10,13.8%,9,28.1%,12,25.2
13-14,2,+7.1,58.5,58.5,20,-1.5,57,25,1,112.1,5,52.6%,6,14.3%,19,27.8%,2,26.1,9,105.0,5,48.6%,9,16.0%,26,30.2%,17,22.3
 13-14,3,+1.3,44.2,7.0,15,-1.0,6,7,4,112.9,5,51.4%,3,13.3%,5,29.5%,5,24.3,11,111.6,13,52.6%,1,17.3%,15,32.1%,13,27.3
12-13,3,+7.8,60.1,60.1,27,-4.1,56,26,3,111.5,3,52.9%,20,16.0%,7,31.5%,16,20.4,8,103.7,12,49.6%,1,17.7%,21,29.4%,28,22.9
 12-13,11,-5.7,26.9,2.0,8,0.0,2,4,2,108.0,4,50.6%,9,15.6%,8,28.3%,5,25.2,15,113.7,9,48.6%,15,12.1%,15,32.6%,16,34.0
11-12,8,+3.3,49.8,40.1,12,-0.1,40,26,3,108.9,6,50.7%,3,14.8%,5,31.8%,20,19.5,18,105.5,20,49.4%,8,16.4%,16,29.7%,28,24.6
 11-12,10,-4.5,28.9,3.9,9,+0.1,4,7,9,101.4,4,50.1%,12,16.6%,12,25.6%,11,21.3,9,105.9,12,49.2%,2,16.8%,13,32.2%,14,27.0
10-11,22,-3.6,31.6,31.6,15,+0.4,32,50,22,105.6,16,49.9%,29,17.6%,5,31.8%,9,23.6,19,109.1,14,50.2%,19,14.8%,21,29.7%,26,25.1
09-10,28,-6.9,23.8,23.8,2,+5.2,29,53,25,103.9,20,49.6%,28,16.8%,18,29.3%,24,21.1,24,110.8,21,51.4%,27,13.8%,21,29.2%,10,21.4
08-09,30,-10.1,17.3,17.3,6,+1.7,19,63,30,101.7,29,48.3%,23,15.8%,23,27.2%,29,20.5,25,111.8,23,51.6%,24,14.3%,26,30.6%,13,23.0
07-08,27,-8.0,21.1,21.1,8,+1.9,23,59,28,100.9,30,46.8%,16,15.5%,28,25.3%,5,26.5,20,108.9,17,50.5%,21,14.5%,16,28.6%,17,23.8
06-07,15,-0.3,40.3,40.3,18,-0.3,40,42,19,105.0,24,48.4%,17,16.6%,16,29.5%,3,28.3,9,105.3,9,48.9%,28,15.0%,10,27.7%,18,24.9
05-06,9,+2.4,47.6,47.6,16,-0.6,47,35,17,105.4,15,49.1%,14,15.5%,27,27.4%,11,26.1,6,102.9,4,47.0%,30,13.7%,4,26.9%,11,23.9
 05-06,4,+3.0,48.9,7.2,10,-0.2,7,5,4,110.2,4,52.0%,11,16.2%,7,29.4%,10,27.3,5,107.2,2,48.2%,15,11.7%,7,26.4%,1,21.6
04-05,17,-0.5,39.7,39.7,26,-2.7,37,45,19,105.0,17,48.1%,26,17.3%,6,32.7%,2,28.0,13,105.4,13,48.2%,22,14.9%,13,30.2%,11,23.5
03-04,25,-5.1,27.5,27.5,12,+0.5,28,54,12,102.7,26,45.5%,25,17.8%,2,35.2%,1,27.8,28,107.8,27,49.7%,27,14.8%,20,31.1%,18,23.3
