Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,13,+1.6,45.0,45.0,1,+5.0,50,32,11,116.3,8,56.1%,14,14.1%,23,25.9%,1,21.7,15,114.7,13,54.3%,18,13.9%,20,28.5%,7,17.8
 24-25,15,-9.0,20.5,1.2,12,-0.2,1,4,15,109.8,9,53.1%,14,16.0%,16,24.3%,6,23.0,16,118.8,3,51.3%,14,12.5%,19,35.8%,12,21.3
23-24,17,+1.8,45.4,45.4,9,+1.6,47,35,12,117.5,4,57.4%,16,13.6%,29,22.5%,2,21.8,16,115.7,19,55.3%,21,13.1%,9,26.0%,2,15.1
 23-24,9,-0.4,39.9,2.9,17,-0.9,2,4,11,112.1,3,54.1%,2,11.1%,20,18.0%,11,19.7,9,112.5,6,52.2%,16,12.0%,8,26.9%,4,14.5
22-23,17,+0.4,42.1,42.1,12,+0.9,43,39,20,114.8,18,54.5%,12,13.8%,21,25.9%,3,23.0,13,114.3,6,53.9%,28,12.3%,9,25.8%,1,17.2
 22-23,3,+2.1,46.5,9.6,15,-0.6,9,8,9,113.0,11,52.7%,7,12.7%,16,25.2%,5,23.7,4,110.8,7,52.0%,9,13.7%,8,27.5%,2,15.3
21-22,23,-3.6,32.0,32.0,13,+1.0,33,49,23,110.7,15,53.9%,20,14.3%,25,24.3%,19,19.1,24,114.3,23,54.5%,14,13.7%,21,26.8%,15,19.4
20-21,8,+3.0,48.7,42.8,21,-0.8,42,30,22,110.9,17,54.0%,28,15.3%,15,25.4%,9,20.0,2,107.9,5,53.1%,4,15.4%,5,23.4%,9,18.5
 20-21,13,-5.8,26.2,2.2,3,+0.8,3,4,16,104.5,16,47.7%,19,14.6%,7,27.9%,6,23.2,6,110.3,9,53.8%,3,14.8%,4,21.9%,10,20.1
19-20,5,+5.8,55.4,48.0,3,+4.0,52,19,10,112.4,6,54.4%,23,15.0%,5,27.1%,15,20.4,4,106.7,7,51.9%,3,15.8%,13,25.0%,17,20.7
 19-20,1,+9.0,61.8,15.8,7,+0.2,16,5,3,117.7,2,56.7%,14,15.6%,3,29.8%,6,22.7,5,108.7,4,52.6%,4,15.1%,5,22.1%,14,25.7
