Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,7,+5.1,53.1,53.1,30,-5.1,48,34,6,118.3,11,55.7%,24,15.3%,3,31.8%,10,19.6,10,113.3,5,53.5%,15,14.7%,19,28.4%,25,20.7
 24-25,16,-10.2,18.1,1.3,13,-0.3,1,5,17,108.2,17,50.8%,18,17.5%,4,32.8%,12,19.4,15,118.4,9,53.5%,18,10.9%,9,28.0%,13,21.5
23-24,26,-7.0,24.0,24.0,4,+3.0,27,55,30,107.7,29,51.4%,29,15.5%,13,27.1%,19,18.2,13,114.7,18,55.3%,3,15.3%,24,27.9%,21,20.0
22-23,3,+5.0,53.2,53.2,21,-2.2,51,31,11,116.2,19,54.4%,6,13.1%,5,29.1%,25,19.3,2,111.3,2,52.7%,7,14.9%,21,27.4%,10,20.2
 22-23,16,-6.6,24.6,1.8,6,+0.2,2,4,18,105.2,19,47.3%,9,12.9%,11,27.6%,16,17.4,7,111.7,9,52.7%,3,14.7%,13,29.3%,6,19.2
21-22,4,+6.2,56.1,56.1,17,-0.1,56,26,4,115.8,22,52.8%,9,13.0%,1,32.7%,22,18.2,5,109.6,11,52.6%,4,15.0%,13,26.0%,14,19.3
 21-22,2,+4.0,51.2,7.5,20,-1.5,6,6,9,111.8,15,50.7%,5,13.3%,4,28.8%,12,21.9,3,107.9,8,53.1%,1,17.8%,7,25.8%,13,21.8
20-21,14,+0.6,42.6,37.4,13,+0.6,38,34,15,112.3,22,52.9%,6,13.1%,3,27.4%,26,17.6,7,111.7,12,53.9%,8,14.6%,13,25.0%,16,19.4
 20-21,10,-4.7,29.5,2.5,7,+0.5,3,4,12,112.9,14,51.9%,3,10.8%,10,26.8%,13,17.9,11,117.7,10,54.8%,4,13.8%,13,27.6%,18,23.8
19-20,20,-1.1,38.3,34.1,16,-0.1,34,39,23,109.3,19,53.1%,19,14.7%,13,25.7%,26,18.2,14,110.3,9,52.2%,18,14.2%,15,25.3%,24,22.1
 19-20,9,-2.9,34.1,0.4,10,-0.4,0,1,2,118.4,4,55.5%,17,17.5%,1,34.7%,13,19.8,16,121.4,9,54.8%,14,12.6%,10,24.0%,17,42.2
18-19,25,-3.2,32.7,32.7,12,+0.3,33,49,27,106.1,27,51.1%,23,14.4%,28,23.1%,9,20.9,10,109.2,15,52.4%,3,15.6%,19,26.3%,28,23.6
17-18,26,-6.4,24.9,24.9,25,-2.9,22,60,27,104.5,28,50.4%,28,15.8%,13,25.8%,7,20.3,24,110.9,21,53.1%,8,15.4%,26,26.8%,30,25.8
16-17,12,+0.7,42.8,42.8,13,+0.2,43,39,19,107.7,27,49.4%,9,13.9%,7,28.1%,10,22.2,6,107.1,7,50.8%,9,15.3%,7,25.5%,29,25.6
 16-17,13,-8.9,20.9,1.5,5,+0.5,2,4,6,111.6,6,52.2%,2,13.3%,14,22.0%,6,22.6,16,120.5,11,54.3%,15,12.9%,13,29.5%,13,26.0
15-16,19,-1.7,36.5,36.5,3,+5.5,42,40,16,105.9,29,48.0%,9,14.1%,6,28.5%,5,23.3,19,107.6,24,52.1%,1,17.3%,23,27.6%,30,25.0
 15-16,16,-24.9,2.6,0.1,8,-0.1,0,4,16,89.9,16,41.6%,15,16.8%,3,30.5%,16,15.8,14,114.8,14,54.9%,4,15.1%,7,25.5%,15,25.2
14-15,8,+3.7,51.0,51.0,3,+4.0,55,27,13,105.8,19,49.1%,9,14.4%,15,27.7%,11,21.4,3,102.1,11,49.4%,7,16.4%,9,27.0%,4,18.4
 14-15,7,-0.8,38.8,5.2,4,+0.8,6,5,10,103.4,15,45.3%,1,11.9%,6,27.5%,5,22.6,6,104.2,9,50.2%,2,15.6%,1,25.0%,4,19.5
13-14,14,+2.3,47.1,47.1,5,+2.9,50,32,15,106.6,18,49.6%,10,15.2%,2,31.5%,29,18.5,7,104.4,12,49.8%,14,15.7%,6,26.6%,11,20.0
 13-14,14,-5.6,26.3,2.2,5,+0.8,3,4,15,101.8,16,45.1%,1,12.0%,9,27.7%,14,21.1,5,107.4,4,48.9%,3,16.1%,14,31.3%,12,26.9
12-13,6,+5.5,55.7,55.7,16,+0.3,56,26,18,105.2,26,47.6%,12,15.6%,1,33.7%,15,20.4,2,99.7,3,47.8%,2,17.4%,11,28.6%,20,21.0
 12-13,7,+0.5,42.2,7.7,5,+0.3,8,7,9,104.8,16,44.8%,1,12.2%,3,30.5%,3,26.2,8,104.4,11,49.5%,6,15.8%,4,26.0%,6,21.6
11-12,13,+2.7,48.3,38.9,6,+2.1,41,25,17,104.2,21,47.8%,15,15.8%,3,32.3%,12,21.0,6,101.5,12,48.8%,1,18.7%,17,29.9%,25,23.2
