Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,16,+0.3,41.7,41.7,29,-4.7,37,45,21,113.6,18,54.6%,9,13.8%,27,25.2%,22,18.4,9,113.3,18,54.7%,17,14.1%,5,26.4%,2,15.7
 24-25,17,-13.6,13.4,1.0,4,+1.0,2,4,13,110.2,3,56.2%,15,16.1%,14,26.7%,19,11.9,19,123.8,15,57.2%,17,11.3%,4,26.4%,10,20.0
23-24,18,+1.7,45.2,45.2,12,+0.8,46,36,21,114.4,20,54.0%,9,13.0%,24,24.5%,7,21.2,5,112.7,14,54.7%,8,14.2%,3,24.9%,4,17.4
 23-24,15,-7.3,23.3,2.0,7,0.0,2,5,16,106.5,15,51.5%,10,12.9%,18,20.3%,18,14.2,11,113.8,10,53.6%,9,12.6%,9,27.1%,12,19.1
22-23,20,-0.1,40.8,40.8,4,+3.2,44,38,25,113.3,25,53.1%,13,13.9%,19,26.2%,8,22.5,7,113.4,25,56.3%,4,16.3%,4,25.2%,7,19.9
 22-23,5,+0.9,43.3,13.2,4,+0.8,14,11,8,113.7,10,52.9%,5,12.3%,14,25.5%,12,19.2,10,112.8,13,53.6%,5,14.3%,6,27.4%,10,20.4
21-22,6,+5.1,53.6,53.6,20,-0.6,53,29,11,114.2,5,55.1%,28,14.9%,12,26.3%,5,20.7,4,109.2,12,52.7%,3,15.4%,6,25.0%,27,20.9
 21-22,5,+2.7,47.9,10.5,5,+0.5,11,7,11,110.9,13,50.9%,10,13.9%,3,29.1%,13,20.7,4,108.2,7,52.5%,2,16.7%,5,23.4%,18,25.6
20-21,16,+0.1,41.2,36.2,4,+3.8,40,32,17,111.9,11,54.8%,21,14.5%,29,22.4%,7,20.1,9,111.8,19,54.5%,2,15.6%,18,25.3%,8,18.3
 20-21,19,-18.8,6.6,0.3,14,-0.3,0,4,19,98.9,17,46.9%,10,12.5%,19,19.0%,14,17.4,12,117.7,13,55.5%,2,15.5%,19,32.4%,6,18.2
19-20,7,+3.1,48.9,43.5,13,+0.5,44,29,7,112.9,3,55.0%,22,14.9%,24,24.0%,2,23.7,10,109.8,11,52.5%,19,14.0%,2,23.2%,19,21.2
 19-20,6,+2.3,46.9,12.0,1,+2.0,14,7,5,113.7,7,54.1%,6,13.7%,11,23.0%,3,26.8,8,111.4,6,53.2%,6,14.6%,12,25.7%,8,21.6
18-19,16,-0.1,40.6,40.6,22,-1.6,39,43,26,107.6,24,51.6%,27,15.1%,4,28.1%,29,17.3,6,107.7,5,51.2%,11,14.4%,13,25.8%,20,20.3
17-18,16,+0.6,42.6,42.6,12,+1.4,44,38,20,107.0,14,52.4%,19,14.9%,17,24.8%,25,17.2,8,106.4,7,51.1%,14,14.6%,7,24.3%,27,21.8
 17-18,14,-9.2,19.0,1.2,9,-0.2,1,4,14,102.8,11,50.9%,15,16.0%,13,22.8%,2,23.7,10,112.0,5,51.2%,1,16.0%,16,33.2%,16,28.0
16-17,10,+1.3,44.4,44.4,28,-3.4,41,41,17,108.2,15,51.5%,14,14.2%,12,27.0%,29,17.7,5,106.9,4,49.8%,17,14.3%,17,26.7%,22,22.2
15-16,10,+2.3,47.2,47.2,10,+0.8,48,34,13,106.6,11,50.7%,16,15.0%,15,26.8%,12,21.1,8,104.3,6,48.7%,25,13.8%,11,25.6%,7,19.6
