Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,12,+2.1,46.2,46.2,9,+1.8,48,34,7,116.9,3,57.4%,5,13.1%,30,21.6%,3,20.4,16,114.7,8,53.9%,27,12.7%,6,26.5%,4,17.2
 24-25,13,-6.4,25.9,1.6,15,-0.6,1,4,10,113.0,6,54.8%,7,13.6%,17,24.1%,14,19.0,17,119.4,19,58.2%,19,10.9%,1,18.9%,8,19.0
23-24,11,+2.7,47.5,47.5,10,+1.5,49,33,6,118.9,5,56.9%,7,12.7%,25,24.5%,6,21.3,19,116.2,11,54.2%,30,11.8%,8,25.8%,9,18.4
 23-24,12,-4.7,30.0,2.2,11,-0.2,2,4,4,117.0,6,53.6%,5,11.3%,13,24.9%,8,20.0,16,121.7,18,56.3%,19,9.7%,11,27.5%,3,13.5
22-23,4,+4.4,51.9,51.9,1,+6.1,58,24,13,115.9,9,55.8%,17,14.3%,12,27.4%,28,18.4,4,111.5,1,52.0%,30,11.6%,2,24.3%,2,17.6
 22-23,13,-4.0,31.5,1.9,20,-0.9,1,4,6,116.1,1,56.7%,16,14.3%,12,26.2%,19,15.8,17,120.0,20,60.6%,6,14.0%,1,19.5%,4,17.3
21-22,8,+3.6,50.0,50.0,14,+1.0,51,31,5,115.6,6,55.1%,10,13.2%,16,25.8%,13,19.9,14,112.0,19,53.9%,26,13.0%,2,23.9%,2,16.4
 21-22,4,+2.8,48.6,7.1,10,-0.1,7,5,18,106.1,14,50.7%,11,14.2%,11,24.9%,17,17.8,1,103.3,1,50.1%,14,13.1%,2,18.8%,1,16.3
20-21,7,+5.4,54.0,47.4,22,-1.4,46,26,7,117.5,5,56.7%,11,13.4%,12,25.7%,23,17.8,10,112.1,16,54.2%,24,12.8%,3,23.0%,1,15.2
 20-21,3,+5.7,55.1,15.5,6,+0.5,16,7,10,114.5,10,53.2%,13,12.9%,2,29.9%,17,16.3,3,108.8,8,52.9%,6,13.2%,3,21.3%,3,16.2
19-20,1,+9.9,64.3,57.2,20,-1.2,56,17,6,113.0,1,55.5%,11,14.1%,28,22.7%,14,20.5,1,103.1,1,49.3%,24,13.5%,1,20.9%,6,17.9
 19-20,7,+1.7,45.5,5.5,11,-0.5,5,5,9,110.1,8,54.1%,12,14.8%,12,22.3%,11,20.5,3,108.4,5,52.7%,7,14.6%,2,19.8%,12,24.5
18-19,1,+9.1,62.4,62.4,25,-2.4,60,22,3,114.9,2,55.4%,6,13.2%,26,23.8%,15,19.9,2,105.8,2,50.7%,24,13.0%,3,22.9%,1,16.1
 18-19,1,+9.5,63.5,11.6,16,-1.6,10,5,4,112.0,3,52.6%,4,12.4%,13,24.6%,4,23.5,1,102.6,1,47.6%,13,11.8%,3,21.2%,3,20.0
17-18,20,-0.3,40.1,40.1,4,+3.9,44,38,12,109.3,8,53.4%,11,14.2%,27,23.0%,5,22.0,18,109.6,20,53.0%,3,16.1%,30,27.7%,29,22.0
 17-18,7,-0.3,40.2,3.4,11,-0.4,3,4,9,108.7,1,56.2%,9,14.1%,16,16.9%,13,17.9,9,109.0,2,50.3%,11,13.5%,13,27.9%,11,21.7
16-17,16,0.0,41.1,41.1,11,+0.9,42,40,12,109.7,7,53.1%,19,14.8%,22,24.7%,18,21.1,20,109.7,20,52.3%,5,15.5%,29,27.9%,18,21.5
 16-17,5,+1.1,44.2,3.2,15,-1.2,2,4,14,104.6,11,50.7%,13,14.7%,12,24.1%,16,18.3,1,103.4,2,49.3%,1,16.1%,3,22.4%,15,28.6
15-16,24,-3.9,30.8,30.8,5,+2.2,33,49,25,104.8,16,50.2%,24,16.0%,13,27.4%,14,20.8,23,108.6,19,51.3%,7,16.2%,30,29.8%,24,22.4
14-15,14,+0.7,43.0,43.0,24,-2.0,41,41,24,102.9,13,50.1%,29,17.5%,13,27.9%,21,19.5,4,102.2,9,49.0%,1,18.2%,23,29.8%,25,22.4
