Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,5,+5.2,53.7,53.7,28,-4.7,49,33,8,116.8,12,55.6%,18,14.6%,14,28.6%,8,19.9,6,111.6,6,53.5%,9,15.0%,12,27.5%,8,17.8
 24-25,4,+2.9,48.2,8.8,7,+0.2,9,6,7,114.3,8,54.0%,16,16.8%,3,33.5%,11,20.0,4,111.4,7,52.7%,3,15.7%,11,28.8%,15,22.4
23-24,3,+7.1,58.1,58.1,23,-2.1,56,26,16,116.1,10,56.4%,23,14.5%,21,25.6%,8,21.1,1,108.9,1,51.7%,5,14.5%,10,26.1%,15,19.3
 23-24,7,+3.0,48.5,9.5,14,-0.5,9,7,7,116.0,4,54.1%,13,13.2%,8,28.7%,5,22.4,10,112.9,15,54.7%,4,14.1%,5,23.1%,17,22.6
22-23,16,+0.5,42.3,42.3,17,-0.3,42,40,23,114.2,8,56.3%,26,15.1%,26,24.3%,18,20.4,8,113.7,9,54.2%,5,15.2%,26,28.5%,26,22.7
 22-23,11,-3.1,33.1,2.8,19,-0.8,2,5,15,109.4,5,53.6%,17,14.6%,18,21.7%,6,22.2,8,112.5,8,52.4%,7,13.9%,11,28.7%,11,20.8
21-22,10,+3.2,49.0,49.0,25,-3.0,46,36,7,114.7,11,54.3%,16,14.1%,7,27.4%,14,19.7,13,111.6,17,53.8%,2,16.2%,29,28.1%,29,22.8
 21-22,11,-4.1,30.6,2.6,7,+0.4,3,4,16,107.9,8,53.1%,19,16.6%,17,22.1%,1,28.1,7,111.9,6,52.4%,5,15.5%,17,29.3%,19,26.5
20-21,26,-5.9,26.6,23.4,16,-0.4,23,49,25,110.2,25,52.4%,18,14.1%,11,25.9%,12,19.4,28,116.1,28,55.9%,6,14.7%,27,27.1%,26,20.7
19-20,24,-4.5,29.6,23.1,28,-4.1,19,45,24,108.1,26,51.6%,17,14.6%,17,25.2%,11,21.0,20,112.6,23,54.5%,12,14.8%,16,25.4%,23,21.9
