Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,29,-9.9,18.9,18.9,8,+2.1,21,61,27,110.2,27,51.9%,19,14.6%,12,29.1%,21,18.4,30,120.2,29,56.6%,20,13.8%,29,30.6%,16,18.9
23-24,6,+4.4,51.8,51.8,26,-2.8,49,33,13,117.4,11,56.2%,13,13.3%,18,26.3%,10,20.2,8,113.0,12,54.5%,6,14.4%,6,25.7%,11,18.8
                                                        23-24                        ,17,-11.3,15.0,1.1,9,-0.1,1,5,19,99.6,19,48.5%,20,17.7%,9,28.1%,17,14.9,5,110.9,12,54.1%,12,12.3%,1,21.6%,8,18.5
22-23,10,+1.8,45.6,45.6,25,-3.6,42,40,18,115.0,17,54.7%,22,14.7%,10,27.7%,9,22.1,6,113.1,16,54.6%,8,14.8%,5,25.4%,20,21.6
                                                        22-23                        ,14,-5.4,28.8,0.4,13,-0.4,0,1,1,121.6,6,53.4%,1,11.3%,2,37.0%,1,28.7,20,127.1,5,51.6%,20,7.3%,17,32.0%,20,30.4
21-22,21,-2.2,35.4,35.4,15,+0.6,36,46,20,111.1,25,51.9%,22,14.5%,4,28.8%,3,20.8,18,113.2,26,55.1%,9,14.5%,3,24.4%,17,19.7
                                                        21-22                        ,8,+0.7,42.7,4.2,11,-0.2,4,4,2,117.1,9,53.1%,12,14.6%,1,35.7%,7,24.4,13,116.4,13,54.8%,19,10.4%,4,21.8%,5,20.2
20-21,18,-0.7,39.2,34.4,27,-3.4,31,41,11,113.8,18,53.9%,22,14.5%,1,28.8%,4,21.5,23,114.5,25,55.5%,20,13.2%,4,23.1%,12,18.9
19-20,18,-0.9,38.7,34.0,27,-4.0,30,42,14,111.5,5,54.5%,29,15.8%,4,27.2%,22,18.7,19,112.4,17,53.4%,20,14.0%,19,25.8%,20,21.2
18-19,20,-1.2,37.9,37.9,29,-4.9,33,49,12,111.6,11,53.2%,21,14.3%,8,27.1%,17,19.5,22,112.8,22,53.4%,23,13.0%,16,26.0%,12,19.3
17-18,11,+2.1,46.5,46.5,11,+1.5,48,34,11,109.3,4,54.7%,16,14.6%,29,22.7%,21,18.4,11,107.2,9,51.3%,20,14.1%,17,25.8%,8,17.4
                                                        17-18                        ,6,+0.7,42.8,4.7,4,+0.3,5,4,10,108.5,5,53.8%,6,13.7%,15,21.2%,15,16.2,7,107.8,6,51.7%,12,13.3%,3,22.5%,1,16.6
16-17,22,-1.7,36.4,36.4,25,-2.4,34,48,25,105.6,19,50.6%,4,13.1%,29,21.3%,25,19.4,8,107.3,9,51.0%,20,14.0%,12,25.9%,4,17.8
15-16,26,-4.1,30.2,30.2,14,-0.2,30,52,21,105.4,18,50.0%,4,13.8%,24,24.0%,20,20.2,26,109.6,27,52.6%,20,14.1%,2,23.5%,25,22.5
14-15,13,+0.8,43.2,43.2,7,+1.8,45,37,9,108.3,11,50.3%,10,14.4%,7,29.8%,20,19.8,22,107.5,17,49.9%,28,13.2%,14,27.4%,11,19.6
                                                        14-15                        ,12,-8.9,19.8,1.0,16,-1.0,0,4,8,104.4,8,49.0%,7,14.0%,9,25.4%,7,21.5,15,113.3,13,51.7%,14,12.8%,15,30.2%,8,21.2
13-14,22,-3.1,32.8,32.8,9,+1.2,34,48,13,107.1,17,49.8%,7,14.9%,13,29.0%,15,21.9,26,110.2,25,51.8%,17,15.5%,22,29.1%,30,25.1
12-13,25,-5.4,27.1,27.1,18,-0.1,27,55,17,105.2,17,49.2%,26,16.4%,6,31.9%,24,19.1,28,110.7,28,52.3%,26,14.8%,9,28.4%,19,21.0
11-12,24,-4.9,27.7,22.3,23,-1.3,21,45,29,100.1,24,47.6%,30,17.6%,15,29.8%,15,20.7,16,105.0,11,48.8%,19,15.6%,13,29.3%,22,21.8
10-11,15,+0.6,42.7,42.7,7,+3.3,46,36,20,106.3,19,49.7%,7,14.7%,22,27.1%,16,22.8,11,105.7,17,50.4%,7,16.2%,2,26.5%,9,22.3
                                                        10-11                        ,13,-9.1,19.2,1.4,4,+0.6,2,4,10,102.9,4,48.7%,9,15.1%,15,24.0%,7,27.1,16,112.0,12,49.5%,7,15.2%,14,34.0%,13,30.0
09-10,20,-3.2,32.7,32.7,3,+4.3,37,45,18,107.4,12,50.9%,5,14.3%,24,26.8%,29,18.8,23,110.6,26,52.6%,14,15.3%,20,29.2%,5,20.5
08-09,12,+1.9,45.9,45.9,1,+3.1,49,33,13,108.5,16,50.3%,7,14.1%,25,27.0%,17,23.4,9,106.7,12,49.9%,16,15.0%,12,28.0%,15,23.1
                                                        08-09                        ,16,-27.3,2.3,0.1,3,+0.9,1,4,16,94.7,15,44.5%,16,20.3%,12,25.1%,3,31.0,16,122.1,16,57.2%,12,13.3%,10,27.9%,14,28.4
07-08,8,+6.2,56.6,56.6,17,-0.6,56,26,6,111.8,6,51.5%,3,12.9%,14,28.9%,29,19.2,7,105.6,16,50.5%,12,15.2%,2,26.9%,1,18.5
                                                        07-08                        ,2,+3.5,50.0,7.3,10,-0.3,7,5,2,110.7,5,49.5%,1,9.6%,13,26.4%,16,19.2,7,107.2,5,48.4%,7,14.6%,8,29.0%,9,24.7
06-07,18,-1.8,36.3,36.3,7,+2.7,39,43,20,105.0,28,48.0%,9,15.6%,6,31.2%,27,21.8,16,106.7,16,50.2%,29,14.9%,7,27.2%,4,21.6
05-06,25,-3.4,31.8,31.8,2,+6.2,38,44,25,103.3,30,46.5%,4,14.7%,13,29.3%,13,25.8,20,106.8,24,50.8%,8,16.1%,7,28.2%,14,24.6
04-05,29,-9.2,18.4,18.4,17,-0.4,18,64,30,98.8,30,44.9%,24,16.7%,10,31.7%,29,21.1,23,108.0,21,49.6%,14,15.9%,21,31.2%,22,26.2
03-04,14,-0.1,40.8,40.8,14,+0.2,41,41,17,101.3,22,46.2%,17,16.5%,8,32.3%,19,22.1,12,101.4,16,47.7%,8,17.3%,16,30.7%,10,21.7
                                                        03-04                        ,10,-2.8,32.5,2.8,4,+0.2,3,4,14,91.9,15,42.3%,14,19.6%,4,31.9%,12,21.4,4,94.7,4,43.4%,8,17.1%,10,30.3%,11,25.3
