Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,6,+5.2,53.4,53.4,26,-2.4,51,31,5,119.5,9,56.1%,6,13.2%,10,29.3%,19,18.8,12,114.2,22,55.1%,11,14.9%,14,27.8%,6,17.5
 24-25,9,-0.6,39.4,8.6,3,+1.4,10,8,8,114.0,11,52.2%,9,14.4%,7,31.8%,7,22.8,9,114.6,11,53.7%,7,14.6%,10,28.6%,17,23.5
23-24,5,+4.9,52.7,52.7,25,-2.7,50,32,7,118.8,17,54.2%,18,13.7%,1,32.2%,14,19.3,10,113.9,16,54.8%,13,13.8%,5,25.4%,6,17.7
 23-24,11,-3.9,32.1,5.1,2,+1.9,7,6,2,120.0,11,52.6%,6,12.1%,1,35.3%,7,20.5,17,123.9,19,57.3%,13,12.3%,16,30.1%,11,19.0
22-23,7,+3.4,49.3,49.3,22,-2.3,47,35,2,118.7,20,54.3%,5,13.1%,2,30.8%,10,21.8,19,115.3,7,54.0%,25,12.9%,11,26.1%,17,21.3
 22-23,4,+1.9,45.9,6.2,10,-0.2,6,5,12,110.2,16,49.7%,18,16.3%,3,34.4%,4,24.7,2,108.3,3,50.3%,10,13.6%,10,27.9%,9,20.4
21-22,18,-0.1,40.8,40.8,26,-3.8,37,45,21,110.9,26,51.5%,12,13.7%,6,28.0%,2,20.9,12,111.0,6,52.4%,25,13.1%,4,24.7%,19,19.9
20-21,10,+2.4,47.3,41.5,17,-0.5,41,31,24,110.8,23,52.6%,14,13.5%,16,25.4%,19,18.5,4,108.4,2,51.0%,21,13.2%,12,24.9%,17,19.5
 20-21,18,-8.6,20.1,1.2,13,-0.2,1,4,17,102.8,19,45.9%,14,13.3%,6,27.9%,10,20.1,8,111.4,7,52.8%,18,10.8%,2,19.9%,7,18.9
19-20,26,-6.7,24.5,19.7,12,+1.3,21,45,29,106.5,29,50.2%,18,14.6%,1,28.7%,25,18.3,24,113.2,20,54.3%,23,13.8%,7,24.5%,27,22.6
18-19,30,-10.6,16.9,16.9,15,+0.1,17,65,30,104.2,30,49.0%,18,14.1%,18,25.5%,12,20.2,28,114.7,23,53.7%,22,13.1%,25,27.1%,24,20.8
17-18,24,-4.0,30.6,30.6,22,-1.6,29,53,21,106.9,20,51.5%,21,15.0%,4,27.7%,26,17.0,25,111.0,15,52.7%,27,13.5%,20,25.9%,23,20.9
16-17,25,-4.2,30.3,30.3,12,+0.7,31,51,18,107.8,25,49.9%,16,14.3%,5,29.2%,26,18.8,27,112.0,12,51.3%,26,13.2%,30,29.1%,19,21.6
15-16,21,-2.4,34.7,34.7,26,-2.7,32,50,23,105.2,27,48.8%,11,14.3%,16,26.8%,17,20.7,18,107.5,8,49.0%,30,11.9%,14,26.5%,14,20.3
14-15,30,-10.9,15.6,15.6,10,+1.4,17,65,29,99.6,26,47.3%,24,16.1%,19,27.2%,28,17.9,28,110.5,27,51.4%,15,15.1%,25,30.0%,29,23.7
13-14,19,-1.2,37.8,37.8,17,-0.8,37,45,11,107.9,12,50.9%,4,14.2%,20,27.3%,26,18.9,23,109.1,22,51.7%,10,15.9%,17,28.4%,28,24.4
12-13,7,+5.2,54.3,54.3,21,-0.3,54,28,4,111.2,8,51.8%,1,13.4%,21,28.0%,20,19.8,15,105.9,23,51.0%,6,16.7%,4,27.8%,24,21.7
 12-13,3,+3.1,49.9,7.3,16,-1.3,6,6,12,101.1,15,45.8%,4,13.7%,11,27.0%,14,17.9,1,98.0,5,47.5%,1,19.5%,6,26.7%,14,27.7
11-12,10,+2.9,49.0,39.4,28,-3.4,36,30,19,103.9,13,49.3%,27,17.2%,17,29.5%,6,23.2,5,101.0,14,48.8%,3,18.2%,11,28.7%,20,21.7
 11-12,15,-15.6,8.9,0.5,4,+0.5,1,4,13,96.1,8,45.7%,16,21.4%,6,32.2%,5,23.9,16,111.8,14,51.7%,6,15.6%,10,28.1%,16,33.0
10-11,14,+0.8,43.2,43.2,19,-1.2,42,40,7,110.9,8,51.6%,3,14.1%,27,26.2%,4,24.7,21,110.0,23,51.4%,10,15.8%,28,31.0%,23,24.3
 10-11,16,-11.0,15.4,0.7,14,-0.7,0,4,15,100.0,16,43.8%,15,17.3%,2,34.9%,13,21.3,14,111.0,16,52.8%,1,18.4%,15,36.3%,1,17.9
09-10,24,-4.6,29.4,29.4,15,-0.4,29,53,19,107.0,11,51.0%,12,14.8%,28,25.5%,28,19.9,27,111.6,30,52.9%,16,15.2%,22,29.6%,8,20.8
08-09,22,-2.8,33.8,33.8,26,-1.8,32,50,18,107.9,12,50.6%,12,14.8%,27,26.7%,28,21.1,23,110.7,28,52.3%,19,14.8%,18,29.1%,7,21.5
07-08,26,-7.8,21.9,21.9,13,+1.1,23,59,24,104.4,27,47.8%,18,15.6%,10,30.9%,16,22.7,29,112.2,28,52.1%,28,13.6%,20,29.1%,15,22.8
06-07,21,-3.4,32.1,32.1,14,+0.9,33,49,18,105.4,16,49.8%,29,18.3%,2,32.3%,7,27.2,25,108.8,24,50.8%,30,14.7%,9,27.7%,15,24.3
05-06,29,-8.2,20.9,20.9,7,+2.1,23,59,26,103.2,24,48.2%,30,19.0%,3,32.9%,1,30.0,26,111.4,28,51.8%,23,15.1%,12,28.9%,28,29.5
04-05,23,-2.9,33.3,33.3,16,-0.3,33,49,15,105.6,13,48.9%,19,15.9%,20,30.1%,19,24.1,24,108.5,29,50.5%,17,15.7%,12,30.1%,23,26.7
03-04,18,-1.6,36.5,36.5,4,+2.5,39,43,20,101.1,13,47.7%,21,17.1%,20,29.4%,22,21.1,15,102.7,8,46.5%,24,15.0%,7,28.7%,27,25.8
 03-04,13,-15.0,8.8,0.4,12,-0.4,0,4,15,91.5,16,41.5%,11,18.0%,6,31.2%,10,22.4,13,106.5,15,51.2%,1,20.4%,14,32.1%,16,33.6
