Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,1,+13.6,69.0,69.0,18,-1.0,68,14,2,121.1,4,56.6%,1,11.6%,19,27.0%,23,18.4,1,107.4,1,51.5%,1,17.1%,21,28.6%,26,21.1
 24-25,2,+8.4,60.9,17.1,18,-1.1,16,7,6,115.9,10,52.3%,2,11.7%,11,28.8%,4,23.6,1,107.4,2,51.3%,1,18.3%,15,31.2%,16,23.3
23-24,2,+8.0,59.4,59.4,24,-2.4,57,25,3,120.0,3,57.6%,3,12.2%,27,23.7%,12,20.1,4,112.0,4,53.1%,1,15.7%,29,28.9%,23,20.4
 23-24,3,+6.5,57.2,7.0,18,-1.0,6,4,10,112.7,8,53.3%,4,11.3%,15,23.9%,13,17.4,3,106.2,2,50.7%,2,17.0%,17,30.9%,7,17.2
22-23,15,+0.6,42.6,42.6,23,-2.6,40,42,16,115.1,23,53.4%,3,12.6%,13,27.4%,15,20.9,16,114.5,19,55.1%,2,16.4%,28,29.5%,24,22.2
 22-23,19,-9.9,18.8,0.5,5,+0.5,1,1,14,109.9,20,46.9%,3,12.0%,7,30.5%,2,26.1,16,119.9,17,55.4%,13,12.6%,16,30.7%,17,26.3
21-22,28,-8.6,20.4,20.4,3,+3.6,24,58,29,104.8,29,50.1%,14,13.9%,24,24.3%,29,17.0,19,113.4,16,53.7%,21,13.2%,16,26.1%,4,17.1
20-21,30,-11.1,16.0,14.0,1,+8.0,22,50,30,103.8,28,51.3%,29,15.9%,21,24.0%,29,17.1,25,114.9,21,54.8%,26,12.6%,15,25.0%,4,16.8
19-20,12,+2.1,46.5,40.9,5,+3.1,44,28,16,111.2,17,53.4%,7,13.6%,29,22.7%,3,23.3,7,109.1,10,52.3%,15,14.3%,17,25.5%,3,17.5
 19-20,11,-5.7,26.2,2.2,4,+0.8,3,4,16,102.9,13,50.9%,16,16.9%,8,23.7%,10,20.7,4,108.6,7,53.4%,12,12.8%,1,18.1%,1,15.1
18-19,8,+3.7,50.7,50.7,24,-1.7,49,33,16,110.5,21,51.8%,7,13.3%,3,28.5%,19,19.1,3,106.7,16,52.6%,2,16.1%,9,24.8%,22,20.6
 18-19,10,-6.6,24.7,1.5,12,-0.5,1,4,10,105.7,9,50.6%,9,14.8%,11,24.9%,9,22.6,9,112.2,10,52.4%,7,14.5%,14,30.0%,5,20.9
17-18,7,+3.2,49.3,49.3,20,-1.3,48,34,7,110.2,17,51.8%,12,14.2%,1,30.4%,14,19.7,10,107.0,19,53.0%,1,16.5%,18,25.8%,19,19.4
 17-18,12,-6.1,25.3,1.8,7,+0.2,2,4,15,102.3,15,49.0%,11,14.6%,8,24.5%,11,19.4,8,108.3,9,52.4%,3,15.6%,14,27.9%,10,21.6
16-17,14,+0.4,42.1,42.1,3,+4.9,47,35,16,108.8,23,50.3%,24,15.3%,1,31.2%,11,22.1,12,108.3,16,51.5%,18,14.1%,5,24.5%,20,21.8
 16-17,14,-9.1,19.7,1.2,9,-0.2,1,4,11,106.2,12,49.5%,1,13.3%,6,28.4%,11,20.7,13,115.3,5,51.6%,4,14.9%,14,30.4%,16,32.3
15-16,3,+8.0,60.2,60.2,29,-5.2,55,27,2,113.7,4,52.7%,26,16.2%,1,33.7%,4,23.4,13,105.7,5,48.7%,27,13.4%,18,26.8%,12,20.2
 15-16,3,+5.2,54.1,11.9,11,-0.9,11,7,2,113.3,5,50.9%,11,14.6%,1,33.0%,3,25.9,9,108.0,8,50.8%,13,13.0%,6,25.4%,5,18.9
14-15,11,+2.9,48.8,48.8,27,-3.8,45,37,10,107.9,17,49.4%,18,15.3%,2,31.4%,10,21.6,13,105.0,8,48.9%,23,14.1%,5,26.4%,20,21.4
13-14,3,+7.0,58.6,58.6,13,+0.4,59,23,5,110.8,8,52.2%,17,15.7%,14,28.6%,5,24.7,5,103.8,6,49.0%,13,15.8%,9,27.4%,16,22.2
 13-14,6,-1.0,38.4,8.9,4,+1.1,10,9,9,107.7,8,50.0%,13,15.9%,8,28.6%,2,27.9,7,108.6,3,48.9%,14,12.0%,10,28.0%,2,20.9
12-13,1,+10.4,65.4,65.4,30,-5.4,60,22,2,112.2,4,52.9%,23,16.1%,18,28.6%,1,28.6,4,101.7,2,47.1%,15,15.7%,20,29.3%,7,19.2
 12-13,6,+1.1,44.0,5.9,14,-0.9,5,6,7,105.1,7,48.0%,8,14.9%,12,26.4%,7,24.6,7,104.0,3,47.1%,9,14.7%,10,28.2%,12,25.9
11-12,2,+7.7,60.2,48.5,26,-1.5,47,19,2,110.3,2,52.1%,28,17.2%,13,30.0%,1,26.9,9,102.5,4,46.5%,22,14.9%,24,30.5%,16,20.8
 11-12,3,+4.3,52.1,12.7,7,+0.3,13,7,1,111.3,2,51.5%,2,12.7%,11,25.8%,4,25.8,11,106.9,11,49.1%,8,15.5%,7,27.5%,13,26.8
10-11,9,+4.1,51.4,51.4,5,+3.6,55,27,6,111.1,13,50.4%,12,15.0%,13,29.4%,1,30.4,14,107.0,11,49.8%,16,15.0%,17,28.8%,14,22.9
 10-11,6,+1.9,46.1,9.5,12,-0.5,9,8,2,108.3,6,48.5%,13,16.6%,3,32.7%,2,32.5,8,106.4,3,46.3%,15,13.3%,6,29.8%,14,30.6
09-10,9,+4.2,52.0,52.0,23,-2.0,50,32,12,108.6,22,49.6%,23,15.8%,3,30.8%,2,27.0,8,104.4,6,48.7%,7,16.0%,18,29.1%,17,22.9
 09-10,10,-4.1,30.0,2.2,9,-0.2,2,4,14,101.8,16,42.1%,10,14.6%,5,30.3%,2,34.4,3,105.9,6,49.6%,4,15.2%,12,31.0%,1,18.4
08-09,27,-7.6,21.8,21.8,8,+1.2,23,59,29,101.8,30,47.2%,29,17.1%,7,30.2%,10,24.3,20,109.4,24,51.6%,20,14.6%,11,27.9%,9,21.9
07-08,29,-9.5,18.1,18.1,9,+1.9,20,62,29,100.7,29,46.9%,28,16.4%,12,29.7%,26,20.4,26,110.2,21,50.8%,30,13.5%,19,29.0%,10,21.6
06-07,22,-3.4,32.1,32.1,20,-1.1,31,51,9,107.1,13,50.2%,18,16.7%,13,29.9%,22,23.0,27,110.5,27,51.9%,16,16.2%,23,30.9%,16,24.7
05-06,23,-2.8,33.9,33.9,13,+1.1,35,47,3,111.2,4,50.8%,19,15.8%,4,32.8%,18,24.9,30,114.0,29,53.1%,17,15.6%,30,32.8%,20,26.1
04-05,9,+2.9,48.6,48.6,4,+3.4,52,30,2,111.6,5,49.9%,12,15.3%,1,34.3%,11,25.9,26,108.7,23,49.9%,24,14.8%,14,30.5%,18,25.1
 04-05,6,-0.3,40.3,5.4,4,+0.6,6,5,5,110.9,7,49.0%,10,15.7%,1,35.5%,2,29.6,10,111.2,7,49.6%,10,15.0%,14,33.6%,9,29.1
03-04,16,-0.8,38.9,38.9,24,-1.9,37,45,3,106.7,2,50.4%,9,16.1%,23,29.0%,24,20.8,27,107.4,25,48.8%,18,16.0%,28,33.2%,21,23.6
