Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,15,+0.5,42.3,42.3,20,-1.3,41,41,26,110.4,29,51.4%,20,14.7%,13,28.7%,2,21.1,2,109.9,11,54.2%,2,16.9%,4,26.4%,29,22.5
                                                        24-25                        ,14,-8.7,20.9,1.5,6,+0.5,2,4,16,108.4,18,48.7%,4,12.2%,8,31.4%,15,18.0,14,117.0,8,53.4%,10,13.6%,5,27.2%,19,28.3
23-24,14,+2.4,47.1,47.1,13,-0.1,47,35,22,113.9,15,54.4%,24,14.9%,7,28.5%,4,21.8,2,111.5,13,54.6%,2,15.6%,2,24.7%,24,20.8
                                                        23-24                        ,4,+5.6,55.8,4.8,19,-1.8,3,4,18,106.0,20,47.9%,16,14.8%,5,29.9%,4,23.9,1,100.5,1,49.5%,3,15.4%,2,22.0%,15,20.8
22-23,24,-2.4,34.9,34.9,18,-0.9,34,48,26,111.8,24,53.3%,25,15.1%,14,27.0%,5,22.6,11,114.2,20,55.2%,9,14.8%,7,25.5%,14,21.0
21-22,27,-8.5,20.7,20.7,11,+1.3,22,60,30,104.7,28,50.6%,24,14.7%,27,23.4%,27,17.5,17,113.1,14,53.5%,24,13.2%,7,25.2%,18,19.8
20-21,29,-9.3,19.3,17.0,2,+4.0,21,51,29,105.5,30,49.3%,5,13.1%,18,24.1%,21,18.2,24,114.8,23,55.0%,22,12.8%,8,24.4%,5,17.1
19-20,16,-0.5,39.8,35.4,23,-2.4,33,40,21,109.4,27,51.1%,4,13.0%,19,24.9%,17,20.1,11,109.8,18,53.8%,13,14.7%,5,23.7%,5,17.8
                                                        19-20                        ,14,-10.8,16.1,1.0,8,0.0,1,4,17,102.5,14,50.1%,7,13.7%,17,16.4%,12,20.3,9,113.4,16,58.0%,2,16.1%,3,21.2%,3,18.2
18-19,13,+0.9,43.4,43.4,21,-1.4,42,40,22,109.4,20,52.3%,9,13.5%,21,24.8%,30,16.8,8,108.4,10,51.9%,20,13.2%,2,22.8%,6,18.5
                                                        18-19                        ,15,-19.6,5.7,0.3,2,+0.7,1,4,15,96.1,15,44.7%,16,17.4%,8,25.6%,14,21.1,13,115.7,14,57.5%,11,12.7%,2,20.0%,1,15.9
17-18,25,-5.0,28.1,28.1,27,-3.1,25,57,25,105.3,22,51.4%,17,14.8%,25,23.4%,23,18.1,20,110.3,18,52.9%,16,14.5%,27,27.2%,13,18.7
16-17,28,-6.2,25.4,25.4,5,+3.6,29,53,28,104.8,29,49.2%,8,13.8%,19,25.6%,27,18.7,22,110.9,22,52.4%,24,13.4%,11,25.9%,12,20.2
15-16,18,-1.2,37.7,37.7,27,-2.7,35,47,17,105.8,14,50.6%,14,14.5%,19,26.0%,30,17.3,16,107.0,20,51.5%,11,15.6%,12,25.9%,20,21.7
14-15,26,-6.5,24.1,24.1,11,+0.9,25,57,27,101.7,15,49.7%,21,15.8%,29,25.5%,30,16.9,25,108.2,28,51.6%,13,15.3%,10,27.1%,19,21.3
