Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,25,-6.5,25.6,25.6,23,-1.6,24,58,22,111.9,22,52.9%,11,14.0%,22,26.2%,6,20.1,26,118.4,30,57.2%,3,16.3%,30,31.4%,20,19.6
23-24,9,+2.8,47.9,47.9,18,-0.9,47,35,15,116.9,25,53.3%,1,12.0%,12,27.1%,3,21.8,11,114.1,8,53.9%,4,14.8%,26,28.5%,26,21.6
                                                        23-24                        ,8,-0.3,40.4,3.4,13,-0.4,3,4,5,116.9,12,52.5%,14,13.5%,3,31.1%,3,25.0,12,117.2,3,50.8%,14,12.2%,19,35.4%,10,18.9
22-23,5,+4.3,51.4,51.4,7,+2.6,54,28,3,118.3,7,56.4%,15,13.9%,25,24.5%,1,25.1,10,114.0,12,54.4%,12,14.6%,14,26.6%,21,21.7
                                                        22-23                        ,8,-0.7,39.2,5.3,1,+1.7,7,4,11,111.9,14,51.1%,11,13.2%,9,28.6%,11,20.2,9,112.6,14,54.0%,15,12.4%,2,21.0%,8,20.3
21-22,9,+3.3,49.4,49.4,8,+1.6,51,31,13,114.0,14,53.9%,4,12.9%,30,22.9%,1,23.3,11,110.7,10,52.5%,17,13.6%,15,26.0%,13,19.0
                                                        21-22                        ,7,+0.8,43.0,6.3,13,-0.3,6,6,7,113.7,4,55.2%,18,16.0%,15,23.8%,6,24.9,8,112.9,3,51.7%,16,12.7%,15,28.1%,7,20.6
20-21,4,+5.7,55.1,48.3,12,+0.7,49,23,13,113.7,14,54.4%,20,14.5%,8,26.7%,1,22.7,3,108.0,3,52.5%,3,15.4%,11,24.8%,14,19.4
                                                        20-21                        ,2,+6.8,57.3,8.4,18,-1.4,7,5,7,116.7,5,56.2%,9,12.4%,14,25.1%,4,23.3,4,109.9,5,51.2%,11,12.4%,7,24.2%,17,23.6
19-20,8,+2.6,47.8,42.6,14,+0.4,43,30,12,111.9,9,53.7%,13,14.3%,9,26.8%,20,19.4,8,109.3,12,52.6%,21,13.8%,3,23.6%,22,21.6
                                                        19-20                        ,16,-11.6,15.5,0.8,13,-0.8,0,4,12,106.6,17,44.9%,1,12.3%,2,30.4%,1,30.1,14,118.2,3,51.8%,17,10.6%,15,26.8%,15,25.8
18-19,11,+2.6,47.6,47.6,4,+3.4,51,31,9,112.2,8,53.5%,25,14.8%,11,26.8%,2,24.4,13,109.6,6,51.5%,28,12.4%,6,24.4%,21,20.5
                                                        18-19                        ,2,+6.0,56.1,8.2,15,-1.2,7,5,6,111.3,6,52.0%,15,16.4%,1,30.9%,3,24.5,4,105.3,2,48.3%,12,12.6%,4,23.4%,13,24.7
17-18,4,+5.2,54.5,54.5,23,-2.5,52,30,9,109.6,5,54.2%,30,16.5%,3,27.7%,11,20.1,3,104.4,1,49.5%,18,14.3%,11,25.0%,28,21.9
                                                        17-18                        ,4,+3.0,49.0,6.0,15,-1.0,5,5,7,109.2,14,49.4%,12,14.9%,1,31.7%,1,24.1,3,106.1,7,52.0%,8,14.1%,1,21.7%,13,23.3
16-17,29,-6.6,24.2,24.2,4,+3.8,28,54,30,102.8,24,50.2%,30,17.0%,18,25.8%,23,19.8,17,109.4,15,51.5%,7,15.3%,28,27.9%,27,23.6
15-16,30,-11.8,14.0,14.0,28,-4.0,10,72,30,98.6,28,48.7%,29,16.9%,26,23.6%,29,18.5,28,110.4,18,51.2%,13,15.5%,29,29.7%,29,24.4
14-15,28,-10.0,16.3,16.3,8,+1.7,18,64,30,95.6,29,46.1%,30,18.4%,12,28.1%,22,19.4,15,105.6,18,50.1%,2,17.4%,28,30.2%,26,22.9
13-14,30,-11.6,14.4,14.4,2,+4.6,19,63,30,99.5,28,47.8%,30,16.9%,18,28.0%,28,18.6,28,111.1,30,52.9%,5,16.9%,28,30.3%,29,24.9
12-13,22,-3.4,31.7,31.7,4,+2.3,34,48,26,102.2,21,48.5%,2,14.3%,23,27.9%,30,14.3,14,105.6,14,49.8%,13,15.7%,19,29.3%,15,20.1
11-12,5,+4.8,54.2,43.6,30,-8.6,35,31,18,104.0,19,48.1%,1,12.4%,27,26.8%,30,16.2,3,99.2,3,46.2%,20,15.5%,5,27.7%,9,19.4
                                                        11-12                        ,8,-1.0,38.1,6.0,2,+1.0,7,6,11,97.1,15,44.0%,3,13.1%,14,25.0%,9,22.4,3,98.1,2,46.1%,5,16.0%,8,27.7%,3,20.0
10-11,12,+1.8,45.8,45.8,27,-4.8,41,41,18,106.5,18,49.7%,1,13.9%,25,26.6%,26,21.1,7,104.7,7,48.8%,13,15.3%,6,27.3%,18,23.3
                                                        10-11                        ,15,-9.8,17.5,1.1,7,-0.1,1,4,14,100.2,14,45.0%,1,12.1%,8,29.5%,16,15.7,13,110.0,2,46.3%,16,13.1%,13,32.5%,15,30.7
09-10,25,-5.0,28.2,28.2,17,-1.2,27,55,21,105.5,17,49.9%,22,15.8%,14,29.5%,27,20.5,22,110.5,23,52.0%,10,15.8%,24,29.9%,19,23.2
08-09,17,-0.7,39.1,39.1,5,+1.9,41,41,22,106.8,24,48.6%,22,15.6%,2,32.8%,5,25.4,13,107.5,19,51.0%,2,17.2%,27,30.7%,8,21.7
                                                        08-09                        ,12,-9.8,17.2,1.3,4,+0.7,2,4,14,99.2,8,49.6%,15,16.5%,16,23.2%,14,19.7,8,109.1,10,51.9%,6,14.6%,6,26.8%,5,23.9
07-08,16,-0.4,39.9,39.9,15,+0.1,40,42,20,105.8,22,48.5%,20,15.7%,1,33.5%,13,23.1,10,106.2,19,50.6%,2,17.3%,26,30.5%,7,20.6
                                                        07-08                        ,13,-10.7,15.6,1.1,3,+0.9,2,4,16,97.9,15,43.8%,16,18.4%,1,37.0%,4,28.4,9,108.5,14,52.7%,1,19.4%,15,35.7%,3,20.2
06-07,24,-3.7,31.0,31.0,3,+4.0,35,47,26,103.3,26,48.2%,19,16.7%,18,29.3%,12,25.7,18,107.1,19,50.4%,3,17.0%,27,31.1%,6,22.3
05-06,19,-1.9,36.0,36.0,8,+2.0,38,44,13,106.0,18,48.9%,8,14.9%,26,27.7%,5,27.2,25,107.9,21,50.3%,5,16.5%,26,31.1%,13,24.4
04-05,18,-0.8,38.9,38.9,3,+4.1,43,39,24,102.6,20,47.7%,20,16.1%,29,27.5%,12,25.8,10,103.4,18,48.7%,2,17.7%,2,28.7%,24,27.0
                                                        04-05                        ,13,-9.5,18.0,1.1,9,-0.1,1,4,14,100.0,10,47.6%,8,14.4%,16,25.2%,15,17.9,8,109.5,13,51.5%,2,18.0%,15,33.7%,7,25.9
03-04,21,-2.3,34.5,34.5,21,-1.5,33,49,26,99.0,24,45.9%,26,17.8%,13,30.7%,8,24.4,10,101.2,11,46.9%,9,17.2%,19,31.1%,17,23.3
