Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,22,-3.3,33.1,33.1,5,+2.9,36,46,13,116.0,7,56.3%,15,14.2%,26,25.2%,11,19.4,27,119.2,23,55.5%,28,12.3%,13,27.7%,19,19.4
23-24,8,+4.0,50.6,50.6,21,-1.6,49,33,9,118.3,7,56.9%,25,14.9%,8,28.2%,1,22.0,12,114.3,7,53.9%,24,12.9%,18,26.7%,7,17.9
 23-24,18,-14.8,12.1,0.6,15,-0.6,0,4,14,111.0,7,53.4%,18,15.4%,17,21.2%,1,32.0,18,125.8,17,55.1%,5,14.1%,20,36.9%,20,29.5
22-23,12,+1.3,44.2,44.2,13,+0.8,45,37,17,115.1,22,53.8%,10,13.6%,6,29.1%,27,19.0,9,113.8,5,53.6%,10,14.7%,22,27.5%,30,23.7
 22-23,12,-3.6,32.4,4.4,2,+1.6,6,5,4,117.0,4,55.2%,6,12.6%,15,25.5%,7,22.0,18,120.6,16,55.0%,16,12.4%,15,30.6%,16,23.5
21-22,1,+8.5,60.9,60.9,6,+3.1,64,18,3,116.1,3,55.5%,3,12.6%,21,24.9%,25,17.7,3,107.6,3,51.5%,5,14.8%,14,26.0%,16,19.4
 21-22,10,-2.0,36.0,5.7,2,+1.3,7,6,4,115.2,3,55.6%,9,13.8%,10,25.7%,14,19.1,15,117.2,10,54.2%,12,13.9%,18,30.4%,17,23.4
20-21,3,+6.2,55.8,49.0,9,+2.0,51,21,6,117.7,4,56.9%,4,12.6%,24,23.6%,27,17.5,6,111.5,11,53.8%,15,14.0%,10,24.7%,15,19.4
 20-21,5,+4.5,52.2,14.0,11,-0.0,14,8,8,114.6,7,55.1%,11,12.6%,17,22.1%,12,19.1,5,110.1,4,51.0%,10,12.4%,11,26.9%,9,19.7
19-20,14,+0.1,41.2,36.7,24,-2.7,34,39,13,111.8,18,53.4%,14,14.4%,16,25.3%,5,22.5,17,111.8,21,54.3%,7,15.2%,8,24.7%,25,22.3
18-19,28,-9.5,18.9,18.9,16,+0.1,19,63,28,105.7,23,51.7%,29,15.4%,27,23.3%,13,20.1,29,115.2,28,54.9%,5,15.4%,30,30.2%,30,23.8
17-18,30,-9.8,17.9,17.9,6,+3.1,21,61,30,103.1,30,49.7%,27,15.8%,12,26.0%,8,20.3,30,112.9,22,53.5%,28,13.3%,22,26.2%,25,21.4
16-17,26,-5.6,26.8,26.8,26,-2.8,24,58,22,106.5,28,49.4%,25,15.4%,6,28.8%,4,22.9,28,112.1,24,52.7%,13,14.8%,18,26.9%,30,26.4
15-16,27,-7.4,22.4,22.4,13,+0.6,23,59,28,102.0,25,49.0%,30,17.5%,7,28.4%,19,20.3,24,109.4,26,52.5%,15,15.1%,10,25.6%,28,24.0
14-15,19,-0.2,40.5,40.5,21,-1.5,39,43,14,105.5,10,50.6%,20,15.6%,22,26.5%,24,19.2,17,105.7,16,49.8%,9,16.0%,22,29.0%,24,22.1
13-14,10,+3.2,49.5,49.5,21,-1.5,48,34,8,109.6,6,52.3%,19,15.9%,15,28.4%,11,22.3,14,106.3,11,49.7%,12,15.8%,21,29.0%,26,23.7
12-13,28,-6.7,23.8,23.8,8,+1.2,25,57,29,101.2,24,48.0%,27,16.5%,13,29.8%,26,17.5,22,107.8,24,51.3%,11,16.1%,25,30.1%,18,20.8
11-12,18,-0.2,40.5,32.6,11,+0.4,33,33,8,106.2,10,50.0%,7,15.1%,21,28.6%,23,19.3,22,106.4,19,49.4%,23,14.9%,21,30.2%,8,19.4
10-11,17,-0.9,38.7,38.7,12,+1.3,40,42,9,109.4,6,52.4%,10,14.9%,29,25.9%,24,21.4,23,110.3,26,51.5%,15,15.0%,25,30.4%,5,20.9
09-10,3,+6.3,56.1,56.1,24,-2.1,54,28,1,116.1,1,55.2%,16,15.3%,13,29.6%,10,23.8,20,109.8,9,49.2%,30,13.3%,29,31.6%,16,22.2
 09-10,2,+5.7,54.6,10.6,13,-0.6,10,6,1,119.0,1,54.4%,5,13.8%,4,31.0%,6,26.3,12,113.3,9,52.0%,15,12.8%,10,30.0%,6,23.9
08-09,13,+1.4,44.7,44.7,7,+1.3,46,36,3,113.3,1,55.0%,26,16.2%,16,28.8%,8,25.1,27,111.9,25,51.6%,21,14.5%,24,30.3%,17,23.5
07-08,6,+6.3,56.6,56.6,21,-1.6,55,27,1,113.7,1,55.5%,11,15.0%,30,24.4%,14,23.1,14,107.4,8,49.2%,27,13.8%,28,30.7%,2,18.9
 07-08,9,-2.3,34.7,2.1,15,-1.1,1,4,12,104.2,3,50.0%,3,12.4%,15,23.9%,11,23.6,5,106.6,11,49.4%,11,13.5%,2,26.5%,5,21.4
