Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,21,-3.2,33.1,33.1,6,+2.9,36,46,23,111.7,25,52.5%,29,15.9%,2,32.1%,20,18.5,17,114.9,16,54.5%,6,15.4%,28,30.3%,24,20.7
23-24,29,-10.3,18.0,18.0,3,+3.0,21,61,29,108.2,30,50.5%,28,15.5%,3,30.6%,21,18.0,23,118.5,26,56.5%,7,14.4%,28,28.6%,27,21.7
22-23,25,-3.8,31.8,31.8,10,+1.2,33,49,15,115.3,13,55.2%,21,14.5%,22,25.5%,2,23.1,27,119.1,26,56.5%,20,13.4%,24,27.8%,22,21.7
21-22,29,-8.7,20.8,20.8,1,+6.2,27,55,27,108.5,24,52.1%,25,14.7%,15,25.9%,20,18.6,29,117.2,30,56.1%,11,14.1%,19,26.5%,28,22.1
20-21,12,+2.1,46.1,40.5,10,+1.5,42,30,2,118.9,12,54.5%,2,11.3%,9,26.2%,11,19.7,29,116.8,24,55.2%,25,12.7%,21,25.6%,22,20.0
                                                        20-21                        ,7,-1.4,37.8,2.8,16,-0.8,2,4,1,123.6,2,57.4%,7,11.7%,11,25.7%,7,21.9,18,125.0,14,56.3%,16,11.3%,17,30.6%,12,21.7
19-20,19,-0.9,38.7,34.9,15,+0.1,35,39,3,114.0,11,53.7%,2,12.6%,18,25.2%,21,19.3,27,114.9,15,53.3%,27,12.6%,26,27.5%,18,21.0
                                                        19-20                        ,15,-11.1,16.4,1.2,3,+0.8,2,4,13,106.4,15,49.5%,11,14.7%,6,24.5%,2,27.5,12,117.5,12,55.4%,8,14.4%,17,30.4%,9,23.2
18-19,6,+4.4,51.9,51.9,9,+1.1,53,29,4,114.8,14,53.1%,10,13.6%,2,29.6%,7,21.2,16,110.4,12,52.0%,30,12.4%,7,24.5%,16,19.6
                                                        18-19                        ,7,-0.7,39.2,7.7,6,+0.3,8,8,8,111.1,7,51.0%,7,13.0%,4,28.9%,13,21.2,8,111.8,7,50.6%,10,12.8%,13,29.5%,11,23.4
17-18,10,+2.1,46.7,46.7,8,+2.3,49,33,15,108.4,25,51.1%,7,13.8%,7,26.8%,17,19.2,7,106.3,5,50.7%,29,13.1%,6,24.1%,18,19.3
                                                        17-18                        ,15,-12.7,13.9,0.7,13,-0.7,0,4,12,105.9,13,50.4%,10,14.4%,3,26.4%,16,12.5,16,118.6,16,59.3%,10,13.8%,2,22.3%,8,20.6
16-17,19,-1.1,38.3,38.3,7,+2.7,41,41,11,110.4,12,52.2%,10,14.0%,16,26.0%,13,21.5,25,111.5,14,51.4%,28,13.2%,15,26.4%,28,24.4
                                                        16-17                        ,16,-21.7,4.8,0.2,10,-0.2,0,4,16,98.7,16,45.0%,14,15.8%,7,27.3%,12,20.7,15,120.4,16,57.9%,14,13.1%,6,24.1%,14,26.9
15-16,14,+0.9,43.3,43.3,11,+0.7,44,38,6,109.0,8,51.5%,17,15.0%,10,28.2%,18,20.3,20,108.2,16,50.6%,26,13.7%,13,26.0%,26,22.6
                                                        15-16                        ,8,-3.0,33.1,4.4,5,+0.6,5,6,6,107.1,10,48.3%,6,13.2%,6,29.5%,6,21.5,12,110.1,9,51.1%,15,11.3%,3,24.7%,10,22.3
14-15,6,+4.6,52.9,52.9,23,-1.9,51,31,7,108.8,8,51.2%,7,14.2%,20,26.9%,26,18.2,10,104.2,3,48.0%,30,12.7%,4,26.1%,2,18.0
                                                        14-15                        ,13,-9.9,17.6,1.1,8,-0.1,1,4,12,102.4,13,45.8%,2,12.4%,12,25.2%,6,21.5,13,112.4,4,46.9%,16,8.5%,7,27.9%,14,25.8
