Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,17,+0.1,41.2,41.2,19,-1.2,40,42,9,116.7,16,54.9%,7,13.3%,17,28.2%,14,19.2,22,116.6,27,56.1%,19,13.9%,2,25.8%,21,20.0
 24-25,19,-24.2,4.5,0.1,10,-0.1,0,1,18,107.7,13,51.8%,20,19.8%,1,37.5%,20,11.8,20,131.9,20,62.3%,20,9.9%,3,26.3%,20,31.2
23-24,19,+0.8,42.9,42.9,2,+3.1,46,36,14,116.9,13,55.8%,11,13.2%,16,26.6%,25,17.3,18,116.1,21,55.9%,14,13.8%,1,24.3%,25,21.5
 23-24,1,+10.8,65.5,1.6,16,-0.6,1,1,8,115.7,16,51.1%,9,12.4%,2,33.6%,15,16.0,2,104.8,9,53.1%,1,17.2%,6,24.1%,6,16.4
22-23,8,+2.4,46.8,46.8,9,+1.2,48,34,1,119.7,2,57.5%,8,13.2%,24,25.3%,4,22.7,25,117.3,27,56.7%,15,13.9%,6,25.4%,11,20.3
 22-23,10,-3.1,33.2,2.8,7,+0.2,3,4,13,110.0,17,49.5%,14,13.9%,4,32.2%,10,20.6,11,113.1,12,53.2%,8,13.8%,12,29.0%,12,20.9
21-22,25,-5.9,26.6,26.6,5,+3.4,30,52,25,109.9,23,52.7%,18,14.2%,22,24.5%,7,20.3,27,115.8,28,55.3%,19,13.5%,22,27.2%,6,17.6
20-21,24,-3.7,32.0,28.1,5,+2.9,31,41,12,113.7,8,55.3%,12,13.4%,19,24.1%,20,18.4,30,117.4,27,55.8%,17,13.6%,29,27.6%,24,20.2
19-20,21,-2.9,33.5,29.4,10,+1.6,31,41,19,109.8,14,53.5%,15,14.4%,22,24.4%,27,17.7,21,112.7,24,54.7%,9,15.0%,12,24.9%,26,22.4
18-19,18,-0.8,38.9,38.9,17,+0.1,39,43,17,110.1,16,52.6%,4,12.9%,14,25.6%,27,17.7,18,110.9,21,53.4%,4,15.4%,26,27.4%,23,20.7
17-18,29,-7.7,21.9,21.9,2,+5.1,27,55,29,103.5,27,50.5%,15,14.5%,19,24.5%,30,14.1,28,111.2,28,54.4%,10,15.0%,14,25.3%,21,20.2
16-17,24,-4.2,30.3,30.3,8,+1.7,32,50,21,107.2,13,51.9%,26,15.4%,25,24.1%,9,22.2,24,111.4,26,53.0%,15,14.6%,14,26.3%,25,22.7
15-16,22,-2.8,33.6,33.6,17,-0.6,33,49,20,105.7,10,51.1%,25,16.0%,14,26.9%,10,21.5,22,108.4,25,52.4%,9,15.9%,19,26.9%,11,20.2
14-15,25,-4.3,29.8,29.8,18,-0.8,29,53,17,104.9,20,49.1%,27,17.0%,6,29.9%,1,27.8,27,109.2,26,50.9%,26,13.5%,12,27.3%,13,20.2
