Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,Offense: Pts/Poss Rank,Offense: Pts/Poss,Offense: eFG% Rank,Offense: eFG%,Offense: TOV% Rank,Offense: TOV%,Offense: ORB% Rank,Offense: ORB%,Offense: FT Rate Rank,Offense: FT Rate,Defense: Pts/Poss Rank,Defense: Pts/Poss,Defense: eFG% Rank,Defense: eFG%,Defense: TOV% Rank,Defense: TOV%,Defense: ORB% Rank,Defense: ORB%,Defense: FT Rate Rank,Defense: FT Rate
24-25,23,-3.9,31.5,31.5,7,+2.5,34,48,20,114.0,19,54.4%,10,13.9%,21,26.4%,24,18.2,25,117.9,24,55.8%,21,13.7%,26,29.7%,3,15.8
23-24,24,-6.3,25.8,25.8,27,-3.8,22,60,26,110.4,23,53.5%,26,15.0%,23,25.5%,26,17.2,21,116.7,20,55.8%,23,12.9%,15,26.6%,5,17.5
22-23,30,-9.9,19.0,19.0,5,+3.0,22,60,28,110.9,26,53.0%,24,15.0%,7,28.7%,30,17.0,30,120.9,30,57.8%,21,13.3%,25,28.1%,9,20.1
21-22,20,-0.3,40.3,40.3,27,-6.3,34,48,18,112.6,21,52.8%,2,12.6%,9,26.9%,30,16.5,16,112.9,15,53.5%,18,13.6%,24,27.7%,7,17.8
                                                        21-22                        ,18,-9.2,19.7,0.2,12,-0.2,0,1,17,107.3,18,47.8%,1,6.2%,19,17.9%,19,17.6,14,116.5,18,60.0%,7,14.4%,16,28.2%,10,21.3
20-21,20,-1.3,37.6,33.0,15,-0.0,33,39,19,111.7,27,52.0%,1,11.2%,27,23.0%,16,19.0,13,113.0,14,54.1%,19,13.2%,14,25.0%,6,17.4
                                                        20-21                        ,11,-5.1,26.9,0.3,15,-0.3,0,1,20,96.9,20,39.2%,1,8.2%,5,28.1%,9,20.6,1,102.0,2,48.9%,20,9.2%,5,22.2%,2,14.6
19-20,17,-0.7,39.2,34.0,22,-2.0,32,39,9,112.5,15,53.5%,1,12.3%,30,21.8%,7,21.4,23,113.2,22,54.4%,26,12.9%,4,23.7%,11,19.5
18-19,12,+2.0,46.0,46.0,5,+2.0,48,34,5,113.5,6,53.9%,1,12.0%,30,22.8%,18,19.4,20,111.5,20,53.2%,29,12.4%,5,24.2%,2,17.4
                                                        18-19                        ,8,-1.0,38.4,3.3,8,-0.3,3,4,3,112.3,8,50.7%,1,9.3%,9,25.1%,12,21.4,12,113.3,8,51.7%,16,9.4%,7,26.4%,2,18.3
17-18,9,+2.5,47.7,47.7,18,-0.7,47,35,17,107.7,26,50.9%,4,13.6%,8,26.6%,19,18.9,4,105.2,8,51.3%,15,14.6%,8,24.5%,3,17.0
                                                        17-18                        ,16,-13.3,12.4,0.8,6,+0.2,1,4,16,101.3,16,46.2%,2,12.1%,14,22.2%,5,22.4,13,114.7,14,54.2%,7,14.2%,15,28.5%,9,21.2
16-17,2,+7.7,59.9,59.9,10,+1.1,61,21,7,111.7,10,52.7%,12,14.1%,10,27.2%,17,21.1,2,104.0,3,49.6%,10,15.2%,9,25.7%,7,19.3
                                                        16-17                        ,7,-0.6,39.5,7.7,8,+0.3,8,8,4,113.9,8,51.5%,3,13.4%,3,31.6%,10,20.8,11,114.5,14,55.4%,5,14.7%,5,23.9%,5,21.2
15-16,1,+11.7,67.7,67.7,18,-0.7,67,15,4,110.6,2,52.9%,6,14.0%,23,25.1%,22,19.8,1,99.0,1,48.0%,10,15.9%,4,24.2%,3,18.3
                                                        15-16                        ,1,+10.8,66.1,8.1,16,-2.1,6,4,3,111.9,4,52.3%,4,12.5%,12,24.6%,8,20.4,1,101.0,3,46.5%,1,16.4%,13,31.2%,9,21.1
14-15,3,+6.9,58.6,58.6,26,-3.6,55,27,8,108.7,5,52.2%,14,14.8%,27,25.8%,16,20.2,2,101.8,6,48.5%,14,15.2%,3,25.9%,9,19.3
                                                        14-15                        ,6,+0.2,41.4,3.5,11,-0.5,3,4,4,108.1,4,50.5%,3,12.6%,8,26.9%,10,20.3,9,108.0,12,51.3%,13,13.4%,2,25.4%,11,23.6
13-14,1,+8.2,61.3,61.3,11,+0.7,62,20,7,110.5,2,53.9%,9,15.1%,26,25.0%,25,19.1,4,102.3,4,48.4%,23,14.6%,3,26.1%,2,18.3
