Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,27,-9.2,20.3,20.3,27,-3.3,17,65,24,110.8,21,53.4%,30,17.1%,4,30.2%,12,19.4,29,119.9,25,55.9%,30,11.5%,17,28.1%,13,18.7
23-24,23,-5.5,28.1,28.1,5,+2.9,31,51,17,115.4,19,54.1%,30,15.6%,2,30.9%,9,20.7,30,120.9,28,57.2%,29,12.2%,20,26.8%,8,18.2
22-23,22,-0.9,38.9,38.9,20,-1.9,37,45,10,116.3,15,55.1%,28,15.3%,4,29.2%,13,21.1,24,117.2,13,54.5%,27,12.4%,23,27.6%,12,20.5
21-22,3,+7.0,57.5,57.5,30,-8.5,49,33,1,117.6,2,55.8%,19,14.3%,5,28.8%,4,20.8,9,110.6,9,52.5%,29,12.4%,5,24.9%,1,16.2
 21-22,14,-6.7,24.7,1.8,8,+0.2,2,4,13,109.0,17,49.8%,7,13.3%,8,27.2%,2,26.1,12,115.8,12,54.4%,20,9.4%,1,18.1%,14,22.2
20-21,1,+11.6,66.3,58.2,29,-6.2,52,20,3,118.8,3,56.9%,19,14.2%,5,27.3%,8,20.0,1,107.2,1,50.7%,30,11.7%,2,22.6%,2,15.2
 20-21,6,-0.3,40.4,5.4,5,+0.6,6,5,2,121.9,1,58.5%,17,14.2%,9,27.2%,5,23.3,16,122.1,15,56.5%,19,10.7%,9,25.4%,11,20.8
19-20,9,+2.5,47.3,41.6,8,+2.4,44,28,11,112.4,2,55.3%,24,15.1%,21,24.5%,8,21.2,13,109.9,8,52.2%,28,12.4%,6,23.8%,7,18.4
 19-20,3,+4.7,51.9,4.4,17,-1.4,3,4,1,122.6,1,59.1%,3,12.6%,9,23.3%,7,22.2,13,117.9,14,56.5%,11,13.1%,14,26.3%,2,15.8
18-19,3,+6.7,57.8,57.8,30,-7.8,50,32,14,111.4,5,54.2%,26,15.0%,12,26.2%,4,22.0,1,104.7,1,50.6%,17,13.7%,1,22.7%,7,18.6
