Year,Diff Rank,Diff,Exp W82,Exp W,Win Diff Rank,Win Diff,W,L,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
24-25,30,-12.7,14.1,14.1,3,+3.9,18,64,30,106.6,28,51.6%,26,15.5%,25,25.7%,26,17.6,28,119.2,20,55.0%,25,12.9%,27,30.3%,22,20.1
23-24,27,-9.7,19.4,19.4,29,-4.4,15,67,25,110.9,18,54.1%,19,13.7%,30,22.3%,29,16.9,29,120.6,25,56.5%,20,13.3%,30,30.0%,22,20.2
22-23,23,-1.7,36.9,36.9,19,-1.9,35,47,19,114.9,11,55.3%,18,14.3%,20,26.0%,21,20.2,22,116.5,11,54.3%,29,12.3%,12,26.3%,4,19.4
21-22,24,-3.8,31.5,31.5,4,+3.5,35,47,22,110.9,19,53.6%,11,13.5%,29,23.4%,15,19.6,25,114.7,13,53.3%,30,12.0%,11,25.4%,22,20.3
20-21,22,-1.8,36.4,32.0,8,+2.0,34,38,20,111.4,20,53.3%,15,13.6%,23,23.7%,3,22.1,18,113.2,13,54.0%,16,13.9%,16,25.1%,28,21.6
 20-21,16,-7.7,23.1,2.0,10,0.0,2,5,13,111.7,11,53.0%,15,13.3%,12,25.6%,2,24.5,14,119.5,12,55.0%,17,11.0%,12,27.5%,13,21.8
19-20,25,-5.0,28.8,25.3,19,-0.3,25,47,17,110.7,21,52.5%,8,13.7%,20,24.9%,6,21.5,30,115.7,30,56.1%,4,15.5%,27,27.7%,28,23.3
18-19,24,-2.9,33.6,33.6,23,-1.6,32,50,15,111.0,9,53.4%,12,13.7%,25,24.2%,11,20.4,26,113.9,29,55.1%,6,15.3%,28,28.3%,18,20.1
17-18,14,+0.8,43.2,43.2,14,-0.2,43,39,14,108.6,12,52.7%,18,14.9%,11,26.2%,15,19.6,15,107.8,12,52.3%,9,15.4%,15,25.4%,26,21.4
 17-18,9,-2.5,34.5,2.5,12,-0.5,2,4,5,110.0,10,51.5%,8,14.0%,5,26.1%,4,22.9,12,112.5,13,54.0%,6,14.5%,10,25.2%,14,24.2
16-17,9,+1.9,45.9,45.9,6,+3.1,49,33,9,111.3,6,53.1%,17,14.4%,13,27.0%,22,20.2,18,109.5,23,52.7%,3,15.7%,22,27.2%,15,21.3
 16-17,6,+0.5,42.4,6.2,4,+0.8,7,6,8,110.5,10,50.7%,9,14.2%,5,29.3%,8,22.4,5,110.0,7,52.2%,3,15.3%,10,26.8%,12,25.8
15-16,17,-0.4,39.9,39.9,9,+1.1,41,41,19,105.7,9,51.5%,15,14.7%,25,23.6%,25,19.1,14,106.1,21,51.8%,5,16.5%,6,25.2%,19,21.7
14-15,15,+0.7,42.8,42.8,5,+3.2,46,36,22,104.2,14,50.1%,23,15.9%,17,27.5%,23,19.3,7,103.6,5,48.4%,18,14.8%,6,26.5%,15,20.7
 14-15,3,+5.1,54.5,6.6,14,-0.6,6,4,7,107.1,5,50.3%,14,15.2%,4,28.9%,9,20.5,2,102.0,5,47.3%,8,14.0%,5,26.9%,2,17.8
13-14,15,+1.4,44.8,44.8,16,-0.8,44,38,17,106.1,11,50.9%,14,15.4%,21,27.3%,30,18.4,8,104.7,15,50.6%,3,16.9%,7,27.2%,15,22.0
 13-14,4,+1.0,43.9,5.9,8,+0.1,6,5,14,102.0,13,47.3%,9,14.6%,6,29.3%,15,19.8,1,100.9,1,47.0%,10,14.4%,2,24.5%,7,22.7
12-13,21,-3.3,31.9,31.9,25,-2.9,29,53,30,99.7,25,47.7%,24,16.2%,25,26.7%,23,19.2,6,102.9,7,48.5%,14,15.7%,5,28.1%,17,20.7
11-12,27,-6.9,23.2,18.7,9,+1.3,20,46,28,100.5,25,47.5%,22,16.5%,19,29.3%,27,18.4,25,107.4,22,49.7%,7,16.4%,29,32.1%,26,23.2
10-11,29,-8.9,19.4,19.4,4,+3.6,23,59,29,102.0,29,47.2%,26,16.2%,8,30.5%,23,21.7,26,110.9,25,51.5%,6,16.3%,29,32.0%,25,25.0
09-10,27,-5.8,26.1,26.1,12,-0.1,26,56,26,103.9,26,48.3%,27,16.2%,8,30.3%,22,21.6,19,109.7,18,50.4%,22,14.6%,25,29.9%,20,24.0
08-09,28,-8.9,19.9,19.9,17,-0.9,19,63,26,104.8,28,48.3%,17,15.2%,13,29.5%,24,22.0,29,113.7,30,53.6%,17,15.0%,22,29.8%,12,22.8
07-08,14,+0.1,41.4,41.4,10,+1.6,43,39,12,109.1,18,49.3%,10,14.5%,8,30.9%,11,23.3,21,108.9,27,51.6%,11,15.4%,17,28.6%,13,22.0
 07-08,12,-5.4,27.1,2.0,6,0.0,2,4,11,104.4,11,46.7%,6,13.9%,11,27.4%,7,27.2,11,109.8,9,49.3%,6,14.9%,14,33.5%,13,27.3
06-07,17,-1.2,38.0,38.0,6,+3.0,41,41,4,109.6,18,49.5%,3,14.6%,12,30.0%,6,27.3,28,110.7,28,52.1%,12,16.6%,25,31.0%,17,24.8
