player_name,event_id,event_date,home_team,away_team,bookmaker,line,timestamp,over_price,under_price
Al Horford,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,18.5,2024-10-24T23:05:39Z,-105.0,-125.0
Alex Sarr,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,20.5,2024-10-24T23:05:39Z,-115.0,-115.0
Bilal Coulibaly,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,14.5,2024-10-24T23:05:39Z,-125.0,-105.0
Corey Kispert,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,16.5,2024-10-24T23:05:39Z,-105.0,-125.0
Derrick White,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,24.5,2024-10-24T23:05:39Z,-120.0,-110.0
Jaylen Brown,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,32.5,2024-10-24T23:05:39Z,-120.0,-110.0
Jayson Tatum,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,42.5,2024-10-24T23:05:39Z,-115.0,-115.0
Jonas Valanciunas,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,18.5,2024-10-24T23:05:39Z,-120.0,-110.0
Jordan Poole,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,26.5,2024-10-24T23:05:39Z,-110.0,-120.0
Jrue Holiday,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,22.5,2024-10-24T23:05:39Z,-130.0,100.0
Kyle Kuzma,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,29.5,2024-10-24T23:05:39Z,-110.0,-120.0
Luke Kornet,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,12.5,2024-10-24T23:05:39Z,-125.0,-105.0
Payton Pritchard,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,DraftKings,18.5,2024-10-24T23:05:39Z,100.0,-130.0
Jaylen Brown,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,33.5,2024-10-24T23:05:39Z,-113.0,-113.0
Jordan Poole,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,26.5,2024-10-24T23:05:39Z,-113.0,-113.0
Al Horford,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,18.5,2024-10-24T23:05:39Z,-104.0,-122.0
Derrick White,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,25.5,2024-10-24T23:05:39Z,-106.0,-120.0
Kyle Kuzma,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,29.5,2024-10-24T23:05:39Z,-106.0,-120.0
Jayson Tatum,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,42.5,2024-10-24T23:05:39Z,-106.0,-120.0
Jrue Holiday,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,FanDuel,23.5,2024-10-24T23:05:39Z,-113.0,-113.0
Al Horford,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,18.5,2024-10-24T23:05:39Z,-110.0,-120.0
Derrick White,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,25.5,2024-10-24T23:05:39Z,-110.0,-120.0
Jaylen Brown,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,33.5,2024-10-24T23:05:39Z,-115.0,-115.0
Jayson Tatum,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,42.5,2024-10-24T23:05:39Z,-110.0,-120.0
Jordan Poole,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,26.5,2024-10-24T23:05:39Z,-115.0,-115.0
Jrue Holiday,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,23.5,2024-10-24T23:05:39Z,-115.0,-115.0
Kyle Kuzma,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,Bovada,29.5,2024-10-24T23:05:39Z,-110.0,-120.0
Al Horford,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,18.5,2024-10-24T23:05:39Z,-111.0,-116.0
Jrue Holiday,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,24.5,2024-10-24T23:05:39Z,110.0,-143.0
Bilal Coulibaly,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,15.5,2024-10-24T23:05:39Z,-103.0,-125.0
Derrick White,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,25.5,2024-10-24T23:05:39Z,-105.0,-123.0
Jaylen Brown,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,33.5,2024-10-24T23:05:39Z,-114.0,-114.0
Luke Kornet,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,12.5,2024-10-24T23:05:39Z,-114.0,-114.0
Jayson Tatum,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,42.5,2024-10-24T23:05:39Z,-110.0,-118.0
Kyle Kuzma,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,28.5,2024-10-24T23:05:39Z,-114.0,-114.0
Payton Pritchard,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,16.5,2024-10-24T23:05:39Z,-122.0,-106.0
Corey Kispert,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,15.5,2024-10-24T23:05:39Z,-103.0,-125.0
Jordan Poole,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetOnline.ag,26.5,2024-10-24T23:05:39Z,-110.0,-118.0
Bilal Coulibaly,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,15.5,2024-10-24T23:05:39Z,100.0,-130.0
Al Horford,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,18.5,2024-10-24T23:05:39Z,-120.0,-110.0
Derrick White,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,25.5,2024-10-24T23:05:39Z,-105.0,-125.0
Jayson Tatum,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,43.5,2024-10-24T23:05:39Z,-110.0,-120.0
Jrue Holiday,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,24.5,2024-10-24T23:05:39Z,-105.0,-130.0
Kyle Kuzma,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,29.5,2024-10-24T23:05:39Z,-110.0,-125.0
Jordan Poole,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,27.5,2024-10-24T23:05:39Z,-115.0,-115.0
Jaylen Brown,9e5c6a9f958653c964712b118e07f6ab,2024-10-24,Washington Wizards,Boston Celtics,BetMGM,33.5,2024-10-24T23:05:39Z,-110.0,-120.0
