PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Gordon,2023-10-24,aaron gordon,DEN,LAL,27,23.724844,-3.275156021118164,3.275156021118164,23.5,185.0,-122.0,"DraftKings, FanDuel, Caesars",27,23.724844,23.5,0.22484400000000093,0.22484400000000093,0.3508771929824561,0.5495495495495496,NONE,0.0,False,False,False
Aaron Gordon,2023-10-27,aaron gordon,DEN,MEM,15,18.575947,3.575946807861328,3.575946807861328,23.5,100.0,100.0,"DraftKings, BetOnline.ag, Caesars",15,18.575947,23.5,-4.924053000000001,4.924053000000001,0.5,0.5,UNDER,100.0,True,False,False
Aaron Gordon,2023-10-29,aaron gordon,DEN,OKC,14,13.460946,-0.5390539169311523,0.5390539169311523,22.5,-105.0,132.0,"DraftKings, Caesars, FanDuel",14,13.460946,22.5,-9.039054,9.039054,0.5121951219512195,0.43103448275862066,UNDER,132.0,True,False,False
Aaron Gordon,2023-11-04,aaron gordon,DEN,CHI,32,25.724165,-6.275835037231445,6.275835037231445,22.5,100.0,143.0,"Unibet, FanDuel, BetRivers",32,25.724165,22.5,3.2241649999999993,3.2241649999999993,0.5,0.411522633744856,OVER,100.0,True,False,False
Aaron Gordon,2023-11-19,aaron gordon,DEN,CLE,20,21.885715,1.8857154846191408,1.8857154846191408,25.5,-102.0,100.0,"DraftKings, FanDuel, PointsBet (US)",20,21.885715,25.5,-3.614284999999999,3.614284999999999,0.504950495049505,0.5,UNDER,100.0,True,False,False
Aaron Gordon,2023-12-25,aaron gordon,DEN,GSW,29,23.7548,-5.245199203491211,5.245199203491211,23.5,160.0,-113.0,"DraftKings, FanDuel, Bovada",29,23.7548,23.5,0.25479999999999947,0.25479999999999947,0.38461538461538464,0.5305164319248826,NONE,0.0,False,False,False
Aaron Gordon,2024-01-14,aaron gordon,DEN,IND,33,26.686707,-6.31329345703125,6.31329345703125,22.5,-115.0,175.0,"DraftKings, BetOnline.ag, PointsBet (US)",33,26.686707,22.5,4.186706999999998,4.186706999999998,0.5348837209302325,0.36363636363636365,OVER,86.95652173913044,True,False,False
Aaron Gordon,2024-01-21,aaron gordon,DEN,WAS,23,20.960644,-2.039356231689453,2.039356231689453,25.5,-111.0,100.0,"DraftKings, BetOnline.ag, PointsBet (US)",23,20.960644,25.5,-4.5393560000000015,4.5393560000000015,0.5260663507109005,0.5,UNDER,100.0,True,False,False
Aaron Gordon,2024-01-27,aaron gordon,DEN,PHI,24,21.151482,-2.8485183715820312,2.8485183715820312,24.5,-110.0,145.0,"DraftKings, PointsBet (US), FanDuel",24,21.151482,24.5,-3.3485179999999986,3.3485179999999986,0.5238095238095238,0.40816326530612246,UNDER,145.0,True,False,False
Aaron Gordon,2024-03-13,aaron gordon,DEN,MIA,28,24.90763,-3.092369079589844,3.092369079589844,22.5,180.0,-105.0,"DraftKings, BetOnline.ag, FanDuel",28,24.90763,22.5,2.407630000000001,2.407630000000001,0.35714285714285715,0.5121951219512195,NONE,0.0,False,False,False
Aaron Gordon,2024-03-17,aaron gordon,DEN,DAL,23,25.925938,2.92593765258789,2.92593765258789,22.5,100.0,155.0,"DraftKings, PointsBet (US), FanDuel",23,25.925938,22.5,3.4259379999999986,3.4259379999999986,0.5,0.39215686274509803,OVER,100.0,True,False,False
Aaron Gordon,2024-03-31,aaron gordon,DEN,CLE,21,22.32921,1.3292102813720703,1.3292102813720703,25.5,150.0,105.0,"DraftKings, FanDuel, PointsBet (US)",21,22.32921,25.5,-3.17079,3.17079,0.4,0.4878048780487805,UNDER,105.0,True,False,False
Aaron Gordon,2024-04-14,aaron gordon,DEN,MEM,25,19.950941,-5.04905891418457,5.04905891418457,17.5,-105.0,100.0,"DraftKings, PointsBet (US), BetMGM",25,19.950941,17.5,2.4509410000000003,2.4509410000000003,0.5121951219512195,0.5,NONE,0.0,False,False,False
Aaron Gordon,2024-05-04,aaron gordon,DEN,MIN,18,22.599611,4.599611282348633,4.599611282348633,25.5,165.0,-105.0,"DraftKings, FanDuel, Bovada",18,22.599611,25.5,-2.9003890000000006,2.9003890000000006,0.37735849056603776,0.5121951219512195,NONE,0.0,False,False,False
Aaron Holiday,2024-03-19,aaron holiday,HOU,WAS,13,14.926962,1.926961898803711,1.926961898803711,7.5,-112.0,-115.0,"BetMGM, BetOnline.ag",13,14.926962,7.5,7.426962,7.426962,0.5283018867924528,0.5348837209302325,OVER,89.28571428571429,True,False,False
Aaron Holiday,2024-03-31,aaron holiday,HOU,DAL,23,16.1847,-6.815299987792969,6.815299987792969,7.5,-114.0,-114.0,"BetOnline.ag, BetMGM",23,16.1847,7.5,8.6847,8.6847,0.5327102803738317,0.5327102803738317,OVER,87.71929824561403,True,False,False
