PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,is_star,bet_side,bet_result,bet_won,bet_pushed,bet_lost
A.J. Lawson,2025-03-10,a.j. lawson,44,15.122846,-28.877155,28.877155,11.5,-110.0,135.0,"BetMGM, Bovada",44,15.122846,11.5,3.622845999999999,3.622845999999999,0.5238095238095238,0.425531914893617,False,NONE,0.0,False,False,False
A.J. Lawson,2025-03-12,a.j. lawson,38,17.372377,-20.627623,20.627623,20.5,-110.0,-120.0,Bovada,38,17.372377,20.5,-3.127623,3.127623,0.5238095238095238,0.5454545454545454,False,NONE,0.0,False,False,False
A.J. Lawson,2025-03-16,a.j. lawson,23,17.358856,-5.641144,5.641144,19.5,-110.0,-120.0,Bovada,23,17.358856,19.5,-2.1411440000000006,2.1411440000000006,0.5238095238095238,0.5454545454545454,False,NONE,0.0,False,False,False
A.J. Lawson,2025-04-04,a.j. lawson,13,12.851414,-0.14858627,0.14858627,14.5,145.0,-190.0,Bovada,13,12.851414,14.5,-1.6485859999999999,1.6485859999999999,0.40816326530612246,0.6551724137931034,False,NONE,0.0,False,False,False
A.J. Lawson,2025-04-06,a.j. lawson,14,12.668214,-1.3317862,1.3317862,14.5,105.0,-135.0,Bovada,14,12.668214,14.5,-1.8317859999999992,1.8317859999999992,0.4878048780487805,0.574468085106383,False,NONE,0.0,False,False,False
A.J. Lawson,2025-04-13,a.j. lawson,14,17.4154,3.4153996,3.4153996,22.5,-150.0,115.0,Bovada,14,17.4154,22.5,-5.084599999999998,5.084599999999998,0.6,0.46511627906976744,False,UNDER,115.0,True,False,False
AJ Johnson,2025-03-21,aj johnson,19,13.4916315,-5.5083685,5.5083685,15.5,-105.0,-102.0,"BetOnline.ag, Fanatics, FanDuel",19,13.4916315,15.5,-2.0083684999999996,2.0083684999999996,0.5121951219512195,0.504950495049505,False,NONE,0.0,False,False,False
AJ Johnson,2025-03-24,aj johnson,26,14.139235,-11.860765,11.860765,15.5,105.0,105.0,"DraftKings, Fanatics, FanDuel",26,14.139235,15.5,-1.3607650000000007,1.3607650000000007,0.4878048780487805,0.4878048780487805,False,NONE,0.0,False,False,False
AJ Johnson,2025-03-26,aj johnson,20,14.422902,-5.577098,5.577098,22.5,-104.0,105.0,"DraftKings, FanDuel, BetOnline.ag",20,14.422902,22.5,-8.077098,8.077098,0.5098039215686274,0.4878048780487805,False,NONE,0.0,False,False,False
AJ Johnson,2025-03-27,aj johnson,5,17.312767,12.312767,12.312767,20.5,-110.0,-106.0,"BetOnline.ag, Fanatics, DraftKings",5,17.312767,20.5,-3.187232999999999,3.187232999999999,0.5238095238095238,0.5145631067961165,False,NONE,0.0,False,False,False
AJ Johnson,2025-03-29,aj johnson,25,15.654552,-9.345448,9.345448,18.5,-120.0,-103.0,"DraftKings, BetMGM, Bovada",25,15.654552,18.5,-2.8454479999999993,2.8454479999999993,0.5454545454545454,0.5073891625615764,False,NONE,0.0,False,False,False
AJ Johnson,2025-03-31,aj johnson,12,16.183975,4.183975,4.183975,21.5,-105.0,-102.0,"BetOnline.ag, Fanatics, DraftKings",12,16.183975,21.5,-5.316025,5.316025,0.5121951219512195,0.504950495049505,False,UNDER,98.0392156862745,True,False,False
AJ Johnson,2025-04-02,aj johnson,27,15.206698,-11.793302,11.793302,20.5,-111.0,105.0,"BetOnline.ag, Fanatics, FanDuel",27,15.206698,20.5,-5.293302000000001,5.293302000000001,0.5260663507109005,0.4878048780487805,False,UNDER,-100.0,False,False,True
AJ Johnson,2025-04-03,aj johnson,17,18.50212,1.5021191,1.5021191,19.5,100.0,-102.0,"BetOnline.ag, DraftKings, BetMGM",17,18.50212,19.5,-0.9978799999999985,0.9978799999999985,0.5,0.504950495049505,False,NONE,0.0,False,False,False
AJ Johnson,2025-04-06,aj johnson,16,16.867678,0.8676777,0.8676777,19.5,-110.0,-106.0,"BetOnline.ag, Fanatics, BetMGM",16,16.867678,19.5,-2.6323219999999985,2.6323219999999985,0.5238095238095238,0.5145631067961165,False,NONE,0.0,False,False,False
