feature,importance
PRA_ewma5,0.5301949
PRA_L5_mean,0.18147829
PRA_ewma10,0.09277215
MIN,0.0346788
days_rest,0.021477126
PRA_lag1,0.015825346
PRA_ewma15,0.014648788
MIN_L5_mean,0.007877374
MIN_ewma5,0.0073830676
PRA_L20_mean,0.0050425236
MIN_lag1,0.0049838256
CTG_Corner3_freq,0.0048302673
games_last_7d,0.0030470444
PRA_L20_std,0.0027296483
is_b2b,0.002699274
IS_HOME,0.002396429
PRA_lag5,0.0021673888
PRA_L5_std,0.0020120887
MIN_L10_mean,0.001855565
PTS_L20_std,0.0018283654
MIN_ewma10,0.0017843156
PRA_trend,0.0017645381
PRA_lag3,0.0016726733
REB_L10_std,0.0016387544
FG_PCT_L5_mean,0.001628743
CTG_eFG_pct,0.0015711526
PTS_lag1,0.0015591268
PTS_L20_mean,0.0015071516
AST_L10_std,0.0014788866
MIN_L5_std,0.0014463728
MIN_ewma15,0.0013600285
REB_L20_mean,0.0013590915
PRA_L10_std,0.0013363687
AST_L5_std,0.0012135571
PTS_trend,0.0012017895
CTG_LongMid_freq,0.0011655627
FG_PCT_L20_std,0.0011583706
MIN_L20_mean,0.0011471848
CTG_ShortMid_freq,0.0011285181
PRA_L10_mean,0.0011224934
FG_PCT_L10_std,0.0010949112
FG_PCT_L5_std,0.0010597458
REB_L20_std,0.0010087184
PTS_L10_std,0.0009945468
PTS_ewma15,0.0009940284
MIN_L10_std,0.0009883369
PRA_lag7,0.000964979
REB_ewma15,0.00091262686
MIN_L20_std,0.00090744696
PTS_L5_std,0.00089731533
CTG_Rim_freq,0.0008717927
REB_L5_std,0.0008556972
FG_PCT_L10_mean,0.00085532037
MIN_lag3,0.00075257465
PTS_L10_mean,0.00071171176
REB_L10_mean,0.00068312825
FG_PCT_L20_mean,0.0006781799
CTG_MIN,0.00066175114
REB_trend,0.0005758352
PTS_ewma5,0.0005603299
AST_L20_std,0.0005577991
CTG_All3_freq,0.00055775844
MIN_lag7,0.0005443386
PTS_L5_mean,0.0005396968
AST_ewma10,0.00053392636
PTS_ewma10,0.0005287925
AST_L10_mean,0.0005180659
REB_ewma10,0.00050944765
PTS_lag5,0.0005088749
CTG_NonCorner3_freq,0.0004495595
MIN_lag5,0.000446314
AST_ewma15,0.000428232
MIN_trend,0.00041334823
PRA_lag10,0.0004101226
PTS_lag7,0.00040516234
MIN_lag10,0.00039380067
PTS_lag3,0.0003891663
AST_lag10,0.00038771948
AST_lag7,0.00036875144
AST_L20_mean,0.00036273352
AST_ewma5,0.0003593363
REB_lag5,0.0003556616
AST_lag5,0.00035249296
AST_trend,0.0003413057
REB_ewma5,0.0003365901
PTS_lag10,0.00032926488
AST_lag1,0.00032613653
AST_lag3,0.00032339536
REB_lag7,0.000316523
opp_allowed_REB_L10,0.0003141515
REB_lag10,0.00029464543
opp_allowed_PRA_L10,0.00029308177
REB_L5_mean,0.0002919873
opp_allowed_PTS_L10,0.00028374765
opp_allowed_AST_L10,0.00028255183
AST_L5_mean,0.00027138117
REB_lag3,0.00024218256
REB_lag1,0.0002300191
